VBELN,POSNR,LFSTA,FKSTA,GBSTA,ABSTA,LFGSA,WBSTA
0001000055,000040,B,C,C,,B,A
0001000056,000010,C,B,A,,A,C
0001000056,000020,A,A,B,,C,B
0001000056,000030,B,A,A,,A,C
0001000056,000040,B,B,A,,B,B
0001000056,000050,B,C,B,,B,A
0001000056,000060,A,C,C,,B,A
0001000056,000070,B,B,A,,A,B
0001000057,000010,B,C,A,,B,B
0001000057,000020,C,B,C,,B,A
0001000057,000030,B,B,B,,C,A
0001000057,000040,A,B,C,,A,A
0001000057,000050,A,C,B,,A,C
0001000057,000060,C,A,C,,B,A
0001000057,000070,B,A,A,,B,B
0001000058,000010,A,A,A,,A,A
0001000058,000020,A,B,A,,A,B
0001000058,000030,A,A,A,,A,B
0001000058,000040,C,C,B,,C,B
0001000059,000010,C,B,A,,B,C
0001000059,000020,B,C,A,,B,B
0001000060,000010,B,B,B,,A,B
0001000060,000020,B,C,B,,A,B
0001000060,000030,B,B,C,,B,A
0001000060,000040,A,B,A,,B,C
0001000060,000050,C,C,A,,B,A
0001000060,000060,A,A,A,,A,C
0001000060,000070,B,C,A,,B,C
0001000061,000010,B,B,C,,B,C
0001000061,000020,B,B,B,,B,B
0001000062,000010,A,C,B,,C,B
0001000062,000020,C,C,C,,B,A
0001000062,000030,C,A,C,,B,B
0001000062,000040,B,C,C,,A,B
0001000062,000050,B,C,C,,B,B
0001000062,000060,A,B,B,,B,B
0001000062,000070,B,C,B,,B,A
0001000062,000080,B,B,B,,C,B
0001000062,000090,B,C,A,,B,C
0001000062,000100,A,A,B,,B,C
0001000063,000010,B,A,A,,B,B
0001000063,000020,B,B,A,,B,A
0001000063,000030,C,B,B,,B,B
0001000063,000040,B,C,B,,B,B
0001000063,000050,C,C,B,,B,B
0001000064,000010,A,A,B,,B,A
0001000064,000020,B,A,A,,B,A
0001000064,000030,A,C,B,,A,A
0001000065,000010,A,B,B,,B,C
0001000065,000020,A,C,A,,B,A
0001000065,000030,A,A,B,,B,A
0001000065,000040,B,A,B,,A,B
0001000066,000010,C,C,B,,B,B
0001000066,000020,B,B,C,,A,B
0001000067,000010,A,B,A,,B,A
0001000067,000020,B,A,A,,A,A
0001000067,000030,B,A,A,,C,B
0001000067,000040,C,B,B,,A,A
0001000067,000050,C,B,B,,B,B
0001000067,000060,A,B,A,,B,C
0001000068,000010,A,B,A,,A,C
0001000068,000020,A,A,B,,B,B
0001000068,000030,C,A,C,,B,A
0001000069,000010,A,B,A,,A,B
0001000069,000020,B,B,A,,A,A
0001000069,000030,A,A,B,,B,A
0001000069,000040,C,A,A,,B,B
0001000069,000050,B,C,C,,A,B
0001000069,000060,C,A,A,,C,B
0001000070,000010,B,B,A,,B,A
0001000070,000020,C,B,B,,B,B
0001000070,000030,B,B,B,,B,C
0001000070,000040,B,A,B,,B,A
0001000070,000050,B,A,C,,C,B
0001000070,000060,C,C,C,,A,A
0001000071,000010,A,B,B,,C,A
0001000071,000020,B,C,A,,C,B
0001000071,000030,B,C,C,,B,C
0001000071,000040,A,B,B,,A,A
0001000071,000050,B,A,C,,B,C
0001000071,000060,A,A,C,,A,A
0001000071,000070,B,B,B,,C,C
0001000072,000010,A,A,A,,A,A
0001000072,000020,B,B,C,,C,B
0001000072,000030,A,A,A,,B,B
0001000072,000040,A,B,C,,B,C
0001000072,000050,A,C,A,,A,C
0001000073,000010,A,B,A,,A,A
0001000073,000020,A,A,A,,A,A
0001000073,000030,A,A,B,,B,B
0001000074,000010,B,B,A,,C,B
0001000074,000020,A,C,A,,B,B
0001000074,000030,B,B,A,,C,C
0001000075,000010,C,B,B,,B,A
0001000075,000020,B,B,A,,B,B
0001000075,000030,B,B,B,,A,A
0001000075,000040,B,C,C,,A,B
0001000075,000050,B,A,B,,B,C
0001000076,000010,A,A,A,,B,A
0001000076,000020,B,B,B,,B,B
0001000076,000030,A,A,A,,B,B
0001000076,000040,B,B,B,,B,C
0001000076,000050,B,B,A,,B,B
0001000076,000060,B,C,A,,C,A
0001000076,000070,B,B,C,,B,B
0001000077,000010,A,B,B,,B,A
0001000077,000020,C,B,A,,C,A
0001000077,000030,A,C,A,,B,A
0001000077,000040,A,C,C,,B,C
0001000077,000050,B,B,A,,B,C
0001000078,000010,C,C,B,,C,B
0001000078,000020,A,B,A,,A,B
0001000078,000030,A,B,B,,B,B
0001000078,000040,C,A,A,,B,A
0001000078,000050,C,B,A,,B,A
0001000078,000060,C,A,B,,A,C
0001000078,000070,A,C,A,,C,B
0001000079,000010,A,B,A,,B,B
0001000079,000020,B,C,A,,B,B
0001000080,000010,A,C,A,,A,C
0001000080,000020,C,A,C,,C,A
0001000080,000030,B,B,A,,B,A
0001000080,000040,B,B,A,,B,A
0001000080,000050,C,A,C,,A,B
0001000081,000010,B,A,B,,B,A
0001000081,000020,C,C,B,,B,B
0001000081,000030,B,A,B,,B,A
0001000081,000040,A,B,C,,A,C
0001000081,000050,B,A,C,,A,C
0001000081,000060,C,B,B,,B,A
0001000081,000070,C,C,A,,B,A
0001000081,000080,B,C,B,,A,B
0001000081,000090,A,B,C,,B,B
0001000081,000100,B,B,A,,A,B
0001000082,000010,B,B,A,,A,A
0001000083,000010,A,C,B,,B,B
0001000083,000020,B,A,A,,A,C
0001000083,000030,B,B,B,,B,A
0001000083,000040,B,B,A,,C,B
0001000083,000050,B,B,B,,B,B
0001000083,000060,B,B,B,,A,C
0001000084,000010,A,B,C,,B,B
0001000084,000020,A,B,A,,B,A
0001000084,000030,C,C,A,,C,B
0001000084,000040,A,A,C,,A,C
0001000085,000010,B,B,B,,B,B
0001000085,000020,C,C,C,,C,B
0001000085,000030,A,C,B,,A,A
0001000085,000040,A,B,A,,B,C
0001000085,000050,B,B,B,,A,C
0001000086,000010,B,C,A,,A,A
0001000086,000020,A,C,A,,B,A
0001000086,000030,B,B,A,,B,A
0001000086,000040,C,B,B,,B,C
0001000086,000050,B,C,B,,B,B
0001000087,000010,B,B,A,,B,C
0001000087,000020,B,B,B,,B,A
0001000087,000030,C,C,C,,B,B
0001000088,000010,A,B,C,,B,B
0001000088,000020,C,A,B,,B,A
0001000088,000030,B,C,A,,A,B
0001000088,000040,A,A,C,,B,B
0001000088,000050,B,A,B,,B,A
0001000089,000010,A,B,B,,A,C
0001000089,000020,C,A,A,,B,B
0001000089,000030,A,B,B,,C,B
0001000090,000010,B,C,B,,C,B
0001000090,000020,B,C,A,,A,A
0001000090,000030,A,B,B,,C,C
0001000090,000040,B,C,A,,B,B
0001000090,000050,C,A,C,,B,B
0001000090,000060,C,C,A,,B,A
0001000090,000070,C,B,B,,B,C
0001000090,000080,A,C,C,,C,C
0001000091,000010,A,B,B,,A,B
0001000091,000020,A,B,C,,B,C
0001000091,000030,B,C,C,,A,B
0001000091,000040,B,B,B,,B,B
0001000091,000050,B,C,B,,B,A
0001000091,000060,A,B,B,,B,B
0001000092,000010,B,A,A,,B,B
0001000092,000020,A,B,B,,C,C
0001000092,000030,A,C,A,,A,A
0001000092,000040,C,B,B,,A,B
0001000092,000050,C,B,B,,B,A
0001000092,000060,C,C,B,,A,B
0001000092,000070,A,A,B,,C,A
0001000092,000080,B,A,B,,A,A
0001000093,000010,B,B,B,,B,B
0001000093,000020,A,B,A,,B,B
0001000094,000010,B,B,A,,B,A
0001000094,000020,B,A,A,,B,C
0001000094,000030,A,C,B,,A,C
0001000094,000040,B,B,A,,C,A
0001000094,000050,A,A,A,,B,B
0001000094,000060,A,B,A,,C,B
0001000095,000010,B,A,A,,A,C
0001000095,000020,B,B,C,,C,B
0001000095,000030,B,A,C,,B,B
0001000095,000040,A,B,B,,B,B
0001000095,000050,B,A,A,,B,B
0001000096,000010,A,A,B,,B,A
0001000096,000020,B,A,A,,B,B
0001000096,000030,A,B,C,,B,A
0001000096,000040,A,B,B,,A,B
0001000096,000050,B,B,B,,C,B
0001000096,000060,C,B,B,,A,B
0001000096,000070,C,B,A,,A,A
0001000097,000010,C,B,C,,B,C
0001000097,000020,A,B,A,,C,A
0001000097,000030,C,A,B,,B,A
0001000098,000010,B,B,C,,A,A
0001000098,000020,A,B,B,,A,B
0001000099,000010,A,C,B,,B,B
0001000099,000020,C,B,B,,C,C
0001000099,000030,B,A,C,,B,B
0001000099,000040,A,B,B,,A,A
0001000099,000050,B,B,B,,B,C
0001000099,000060,C,C,B,,B,B
0001000099,000070,B,B,B,,A,B
0001000099,000080,B,B,A,,B,C
0001000099,000090,C,B,C,,B,C
0001000099,000100,C,B,A,,B,C
0001000099,000110,A,B,A,,B,B
0001000100,000010,A,B,B,,B,B
0001000100,000020,B,A,A,,A,B
0001000100,000030,B,C,A,,A,B
0001000100,000040,A,A,C,,A,B
0001000100,000050,A,C,C,,B,A
0001000100,000060,B,C,B,,B,C
0001000100,000070,B,C,A,,B,A
0001000100,000080,A,A,A,,A,A
0001000101,000010,B,B,A,,A,C
0001000101,000020,B,B,C,,C,C
0001000101,000030,B,C,C,,C,B
0001000101,000040,C,A,C,,C,B
0001000101,000050,A,A,A,,B,A
0001000102,000010,B,B,B,,B,A
0001000102,000020,B,A,C,,A,A
0001000103,000010,A,A,B,,B,A
0001000103,000020,B,A,B,,C,A
0001000103,000030,C,B,A,,B,B
0001000103,000040,B,C,A,,A,B
0001000103,000050,C,C,A,,C,C
0001000103,000060,B,B,B,,B,B
0001000104,000010,A,B,A,,B,C
0001000104,000020,B,C,C,,A,C
0001000104,000030,C,B,C,,B,A
0001000104,000040,B,C,A,,B,B
0001000105,000010,B,B,C,,B,B
0001000105,000020,A,B,B,,B,A
0001000105,000030,A,B,C,,B,B
0001000105,000040,B,A,C,,C,A
0001000105,000050,C,C,B,,B,A
0001000105,000060,C,A,B,,A,B
0001000106,000010,A,B,C,,B,A
0001000106,000020,B,C,C,,B,A
0001000106,000030,C,B,A,,B,B
0001000106,000040,A,A,B,,B,A
0001000106,000050,A,A,C,,A,A
0001000106,000060,A,C,B,,C,B
0001000107,000010,B,C,B,,A,B
0001000107,000020,B,C,A,,C,A
0001000107,000030,B,B,A,,B,C
0001000107,000040,B,B,B,,A,B
0001000107,000050,C,B,B,,B,B
0001000107,000060,C,A,A,,B,A
0001000107,000070,B,A,A,,B,C
0001000108,000010,B,B,C,,A,B
0001000108,000020,A,B,C,,C,A
0001000108,000030,A,A,B,,C,A
0001000109,000010,A,B,B,,B,B
0001000109,000020,B,A,B,,A,A
0001000109,000030,A,A,C,,B,C
0001000109,000040,B,B,A,,B,B
0001000109,000050,A,B,C,,C,B
0001000109,000060,B,A,B,,C,A
0001000109,000070,B,A,C,,A,B
0001000110,000010,B,B,C,,A,C
0001000110,000020,B,B,A,,C,B
0001000110,000030,B,B,A,,B,A
0001000110,000040,B,C,C,,B,B
0001000110,000050,B,B,C,,C,A
0001000110,000060,B,C,A,,C,B
0001000110,000070,C,B,B,,B,A
0001000110,000080,C,C,B,,C,B
0001000110,000090,B,B,C,,C,A
0001000111,000010,B,C,A,,A,A
0001000112,000010,A,C,A,,C,B
0001000112,000020,B,B,A,,A,B
0001000112,000030,A,B,C,,B,A
0001000112,000040,C,C,B,,B,B
0001000112,000050,A,B,A,,B,B
0001000112,000060,B,B,B,,B,B
0001000113,000010,B,B,B,,B,B
0001000113,000020,A,B,C,,C,B
0001000113,000030,C,C,A,,A,B
0001000113,000040,A,C,A,,B,B
0001000113,000050,B,B,C,,C,A
0001000113,000060,B,B,A,,B,B
0001000114,000010,A,B,C,,B,B
0001000114,000020,B,C,B,,B,B
0001000114,000030,B,B,A,,A,A
0001000114,000040,B,B,C,,B,B
0001000114,000050,B,A,A,,C,B
0001000114,000060,B,A,A,,A,B
0001000114,000070,B,B,B,,C,B
0001000115,000010,B,B,A,,C,A
0001000115,000020,B,C,A,,A,A
0001000115,000030,C,B,C,,B,A
0001000115,000040,B,C,A,,B,B
0001000115,000050,C,A,A,,B,A
0001000115,000060,B,B,A,,A,C
0001000116,000010,B,A,C,,B,A
0001000116,000020,A,B,A,,B,A
0001000116,000030,B,B,A,,C,B
0001000116,000040,A,C,C,,B,A
0001000116,000050,A,B,C,,C,C
0001000117,000010,A,C,C,,B,A
0001000117,000020,B,C,C,,B,B
0001000117,000030,B,A,C,,C,A
0001000117,000040,C,B,C,,A,A
0001000117,000050,B,B,B,,B,A
0001000117,000060,B,B,A,,A,B
0001000118,000010,B,B,A,,B,C
0001000118,000020,B,C,C,,B,C
0001000118,000030,B,B,A,,B,C
0001000118,000040,B,A,B,,A,A
0001000119,000010,A,B,A,,C,A
0001000119,000020,B,A,A,,A,A
0001000119,000030,B,A,B,,C,A
0001000120,000010,C,C,B,,B,A
0001000120,000020,B,A,A,,B,B
0001000120,000030,B,B,A,,A,C
0001000120,000040,B,B,B,,A,B
0001000120,000050,B,A,C,,B,A
0001000120,000060,B,C,C,,B,B
0001000120,000070,B,A,A,,A,B
0001000121,000010,C,C,B,,A,A
0001000121,000020,C,C,A,,B,A
0001000121,000030,A,C,A,,A,B
0001000122,000010,B,B,B,,B,C
0001000123,000010,A,B,B,,A,B
0001000123,000020,B,A,A,,A,B
0001000123,000030,A,C,B,,B,A
0001000123,000040,A,C,A,,C,B
0001000123,000050,B,A,C,,A,A
0001000123,000060,B,C,B,,B,B
0001000124,000010,C,B,A,,B,A
0001000124,000020,A,A,C,,A,C
0001000124,000030,A,B,A,,C,A
0001000124,000040,B,B,A,,A,B
0001000125,000010,C,B,A,,C,C
0001000125,000020,B,B,C,,B,A
0001000125,000030,B,B,B,,A,B
0001000125,000040,B,A,A,,B,B
0001000125,000050,B,C,C,,C,B
0001000125,000060,B,C,A,,A,A
0001000125,000070,B,C,A,,C,C
0001000126,000010,A,B,C,,B,C
0001000126,000020,B,C,C,,A,B
0001000126,000030,B,C,A,,B,C
0001000126,000040,C,C,B,,B,B
0001000126,000050,C,C,A,,A,C
0001000127,000010,A,C,A,,B,B
0001000127,000020,B,B,B,,A,B
0001000127,000030,A,B,A,,B,A
0001000127,000040,C,B,A,,B,A
0001000128,000010,C,A,B,,B,B
0001000128,000020,B,B,A,,A,B
0001000128,000030,B,B,A,,B,C
0001000129,000010,B,A,B,,B,B
0001000129,000020,A,B,A,,B,A
0001000129,000030,B,B,A,,A,C
0001000129,000040,B,A,B,,A,A
0001000129,000050,A,C,C,,A,B
0001000129,000060,A,C,A,,C,B
0001000129,000070,A,B,B,,A,C
0001000129,000080,B,C,B,,A,B
0001000129,000090,A,C,B,,A,B
0001000129,000100,C,B,B,,B,B
0001000130,000010,A,C,B,,A,A
0001000130,000020,B,A,A,,B,A
0001000130,000030,B,B,B,,B,C
0001000130,000040,B,C,A,,C,A
0001000130,000050,B,B,A,,A,C
0001000131,000010,A,A,B,,C,C
0001000131,000020,C,A,A,,A,A
0001000131,000030,B,B,A,,A,C
0001000131,000040,C,B,C,,B,B
0001000131,000050,A,B,A,,B,B
0001000131,000060,B,A,B,,B,A
0001000131,000070,A,B,B,,B,B
0001000131,000080,B,B,C,,B,A
0001000131,000090,B,C,B,,B,B
0001000132,000010,A,B,A,,B,A
0001000132,000020,B,C,B,,B,A
0001000132,000030,B,B,A,,A,B
0001000132,000040,B,B,B,,B,A
0001000132,000050,C,C,A,,A,C
0001000132,000060,B,B,A,,C,B
0001000132,000070,A,C,A,,B,B
0001000133,000010,A,B,B,,C,C
0001000133,000020,A,C,C,,B,A
0001000133,000030,B,B,B,,C,C
0001000133,000040,B,C,C,,B,A
0001000133,000050,B,B,B,,C,A
0001000134,000010,A,B,A,,A,B
0001000134,000020,B,C,C,,B,A
0001000134,000030,B,C,A,,A,B
0001000134,000040,A,C,B,,B,C
0001000134,000050,B,B,B,,C,C
0001000135,000010,A,A,C,,B,B
0001000135,000020,B,A,A,,B,A
0001000135,000030,B,B,B,,B,A
0001000136,000010,B,B,B,,B,B
0001000136,000020,B,B,B,,A,A
0001000136,000030,B,B,A,,C,A
0001000136,000040,B,B,C,,A,C
0001000136,000050,B,A,A,,C,A
0001000136,000060,B,A,B,,C,B
0001000137,000010,A,A,B,,B,B
0001000137,000020,C,C,B,,A,B
0001000137,000030,B,B,B,,B,B
0001000137,000040,B,B,B,,A,A
0001000137,000050,A,A,A,,C,A
0001000137,000060,B,A,C,,B,B
0001000137,000070,A,B,A,,A,B
0001000138,000010,B,A,A,,A,C
0001000138,000020,C,C,A,,C,B
0001000138,000030,C,A,A,,B,A
0001000138,000040,C,B,A,,B,A
0001000139,000010,B,B,A,,C,B
0001000139,000020,B,C,A,,C,B
0001000139,000030,B,C,C,,A,A
0001000139,000040,A,C,C,,B,B
0001000139,000050,B,B,A,,A,A
0001000140,000010,B,B,B,,C,A
0001000140,000020,B,B,A,,A,B
0001000141,000010,B,C,A,,C,B
0001000141,000020,B,B,C,,B,B
