VBELN,LFSTK,FKSTK,GBSTK,ABSTK,LFGSK,FKIVK,UVALL,CMGST
0001000073,C,A,B,,B,,,
0001000074,A,B,C,,B,,,B
0001000075,B,B,C,,B,,,A
0001000076,A,B,C,,A,,,
0001000077,B,B,C,,C,,,A
0001000078,C,B,A,,C,,,
0001000079,A,B,C,,B,,,A
0001000080,B,B,C,,B,,,A
0001000081,A,C,A,,B,,,
0001000082,B,A,B,,B,,,
0001000083,B,A,A,,B,,,
0001000084,C,A,A,,C,,,
0001000085,C,B,A,,A,,,
0001000086,A,B,A,,B,,,
0001000087,B,A,A,,B,,,A
0001000088,A,B,B,,B,,,
0001000089,C,C,B,,B,,,B
0001000090,B,C,A,,B,,,
0001000091,B,C,B,,B,,,
0001000092,B,A,B,,B,,,
0001000093,B,C,B,,C,,,
0001000094,B,C,A,,A,,,A
0001000095,B,C,A,,B,,,
0001000096,C,B,A,,B,,,A
0001000097,A,B,B,,B,,,A
0001000098,B,B,A,,B,,,
0001000099,C,B,C,,C,,,
0001000100,A,B,B,,A,,,
0001000101,C,C,A,,B,,,A
0001000102,C,B,A,,B,,,B
0001000103,C,C,B,,B,,,
0001000104,B,C,A,,C,,,A
0001000105,B,B,A,,A,,,
0001000106,B,B,C,,C,,,
0001000107,B,A,A,,A,,,
0001000108,A,B,B,,B,,,B
0001000109,B,C,C,,A,,,B
0001000110,B,B,C,,B,,,
0001000111,B,B,C,,B,,,B
0001000112,C,C,A,,B,,,
0001000113,B,B,C,,B,,,A
0001000114,B,B,A,,A,,,A
0001000115,C,A,A,,B,,,B
0001000116,B,B,A,,A,,,B
0001000117,B,B,A,,C,,,
0001000118,A,A,A,,B,,,
0001000119,A,B,C,,A,,,
0001000120,B,B,C,,A,,,A
0001000121,B,B,C,,B,,,A
0001000122,B,B,A,,C,,,
0001000123,C,A,A,,B,,,A
0001000124,B,C,A,,A,,,
0001000125,A,B,A,,B,,,
0001000126,A,C,A,,A,,,
0001000127,A,B,A,,C,,,A
0001000128,B,C,C,,A,,,
0001000129,A,B,B,,C,,,A
0001000130,C,A,C,,B,,,
0001000131,B,B,C,,B,,,
0001000132,B,A,A,,A,,,A
0001000133,B,B,B,,A,,,A
0001000134,A,B,B,,C,,,A
0001000135,B,B,A,,A,,,
0001000136,B,C,A,,B,,,
0001000137,B,A,C,,C,,,
0001000138,A,C,A,,B,,,
0001000139,C,C,B,,B,,,
0001000140,B,A,A,,B,,,
0001000141,B,C,B,,A,,,A
0001000142,B,C,B,,A,,,A
0001000143,B,A,B,,B,,,
0001000144,A,B,B,,B,,,B
0001000145,A,A,C,,A,,,B
0001000146,B,B,C,,B,,,
0001000147,B,B,A,,B,,,
0001000148,A,B,B,,B,,,A
0001000149,B,C,B,,B,,,
0001000150,A,A,C,,C,,,A
0001000151,B,A,A,,A,,,A
0001000152,A,B,A,,A,,,
0001000153,B,C,A,,C,,,
0001000154,B,C,C,,B,,,A
0001000155,B,C,B,,A,,,
0001000156,B,C,A,,B,,,B
0001000157,B,B,C,,C,,,
0001000158,A,A,C,,B,,,B
0001000159,B,A,B,,A,,,A
0001000160,B,A,C,,C,,,A
0001000161,C,C,B,,B,,,A
0001000162,B,A,A,,B,,,
0001000163,B,B,B,,A,,,B
0001000164,A,C,B,,C,,,
0001000165,B,B,B,,B,,,
0001000166,A,C,B,,A,,,
0001000167,B,A,C,,C,,,B
0001000168,B,A,B,,A,,,B
0001000169,B,A,B,,C,,,B
0001000170,B,A,B,,A,,,B
0001000171,A,B,A,,C,,,B
0001000172,B,B,B,,B,,,
0001000173,A,B,A,,B,,,
0001000174,B,C,B,,B,,,
0001000175,C,A,A,,A,,,A
0001000176,B,A,B,,B,,,A
0001000177,B,A,B,,B,,,A
0001000178,B,B,A,,A,,,
0001000179,A,C,A,,B,,,
0001000180,B,B,C,,B,,,A
0001000181,B,C,B,,B,,,B
0001000182,A,B,A,,B,,,B
0001000183,B,A,A,,B,,,
0001000184,A,C,B,,A,,,
0001000185,B,B,A,,B,,,
0001000186,B,B,B,,B,,,A
0001000187,A,C,A,,C,,,
0001000188,B,C,A,,B,,,B
0001000189,B,C,A,,B,,,A
0001000190,C,A,A,,A,,,A
0001000191,B,B,A,,B,,,B
0001000192,B,B,A,,C,,,
0001000193,A,A,C,,B,,,
0001000194,B,B,C,,B,,,B
0001000195,B,B,A,,A,,,A
0001000196,B,B,C,,C,,,
0001000197,B,C,B,,A,,,A
0001000198,B,C,B,,C,,,
0001000199,C,B,C,,B,,,
0001000200,B,B,B,,B,,,
0001000201,B,A,A,,A,,,
0001000202,B,B,B,,A,,,
0001000203,B,B,B,,A,,,
0001000204,B,B,A,,C,,,B
0001000205,B,B,C,,B,,,
0001000206,B,A,A,,B,,,A
0001000207,A,A,B,,A,,,
0001000208,C,B,A,,B,,,A
0001000209,C,B,A,,B,,,
0001000210,B,A,B,,B,,,A
0001000211,B,A,B,,A,,,A
0001000212,C,C,C,,B,,,
0001000213,C,B,B,,A,,,
0001000214,B,B,C,,B,,,A
0001000215,B,B,A,,B,,,
0001000216,C,B,B,,C,,,
0001000217,B,B,B,,B,,,
0001000218,A,C,B,,B,,,A
0001000219,B,A,C,,B,,,
0001000220,A,B,A,,A,,,A
0001000221,A,A,A,,B,,,B
0001000222,A,B,A,,A,,,A
0001000223,B,B,C,,C,,,A
0001000224,A,A,B,,B,,,
0001000225,A,C,A,,A,,,A
0001000226,B,C,C,,B,,,
0001000227,A,B,A,,A,,,
0001000228,B,B,A,,B,,,
0001000229,B,B,A,,B,,,
0001000230,B,C,C,,B,,,A
0001000231,B,B,A,,A,,,A
0001000232,A,B,A,,A,,,
0001000233,B,C,B,,B,,,B
0001000234,A,B,B,,B,,,A
0001000235,A,A,B,,B,,,
0001000236,B,C,A,,C,,,
0001000237,B,B,C,,B,,,
0001000238,A,B,B,,B,,,
0001000239,C,A,B,,C,,,
0001000240,B,A,C,,B,,,
0001000241,C,C,C,,A,,,
0001000242,A,A,B,,A,,,B
0001000243,B,B,C,,A,,,
0001000244,B,C,B,,B,,,B
0001000245,A,B,A,,B,,,
0001000246,C,B,B,,B,,,
0001000247,A,B,C,,B,,,
0001000248,A,C,A,,C,,,B
0001000249,A,C,A,,C,,,B
0001000250,B,A,B,,C,,,
0001000251,A,C,B,,C,,,A
0001000252,B,A,B,,B,,,
0001000253,B,B,A,,C,,,B
0001000254,B,B,A,,A,,,B
0001000255,C,C,B,,C,,,
0001000256,B,B,A,,B,,,B
0001000257,A,B,A,,A,,,B
0001000258,A,B,A,,B,,,
0001000259,B,B,C,,A,,,B
0001000260,B,B,A,,A,,,
0001000261,B,B,A,,C,,,
0001000262,B,B,A,,C,,,B
0001000263,B,C,B,,B,,,B
0001000264,C,B,B,,B,,,
0001000265,B,B,A,,B,,,
0001000266,B,B,C,,A,,,
0001000267,B,C,A,,A,,,B
0001000268,B,C,B,,B,,,
0001000269,B,B,B,,B,,,A
0001000270,C,C,C,,B,,,A
0001000271,B,B,A,,A,,,
0001000272,B,A,A,,A,,,B
0001000273,A,B,C,,B,,,B
0001000274,A,B,A,,A,,,A
0001000275,B,A,B,,C,,,B
0001000276,A,B,A,,B,,,
0001000277,A,B,C,,A,,,A
0001000278,C,C,C,,B,,,
0001000279,B,A,A,,C,,,
0001000280,B,A,A,,A,,,B
0001000281,A,A,A,,C,,,A
0001000282,B,B,A,,B,,,A
0001000283,B,C,A,,C,,,
0001000284,B,C,B,,C,,,A
0001000285,B,C,B,,B,,,B
0001000286,A,A,B,,C,,,
0001000287,B,C,B,,A,,,
0001000288,A,B,A,,A,,,
0001000289,A,B,B,,B,,,A
0001000290,C,B,B,,A,,,
0001000291,B,C,B,,B,,,
0001000292,A,B,B,,C,,,B
0001000293,A,A,A,,B,,,
0001000294,A,C,C,,C,,,
0001000295,C,B,A,,B,,,
0001000296,B,B,C,,B,,,A
0001000297,A,B,A,,A,,,
0001000298,B,A,B,,C,,,A
0001000299,C,B,A,,C,,,
0001000300,A,B,C,,B,,,
0001000301,A,C,C,,A,,,B
0001000302,A,B,A,,B,,,A
0001000303,B,A,A,,C,,,
0001000304,B,A,B,,A,,,A
0001000305,B,C,C,,A,,,B
0001000306,A,C,A,,A,,,A
0001000307,B,C,C,,B,,,A
0001000308,A,B,C,,B,,,
0001000309,B,C,C,,B,,,B
0001000310,A,B,C,,A,,,
0001000311,A,B,A,,B,,,A
0001000312,B,A,C,,B,,,
0001000313,A,A,B,,B,,,A
0001000314,C,C,B,,C,,,
0001000315,B,A,C,,B,,,A
0001000316,C,C,C,,B,,,
0001000317,B,B,A,,A,,,B
0001000318,B,A,B,,A,,,
0001000319,B,B,A,,B,,,
0001000320,A,A,C,,B,,,
0001000321,A,A,A,,A,,,
0001000322,B,C,C,,A,,,A
0001000323,B,B,A,,C,,,A
0001000324,A,C,B,,B,,,
0001000325,A,C,B,,C,,,
0001000326,C,C,C,,A,,,
0001000327,B,C,A,,A,,,B
0001000328,C,B,B,,B,,,A
0001000329,A,A,C,,B,,,
0001000330,B,B,B,,B,,,A
0001000331,B,A,A,,C,,,
0001000332,C,C,C,,A,,,B
0001000333,A,B,C,,B,,,B
0001000334,A,B,B,,A,,,B
0001000335,A,B,A,,B,,,
0001000336,C,C,A,,A,,,B
0001000337,A,C,B,,B,,,
0001000338,A,B,A,,B,,,
0001000339,A,B,B,,B,,,A
0001000340,C,C,A,,B,,,A
0001000341,B,C,C,,B,,,
0001000342,B,B,B,,B,,,
0001000343,B,B,C,,B,,,
0001000344,B,C,C,,B,,,
0001000345,B,A,A,,A,,,A
0001000346,A,C,A,,A,,,
0001000347,C,B,C,,A,,,A
0001000348,B,B,C,,B,,,
0001000349,C,A,A,,B,,,B
0001000350,B,B,B,,B,,,
0001000351,B,C,A,,C,,,B
0001000352,A,C,A,,B,,,
0001000353,A,B,C,,B,,,A
0001000354,B,B,A,,A,,,A
0001000355,B,C,B,,A,,,
0001000356,C,A,A,,A,,,
0001000357,B,A,A,,A,,,A
0001000358,B,B,C,,B,,,
0001000359,C,C,B,,C,,,A
0001000360,A,B,A,,B,,,
0001000361,B,C,C,,B,,,
0001000362,B,C,A,,B,,,
0001000363,B,B,B,,A,,,
0001000364,A,B,B,,B,,,A
0001000365,C,A,B,,A,,,A
0001000366,B,C,A,,B,,,
0001000367,B,B,A,,A,,,B
0001000368,A,C,C,,C,,,B
0001000369,A,B,B,,C,,,A
0001000370,B,C,C,,C,,,B
0001000371,A,B,A,,B,,,B
0001000372,A,B,A,,A,,,A
0001000373,A,C,B,,B,,,
0001000374,B,B,A,,B,,,
0001000375,B,B,B,,A,,,
0001000376,B,C,B,,B,,,A
0001000377,A,A,C,,B,,,
0001000378,B,C,B,,B,,,B
0001000379,B,A,A,,B,,,
0001000380,B,B,B,,A,,,A
0001000381,B,B,B,,B,,,A
0001000382,C,B,A,,A,,,A
0001000383,C,A,A,,A,,,
0001000384,C,B,C,,B,,,B
0001000385,C,B,B,,B,,,B
0001000386,A,A,B,,A,,,A
0001000387,A,C,A,,C,,,
0001000388,B,C,C,,A,,,B
0001000389,B,A,C,,B,,,A
0001000390,B,B,A,,B,,,
0001000391,A,B,A,,A,,,
0001000392,B,B,B,,A,,,
0001000393,B,B,C,,B,,,B
0001000394,B,A,B,,C,,,A
0001000395,B,C,B,,B,,,
0001000396,A,A,A,,B,,,
0001000397,B,C,B,,B,,,B
0001000398,C,C,A,,B,,,B
0001000399,A,B,B,,C,,,
0001000400,C,A,A,,A,,,A
0001000401,C,A,B,,C,,,
0001000402,A,B,B,,A,,,
0001000403,B,B,C,,B,,,
0001000404,B,A,A,,A,,,A
0001000405,B,A,B,,A,,,B
0001000406,A,C,A,,C,,,A
0001000407,B,C,C,,B,,,B
0001000408,B,A,A,,A,,,
0001000409,A,B,A,,B,,,B
0001000410,A,B,B,,B,,,B
0001000411,A,A,C,,B,,,A
0001000412,C,C,B,,A,,,A
0001000413,C,C,B,,B,,,A
0001000414,B,C,B,,B,,,B
0001000415,A,A,A,,C,,,
0001000416,B,C,B,,B,,,
0001000417,B,B,A,,A,,,
0001000418,B,B,A,,B,,,A
0001000419,B,C,A,,B,,,A
0001000420,A,A,A,,A,,,B
0001000421,A,B,A,,A,,,
0001000422,B,B,C,,B,,,B
0001000423,B,A,B,,A,,,
0001000424,C,B,A,,A,,,
0001000425,B,C,B,,A,,,
0001000426,B,A,B,,B,,,B
0001000427,B,A,B,,B,,,B
0001000428,B,A,B,,B,,,
0001000429,B,A,B,,B,,,
0001000430,B,B,C,,A,,,
0001000431,B,B,A,,B,,,A
0001000432,B,C,B,,A,,,
0001000433,A,C,B,,B,,,A
0001000434,B,C,C,,A,,,B
0001000435,C,C,B,,B,,,
0001000436,B,B,B,,B,,,
0001000437,A,C,C,,B,,,
0001000438,B,C,A,,B,,,
0001000439,B,B,C,,B,,,B
0001000440,A,B,B,,B,,,A
0001000441,B,B,A,,C,,,
0001000442,B,B,A,,B,,,A
0001000443,A,B,A,,B,,,
0001000444,C,B,B,,C,,,
0001000445,C,B,B,,B,,,
0001000446,B,C,B,,B,,,A
0001000447,A,B,B,,B,,,
0001000448,B,A,C,,C,,,
0001000449,C,B,A,,A,,,
0001000450,B,B,A,,B,,,
0001000451,A,C,B,,A,,,
0001000452,A,B,C,,B,,,A
0001000453,B,B,A,,C,,,A
0001000454,B,C,B,,A,,,
0001000455,B,A,B,,A,,,A
0001000456,B,B,B,,C,,,
0001000457,C,A,C,,B,,,B
0001000458,A,A,B,,A,,,A
0001000459,B,B,A,,A,,,
0001000460,C,B,C,,B,,,
0001000461,C,A,B,,B,,,A
0001000462,C,C,A,,A,,,B
0001000463,A,B,A,,B,,,A
0001000464,A,B,B,,A,,,
0001000465,C,B,A,,A,,,
0001000466,B,C,C,,B,,,A
0001000467,A,B,A,,C,,,A
0001000468,A,B,B,,B,,,A
0001000469,B,B,B,,A,,,
0001000470,A,B,B,,A,,,A
0001000471,B,B,C,,A,,,
0001000472,A,A,B,,A,,,A
0001000473,B,A,A,,B,,,A
0001000474,C,A,A,,C,,,A
0001000475,B,A,B,,A,,,
0001000476,B,B,C,,A,,,A
0001000477,A,C,C,,C,,,A
0001000478,A,A,C,,A,,,B
0001000479,C,B,C,,B,,,
0001000480,B,A,B,,A,,,A
0001000481,B,B,A,,B,,,
0001000482,B,C,C,,B,,,
0001000483,C,C,B,,B,,,A
0001000484,C,A,A,,C,,,A
0001000485,B,C,C,,B,,,
0001000486,B,B,A,,C,,,
0001000487,A,B,B,,C,,,B
0001000488,A,B,A,,B,,,
0001000489,B,B,B,,A,,,B
0001000490,A,B,C,,B,,,
0001000491,B,B,A,,B,,,B
0001000492,A,B,A,,B,,,
0001000493,A,B,C,,C,,,B
0001000494,A,B,B,,B,,,A
0001000495,A,B,B,,B,,,A
0001000496,A,B,A,,A,,,
0001000497,B,A,A,,B,,,
0001000498,A,B,A,,A,,,
0001000499,B,A,A,,C,,,
0001000500,B,A,A,,B,,,B
0001000501,A,C,B,,B,,,
0001000502,C,C,A,,C,,,
0001000503,A,B,B,,B,,,A
0001000504,A,C,B,,A,,,
0001000505,C,C,B,,C,,,B
0001000506,A,C,C,,A,,,A
0001000507,B,C,A,,A,,,B
0001000508,A,B,C,,B,,,
0001000509,B,B,A,,B,,,
0001000510,A,C,B,,A,,,
0001000511,A,C,C,,B,,,
0001000512,C,A,B,,B,,,A
0001000513,C,C,B,,B,,,
0001000514,C,B,B,,B,,,
0001000515,B,B,A,,A,,,B
0001000516,C,B,A,,C,,,A
0001000517,B,B,A,,C,,,
0001000518,B,A,A,,C,,,
0001000519,B,B,A,,A,,,A
0001000520,B,B,B,,A,,,A
0001000521,A,C,B,,B,,,
0001000522,C,B,C,,C,,,A
0001000523,A,C,A,,B,,,A
0001000524,A,C,C,,A,,,
0001000525,A,B,C,,C,,,
0001000526,B,A,A,,C,,,
0001000527,B,B,A,,A,,,
0001000528,A,C,C,,B,,,
0001000529,B,B,C,,B,,,A
0001000530,B,B,A,,B,,,A
0001000531,A,A,A,,A,,,B
0001000532,A,C,A,,A,,,
0001000533,A,B,B,,B,,,A
0001000534,A,A,A,,B,,,B
0001000535,A,C,B,,A,,,A
0001000536,B,A,A,,A,,,B
0001000537,B,C,C,,C,,,B
0001000538,A,B,A,,A,,,B
0001000539,A,B,B,,A,,,A
0001000540,C,B,A,,C,,,B
0001000541,A,B,A,,A,,,B
0001000542,B,B,C,,C,,,A
0001000543,B,B,A,,A,,,
0001000544,B,B,A,,B,,,B
0001000545,C,C,A,,C,,,
0001000546,B,C,A,,A,,,A
0001000547,B,A,C,,B,,,B
0001000548,B,B,A,,A,,,A
0001000549,C,B,B,,B,,,
0001000550,B,C,A,,B,,,B
0001000551,B,A,B,,B,,,
0001000552,B,B,A,,C,,,
0001000553,B,B,A,,B,,,B
0001000554,B,B,C,,B,,,A
0001000555,B,C,B,,A,,,
0001000556,B,B,B,,A,,,A
0001000557,B,B,A,,A,,,B
0001000558,A,B,A,,A,,,
0001000559,C,C,B,,B,,,
0001000560,A,A,C,,B,,,
0001000561,A,A,B,,B,,,B
0001000562,B,C,B,,C,,,
0001000563,B,B,C,,B,,,
0001000564,A,C,C,,B,,,A
0001000565,C,B,A,,A,,,A
0001000566,C,B,A,,A,,,A
0001000567,C,B,B,,C,,,A
0001000568,C,B,C,,A,,,B
0001000569,A,B,C,,B,,,
0001000570,C,A,B,,C,,,A
0001000571,B,C,B,,C,,,
0001000572,A,B,C,,A,,,
0001000573,A,B,C,,B,,,A
0001000574,B,C,B,,B,,,
0001000575,A,B,B,,A,,,A
0001000576,B,C,B,,B,,,A
0001000577,A,C,C,,A,,,
0001000578,B,B,A,,B,,,
0001000579,B,C,C,,B,,,
0001000580,B,A,C,,A,,,
0001000581,B,B,A,,A,,,
0001000582,B,A,A,,A,,,A
0001000583,A,B,B,,B,,,A
0001000584,A,B,A,,A,,,A
0001000585,B,B,C,,C,,,A
0001000586,A,C,A,,A,,,A
0001000587,C,B,C,,A,,,B
0001000588,C,B,A,,A,,,
0001000589,B,B,A,,B,,,
0001000590,A,B,B,,B,,,A
0001000591,B,A,B,,A,,,
0001000592,B,A,C,,C,,,
0001000593,B,A,C,,A,,,
0001000594,A,B,B,,B,,,A
0001000595,B,C,A,,B,,,
0001000596,B,B,B,,C,,,
0001000597,B,B,C,,B,,,
0001000598,A,B,C,,B,,,
0001000599,C,B,B,,C,,,
0001000600,A,C,A,,B,,,
0001000601,A,B,C,,A,,,
0001000602,A,A,A,,C,,,A
0001000603,B,B,B,,B,,,
0001000604,B,A,B,,A,,,
0001000605,A,B,A,,B,,,
0001000606,C,B,C,,B,,,A
0001000607,B,B,A,,A,,,A
0001000608,C,C,A,,A,,,
0001000609,C,B,C,,C,,,B
0001000610,B,B,B,,C,,,B
0001000611,A,A,B,,B,,,
0001000612,B,C,B,,B,,,
0001000613,A,B,B,,B,,,A
0001000614,B,C,C,,A,,,A
0001000615,B,A,A,,B,,,A
0001000616,C,A,C,,B,,,A
0001000617,B,B,A,,C,,,A
0001000618,B,B,B,,B,,,B
0001000619,B,A,C,,B,,,
0001000620,B,B,B,,A,,,B
0001000621,B,B,A,,A,,,
0001000622,C,A,B,,C,,,
0001000623,B,A,B,,B,,,A
0001000624,A,C,B,,A,,,
0001000625,C,A,C,,B,,,A
0001000626,B,B,B,,B,,,B
0001000627,C,B,C,,A,,,
0001000628,B,A,C,,B,,,
0001000629,B,A,C,,B,,,B
0001000630,A,B,B,,B,,,A
0001000631,B,A,A,,B,,,
0001000632,A,C,C,,B,,,
0001000633,C,C,C,,C,,,
0001000634,A,A,C,,B,,,B
0001000635,A,B,A,,A,,,A
0001000636,A,C,A,,C,,,B
0001000637,B,B,B,,C,,,A
0001000638,A,C,B,,B,,,
0001000639,A,B,B,,B,,,
0001000640,C,B,A,,C,,,A
0001000641,A,B,B,,C,,,
0001000642,B,B,C,,A,,,A
0001000643,A,C,A,,A,,,
0001000644,B,B,C,,A,,,A
0001000645,C,A,A,,B,,,B
0001000646,A,B,A,,A,,,
0001000647,B,C,A,,B,,,B
0001000648,B,A,A,,B,,,A
0001000649,C,A,B,,A,,,B
0001000650,B,B,B,,B,,,A
0001000651,B,B,B,,C,,,B
0001000652,B,C,B,,B,,,
0001000653,B,A,A,,B,,,A
0001000654,B,A,C,,B,,,
0001000655,A,C,C,,B,,,
0001000656,B,B,C,,B,,,B
0001000657,B,C,C,,B,,,A
0001000658,B,B,A,,B,,,B
0001000659,B,B,B,,B,,,A
0001000660,B,B,B,,A,,,
0001000661,B,B,C,,C,,,
0001000662,B,B,B,,B,,,A
0001000663,B,A,B,,C,,,B
0001000664,A,C,C,,A,,,
0001000665,A,A,A,,B,,,
0001000666,B,B,B,,B,,,B
0001000667,B,B,C,,B,,,A
0001000668,C,A,B,,B,,,
0001000669,C,A,C,,B,,,
0001000670,B,B,A,,B,,,
0001000671,B,A,A,,B,,,
0001000672,A,A,B,,A,,,
0001000673,B,A,A,,A,,,
0001000674,A,A,C,,B,,,A
0001000675,B,C,A,,A,,,
0001000676,C,B,C,,B,,,A
0001000677,B,B,C,,B,,,B
0001000678,B,A,C,,C,,,
0001000679,B,B,B,,B,,,
0001000680,A,A,C,,B,,,
0001000681,A,C,A,,B,,,
0001000682,B,C,B,,C,,,
0001000683,C,A,C,,A,,,
0001000684,C,B,A,,B,,,
0001000685,B,C,C,,A,,,A
0001000686,B,B,B,,B,,,A
0001000687,B,B,A,,A,,,
0001000688,B,B,A,,C,,,A
0001000689,C,A,A,,B,,,A
0001000690,A,C,C,,A,,,A
0001000691,B,C,B,,C,,,A
0001000692,C,C,C,,C,,,
0001000693,C,B,A,,B,,,
0001000694,B,A,A,,B,,,
0001000695,B,C,B,,B,,,
0001000696,C,B,B,,B,,,
0001000697,C,A,A,,A,,,
0001000698,B,B,B,,B,,,A
0001000699,B,C,A,,B,,,
0001000700,A,C,A,,A,,,B
0001000701,B,C,B,,B,,,
0001000702,B,B,B,,B,,,B
0001000703,A,C,B,,A,,,
0001000704,B,B,A,,A,,,
0001000705,A,B,B,,C,,,
0001000706,B,A,B,,B,,,
0001000707,A,C,B,,A,,,
0001000708,C,B,A,,C,,,
0001000709,B,B,B,,C,,,B
0001000710,B,A,C,,B,,,A
0001000711,B,C,B,,B,,,
0001000712,A,B,C,,C,,,
0001000713,C,B,B,,B,,,
0001000714,B,C,C,,B,,,B
0001000715,A,A,A,,B,,,
0001000716,C,C,C,,C,,,A
0001000717,A,B,A,,B,,,B
0001000718,B,A,B,,B,,,
0001000719,C,B,C,,B,,,
0001000720,C,B,C,,A,,,A
0001000721,B,B,B,,A,,,A
0001000722,B,B,B,,A,,,B
0001000723,B,B,A,,B,,,
0001000724,C,A,A,,A,,,B
0001000725,A,B,C,,A,,,
0001000726,C,A,A,,C,,,B
0001000727,C,B,A,,A,,,
0001000728,B,A,A,,C,,,A
0001000729,B,A,B,,A,,,
0001000730,C,B,A,,A,,,B
0001000731,B,B,A,,C,,,
0001000732,A,B,A,,B,,,
0001000733,C,C,B,,B,,,B
0001000734,A,A,A,,B,,,A
0001000735,A,B,C,,A,,,
0001000736,A,B,C,,A,,,B
0001000737,C,C,A,,A,,,
0001000738,A,B,A,,A,,,
0001000739,A,B,B,,B,,,
0001000740,B,B,C,,B,,,
0001000741,B,A,B,,B,,,
0001000742,A,C,C,,B,,,
0001000743,C,B,C,,A,,,B
0001000744,A,B,A,,A,,,
0001000745,A,C,B,,B,,,A
0001000746,A,B,C,,B,,,A
0001000747,B,B,B,,B,,,B
0001000748,A,B,B,,A,,,A
0001000749,B,B,B,,A,,,B
0001000750,B,B,A,,A,,,B
0001000751,A,B,C,,B,,,
0001000752,B,B,B,,B,,,A
0001000753,A,C,B,,B,,,A
0001000754,B,B,B,,C,,,B
0001000755,B,A,B,,B,,,A
0001000756,A,C,B,,B,,,B
0001000757,A,B,C,,B,,,B
0001000758,C,B,A,,B,,,
0001000759,B,B,C,,B,,,
0001000760,B,A,C,,C,,,B
0001000761,A,C,A,,B,,,
0001000762,B,A,C,,A,,,A
0001000763,C,C,B,,B,,,A
0001000764,A,B,A,,B,,,B
0001000765,B,B,A,,B,,,
0001000766,C,B,B,,A,,,
0001000767,A,A,A,,B,,,B
0001000768,C,C,C,,B,,,
0001000769,B,C,B,,A,,,A
0001000770,A,C,A,,B,,,
0001000771,A,C,C,,A,,,A
0001000772,A,B,B,,B,,,
0001000773,A,A,C,,A,,,
0001000774,B,B,B,,A,,,B
0001000775,B,B,A,,C,,,B
0001000776,A,B,A,,B,,,A
0001000777,B,C,B,,B,,,A
0001000778,B,A,C,,B,,,
0001000779,B,B,B,,C,,,A
0001000780,B,C,B,,A,,,B
0001000781,B,A,B,,B,,,
0001000782,B,C,A,,A,,,B
0001000783,B,B,A,,A,,,A
0001000784,A,B,A,,C,,,B
0001000785,C,B,B,,A,,,
0001000786,A,A,A,,A,,,A
0001000787,B,B,A,,B,,,
0001000788,A,C,B,,C,,,
0001000789,B,B,A,,A,,,
0001000790,C,B,A,,C,,,B
0001000791,C,A,B,,C,,,B
0001000792,B,B,C,,B,,,A
0001000793,B,B,A,,B,,,A
0001000794,B,B,A,,B,,,
