MATNR,WERKS,PSTAT,LVORM,DISMM,DISPO,EKGRP
000000000000000083,2000,KE,,PD,001,001
000000000000000084,3000,KE,,PD,001,001
000000000000000085,2000,KE,,PD,001,001
000000000000000085,3000,KE,,PD,001,001
000000000000000086,2000,KE,,PD,001,001
000000000000000087,2000,KE,,PD,001,001
000000000000000088,3000,KE,,PD,001,001
000000000000000088,1000,KE,,PD,001,001
000000000000000088,2000,KE,,PD,001,001
000000000000000089,2000,KE,,PD,001,001
000000000000000089,3000,KE,,PD,001,001
000000000000000090,2000,KE,,PD,001,001
000000000000000090,3000,KE,,PD,001,001
000000000000000090,1000,KE,,PD,001,001
000000000000000091,1000,KE,,PD,001,001
000000000000000092,2000,KE,,PD,001,001
000000000000000092,3000,KE,,PD,001,001
000000000000000093,1000,KE,,PD,001,001
000000000000000093,3000,KE,,PD,001,001
000000000000000094,1000,KE,,PD,001,001
000000000000000094,3000,KE,,PD,001,001
000000000000000095,2000,KE,,PD,001,001
000000000000000096,2000,KE,,PD,001,001
000000000000000097,3000,KE,,PD,001,001
000000000000000098,1000,KE,,PD,001,001
000000000000000098,2000,KE,,PD,001,001
000000000000000099,1000,KE,,PD,001,001
000000000000000099,3000,KE,,PD,001,001
000000000000000099,2000,KE,,PD,001,001
000000000000000100,3000,KE,,PD,001,001
000000000000000100,2000,KE,,PD,001,001
000000000000000100,1000,KE,,PD,001,001
000000000000000101,3000,KE,,PD,001,001
000000000000000102,1000,KE,,PD,001,001
000000000000000103,3000,KE,,PD,001,001
000000000000000103,1000,KE,,PD,001,001
000000000000000104,3000,KE,,PD,001,001
000000000000000104,1000,KE,,PD,001,001
000000000000000104,2000,KE,,PD,001,001
000000000000000105,2000,KE,,PD,001,001
000000000000000105,1000,KE,,PD,001,001
000000000000000106,2000,KE,,PD,001,001
000000000000000106,1000,KE,,PD,001,001
000000000000000106,3000,KE,,PD,001,001
000000000000000107,2000,KE,,PD,001,001
000000000000000108,2000,KE,,PD,001,001
000000000000000108,3000,KE,,PD,001,001
000000000000000108,1000,KE,,PD,001,001
000000000000000109,3000,KE,,PD,001,001
000000000000000110,3000,KE,,PD,001,001
000000000000000110,2000,KE,,PD,001,001
000000000000000110,1000,KE,,PD,001,001
000000000000000111,1000,KE,,PD,001,001
000000000000000112,2000,KE,,PD,001,001
000000000000000113,2000,KE,,PD,001,001
000000000000000114,1000,KE,,PD,001,001
000000000000000114,3000,KE,,PD,001,001
000000000000000115,3000,KE,,PD,001,001
000000000000000116,2000,KE,,PD,001,001
000000000000000117,2000,KE,,PD,001,001
000000000000000118,1000,KE,,PD,001,001
000000000000000119,2000,KE,,PD,001,001
000000000000000120,1000,KE,,PD,001,001
000000000000000120,3000,KE,,PD,001,001
000000000000000121,1000,KE,,PD,001,001
000000000000000122,3000,KE,,PD,001,001
000000000000000122,1000,KE,,PD,001,001
000000000000000123,1000,KE,,PD,001,001
000000000000000124,2000,KE,,PD,001,001
000000000000000125,1000,KE,,PD,001,001
000000000000000126,3000,KE,,PD,001,001
000000000000000126,1000,KE,,PD,001,001
000000000000000127,2000,KE,,PD,001,001
000000000000000128,3000,KE,,PD,001,001
000000000000000128,2000,KE,,PD,001,001
000000000000000129,2000,KE,,PD,001,001
000000000000000130,2000,KE,,PD,001,001
000000000000000130,3000,KE,,PD,001,001
000000000000000130,1000,KE,,PD,001,001
000000000000000131,3000,KE,,PD,001,001
000000000000000132,3000,KE,,PD,001,001
000000000000000132,1000,KE,,PD,001,001
000000000000000133,1000,KE,,PD,001,001
000000000000000134,2000,KE,,PD,001,001
000000000000000134,3000,KE,,PD,001,001
000000000000000134,1000,KE,,PD,001,001
000000000000000135,2000,KE,,PD,001,001
000000000000000135,1000,KE,,PD,001,001
000000000000000135,3000,KE,,PD,001,001
000000000000000136,1000,KE,,PD,001,001
000000000000000137,1000,KE,,PD,001,001
000000000000000138,3000,KE,,PD,001,001
000000000000000138,1000,KE,,PD,001,001
000000000000000138,2000,KE,,PD,001,001
000000000000000139,1000,KE,,PD,001,001
000000000000000140,1000,KE,,PD,001,001
000000000000000141,3000,KE,,PD,001,001
000000000000000141,2000,KE,,PD,001,001
000000000000000141,1000,KE,,PD,001,001
000000000000000142,2000,KE,,PD,001,001
000000000000000143,2000,KE,,PD,001,001
000000000000000143,3000,KE,,PD,001,001
000000000000000144,3000,KE,,PD,001,001
000000000000000144,2000,KE,,PD,001,001
000000000000000145,1000,KE,,PD,001,001
000000000000000146,3000,KE,,PD,001,001
000000000000000146,2000,KE,,PD,001,001
000000000000000147,3000,KE,,PD,001,001
000000000000000147,1000,KE,,PD,001,001
000000000000000147,2000,KE,,PD,001,001
000000000000000148,3000,KE,,PD,001,001
000000000000000149,3000,KE,,PD,001,001
000000000000000150,2000,KE,,PD,001,001
000000000000000150,1000,KE,,PD,001,001
000000000000000151,2000,KE,,PD,001,001
000000000000000152,1000,KE,,PD,001,001
000000000000000153,1000,KE,,PD,001,001
000000000000000153,2000,KE,,PD,001,001
000000000000000153,3000,KE,,PD,001,001
000000000000000154,1000,KE,,PD,001,001
000000000000000155,3000,KE,,PD,001,001
000000000000000156,3000,KE,,PD,001,001
000000000000000157,1000,KE,,PD,001,001
000000000000000158,2000,KE,,PD,001,001
000000000000000159,1000,KE,,PD,001,001
000000000000000160,3000,KE,,PD,001,001
000000000000000160,1000,KE,,PD,001,001
000000000000000160,2000,KE,,PD,001,001
000000000000000161,1000,KE,,PD,001,001
000000000000000161,3000,KE,,PD,001,001
000000000000000162,2000,KE,,PD,001,001
000000000000000162,3000,KE,,PD,001,001
000000000000000162,1000,KE,,PD,001,001
000000000000000163,1000,KE,,PD,001,001
000000000000000163,2000,KE,,PD,001,001
000000000000000164,3000,KE,,PD,001,001
000000000000000164,1000,KE,,PD,001,001
000000000000000165,3000,KE,,PD,001,001
000000000000000165,2000,KE,,PD,001,001
000000000000000165,1000,KE,,PD,001,001
000000000000000166,3000,KE,,PD,001,001
000000000000000167,3000,KE,,PD,001,001
000000000000000168,2000,KE,,PD,001,001
000000000000000168,1000,KE,,PD,001,001
000000000000000169,1000,KE,,PD,001,001
000000000000000170,2000,KE,,PD,001,001
000000000000000170,1000,KE,,PD,001,001
000000000000000170,3000,KE,,PD,001,001
000000000000000171,1000,KE,,PD,001,001
000000000000000172,1000,KE,,PD,001,001
000000000000000173,1000,KE,,PD,001,001
000000000000000174,3000,KE,,PD,001,001
000000000000000175,3000,KE,,PD,001,001
000000000000000176,1000,KE,,PD,001,001
000000000000000177,1000,KE,,PD,001,001
000000000000000177,3000,KE,,PD,001,001
000000000000000178,3000,KE,,PD,001,001
000000000000000178,1000,KE,,PD,001,001
000000000000000178,2000,KE,,PD,001,001
000000000000000179,1000,KE,,PD,001,001
000000000000000179,3000,KE,,PD,001,001
000000000000000179,2000,KE,,PD,001,001
000000000000000180,2000,KE,,PD,001,001
000000000000000181,1000,KE,,PD,001,001
000000000000000181,3000,KE,,PD,001,001
000000000000000181,2000,KE,,PD,001,001
000000000000000182,2000,KE,,PD,001,001
000000000000000183,3000,KE,,PD,001,001
000000000000000183,2000,KE,,PD,001,001
000000000000000184,1000,KE,,PD,001,001
000000000000000185,3000,KE,,PD,001,001
000000000000000186,1000,KE,,PD,001,001
000000000000000186,3000,KE,,PD,001,001
000000000000000186,2000,KE,,PD,001,001
000000000000000187,1000,KE,,PD,001,001
000000000000000187,2000,KE,,PD,001,001
000000000000000187,3000,KE,,PD,001,001
000000000000000188,3000,KE,,PD,001,001
000000000000000188,1000,KE,,PD,001,001
000000000000000188,2000,KE,,PD,001,001
000000000000000189,1000,KE,,PD,001,001
000000000000000189,2000,KE,,PD,001,001
000000000000000189,3000,KE,,PD,001,001
000000000000000190,1000,KE,,PD,001,001
000000000000000191,1000,KE,,PD,001,001
000000000000000191,2000,KE,,PD,001,001
000000000000000192,2000,KE,,PD,001,001
000000000000000192,1000,KE,,PD,001,001
000000000000000193,1000,KE,,PD,001,001
000000000000000193,2000,KE,,PD,001,001
000000000000000193,3000,KE,,PD,001,001
000000000000000194,3000,KE,,PD,001,001
000000000000000195,2000,KE,,PD,001,001
000000000000000195,1000,KE,,PD,001,001
000000000000000196,1000,KE,,PD,001,001
000000000000000197,1000,KE,,PD,001,001
000000000000000197,3000,KE,,PD,001,001
000000000000000197,2000,KE,,PD,001,001
000000000000000198,3000,KE,,PD,001,001
000000000000000198,2000,KE,,PD,001,001
000000000000000198,1000,KE,,PD,001,001
000000000000000199,3000,KE,,PD,001,001
000000000000000200,2000,KE,,PD,001,001
000000000000000200,1000,KE,,PD,001,001
000000000000000200,3000,KE,,PD,001,001
000000000000000201,2000,KE,,PD,001,001
000000000000000201,1000,KE,,PD,001,001
000000000000000202,2000,KE,,PD,001,001
000000000000000203,1000,KE,,PD,001,001
000000000000000203,2000,KE,,PD,001,001
000000000000000203,3000,KE,,PD,001,001
000000000000000204,1000,KE,,PD,001,001
000000000000000204,3000,KE,,PD,001,001
000000000000000205,2000,KE,,PD,001,001
000000000000000205,3000,KE,,PD,001,001
000000000000000206,1000,KE,,PD,001,001
000000000000000207,2000,KE,,PD,001,001
000000000000000208,2000,KE,,PD,001,001
000000000000000208,3000,KE,,PD,001,001
000000000000000209,1000,KE,,PD,001,001
000000000000000210,3000,KE,,PD,001,001
000000000000000210,1000,KE,,PD,001,001
000000000000000211,1000,KE,,PD,001,001
000000000000000212,3000,KE,,PD,001,001
000000000000000212,2000,KE,,PD,001,001
000000000000000213,1000,KE,,PD,001,001
000000000000000213,3000,KE,,PD,001,001
000000000000000213,2000,KE,,PD,001,001
000000000000000214,3000,KE,,PD,001,001
000000000000000214,2000,KE,,PD,001,001
000000000000000214,1000,KE,,PD,001,001
000000000000000215,3000,KE,,PD,001,001
000000000000000216,2000,KE,,PD,001,001
000000000000000216,3000,KE,,PD,001,001
000000000000000217,3000,KE,,PD,001,001
000000000000000217,1000,KE,,PD,001,001
000000000000000218,1000,KE,,PD,001,001
000000000000000219,3000,KE,,PD,001,001
000000000000000220,3000,KE,,PD,001,001
000000000000000221,2000,KE,,PD,001,001
000000000000000222,2000,KE,,PD,001,001
000000000000000223,1000,KE,,PD,001,001
000000000000000224,2000,KE,,PD,001,001
000000000000000224,3000,KE,,PD,001,001
000000000000000224,1000,KE,,PD,001,001
000000000000000225,2000,KE,,PD,001,001
000000000000000226,1000,KE,,PD,001,001
000000000000000226,2000,KE,,PD,001,001
000000000000000226,3000,KE,,PD,001,001
000000000000000227,2000,KE,,PD,001,001
000000000000000227,1000,KE,,PD,001,001
000000000000000227,3000,KE,,PD,001,001
000000000000000228,3000,KE,,PD,001,001
000000000000000229,2000,KE,,PD,001,001
000000000000000229,3000,KE,,PD,001,001
000000000000000229,1000,KE,,PD,001,001
000000000000000230,2000,KE,,PD,001,001
000000000000000231,2000,KE,,PD,001,001
000000000000000231,1000,KE,,PD,001,001
000000000000000232,1000,KE,,PD,001,001
000000000000000233,3000,KE,,PD,001,001
000000000000000234,1000,KE,,PD,001,001
000000000000000235,2000,KE,,PD,001,001
000000000000000236,2000,KE,,PD,001,001
000000000000000237,2000,KE,,PD,001,001
000000000000000237,3000,KE,,PD,001,001
000000000000000238,3000,KE,,PD,001,001
000000000000000239,1000,KE,,PD,001,001
000000000000000239,2000,KE,,PD,001,001
000000000000000239,3000,KE,,PD,001,001
000000000000000240,1000,KE,,PD,001,001
000000000000000240,3000,KE,,PD,001,001
000000000000000241,1000,KE,,PD,001,001
000000000000000242,3000,KE,,PD,001,001
000000000000000243,1000,KE,,PD,001,001
000000000000000244,3000,KE,,PD,001,001
000000000000000245,1000,KE,,PD,001,001
000000000000000246,2000,KE,,PD,001,001
000000000000000246,3000,KE,,PD,001,001
000000000000000246,1000,KE,,PD,001,001
000000000000000247,2000,KE,,PD,001,001
000000000000000248,3000,KE,,PD,001,001
000000000000000249,2000,KE,,PD,001,001
000000000000000249,1000,KE,,PD,001,001
000000000000000249,3000,KE,,PD,001,001
000000000000000250,3000,KE,,PD,001,001
000000000000000251,2000,KE,,PD,001,001
000000000000000252,3000,KE,,PD,001,001
000000000000000253,3000,KE,,PD,001,001
000000000000000253,1000,KE,,PD,001,001
000000000000000254,2000,KE,,PD,001,001
000000000000000255,2000,KE,,PD,001,001
000000000000000256,3000,KE,,PD,001,001
000000000000000256,2000,KE,,PD,001,001
000000000000000257,3000,KE,,PD,001,001
000000000000000257,2000,KE,,PD,001,001
000000000000000257,1000,KE,,PD,001,001
000000000000000258,3000,KE,,PD,001,001
000000000000000258,2000,KE,,PD,001,001
000000000000000258,1000,KE,,PD,001,001
000000000000000259,2000,KE,,PD,001,001
000000000000000260,1000,KE,,PD,001,001
000000000000000260,2000,KE,,PD,001,001
000000000000000261,2000,KE,,PD,001,001
000000000000000261,1000,KE,,PD,001,001
000000000000000262,1000,KE,,PD,001,001
000000000000000262,3000,KE,,PD,001,001
000000000000000262,2000,KE,,PD,001,001
000000000000000263,2000,KE,,PD,001,001
000000000000000264,3000,KE,,PD,001,001
000000000000000264,2000,KE,,PD,001,001
000000000000000265,3000,KE,,PD,001,001
000000000000000265,1000,KE,,PD,001,001
000000000000000266,1000,KE,,PD,001,001
000000000000000266,3000,KE,,PD,001,001
000000000000000267,2000,KE,,PD,001,001
000000000000000267,1000,KE,,PD,001,001
000000000000000268,3000,KE,,PD,001,001
000000000000000268,1000,KE,,PD,001,001
000000000000000268,2000,KE,,PD,001,001
000000000000000269,3000,KE,,PD,001,001
000000000000000270,1000,KE,,PD,001,001
000000000000000270,3000,KE,,PD,001,001
000000000000000271,1000,KE,,PD,001,001
000000000000000272,3000,KE,,PD,001,001
000000000000000272,1000,KE,,PD,001,001
000000000000000273,3000,KE,,PD,001,001
000000000000000274,1000,KE,,PD,001,001
000000000000000274,3000,KE,,PD,001,001
000000000000000274,2000,KE,,PD,001,001
000000000000000275,2000,KE,,PD,001,001
000000000000000275,1000,KE,,PD,001,001
000000000000000275,3000,KE,,PD,001,001
000000000000000276,2000,KE,,PD,001,001
000000000000000276,3000,KE,,PD,001,001
000000000000000277,2000,KE,,PD,001,001
000000000000000277,3000,KE,,PD,001,001
000000000000000278,1000,KE,,PD,001,001
000000000000000279,2000,KE,,PD,001,001
000000000000000279,3000,KE,,PD,001,001
000000000000000279,1000,KE,,PD,001,001
000000000000000280,1000,KE,,PD,001,001
000000000000000281,3000,KE,,PD,001,001
000000000000000282,1000,KE,,PD,001,001
000000000000000283,1000,KE,,PD,001,001
000000000000000283,2000,KE,,PD,001,001
000000000000000284,3000,KE,,PD,001,001
000000000000000285,3000,KE,,PD,001,001
000000000000000285,2000,KE,,PD,001,001
000000000000000285,1000,KE,,PD,001,001
000000000000000286,1000,KE,,PD,001,001
000000000000000286,2000,KE,,PD,001,001
000000000000000286,3000,KE,,PD,001,001
000000000000000287,1000,KE,,PD,001,001
000000000000000287,2000,KE,,PD,001,001
000000000000000287,3000,KE,,PD,001,001
000000000000000288,2000,KE,,PD,001,001
000000000000000288,1000,KE,,PD,001,001
000000000000000288,3000,KE,,PD,001,001
000000000000000289,3000,KE,,PD,001,001
000000000000000289,2000,KE,,PD,001,001
000000000000000289,1000,KE,,PD,001,001
000000000000000290,1000,KE,,PD,001,001
000000000000000290,3000,KE,,PD,001,001
000000000000000291,1000,KE,,PD,001,001
000000000000000291,3000,KE,,PD,001,001
000000000000000292,2000,KE,,PD,001,001
000000000000000292,1000,KE,,PD,001,001
000000000000000292,3000,KE,,PD,001,001
000000000000000293,1000,KE,,PD,001,001
000000000000000294,3000,KE,,PD,001,001
000000000000000295,1000,KE,,PD,001,001
000000000000000295,3000,KE,,PD,001,001
000000000000000295,2000,KE,,PD,001,001
000000000000000296,2000,KE,,PD,001,001
000000000000000297,1000,KE,,PD,001,001
000000000000000297,2000,KE,,PD,001,001
000000000000000297,3000,KE,,PD,001,001
000000000000000298,3000,KE,,PD,001,001
000000000000000299,1000,KE,,PD,001,001
000000000000000299,3000,KE,,PD,001,001
000000000000000300,1000,KE,,PD,001,001
000000000000000301,1000,KE,,PD,001,001
000000000000000302,3000,KE,,PD,001,001
000000000000000302,1000,KE,,PD,001,001
000000000000000302,2000,KE,,PD,001,001
000000000000000303,3000,KE,,PD,001,001
000000000000000303,2000,KE,,PD,001,001
000000000000000303,1000,KE,,PD,001,001
000000000000000304,2000,KE,,PD,001,001
000000000000000305,2000,KE,,PD,001,001
000000000000000306,1000,KE,,PD,001,001
000000000000000307,1000,KE,,PD,001,001
000000000000000307,2000,KE,,PD,001,001
000000000000000307,3000,KE,,PD,001,001
000000000000000308,1000,KE,,PD,001,001
000000000000000308,3000,KE,,PD,001,001
000000000000000308,2000,KE,,PD,001,001
000000000000000309,1000,KE,,PD,001,001
000000000000000310,2000,KE,,PD,001,001
000000000000000311,3000,KE,,PD,001,001
000000000000000312,1000,KE,,PD,001,001
000000000000000312,2000,KE,,PD,001,001
000000000000000312,3000,KE,,PD,001,001
000000000000000313,2000,KE,,PD,001,001
000000000000000314,2000,KE,,PD,001,001
000000000000000314,1000,KE,,PD,001,001
000000000000000315,3000,KE,,PD,001,001
000000000000000316,1000,KE,,PD,001,001
000000000000000317,1000,KE,,PD,001,001
000000000000000318,3000,KE,,PD,001,001
000000000000000318,2000,KE,,PD,001,001
000000000000000319,3000,KE,,PD,001,001
000000000000000319,2000,KE,,PD,001,001
000000000000000320,2000,KE,,PD,001,001
000000000000000321,3000,KE,,PD,001,001
000000000000000322,1000,KE,,PD,001,001
000000000000000322,2000,KE,,PD,001,001
000000000000000322,3000,KE,,PD,001,001
000000000000000323,2000,KE,,PD,001,001
000000000000000324,2000,KE,,PD,001,001
000000000000000325,1000,KE,,PD,001,001
000000000000000326,3000,KE,,PD,001,001
000000000000000326,2000,KE,,PD,001,001
000000000000000327,3000,KE,,PD,001,001
000000000000000328,3000,KE,,PD,001,001
000000000000000329,1000,KE,,PD,001,001
000000000000000329,3000,KE,,PD,001,001
000000000000000329,2000,KE,,PD,001,001
000000000000000330,3000,KE,,PD,001,001
000000000000000331,2000,KE,,PD,001,001
000000000000000332,3000,KE,,PD,001,001
000000000000000333,3000,KE,,PD,001,001
000000000000000333,2000,KE,,PD,001,001
000000000000000333,1000,KE,,PD,001,001
000000000000000334,3000,KE,,PD,001,001
000000000000000334,2000,KE,,PD,001,001
000000000000000335,2000,KE,,PD,001,001
000000000000000336,2000,KE,,PD,001,001
000000000000000336,1000,KE,,PD,001,001
000000000000000337,2000,KE,,PD,001,001
000000000000000337,3000,KE,,PD,001,001
000000000000000337,1000,KE,,PD,001,001
000000000000000338,1000,KE,,PD,001,001
000000000000000338,3000,KE,,PD,001,001
000000000000000339,1000,KE,,PD,001,001
000000000000000339,3000,KE,,PD,001,001
000000000000000340,2000,KE,,PD,001,001
000000000000000340,1000,KE,,PD,001,001
000000000000000341,2000,KE,,PD,001,001
000000000000000342,3000,KE,,PD,001,001
000000000000000342,2000,KE,,PD,001,001
000000000000000343,2000,KE,,PD,001,001
000000000000000344,1000,KE,,PD,001,001
000000000000000344,3000,KE,,PD,001,001
000000000000000344,2000,KE,,PD,001,001
000000000000000345,3000,KE,,PD,001,001
000000000000000346,1000,KE,,PD,001,001
000000000000000346,2000,KE,,PD,001,001
000000000000000347,1000,KE,,PD,001,001
000000000000000348,2000,KE,,PD,001,001
000000000000000349,3000,KE,,PD,001,001
000000000000000349,2000,KE,,PD,001,001
000000000000000350,1000,KE,,PD,001,001
000000000000000350,3000,KE,,PD,001,001
000000000000000351,2000,KE,,PD,001,001
000000000000000351,3000,KE,,PD,001,001
000000000000000352,3000,KE,,PD,001,001
000000000000000352,2000,KE,,PD,001,001
000000000000000352,1000,KE,,PD,001,001
000000000000000353,1000,KE,,PD,001,001
000000000000000353,3000,KE,,PD,001,001
000000000000000354,2000,KE,,PD,001,001
000000000000000354,1000,KE,,PD,001,001
000000000000000355,3000,KE,,PD,001,001
000000000000000356,3000,KE,,PD,001,001
000000000000000357,1000,KE,,PD,001,001
000000000000000358,2000,KE,,PD,001,001
000000000000000359,1000,KE,,PD,001,001
000000000000000360,1000,KE,,PD,001,001
000000000000000361,1000,KE,,PD,001,001
000000000000000362,3000,KE,,PD,001,001
000000000000000362,1000,KE,,PD,001,001
000000000000000363,2000,KE,,PD,001,001
000000000000000363,1000,KE,,PD,001,001
000000000000000363,3000,KE,,PD,001,001
000000000000000364,1000,KE,,PD,001,001
000000000000000364,3000,KE,,PD,001,001
000000000000000365,3000,KE,,PD,001,001
000000000000000365,2000,KE,,PD,001,001
000000000000000365,1000,KE,,PD,001,001
000000000000000366,3000,KE,,PD,001,001
000000000000000366,1000,KE,,PD,001,001
000000000000000366,2000,KE,,PD,001,001
000000000000000367,2000,KE,,PD,001,001
000000000000000368,1000,KE,,PD,001,001
000000000000000368,2000,KE,,PD,001,001
000000000000000369,1000,KE,,PD,001,001
000000000000000370,3000,KE,,PD,001,001
000000000000000371,2000,KE,,PD,001,001
000000000000000372,3000,KE,,PD,001,001
000000000000000372,2000,KE,,PD,001,001
000000000000000373,3000,KE,,PD,001,001
000000000000000373,1000,KE,,PD,001,001
000000000000000373,2000,KE,,PD,001,001
000000000000000374,3000,KE,,PD,001,001
000000000000000375,1000,KE,,PD,001,001
000000000000000375,2000,KE,,PD,001,001
000000000000000376,3000,KE,,PD,001,001
000000000000000376,2000,KE,,PD,001,001
000000000000000377,1000,KE,,PD,001,001
000000000000000377,3000,KE,,PD,001,001
000000000000000378,2000,KE,,PD,001,001
000000000000000378,1000,KE,,PD,001,001
000000000000000378,3000,KE,,PD,001,001
000000000000000379,2000,KE,,PD,001,001
000000000000000379,3000,KE,,PD,001,001
000000000000000379,1000,KE,,PD,001,001
000000000000000380,2000,KE,,PD,001,001
000000000000000380,3000,KE,,PD,001,001
000000000000000380,1000,KE,,PD,001,001
000000000000000381,1000,KE,,PD,001,001
000000000000000381,2000,KE,,PD,001,001
000000000000000382,3000,KE,,PD,001,001
000000000000000383,3000,KE,,PD,001,001
000000000000000384,1000,KE,,PD,001,001
