KUNNR,VKORG,VTWEG,SPART,PARVW,KUNN2
0000100033,1000,30,00,RG,0000100033
0000100034,1000,30,00,AG,0000100034
0000100034,1000,30,00,WE,0000100034
0000100034,1000,30,00,RE,0000100034
0000100034,1000,30,00,RG,0000100034
0000100035,2000,10,02,AG,0000100035
0000100035,2000,10,02,WE,0000100035
0000100035,2000,10,02,RE,0000100035
0000100035,2000,10,02,RG,0000100035
0000100035,1000,10,00,AG,0000100035
0000100035,1000,10,00,WE,0000100035
0000100035,1000,10,00,RE,0000100035
0000100035,1000,10,00,RG,0000100035
0000100036,1000,20,00,AG,0000100036
0000100036,1000,20,00,WE,0000100036
0000100036,1000,20,00,RE,0000100036
0000100036,1000,20,00,RG,0000100036
0000100037,1000,20,00,AG,0000100037
0000100037,1000,20,00,WE,0000100037
0000100037,1000,20,00,RE,0000100037
0000100037,1000,20,00,RG,0000100037
0000100038,2000,30,01,AG,0000100038
0000100038,2000,30,01,WE,0000100038
0000100038,2000,30,01,RE,0000100038
0000100038,2000,30,01,RG,0000100038
0000100039,1000,20,00,AG,0000100039
0000100039,1000,20,00,WE,0000100039
0000100039,1000,20,00,RE,0000100039
0000100039,1000,20,00,RG,0000100039
0000100039,1000,10,01,AG,0000100039
0000100039,1000,10,01,WE,0000100039
0000100039,1000,10,01,RE,0000100039
0000100039,1000,10,01,RG,0000100039
0000100040,1000,30,01,AG,0000100040
0000100040,1000,30,01,WE,0000100040
0000100040,1000,30,01,RE,0000100040
0000100040,1000,30,01,RG,0000100040
0000100040,2000,30,02,AG,0000100040
0000100040,2000,30,02,WE,0000100040
0000100040,2000,30,02,RE,0000100040
0000100040,2000,30,02,RG,0000100040
0000100041,2000,10,00,AG,0000100041
0000100041,2000,10,00,WE,0000100041
0000100041,2000,10,00,RE,0000100041
0000100041,2000,10,00,RG,0000100041
0000100042,3000,10,01,AG,0000100042
0000100042,3000,10,01,WE,0000100042
0000100042,3000,10,01,RE,0000100042
0000100042,3000,10,01,RG,0000100042
0000100042,2000,10,02,AG,0000100042
0000100042,2000,10,02,WE,0000100042
0000100042,2000,10,02,RE,0000100042
0000100042,2000,10,02,RG,0000100042
0000100042,1000,10,01,AG,0000100042
0000100042,1000,10,01,WE,0000100042
0000100042,1000,10,01,RE,0000100042
0000100042,1000,10,01,RG,0000100042
0000100043,2000,20,02,AG,0000100043
0000100043,2000,20,02,WE,0000100043
0000100043,2000,20,02,RE,0000100043
0000100043,2000,20,02,RG,0000100043
0000100044,2000,30,00,AG,0000100044
0000100044,2000,30,00,WE,0000100044
0000100044,2000,30,00,RE,0000100044
0000100044,2000,30,00,RG,0000100044
0000100045,2000,10,02,AG,0000100045
0000100045,2000,10,02,WE,0000100045
0000100045,2000,10,02,RE,0000100045
0000100045,2000,10,02,RG,0000100045
0000100046,2000,10,01,AG,0000100046
0000100046,2000,10,01,WE,0000100046
0000100046,2000,10,01,RE,0000100046
0000100046,2000,10,01,RG,0000100046
0000100046,2000,10,02,AG,0000100046
0000100046,2000,10,02,WE,0000100046
0000100046,2000,10,02,RE,0000100046
0000100046,2000,10,02,RG,0000100046
0000100046,1000,10,00,AG,0000100046
0000100046,1000,10,00,WE,0000100046
0000100046,1000,10,00,RE,0000100046
0000100046,1000,10,00,RG,0000100046
0000100047,2000,20,01,AG,0000100047
0000100047,2000,20,01,WE,0000100047
0000100047,2000,20,01,RE,0000100047
0000100047,2000,20,01,RG,0000100047
0000100048,2000,30,00,AG,0000100048
0000100048,2000,30,00,WE,0000100048
0000100048,2000,30,00,RE,0000100048
0000100048,2000,30,00,RG,0000100048
0000100049,1000,10,02,AG,0000100049
0000100049,1000,10,02,WE,0000100049
0000100049,1000,10,02,RE,0000100049
0000100049,1000,10,02,RG,0000100049
0000100049,1000,10,01,AG,0000100049
0000100049,1000,10,01,WE,0000100049
0000100049,1000,10,01,RE,0000100049
0000100049,1000,10,01,RG,0000100049
0000100049,1000,10,01,AG,0000100049
0000100049,1000,10,01,WE,0000100049
0000100049,1000,10,01,RE,0000100049
0000100049,1000,10,01,RG,0000100049
0000100050,1000,30,00,AG,0000100050
0000100050,1000,30,00,WE,0000100050
0000100050,1000,30,00,RE,0000100050
0000100050,1000,30,00,RG,0000100050
0000100051,2000,10,00,AG,0000100051
0000100051,2000,10,00,WE,0000100051
0000100051,2000,10,00,RE,0000100051
0000100051,2000,10,00,RG,0000100051
0000100052,3000,20,00,AG,0000100052
0000100052,3000,20,00,WE,0000100052
0000100052,3000,20,00,RE,0000100052
0000100052,3000,20,00,RG,0000100052
0000100053,2000,10,00,AG,0000100053
0000100053,2000,10,00,WE,0000100053
0000100053,2000,10,00,RE,0000100053
0000100053,2000,10,00,RG,0000100053
0000100054,1000,20,00,AG,0000100054
0000100054,1000,20,00,WE,0000100054
0000100054,1000,20,00,RE,0000100054
0000100054,1000,20,00,RG,0000100054
0000100054,1000,20,01,AG,0000100054
0000100054,1000,20,01,WE,0000100054
0000100054,1000,20,01,RE,0000100054
0000100054,1000,20,01,RG,0000100054
0000100055,1000,10,02,AG,0000100055
0000100055,1000,10,02,WE,0000100055
0000100055,1000,10,02,RE,0000100055
0000100055,1000,10,02,RG,0000100055
0000100056,1000,10,02,AG,0000100056
0000100056,1000,10,02,WE,0000100056
0000100056,1000,10,02,RE,0000100056
0000100056,1000,10,02,RG,0000100056
0000100056,2000,20,00,AG,0000100056
0000100056,2000,20,00,WE,0000100056
0000100056,2000,20,00,RE,0000100056
0000100056,2000,20,00,RG,0000100056
0000100057,2000,10,02,AG,0000100057
0000100057,2000,10,02,WE,0000100057
0000100057,2000,10,02,RE,0000100057
0000100057,2000,10,02,RG,0000100057
0000100058,1000,20,00,AG,0000100058
0000100058,1000,20,00,WE,0000100058
0000100058,1000,20,00,RE,0000100058
0000100058,1000,20,00,RG,0000100058
0000100059,2000,10,02,AG,0000100059
0000100059,2000,10,02,WE,0000100059
0000100059,2000,10,02,RE,0000100059
0000100059,2000,10,02,RG,0000100059
0000100060,1000,20,00,AG,0000100060
0000100060,1000,20,00,WE,0000100060
0000100060,1000,20,00,RE,0000100060
0000100060,1000,20,00,RG,0000100060
0000100060,2000,10,01,AG,0000100060
0000100060,2000,10,01,WE,0000100060
0000100060,2000,10,01,RE,0000100060
0000100060,2000,10,01,RG,0000100060
0000100061,1000,10,00,AG,0000100061
0000100061,1000,10,00,WE,0000100061
0000100061,1000,10,00,RE,0000100061
0000100061,1000,10,00,RG,0000100061
0000100062,2000,30,01,AG,0000100062
0000100062,2000,30,01,WE,0000100062
0000100062,2000,30,01,RE,0000100062
0000100062,2000,30,01,RG,0000100062
0000100063,3000,10,00,AG,0000100063
0000100063,3000,10,00,WE,0000100063
0000100063,3000,10,00,RE,0000100063
0000100063,3000,10,00,RG,0000100063
0000100064,1000,10,01,AG,0000100064
0000100064,1000,10,01,WE,0000100064
0000100064,1000,10,01,RE,0000100064
0000100064,1000,10,01,RG,0000100064
0000100064,2000,10,01,AG,0000100064
0000100064,2000,10,01,WE,0000100064
0000100064,2000,10,01,RE,0000100064
0000100064,2000,10,01,RG,0000100064
0000100065,1000,10,00,AG,0000100065
0000100065,1000,10,00,WE,0000100065
0000100065,1000,10,00,RE,0000100065
0000100065,1000,10,00,RG,0000100065
0000100066,1000,30,00,AG,0000100066
0000100066,1000,30,00,WE,0000100066
0000100066,1000,30,00,RE,0000100066
0000100066,1000,30,00,RG,0000100066
0000100067,1000,30,00,AG,0000100067
0000100067,1000,30,00,WE,0000100067
0000100067,1000,30,00,RE,0000100067
0000100067,1000,30,00,RG,0000100067
0000100068,2000,10,02,AG,0000100068
0000100068,2000,10,02,WE,0000100068
0000100068,2000,10,02,RE,0000100068
0000100068,2000,10,02,RG,0000100068
0000100068,2000,30,01,AG,0000100068
0000100068,2000,30,01,WE,0000100068
0000100068,2000,30,01,RE,0000100068
0000100068,2000,30,01,RG,0000100068
0000100069,1000,10,01,AG,0000100069
0000100069,1000,10,01,WE,0000100069
0000100069,1000,10,01,RE,0000100069
0000100069,1000,10,01,RG,0000100069
0000100069,1000,20,01,AG,0000100069
0000100069,1000,20,01,WE,0000100069
0000100069,1000,20,01,RE,0000100069
0000100069,1000,20,01,RG,0000100069
0000100070,1000,10,00,AG,0000100070
0000100070,1000,10,00,WE,0000100070
0000100070,1000,10,00,RE,0000100070
0000100070,1000,10,00,RG,0000100070
0000100071,2000,10,00,AG,0000100071
0000100071,2000,10,00,WE,0000100071
0000100071,2000,10,00,RE,0000100071
0000100071,2000,10,00,RG,0000100071
0000100071,2000,10,01,AG,0000100071
0000100071,2000,10,01,WE,0000100071
0000100071,2000,10,01,RE,0000100071
0000100071,2000,10,01,RG,0000100071
0000100072,1000,10,00,AG,0000100072
0000100072,1000,10,00,WE,0000100072
0000100072,1000,10,00,RE,0000100072
0000100072,1000,10,00,RG,0000100072
0000100072,1000,10,01,AG,0000100072
0000100072,1000,10,01,WE,0000100072
0000100072,1000,10,01,RE,0000100072
0000100072,1000,10,01,RG,0000100072
0000100073,2000,10,00,AG,0000100073
0000100073,2000,10,00,WE,0000100073
0000100073,2000,10,00,RE,0000100073
0000100073,2000,10,00,RG,0000100073
0000100073,1000,10,01,AG,0000100073
0000100073,1000,10,01,WE,0000100073
0000100073,1000,10,01,RE,0000100073
0000100073,1000,10,01,RG,0000100073
0000100074,1000,10,00,AG,0000100074
0000100074,1000,10,00,WE,0000100074
0000100074,1000,10,00,RE,0000100074
0000100074,1000,10,00,RG,0000100074
0000100075,2000,10,02,AG,0000100075
0000100075,2000,10,02,WE,0000100075
0000100075,2000,10,02,RE,0000100075
0000100075,2000,10,02,RG,0000100075
0000100075,2000,20,01,AG,0000100075
0000100075,2000,20,01,WE,0000100075
0000100075,2000,20,01,RE,0000100075
0000100075,2000,20,01,RG,0000100075
0000100076,2000,10,00,AG,0000100076
0000100076,2000,10,00,WE,0000100076
0000100076,2000,10,00,RE,0000100076
0000100076,2000,10,00,RG,0000100076
0000100076,1000,20,01,AG,0000100076
0000100076,1000,20,01,WE,0000100076
0000100076,1000,20,01,RE,0000100076
0000100076,1000,20,01,RG,0000100076
0000100076,2000,20,00,AG,0000100076
0000100076,2000,20,00,WE,0000100076
0000100076,2000,20,00,RE,0000100076
0000100076,2000,20,00,RG,0000100076
0000100077,2000,10,00,AG,0000100077
0000100077,2000,10,00,WE,0000100077
0000100077,2000,10,00,RE,0000100077
0000100077,2000,10,00,RG,0000100077
0000100078,2000,30,00,AG,0000100078
0000100078,2000,30,00,WE,0000100078
0000100078,2000,30,00,RE,0000100078
0000100078,2000,30,00,RG,0000100078
0000100079,2000,30,02,AG,0000100079
0000100079,2000,30,02,WE,0000100079
0000100079,2000,30,02,RE,0000100079
0000100079,2000,30,02,RG,0000100079
0000100079,1000,10,02,AG,0000100079
0000100079,1000,10,02,WE,0000100079
0000100079,1000,10,02,RE,0000100079
0000100079,1000,10,02,RG,0000100079
0000100079,1000,10,00,AG,0000100079
0000100079,1000,10,00,WE,0000100079
0000100079,1000,10,00,RE,0000100079
0000100079,1000,10,00,RG,0000100079
0000100080,2000,10,01,AG,0000100080
0000100080,2000,10,01,WE,0000100080
0000100080,2000,10,01,RE,0000100080
0000100080,2000,10,01,RG,0000100080
0000100081,2000,20,01,AG,0000100081
0000100081,2000,20,01,WE,0000100081
0000100081,2000,20,01,RE,0000100081
0000100081,2000,20,01,RG,0000100081
0000100082,2000,30,02,AG,0000100082
0000100082,2000,30,02,WE,0000100082
0000100082,2000,30,02,RE,0000100082
0000100082,2000,30,02,RG,0000100082
0000100083,1000,10,01,AG,0000100083
0000100083,1000,10,01,WE,0000100083
0000100083,1000,10,01,RE,0000100083
0000100083,1000,10,01,RG,0000100083
0000100084,2000,10,00,AG,0000100084
0000100084,2000,10,00,WE,0000100084
0000100084,2000,10,00,RE,0000100084
0000100084,2000,10,00,RG,0000100084
0000100085,1000,10,02,AG,0000100085
0000100085,1000,10,02,WE,0000100085
0000100085,1000,10,02,RE,0000100085
0000100085,1000,10,02,RG,0000100085
0000100085,1000,20,01,AG,0000100085
0000100085,1000,20,01,WE,0000100085
0000100085,1000,20,01,RE,0000100085
0000100085,1000,20,01,RG,0000100085
0000100086,1000,20,01,AG,0000100086
0000100086,1000,20,01,WE,0000100086
0000100086,1000,20,01,RE,0000100086
0000100086,1000,20,01,RG,0000100086
0000100087,3000,20,00,AG,0000100087
0000100087,3000,20,00,WE,0000100087
0000100087,3000,20,00,RE,0000100087
0000100087,3000,20,00,RG,0000100087
0000100087,1000,10,02,AG,0000100087
0000100087,1000,10,02,WE,0000100087
0000100087,1000,10,02,RE,0000100087
0000100087,1000,10,02,RG,0000100087
0000100087,2000,10,01,AG,0000100087
0000100087,2000,10,01,WE,0000100087
0000100087,2000,10,01,RE,0000100087
0000100087,2000,10,01,RG,0000100087
0000100088,1000,10,00,AG,0000100088
0000100088,1000,10,00,WE,0000100088
0000100088,1000,10,00,RE,0000100088
0000100088,1000,10,00,RG,0000100088
0000100088,1000,30,00,AG,0000100088
0000100088,1000,30,00,WE,0000100088
0000100088,1000,30,00,RE,0000100088
0000100088,1000,30,00,RG,0000100088
0000100089,2000,10,00,AG,0000100089
0000100089,2000,10,00,WE,0000100089
0000100089,2000,10,00,RE,0000100089
0000100089,2000,10,00,RG,0000100089
0000100089,1000,20,01,AG,0000100089
0000100089,1000,20,01,WE,0000100089
0000100089,1000,20,01,RE,0000100089
0000100089,1000,20,01,RG,0000100089
0000100090,1000,10,00,AG,0000100090
0000100090,1000,10,00,WE,0000100090
0000100090,1000,10,00,RE,0000100090
0000100090,1000,10,00,RG,0000100090
0000100091,1000,10,02,AG,0000100091
0000100091,1000,10,02,WE,0000100091
0000100091,1000,10,02,RE,0000100091
0000100091,1000,10,02,RG,0000100091
0000100092,1000,10,00,AG,0000100092
0000100092,1000,10,00,WE,0000100092
0000100092,1000,10,00,RE,0000100092
0000100092,1000,10,00,RG,0000100092
0000100093,1000,10,01,AG,0000100093
0000100093,1000,10,01,WE,0000100093
0000100093,1000,10,01,RE,0000100093
0000100093,1000,10,01,RG,0000100093
0000100093,2000,20,00,AG,0000100093
0000100093,2000,20,00,WE,0000100093
0000100093,2000,20,00,RE,0000100093
0000100093,2000,20,00,RG,0000100093
0000100094,3000,10,00,AG,0000100094
0000100094,3000,10,00,WE,0000100094
0000100094,3000,10,00,RE,0000100094
0000100094,3000,10,00,RG,0000100094
0000100095,1000,10,01,AG,0000100095
0000100095,1000,10,01,WE,0000100095
0000100095,1000,10,01,RE,0000100095
0000100095,1000,10,01,RG,0000100095
0000100095,1000,10,00,AG,0000100095
0000100095,1000,10,00,WE,0000100095
0000100095,1000,10,00,RE,0000100095
0000100095,1000,10,00,RG,0000100095
0000100096,2000,20,00,AG,0000100096
0000100096,2000,20,00,WE,0000100096
0000100096,2000,20,00,RE,0000100096
0000100096,2000,20,00,RG,0000100096
0000100097,1000,20,00,AG,0000100097
0000100097,1000,20,00,WE,0000100097
0000100097,1000,20,00,RE,0000100097
0000100097,1000,20,00,RG,0000100097
0000100098,1000,10,00,AG,0000100098
0000100098,1000,10,00,WE,0000100098
0000100098,1000,10,00,RE,0000100098
0000100098,1000,10,00,RG,0000100098
0000100099,1000,10,02,AG,0000100099
0000100099,1000,10,02,WE,0000100099
0000100099,1000,10,02,RE,0000100099
0000100099,1000,10,02,RG,0000100099
0000100099,1000,30,00,AG,0000100099
0000100099,1000,30,00,WE,0000100099
0000100099,1000,30,00,RE,0000100099
0000100099,1000,30,00,RG,0000100099
0000100099,2000,10,02,AG,0000100099
0000100099,2000,10,02,WE,0000100099
0000100099,2000,10,02,RE,0000100099
0000100099,2000,10,02,RG,0000100099
0000100100,2000,10,02,AG,0000100100
0000100100,2000,10,02,WE,0000100100
0000100100,2000,10,02,RE,0000100100
0000100100,2000,10,02,RG,0000100100
0000100101,1000,10,00,AG,0000100101
0000100101,1000,10,00,WE,0000100101
0000100101,1000,10,00,RE,0000100101
0000100101,1000,10,00,RG,0000100101
0000100101,3000,10,01,AG,0000100101
0000100101,3000,10,01,WE,0000100101
0000100101,3000,10,01,RE,0000100101
0000100101,3000,10,01,RG,0000100101
0000100102,2000,30,00,AG,0000100102
0000100102,2000,30,00,WE,0000100102
0000100102,2000,30,00,RE,0000100102
0000100102,2000,30,00,RG,0000100102
0000100103,2000,10,01,AG,0000100103
0000100103,2000,10,01,WE,0000100103
0000100103,2000,10,01,RE,0000100103
0000100103,2000,10,01,RG,0000100103
0000100103,1000,10,00,AG,0000100103
0000100103,1000,10,00,WE,0000100103
0000100103,1000,10,00,RE,0000100103
0000100103,1000,10,00,RG,0000100103
0000100103,1000,10,02,AG,0000100103
0000100103,1000,10,02,WE,0000100103
0000100103,1000,10,02,RE,0000100103
0000100103,1000,10,02,RG,0000100103
0000100104,1000,30,01,AG,0000100104
0000100104,1000,30,01,WE,0000100104
0000100104,1000,30,01,RE,0000100104
0000100104,1000,30,01,RG,0000100104
0000100105,1000,10,00,AG,0000100105
0000100105,1000,10,00,WE,0000100105
0000100105,1000,10,00,RE,0000100105
0000100105,1000,10,00,RG,0000100105
0000100106,1000,10,01,AG,0000100106
0000100106,1000,10,01,WE,0000100106
0000100106,1000,10,01,RE,0000100106
0000100106,1000,10,01,RG,0000100106
0000100106,2000,30,01,AG,0000100106
0000100106,2000,30,01,WE,0000100106
0000100106,2000,30,01,RE,0000100106
0000100106,2000,30,01,RG,0000100106
0000100107,3000,20,00,AG,0000100107
0000100107,3000,20,00,WE,0000100107
0000100107,3000,20,00,RE,0000100107
0000100107,3000,20,00,RG,0000100107
0000100108,2000,10,00,AG,0000100108
0000100108,2000,10,00,WE,0000100108
0000100108,2000,10,00,RE,0000100108
0000100108,2000,10,00,RG,0000100108
0000100109,2000,20,00,AG,0000100109
0000100109,2000,20,00,WE,0000100109
0000100109,2000,20,00,RE,0000100109
0000100109,2000,20,00,RG,0000100109
0000100110,1000,10,02,AG,0000100110
0000100110,1000,10,02,WE,0000100110
0000100110,1000,10,02,RE,0000100110
0000100110,1000,10,02,RG,0000100110
0000100111,2000,30,00,AG,0000100111
0000100111,2000,30,00,WE,0000100111
0000100111,2000,30,00,RE,0000100111
0000100111,2000,30,00,RG,0000100111
0000100112,1000,30,02,AG,0000100112
0000100112,1000,30,02,WE,0000100112
0000100112,1000,30,02,RE,0000100112
0000100112,1000,30,02,RG,0000100112
0000100113,1000,20,02,AG,0000100113
0000100113,1000,20,02,WE,0000100113
0000100113,1000,20,02,RE,0000100113
0000100113,1000,20,02,RG,0000100113
0000100113,2000,30,00,AG,0000100113
0000100113,2000,30,00,WE,0000100113
0000100113,2000,30,00,RE,0000100113
0000100113,2000,30,00,RG,0000100113
0000100114,2000,30,00,AG,0000100114
0000100114,2000,30,00,WE,0000100114
0000100114,2000,30,00,RE,0000100114
0000100114,2000,30,00,RG,0000100114
0000100115,1000,10,00,AG,0000100115
0000100115,1000,10,00,WE,0000100115
0000100115,1000,10,00,RE,0000100115
0000100115,1000,10,00,RG,0000100115
0000100116,1000,20,02,AG,0000100116
0000100116,1000,20,02,WE,0000100116
0000100116,1000,20,02,RE,0000100116
0000100116,1000,20,02,RG,0000100116
0000100117,3000,30,01,AG,0000100117
0000100117,3000,30,01,WE,0000100117
0000100117,3000,30,01,RE,0000100117
0000100117,3000,30,01,RG,0000100117
0000100118,1000,10,00,AG,0000100118
0000100118,1000,10,00,WE,0000100118
0000100118,1000,10,00,RE,0000100118
0000100118,1000,10,00,RG,0000100118
0000100119,1000,10,01,AG,0000100119
0000100119,1000,10,01,WE,0000100119
0000100119,1000,10,01,RE,0000100119
0000100119,1000,10,01,RG,0000100119
0000100120,1000,10,00,AG,0000100120
0000100120,1000,10,00,WE,0000100120
0000100120,1000,10,00,RE,0000100120
0000100120,1000,10,00,RG,0000100120
0000100121,1000,30,01,AG,0000100121
0000100121,1000,30,01,WE,0000100121
0000100121,1000,30,01,RE,0000100121
0000100121,1000,30,01,RG,0000100121
0000100122,3000,20,00,AG,0000100122
0000100122,3000,20,00,WE,0000100122
0000100122,3000,20,00,RE,0000100122
0000100122,3000,20,00,RG,0000100122
0000100123,1000,20,01,AG,0000100123
0000100123,1000,20,01,WE,0000100123
0000100123,1000,20,01,RE,0000100123
0000100123,1000,20,01,RG,0000100123
0000100124,2000,10,01,AG,0000100124
0000100124,2000,10,01,WE,0000100124
0000100124,2000,10,01,RE,0000100124
0000100124,2000,10,01,RG,0000100124
0000100125,1000,10,01,AG,0000100125
0000100125,1000,10,01,WE,0000100125
0000100125,1000,10,01,RE,0000100125
0000100125,1000,10,01,RG,0000100125
0000100126,1000,10,00,AG,0000100126
0000100126,1000,10,00,WE,0000100126
0000100126,1000,10,00,RE,0000100126
0000100126,1000,10,00,RG,0000100126
0000100127,1000,10,00,AG,0000100127
0000100127,1000,10,00,WE,0000100127
0000100127,1000,10,00,RE,0000100127
0000100127,1000,10,00,RG,0000100127
0000100127,1000,10,00,AG,0000100127
0000100127,1000,10,00,WE,0000100127
0000100127,1000,10,00,RE,0000100127
0000100127,1000,10,00,RG,0000100127
0000100128,1000,10,00,AG,0000100128
0000100128,1000,10,00,WE,0000100128
0000100128,1000,10,00,RE,0000100128
0000100128,1000,10,00,RG,0000100128
0000100129,1000,30,00,AG,0000100129
0000100129,1000,30,00,WE,0000100129
0000100129,1000,30,00,RE,0000100129
0000100129,1000,30,00,RG,0000100129
