KUNNR,NAME1,LAND1,PSTLZ,ORT01,STRAS,KTOKD,BRSCH,ERDAT,LOEVM
0000100097,Wagner,US,54932,Buissonboeuf,122 Morris Gateway Apt. 463,0002,2900,20231008,
0000100098,Boulanger,US,B4S 3BE,Leroux,"541, boulevard Matthieu Vasseur",0001,5100,20241125,
0000100099,Fliegner Metz Stiftung & Co. KGaA,US,SN87 3ZD,Fischerboeuf,88398 Franklin Walk,0001,1200,20230927,
0000100100,Bazin S.A.,US,12622,Sainte Gilles,"808, chemin de Ramos",0001,2900,20231028,
0000100101,Scott-Smith,DE,06518,South Anthonychester,Kösterstraße 26-96,0002,7100,20240821,
0000100102,Keudel,US,23893,Rodriguez-sur-Mer,7868 Morrow Gateway,0001,5100,20220121,
0000100103,Meyer,US,E06 3HD,South Carlaton,Mangoldplatz 5028,0001,1200,20240426,
0000100104,Ruppert,US,N3E 8JS,Benjaminside,Biggenring 9-6,0003,7100,20211117,
0000100105,Gérard,DE,DE87 3NF,Sainte Arnaude,Jens-Haase-Ring 67,0001,1200,20200724,
0000100106,"Hardy, Lee and Adams",US,10040,Neubrandenburg,Austermühleplatz 4173,0001,2900,20211225,
0000100107,Courtois Lebrun SARL,DE,59646,Elliotstad,"8, rue Alexandrie Bouvier",0001,1200,20220307,
0000100108,Thibault S.A.,FR,48996,East Hugh,Alice-Rogner-Allee 84/87,0002,5100,20250531,
0000100109,Kitzmann,DE,87280,Port Elizabethtown,"31, rue Bodin",0001,1200,20220526,
0000100110,Lopez,US,84599,New Andreatown,408 Drake Fall Apt. 182,0002,1200,20220403,
0000100111,Scholl GmbH & Co. OHG,US,FK6 5RT,Hannover,66687 Dana Squares,0001,1200,20241108,
0000100112,Ortmann GmbH & Co. KG,GB,E8A 3YU,North Lydiaview,0392 Hickman Hills,0002,2900,20221027,
0000100113,Hendriks,US,86653,Daveyberg,16315 Novak Islands Apt. 477,0001,2900,20210922,
0000100114,Röhrdanz Kohl GmbH & Co. KG,US,19431,Ericberg,"21, chemin Hebert",0001,2900,20240610,
0000100115,Warner-Hopkins,DE,57670,Saint Emmanuelboeuf,0466 Jenny Points Apt. 982,0001,1200,20241124,
0000100116,Joly Royer SARL,US,CT12 4SN,Sainte Philippe-sur-Mer,"237, chemin Robert",0001,2900,20230323,
0000100117,Legendre,GB,42550,Sharpberg,"Studio 37
Williamson locks",0001,1200,20230908,
0000100118,Newman-Parkinson,US,64651,Teterow,374 Lori Underpass Suite 724,0001,1200,20240420,
0000100119,Sorgatz Fliegner Stiftung & Co. KG,US,48175,Voisin-sur-Guillon,"168, boulevard Jeannine Diaz",0003,5100,20200816,
0000100120,Mack Ltd,US,B96 6EA,Jeffreyhaven,Kreinstraße 850,0001,2900,20220324,
0000100121,Perry-Nixon,US,96203,Heinsberg,"Flat 87
Jones mill",0003,2900,20211215,
0000100122,Mercier,FR,E0 1GJ,Hohenstein-Ernstthal,"36, avenue Delaunay",0003,1200,20220910,
0000100123,"Mendez, Gonzalez and Vargas",US,01821,Görlitz,255 Stephen Greens,0001,1200,20240801,
0000100124,Godard,US,78501,Michaelmouth,Gudrun-Eimer-Ring 53,0001,1200,20211222,
0000100125,Brooks and Sons,US,53710,Lüneburg,Blanka-Geisel-Straße 3/3,0002,1200,20231230,
0000100126,Bibi-Taylor,GB,64019,Kulmbach,"86, rue Émile Moreno",0001,1200,20210201,
0000100127,Carter LLC,DE,27978,West Kimberlystad,361 Kenneth Bypass Suite 451,0001,7100,20210704,
0000100128,Diallo S.A.,DE,96292,Beeskow,"Studio 82
Robinson highway",0002,1200,20210618,
0000100129,"Phillips, Taylor and Robinson",US,18272,Sainte Marcelle,Gabor-Trub-Ring 5672,0002,7100,20250702,
0000100130,Sauvage,FR,83551,Robertsonview,"Studio 5
Colin street",0001,2900,20240712,
0000100131,Andre,DE,27539,Großenhain,"Flat 89i
Pearson springs",0001,7100,20210316,
0000100132,Garcia Group,GB,16785,Miesbach,24241 Wright Landing Apt. 064,0001,5100,20250820,
0000100133,Sölzer Conradi Stiftung & Co. KG,DE,00643,Bischofswerda,Andersgasse 31/86,0001,7100,20210420,
0000100134,Reyes Ltd,US,14027,Cliffordberg,"91, rue de Bourdon",0002,2900,20240117,
0000100135,Killer Ullmann AG & Co. OHG,GB,97311,Rudolstadt,"35, chemin Imbert",0001,1200,20230726,
0000100136,Tran PLC,GB,BB4H 6NB,Kusel,9180 Peck Curve,0001,2900,20240424,
0000100137,Poulain,FR,10910,North Darren,"78, avenue Émile Riou",0003,5100,20250611,
0000100138,Carsten Jessel AG,DE,85691,Elliottbury,61799 Kyle Streets,0001,1200,20240818,
0000100139,Aumann Stiftung & Co. KG,US,27588,West Malcolm,5 Dixon circles,0001,5100,20200910,
0000100140,"Simpson, Johnson and Hughes",DE,W9 5GL,East Joycetown,07562 Sarah Walks,0002,1200,20200711,
0000100141,"Pratt, Klein and Rios",US,36541,New Ellieton,Ute-Kühnert-Gasse 64-24,0001,2900,20220820,
0000100142,Tessier S.A.,US,M9D 5YU,Duderstadt,38505 Katherine Lane Suite 138,0002,2900,20201125,
0000100143,Noack Bonbach AG & Co. KG,US,B3 5TD,Lake Lori,2344 Howe Lock,0001,5100,20211015,
0000100144,Price-Barnes,DE,91212,Bouviernec,74741 Eric Spur Suite 903,0001,1200,20240119,
0000100145,Green and Sons,DE,ML04 2AR,Bouvet-sur-Mer,21003 James Locks Suite 199,0001,7100,20240815,
0000100146,Brown Inc,DE,21510,Saint Henriette,"17, avenue Jérôme Monnier",0001,1200,20220220,
0000100147,Höfig GbR,FR,20135,Northeim,"20, avenue Guillaume Humbert",0001,2900,20230106,
0000100148,Putz,GB,65787,Charlotteview,Schenkplatz 4,0003,7100,20230806,
0000100149,Moreno-Wang,DE,13348,New Meghan,"42, chemin de Gallet",0001,1200,20201108,
0000100150,"Day, Harrison and May",DE,78427,North Jessebury,59325 Samantha Vista Suite 002,0001,2900,20200908,
0000100151,Putz GmbH,GB,49468,Roussel-sur-Marques,"Flat 26
Brooks extensions",0001,2900,20220318,
0000100152,King and Sons,US,39851,East David,"3, chemin de Raymond",0001,1200,20230330,
0000100153,Rosemann,US,65536,Wolfenbüttel,5215 Smith Fords,0001,5100,20250105,
0000100154,Börner,DE,TN1 0RT,Pasquier,"78, avenue Verdier",0001,7100,20240430,
0000100155,Mentzel AG,US,39155,Joseville,62181 Wheeler Ridges Suite 062,0001,7100,20250112,
0000100156,Vincent Roussel SARL,US,68844,North Adam,"172, rue Aurélie Fernandez",0003,1200,20240606,
0000100157,"Johnson, Jones and Glover",FR,41714,Camus-la-Forêt,56527 Jose Mountain Suite 349,0001,7100,20210821,
0000100158,Goodwin Ltd,US,11734,Coatesshire,Preißstraße 89-53,0003,1200,20220901,
0000100159,Orr-Klein,US,72233,Lüneburg,29451 Paul Locks Suite 487,0003,2900,20221017,
0000100160,"Dean, Mills and Barnes",DE,20251,New Kimberlyport,"Flat 67K
Thomas harbor",0001,2900,20240504,
0000100161,Maurice Raynaud et Fils,DE,05505,North Alice,"Flat 5
Kemp ville",0001,7100,20210817,
0000100162,Dumas S.A.,US,LA5M 9DH,Cordier,"90, rue Langlois",0001,7100,20220715,
0000100163,Valette Hardy S.A.S.,GB,23273,Bayreuth,Binnerring 9457,0001,5100,20230531,
0000100164,Bazin SA,US,79727,Benview,60293 Deborah Springs Apt. 468,0001,2900,20201012,
0000100165,"Smith, Buck and Holland",US,29830,Carolynview,"57, avenue Hernandez",0001,1200,20220717,
0000100166,Robert S.A.S.,FR,M4S 7DP,Martynview,8 Kevin valley,0003,5100,20230730,
0000100167,Bazin,US,74466,Saint Zacharie,Patbergring 582,0001,7100,20231014,
0000100168,Anderson-Green,DE,13534,Guichard,"Studio 1
Collier roads",0001,7100,20240801,
0000100169,Preston-Mason,GB,67405,Saint Guillaume,Roskothstraße 252,0003,5100,20250114,
0000100170,Lefort,DE,00743,Neustadtner Waldnaab,666 Sanford Lights,0001,7100,20221216,
0000100171,Ferguson Ltd,GB,N8 0AJ,Heinsberg,Paffrathstr. 3/2,0001,1200,20230118,
0000100172,Fry-Bryant,US,WV25 5HG,Saint Maurice,Dana-Pärtzelt-Platz 15,0002,7100,20250421,
0000100173,Pires,US,78347,Lake Maryton,6184 Miles Ford Apt. 461,0001,2900,20210730,
0000100174,"Butler, Khan and Burke",FR,67555,Danielville,"934, chemin Fischer",0002,7100,20250720,
0000100175,Renard,US,72346,Lagarde,"10, rue de Masson",0001,1200,20201226,
0000100176,Robin Valette S.A.S.,US,95339,Dawnmouth,"Studio 0
Clive well",0002,7100,20250314,
0000100177,Ward-Rhodes,FR,94218,North Melissaburgh,"Studio 9
Shaw course",0003,5100,20241215,
0000100178,Akhtar-Matthews,DE,34955,De Oliveira-les-Bains,021 Pruitt Orchard,0003,7100,20220418,
0000100179,Bourdon Gillet SARL,US,90215,Neustadt am Rübenberge,0145 Janet Springs Apt. 588,0001,1200,20241201,
0000100180,Stanley-Wright,FR,SK6E 0GW,GaillardBourg,"55, boulevard Hubert",0001,1200,20210516,
0000100181,Huet,DE,60675,Pons-sur-Blanc,"81, rue de Henry",0001,2900,20211231,
0000100182,Da Silva,US,12414,Lake Vanessa,"40, chemin Gabrielle Gosselin",0001,2900,20230613,
0000100183,Auger,DE,15199,Hünfeld,"Studio 85
Jordan expressway",0001,7100,20220621,
0000100184,Wagner Bernier et Fils,US,14360,Coburg,"63, avenue Lambert",0001,7100,20250616,
0000100185,Ellis-Lawrence,US,08086,Valette-les-Bains,Reimer-Sontag-Weg 78/46,0001,1200,20230828,
0000100186,Robson-Coates,DE,18241,Bonnin-sur-Bouvet,"Studio 83m
Sara station",0001,5100,20230904,
0000100187,"Ward, Davies and Robinson",US,15879,Renaultnec,62003 Christensen Estates,0001,1200,20220622,
0000100188,"Smith, Bryant and Marshall",US,B57 9XJ,Gros,66 Morgan center,0001,2900,20230311,
0000100189,"King, Oliver and Norman",US,28748,Port Gordon,"Flat 12
Katherine crest",0003,2900,20221106,
0000100190,Gilbert SARL,US,G94 5TF,West Candice,"Studio 85
Lindsey island",0002,2900,20240528,
0000100191,Pölitz AG,DE,88615,Sternberg,"Flat 43W
Turner view",0002,7100,20200515,
0000100192,Caldwell Group,US,05616,Peterhaven,"Studio 0
Sutton fields",0003,2900,20220917,
0000100193,"Reeves, Green and Page",US,82674,Lake Crystal,Harold-Renner-Allee 2-3,0001,7100,20201227,
0000100194,Love-Johnson,US,07614,Ravensburg,6676 Stewart Loaf,0001,5100,20200712,
0000100195,"Smith, Cortez and Brown",US,92367,Sarahville,"Studio 14
Palmer view",0001,1200,20251001,
0000100196,Moore-Robinson,US,69402,Säckingen,821 Christopher ports,0001,1200,20211231,
0000100197,Schneider S.A.,DE,S82 2JZ,North Jeremy,814 John Flat Suite 552,0001,2900,20211009,
0000100198,Hölzenbecher KG,GB,25863,Priceport,Lorchplatz 5,0001,5100,20250304,
0000100199,Trub Stiftung & Co. KGaA,US,35960,Lake Mohamed,"55, boulevard Franck Roger",0001,1200,20211228,
0000100200,Trevino-Taylor,US,11080,Lecomte-sur-Da Silva,"Studio 25z
Joan street",0001,1200,20201107,
0000100201,Hall PLC,US,52508,Lake Shaneburgh,Hans Jörg-Rosemann-Weg 175,0001,2900,20221021,
0000100202,Heinrich Bolnbach GbR,US,B38 6UT,Lake Mariohaven,"Studio 89
Nicola shoal",0001,2900,20210809,
0000100203,Coste,DE,68221,Pagebury,"87, rue de Charrier",0001,5100,20240426,
0000100204,Gehringer Hein AG,DE,G22 9EJ,Fouquet,773 Deborah Loop Apt. 302,0001,7100,20210703,
0000100205,Schuchhardt GmbH & Co. OHG,GB,75509,Eggenfelden,699 Irene view,0001,1200,20220322,
0000100206,Brennan PLC,GB,61274,Saulgau,Geiselweg 27/49,0002,1200,20231128,
0000100207,Payet,US,02671,Dresden,9908 Christopher Shoals,0001,2900,20250310,
0000100208,Reuter,DE,89441,De Oliveiraboeuf,76599 Ronald Glens Suite 314,0001,2900,20240302,
0000100209,Roche,DE,93450,New Adrianborough,"Flat 12B
Smith plain",0001,1200,20230518,
0000100210,Raymond,DE,IV3P 2QX,Le Gall,"Studio 21V
Katie tunnel",0002,2900,20241205,
0000100211,Hamann GmbH & Co. OHG,US,97653,South Tamara,79611 Walker Common,0001,2900,20230409,
0000100212,"Cruz, Joyce and Mendez",US,PH0E 7AH,North June,Oskar-Henck-Allee 2,0001,1200,20251018,
0000100213,Chan-Gomez,US,51700,Wittmund,489 Bailey Via,0001,2900,20200619,
0000100214,Butler and Sons,US,51688,Gregoryhaven,451 Walter Via,0001,1200,20211007,
0000100215,"Williams, Patel and Jones",GB,77907,Carlosbury,Kitzmannstr. 4,0001,5100,20201126,
0000100216,Davids Kuhl OHG mbH,DE,G7 5HY,Lake Jill,Horst-Günter-Wähner-Platz 4/4,0001,1200,20211012,
0000100217,Schönland GmbH,US,11790,Watsonmouth,"37, chemin de Chauvin",0001,5100,20240503,
0000100218,Eckbauer,US,69410,GimenezVille,"Studio 27h
Saunders branch",0001,1200,20200513,
0000100219,"Clark, Carpenter and Nguyen",US,M34 9PQ,Magdeburg,Knappeallee 5-8,0001,5100,20230103,
0000100220,Eigenwillig,US,43866,Wittstock,Hans-Linke-Straße 688,0003,5100,20210717,
0000100221,Deschamps,US,52720,North Jason,"Studio 17V
Smith lake",0001,1200,20241024,
0000100222,Brown-O'Neill,US,45587,Sainte Laetitia-la-Forêt,"62, boulevard Henriette Lebon",0001,1200,20221220,
0000100223,Martin and Sons,US,SA4 9RL,Letellier,"12, rue Peltier",0001,7100,20200911,
0000100224,"Harrison, Francis and Thompson",US,13025,Kelleytown,"2, boulevard Honoré Clément",0001,2900,20250321,
0000100225,Rolland,FR,72282,Lake Michaelmouth,"848, boulevard Schmitt",0001,2900,20201207,
0000100226,Hardy,FR,LS8 1TN,Smithport,254 Nichols Spurs,0002,7100,20220423,
0000100227,Ribeiro,US,56919,Port Thomas,86 Smith stravenue,0001,5100,20240221,
0000100228,Vasseur,GB,S3 4XL,Muller,Dörschnerweg 59-87,0001,5100,20210204,
0000100229,Bähr Flantz AG,US,24872,Josephmouth,20735 Collins Union,0002,1200,20220326,
0000100230,Barthelemy,US,43787,North Joseph,avenue de Arnaud,0001,2900,20221220,
0000100231,Kranz Aumann AG,US,73037,South Paul,"Flat 08
Howard orchard",0001,5100,20220526,
0000100232,Evans Inc,US,36502,South Normantown,925 John Parks Apt. 950,0001,1200,20240912,
0000100233,Newman-Miles,US,16993,Prévost,"Studio 30S
Evans dale",0001,1200,20241215,
0000100234,Jones Group,US,W3K 8QP,Joseph,Tomas-Hübel-Ring 97/70,0001,1200,20230920,
0000100235,Scholl GmbH,FR,18638,Brunet-la-Forêt,"Studio 51g
Samuel village",0001,7100,20210716,
0000100236,Beckmann AG & Co. OHG,US,64119,Backnang,"58, chemin Louis",0001,5100,20241128,
0000100237,Conrad and Sons,US,11579,Angelachester,480 Leon club,0001,2900,20221016,
0000100238,Dietz,US,95550,Erkelenz,Britt-Weiß-Weg 2-6,0003,7100,20200620,
0000100239,Duval,FR,86852,Gomes,"Studio 6
Jenkins port",0001,5100,20210613,
0000100240,Wilms Rogner Stiftung & Co. KGaA,GB,LD7 0BN,West Adam,Barkholzallee 9/9,0001,1200,20200822,
0000100241,Bender GmbH & Co. KG,DE,G45 3LN,Carrollborough,2791 Johnson Valley Suite 105,0001,7100,20221103,
0000100242,Fletcher-Taylor,US,60480,West Stephanie,Gundel-Wagenknecht-Straße 99-29,0002,1200,20200830,
0000100243,Hoffmann Zimmer GmbH,US,51790,Clément,"32, boulevard Louis Coulon",0001,7100,20251023,
0000100244,Guilbert Chauvet et Fils,DE,14659,Lake Robertstad,59 Stewart extension,0001,2900,20220616,
0000100245,"Fuller, Roberts and Johnson",GB,06937,Tirschenreuth,110 Jasmine drive,0001,7100,20231231,
0000100246,Ward Inc,US,LN05 8HH,Johnsonberg,804 Brian Flats Suite 070,0001,2900,20230128,
0000100247,Guerrero-Alvarado,US,B4 3RW,Toddside,87800 Sandra Inlet,0002,2900,20250915,
0000100248,Leach-Fraser,US,HU5X 3WL,Natashatown,5 Moss corners,0002,2900,20250309,
0000100249,Delattre Guillot S.A.S.,US,49578,Staffelstein,Linus-Stroh-Allee 362,0003,5100,20200809,
0000100250,Bevan Ltd,US,24635,Lake Robert,"Studio 4
Morris view",0003,5100,20231012,
0000100251,Marsh Inc,US,09949,Gelnhausen,72897 White Loaf Suite 722,0001,5100,20201120,
0000100252,Beckmann GmbH & Co. KG,DE,35871,Bernier,Hans D.-Mangold-Weg 45-77,0001,7100,20210224,
0000100253,Raynaud et Fils,DE,92420,Bernier-sur-Masse,7038 Terrell Canyon,0001,2900,20210416,
0000100254,Aubert SARL,US,50411,Thompsonport,7181 Kimberly Square,0002,1200,20240203,
0000100255,Lehmann Junitz GmbH & Co. KG,US,23946,Mendès-sur-Renaud,chemin Marine Delahaye,0002,7100,20240621,
0000100256,Wagner,US,12453,Waltersland,"792, avenue de Bertrand",0002,1200,20250628,
0000100257,Rosemann Sorgatz AG & Co. KG,GB,20644,Toussaint,Vesna-Gutknecht-Gasse 1/8,0001,2900,20240618,
0000100258,Devaux,DE,80190,Carpentier,"27, boulevard de Robert",0001,1200,20201121,
0000100259,Holsten,DE,22050,Strasburg,"Flat 0
Helen fall",0002,5100,20220820,
0000100260,Hölzenbecher,DE,95014,Jessicaland,"5, rue Gérard Lemonnier",0001,1200,20200703,
