VBELN,POSNR,MATNR,LFIMG,VRKME,LGMNG,MEINS,WERKS,LGORT,VGBEL,VGPOS,ERDAT
8000000006,000040,000000000000000030,1.86,L,1.86,L,1000,0001,0001014221,000010,20251025
8000000006,000050,000000000000001881,2.858,EA,2.858,EA,1000,0001,0001008945,000010,20251025
8000000007,000010,000000000000001719,7.272,EA,7.272,EA,3000,0001,0001013893,000020,20251013
8000000007,000020,000000000000000762,11.653,L,11.653,L,3000,0001,0001006380,000020,20251013
8000000007,000030,000000000000000375,20.737,L,20.737,L,1000,0001,0001006680,000060,20251013
8000000007,000040,000000000000000453,16.037,EA,16.037,EA,3000,0001,0001004835,000020,20251013
8000000007,000050,000000000000000350,17.442,L,17.442,L,1000,0001,0001005949,000030,20251013
8000000008,000010,000000000000000854,72.629,EA,72.629,EA,2000,0001,0001012418,000020,20251026
8000000008,000020,000000000000001396,395.818,KG,395.818,KG,1000,0001,0001005772,000030,20251026
8000000008,000030,000000000000000110,53.303,KG,53.303,KG,3000,0001,0001003313,000060,20251026
8000000008,000040,000000000000000842,53.238,EA,53.238,EA,2000,0001,0001010281,000010,20251026
8000000008,000050,000000000000000766,5.679,EA,5.679,EA,1000,0001,0001006588,000030,20251026
8000000009,000010,000000000000000142,47.664,EA,47.664,EA,3000,0001,0001001332,000050,20251004
8000000009,000020,000000000000000856,22.312,EA,22.312,EA,1000,0001,0001001621,000030,20251004
8000000009,000030,000000000000001985,56.574,KG,56.574,KG,2000,0001,0001009174,000120,20251004
8000000009,000040,000000000000000066,34.395,EA,34.395,EA,2000,0001,0001010839,000010,20251004
8000000009,000050,000000000000001807,1.424,EA,1.424,EA,2000,0001,0001004508,000040,20251004
8000000010,000010,000000000000001394,18.384,EA,18.384,EA,1000,0001,0001008795,000090,20251012
8000000010,000020,000000000000001866,4.518,EA,4.518,EA,3000,0001,0001009686,000020,20251012
8000000010,000030,000000000000000700,22.608,KG,22.608,KG,1000,0001,0001000694,000040,20251012
8000000010,000040,000000000000001036,27.354,EA,27.354,EA,2000,0001,0001002491,000070,20251012
8000000010,000050,000000000000000110,31.958,KG,31.958,KG,2000,0001,0001002375,000060,20251012
8000000011,000010,000000000000000694,22.576,EA,22.576,EA,2000,0001,0001004205,000050,20250927
8000000011,000020,000000000000001042,11.684,EA,11.684,EA,3000,0001,0001010732,000080,20250927
8000000011,000030,000000000000001819,5.21,KG,5.21,KG,3000,0001,0001003848,000010,20250927
8000000011,000040,000000000000001576,15.865,EA,15.865,EA,3000,0001,0001007000,000080,20250927
8000000011,000050,000000000000000481,12.964,L,12.964,L,1000,0001,0001005075,000020,20250927
8000000012,000010,000000000000001297,19.956,L,19.956,L,1000,0001,0001006448,000010,20251025
8000000012,000020,000000000000000152,15.783,EA,15.783,EA,3000,0001,0001013569,000020,20251025
8000000012,000030,000000000000000734,9.928,EA,9.928,EA,2000,0001,0001007906,000040,20251025
8000000012,000040,000000000000000036,34.491,EA,34.491,EA,3000,0001,0001000758,000050,20251025
8000000012,000050,000000000000000560,10.127,KG,10.127,KG,3000,0001,0001011100,000020,20251025
8000000013,000010,000000000000001971,13.031,EA,13.031,EA,1000,0001,0001004412,000010,20251007
8000000013,000020,000000000000000362,12.359,EA,12.359,EA,1000,0001,0001001036,000050,20251007
8000000013,000030,000000000000000427,4.472,EA,4.472,EA,1000,0001,0001002932,000070,20251007
8000000013,000040,000000000000001477,7.662,EA,7.662,EA,2000,0001,0001014281,000030,20251007
8000000013,000050,000000000000001393,22.407,EA,22.407,EA,1000,0001,0001007887,000020,20251007
8000000014,000010,000000000000000339,88.589,EA,88.589,EA,2000,0001,0001003109,000010,20251012
8000000014,000020,000000000000001405,84.488,EA,84.488,EA,3000,0001,0001000506,000010,20251012
8000000014,000030,000000000000000363,13.159,KG,13.159,KG,2000,0001,0001007076,000010,20251012
8000000014,000040,000000000000000143,19.277,EA,19.277,EA,2000,0001,0001005242,000040,20251012
8000000014,000050,000000000000001417,23.328,EA,23.328,EA,3000,0001,0001013210,000020,20251012
8000000015,000010,000000000000001583,30.66,KG,30.66,KG,3000,0001,0001000273,000070,20251018
8000000015,000020,000000000000000949,90.449,KG,90.449,KG,3000,0001,0001012127,000040,20251018
8000000015,000030,000000000000000135,24.421,EA,24.421,EA,3000,0001,0001007707,000080,20251018
8000000015,000040,000000000000001376,17.759,L,17.759,L,2000,0001,0001004239,000020,20251018
8000000015,000050,000000000000001361,23.74,EA,23.74,EA,2000,0001,0001013290,000040,20251018
8000000016,000010,000000000000000728,17.083,EA,17.083,EA,1000,0001,0001000898,000060,20251014
8000000016,000020,000000000000001122,124.473,EA,124.473,EA,2000,0001,0001011055,000050,20251014
8000000016,000030,000000000000001681,8.894,EA,8.894,EA,3000,0001,0001002263,000030,20251014
8000000016,000040,000000000000001041,67.702,EA,67.702,EA,2000,0001,0001000735,000060,20251014
8000000016,000050,000000000000000817,18.071,EA,18.071,EA,2000,0001,0001004246,000050,20251014
8000000017,000010,000000000000000722,8.488,KG,8.488,KG,2000,0001,0001007597,000090,20251027
8000000017,000020,000000000000001213,89.402,KG,89.402,KG,3000,0001,0001012956,000090,20251027
8000000017,000030,000000000000000317,210.43,EA,210.43,EA,3000,0001,0001013020,000070,20251027
8000000017,000040,000000000000001020,80.068,EA,80.068,EA,1000,0001,0001009629,000030,20251027
8000000017,000050,000000000000000443,16.971,KG,16.971,KG,2000,0001,0001006136,000010,20251027
8000000018,000010,000000000000001243,10.169,EA,10.169,EA,3000,0001,0001010957,000010,20251002
8000000018,000020,000000000000001309,119.114,EA,119.114,EA,2000,0001,0001006467,000030,20251002
8000000018,000030,000000000000001928,8.855,KG,8.855,KG,3000,0001,0001003298,000050,20251002
8000000018,000040,000000000000000839,2.966,KG,2.966,KG,3000,0001,0001005282,000050,20251002
8000000018,000050,000000000000001291,12.759,KG,12.759,KG,1000,0001,0001005862,000020,20251002
8000000019,000010,000000000000000302,39.742,EA,39.742,EA,3000,0001,0001008043,000030,20251025
8000000019,000020,000000000000001181,136.642,EA,136.642,EA,3000,0001,0001009032,000030,20251025
8000000019,000030,000000000000000563,95.908,EA,95.908,EA,1000,0001,0001005635,000030,20251025
8000000019,000040,000000000000001391,12.453,KG,12.453,KG,2000,0001,0001006874,000010,20251025
8000000019,000050,000000000000000456,27.35,EA,27.35,EA,3000,0001,0001006536,000030,20251025
8000000020,000010,000000000000000010,9.605,EA,9.605,EA,3000,0001,0001000841,000020,20251010
8000000020,000020,000000000000000394,8.101,EA,8.101,EA,3000,0001,0001002583,000060,20251010
8000000020,000030,000000000000000526,5.191,L,5.191,L,1000,0001,0001001786,000010,20251010
8000000020,000040,000000000000001864,150.947,EA,150.947,EA,3000,0001,0001004806,000020,20251010
8000000020,000050,000000000000001071,10.006,EA,10.006,EA,1000,0001,0001013990,000030,20251010
8000000021,000010,000000000000000146,4.102,EA,4.102,EA,3000,0001,0001002878,000010,20251027
8000000021,000020,000000000000000865,20.837,KG,20.837,KG,1000,0001,0001003377,000040,20251027
8000000021,000030,000000000000001632,5.598,L,5.598,L,2000,0001,0001009986,000020,20251027
8000000021,000040,000000000000001578,8.63,EA,8.63,EA,1000,0001,0001011559,000040,20251027
8000000021,000050,000000000000001223,10.143,KG,10.143,KG,1000,0001,0001001229,000060,20251027
8000000022,000010,000000000000000516,7.123,KG,7.123,KG,2000,0001,0001001087,000030,20251009
8000000022,000020,000000000000000693,7.522,KG,7.522,KG,1000,0001,0001002689,000010,20251009
8000000022,000030,000000000000001170,26.421,EA,26.421,EA,3000,0001,0001013486,000010,20251009
8000000022,000040,000000000000001234,22.708,EA,22.708,EA,3000,0001,0001013775,000040,20251009
8000000022,000050,000000000000001166,53.379,EA,53.379,EA,3000,0001,0001004620,000040,20251009
8000000023,000010,000000000000000665,124.222,EA,124.222,EA,1000,0001,0001000243,000070,20251015
8000000023,000020,000000000000000399,47.425,L,47.425,L,2000,0001,0001006434,000030,20251015
8000000023,000030,000000000000000345,27.552,EA,27.552,EA,2000,0001,0001002094,000020,20251015
8000000023,000040,000000000000001799,7.646,L,7.646,L,3000,0001,0001011182,000040,20251015
8000000023,000050,000000000000000359,4.059,KG,4.059,KG,2000,0001,0001009021,000020,20251015
8000000024,000010,000000000000000461,3.503,KG,3.503,KG,1000,0001,0001013960,000040,20251014
8000000024,000020,000000000000000814,52.363,EA,52.363,EA,2000,0001,0001005477,000030,20251014
8000000024,000030,000000000000001403,13.008,L,13.008,L,1000,0001,0001004955,000010,20251014
8000000024,000040,000000000000001760,81.211,L,81.211,L,2000,0001,0001002627,000030,20251014
8000000024,000050,000000000000002000,13.515,EA,13.515,EA,1000,0001,0001006937,000020,20251014
8000000025,000010,000000000000001682,13.526,EA,13.526,EA,2000,0001,0001009825,000040,20251030
8000000025,000020,000000000000001699,44.197,EA,44.197,EA,2000,0001,0001002789,000020,20251030
8000000025,000030,000000000000000344,139.73,EA,139.73,EA,2000,0001,0001008293,000010,20251030
8000000025,000040,000000000000001572,178.783,L,178.783,L,2000,0001,0001006847,000020,20251030
8000000025,000050,000000000000001359,23.846,EA,23.846,EA,2000,0001,0001001822,000010,20251030
8000000026,000010,000000000000001773,20.904,EA,20.904,EA,3000,0001,0001013678,000040,20251018
8000000026,000020,000000000000000492,32.23,EA,32.23,EA,1000,0001,0001003758,000050,20251018
8000000026,000030,000000000000000773,44.099,KG,44.099,KG,1000,0001,0001004585,000040,20251018
8000000026,000040,000000000000001240,22.78,EA,22.78,EA,2000,0001,0001010712,000070,20251018
8000000026,000050,000000000000001256,23.042,EA,23.042,EA,2000,0001,0001013903,000040,20251018
8000000027,000010,000000000000001169,15.758,EA,15.758,EA,3000,0001,0001005553,000010,20251011
8000000027,000020,000000000000001334,1.623,EA,1.623,EA,2000,0001,0001011629,000050,20251011
8000000027,000030,000000000000001679,2.941,L,2.941,L,2000,0001,0001004274,000010,20251011
8000000027,000040,000000000000000979,4.621,EA,4.621,EA,1000,0001,0001010213,000030,20251011
8000000027,000050,000000000000001633,17.042,L,17.042,L,3000,0001,0001004479,000040,20251011
8000000028,000010,000000000000001074,8.99,EA,8.99,EA,3000,0001,0001006829,000060,20251003
8000000028,000020,000000000000001572,36.35,L,36.35,L,1000,0001,0001002858,000050,20251003
8000000028,000030,000000000000000432,8.175,EA,8.175,EA,1000,0001,0001003915,000030,20251003
8000000028,000040,000000000000000148,31.508,KG,31.508,KG,1000,0001,0001000624,000020,20251003
8000000028,000050,000000000000000120,8.696,L,8.696,L,3000,0001,0001008614,000060,20251003
8000000029,000010,000000000000000962,23.499,EA,23.499,EA,1000,0001,0001004239,000080,20250929
8000000029,000020,000000000000001551,7.447,EA,7.447,EA,1000,0001,0001009914,000010,20250929
8000000029,000030,000000000000000719,30.279,EA,30.279,EA,2000,0001,0001007668,000090,20250929
8000000029,000040,000000000000000075,19.937,EA,19.937,EA,2000,0001,0001012689,000020,20250929
8000000029,000050,000000000000000844,32.08,EA,32.08,EA,1000,0001,0001002598,000030,20250929
8000000030,000010,000000000000001298,27.013,EA,27.013,EA,3000,0001,0001011637,000020,20251016
8000000030,000020,000000000000000313,33.585,EA,33.585,EA,3000,0001,0001007759,000030,20251016
8000000030,000030,000000000000000411,272.189,EA,272.189,EA,2000,0001,0001010897,000020,20251016
8000000030,000040,000000000000000968,5.258,KG,5.258,KG,3000,0001,0001014025,000010,20251016
8000000030,000050,000000000000000761,19.635,EA,19.635,EA,3000,0001,0001012654,000010,20251016
8000000031,000010,000000000000001986,8.883,EA,8.883,EA,3000,0001,0001006411,000020,20251001
8000000031,000020,000000000000001001,23.115,KG,23.115,KG,1000,0001,0001000984,000080,20251001
8000000031,000030,000000000000000078,11.611,EA,11.611,EA,1000,0001,0001002642,000010,20251001
8000000031,000040,000000000000001665,73.415,EA,73.415,EA,1000,0001,0001000779,000020,20251001
8000000031,000050,000000000000001873,8.731,EA,8.731,EA,2000,0001,0001006229,000090,20251001
8000000032,000010,000000000000000503,25.728,EA,25.728,EA,3000,0001,0001008146,000040,20251023
8000000032,000020,000000000000000346,40.008,EA,40.008,EA,1000,0001,0001008478,000010,20251023
8000000032,000030,000000000000001473,4.89,EA,4.89,EA,3000,0001,0001012285,000030,20251023
8000000032,000040,000000000000000012,23.349,EA,23.349,EA,1000,0001,0001002279,000020,20251023
8000000032,000050,000000000000001893,40.483,EA,40.483,EA,1000,0001,0001001843,000030,20251023
8000000033,000010,000000000000000306,15.242,KG,15.242,KG,2000,0001,0001006758,000010,20251008
8000000033,000020,000000000000001130,41.654,EA,41.654,EA,3000,0001,0001000701,000070,20251008
8000000033,000030,000000000000000890,30.482,EA,30.482,EA,1000,0001,0001011751,000030,20251008
8000000033,000040,000000000000001432,34.571,L,34.571,L,3000,0001,0001005419,000040,20251008
8000000033,000050,000000000000001252,3.777,EA,3.777,EA,2000,0001,0001013891,000010,20251008
8000000034,000010,000000000000001294,29.298,KG,29.298,KG,2000,0001,0001011729,000050,20251024
8000000034,000020,000000000000001056,39.047,EA,39.047,EA,2000,0001,0001010292,000070,20251024
8000000034,000030,000000000000001663,10.713,EA,10.713,EA,2000,0001,0001000423,000030,20251024
8000000034,000040,000000000000001509,355.824,EA,355.824,EA,3000,0001,0001012955,000070,20251024
8000000034,000050,000000000000000381,5.694,EA,5.694,EA,2000,0001,0001013015,000020,20251024
8000000035,000010,000000000000000792,44.244,EA,44.244,EA,2000,0001,0001011630,000030,20251024
8000000035,000020,000000000000001353,10.19,EA,10.19,EA,2000,0001,0001004908,000010,20251024
8000000035,000030,000000000000001326,43.732,EA,43.732,EA,3000,0001,0001010618,000030,20251024
8000000035,000040,000000000000000107,33.998,EA,33.998,EA,1000,0001,0001006909,000010,20251024
8000000035,000050,000000000000000050,21.123,KG,21.123,KG,2000,0001,0001002465,000030,20251024
8000000036,000010,000000000000000150,5.097,EA,5.097,EA,1000,0001,0001013751,000010,20251002
8000000036,000020,000000000000000788,11.707,EA,11.707,EA,3000,0001,0001004019,000020,20251002
8000000036,000030,000000000000000286,7.037,EA,7.037,EA,2000,0001,0001012137,000010,20251002
8000000036,000040,000000000000000936,30.748,EA,30.748,EA,3000,0001,0001002334,000070,20251002
8000000036,000050,000000000000000481,9.762,L,9.762,L,2000,0001,0001005783,000030,20251002
8000000037,000010,000000000000001999,5.367,KG,5.367,KG,1000,0001,0001003052,000030,20251021
8000000037,000020,000000000000000112,21.797,EA,21.797,EA,1000,0001,0001002307,000020,20251021
8000000037,000030,000000000000001015,105.762,EA,105.762,EA,2000,0001,0001012814,000030,20251021
8000000037,000040,000000000000001016,42.586,KG,42.586,KG,3000,0001,0001004911,000080,20251021
8000000037,000050,000000000000000616,59.54,EA,59.54,EA,3000,0001,0001012409,000080,20251021
8000000038,000010,000000000000000622,10.966,EA,10.966,EA,3000,0001,0001000209,000010,20250929
8000000038,000020,000000000000001933,25.352,EA,25.352,EA,3000,0001,0001008344,000050,20250929
8000000038,000030,000000000000001020,6.067,EA,6.067,EA,3000,0001,0001005511,000010,20250929
8000000038,000040,000000000000000367,27.407,EA,27.407,EA,1000,0001,0001007602,000040,20250929
8000000038,000050,000000000000001907,1.941,EA,1.941,EA,2000,0001,0001011860,000020,20250929
8000000039,000010,000000000000001366,43.642,EA,43.642,EA,3000,0001,0001006164,000020,20251019
8000000039,000020,000000000000001942,7.565,EA,7.565,EA,1000,0001,0001006448,000020,20251019
8000000039,000030,000000000000001974,43.971,EA,43.971,EA,2000,0001,0001013103,000010,20251019
8000000039,000040,000000000000001462,14.986,EA,14.986,EA,2000,0001,0001002892,000040,20251019
8000000039,000050,000000000000001822,22.27,EA,22.27,EA,1000,0001,0001001492,000020,20251019
8000000040,000010,000000000000000513,9.509,EA,9.509,EA,1000,0001,0001010420,000010,20251029
8000000040,000020,000000000000001270,77.636,EA,77.636,EA,2000,0001,0001007067,000020,20251029
8000000040,000030,000000000000001523,4.133,EA,4.133,EA,2000,0001,0001010716,000020,20251029
8000000040,000040,000000000000000852,79.636,EA,79.636,EA,3000,0001,0001003628,000050,20251029
8000000040,000050,000000000000001899,196.251,EA,196.251,EA,3000,0001,0001012456,000010,20251029
8000000041,000010,000000000000000446,11.428,EA,11.428,EA,3000,0001,0001007379,000040,20251020
8000000041,000020,000000000000000453,11.971,EA,11.971,EA,2000,0001,0001011583,000030,20251020
8000000041,000030,000000000000000681,38.93,EA,38.93,EA,3000,0001,0001007788,000040,20251020
8000000041,000040,000000000000001932,74.497,L,74.497,L,3000,0001,0001003050,000010,20251020
8000000041,000050,000000000000001700,15.694,EA,15.694,EA,1000,0001,0001009379,000070,20251020
8000000042,000010,000000000000001447,17.742,EA,17.742,EA,3000,0001,0001005605,000040,20251029
8000000042,000020,000000000000001009,10.473,L,10.473,L,1000,0001,0001013117,000030,20251029
8000000042,000030,000000000000001598,37.017,L,37.017,L,3000,0001,0001010893,000030,20251029
8000000042,000040,000000000000001031,11.698,EA,11.698,EA,2000,0001,0001007296,000040,20251029
8000000042,000050,000000000000000991,18.633,EA,18.633,EA,3000,0001,0001003827,000020,20251029
8000000043,000010,000000000000000616,142.418,EA,142.418,EA,1000,0001,0001014211,000030,20251022
8000000043,000020,000000000000000583,4.514,L,4.514,L,3000,0001,0001001998,000010,20251022
8000000043,000030,000000000000000480,16.102,EA,16.102,EA,1000,0001,0001001445,000050,20251022
8000000043,000040,000000000000001212,14.77,EA,14.77,EA,1000,0001,0001012830,000110,20251022
8000000043,000050,000000000000001830,118.799,EA,118.799,EA,1000,0001,0001006378,000060,20251022
8000000044,000010,000000000000000006,42.837,EA,42.837,EA,3000,0001,0001000209,000030,20251011
8000000044,000020,000000000000001785,4.736,EA,4.736,EA,2000,0001,0001003154,000040,20251011
8000000044,000030,000000000000001354,6.27,EA,6.27,EA,2000,0001,0001012117,000010,20251011
8000000044,000040,000000000000000093,13.189,L,13.189,L,3000,0001,0001012424,000070,20251011
8000000044,000050,000000000000001331,29.463,EA,29.463,EA,3000,0001,0001001684,000050,20251011
8000000045,000010,000000000000001281,38.721,KG,38.721,KG,1000,0001,0001006259,000070,20251017
8000000045,000020,000000000000000873,42.217,KG,42.217,KG,2000,0001,0001009362,000030,20251017
8000000045,000030,000000000000001248,11.892,KG,11.892,KG,3000,0001,0001009517,000010,20251017
8000000045,000040,000000000000001349,15.681,EA,15.681,EA,1000,0001,0001011853,000060,20251017
8000000045,000050,000000000000001925,9.55,EA,9.55,EA,2000,0001,0001014208,000010,20251017
8000000046,000010,000000000000000954,14.921,EA,14.921,EA,2000,0001,0001000410,000020,20251008
8000000046,000020,000000000000000856,23.059,EA,23.059,EA,3000,0001,0001000489,000010,20251008
8000000046,000030,000000000000000074,10.321,KG,10.321,KG,3000,0001,0001010369,000050,20251008
8000000046,000040,000000000000000447,50.956,EA,50.956,EA,3000,0001,0001010947,000030,20251008
8000000046,000050,000000000000001014,5.647,KG,5.647,KG,3000,0001,0001003036,000010,20251008
8000000047,000010,000000000000001900,12.504,EA,12.504,EA,2000,0001,0001005934,000060,20251013
8000000047,000020,000000000000001198,11.452,EA,11.452,EA,3000,0001,0001002097,000040,20251013
8000000047,000030,000000000000000481,9.04,L,9.04,L,1000,0001,0001005130,000020,20251013
8000000047,000040,000000000000001662,92.026,KG,92.026,KG,2000,0001,0001005427,000060,20251013
8000000047,000050,000000000000001893,15.627,EA,15.627,EA,2000,0001,0001004643,000020,20251013
8000000048,000010,000000000000000654,20.302,KG,20.302,KG,2000,0001,0001010924,000030,20251023
8000000048,000020,000000000000001102,1.258,EA,1.258,EA,2000,0001,0001011458,000010,20251023
8000000048,000030,000000000000000118,27.402,KG,27.402,KG,1000,0001,0001004986,000040,20251023
8000000048,000040,000000000000000581,272.782,EA,272.782,EA,3000,0001,0001001002,000010,20251023
8000000048,000050,000000000000000919,62.443,EA,62.443,EA,3000,0001,0001012016,000030,20251023
8000000049,000010,000000000000001967,104.06,KG,104.06,KG,3000,0001,0001011210,000050,20251018
8000000049,000020,000000000000000587,29.303,EA,29.303,EA,2000,0001,0001000391,000040,20251018
8000000049,000030,000000000000001376,37.263,L,37.263,L,2000,0001,0001006102,000020,20251018
8000000049,000040,000000000000000702,51.628,L,51.628,L,1000,0001,0001013502,000050,20251018
8000000049,000050,000000000000001151,4.472,EA,4.472,EA,3000,0001,0001003990,000020,20251018
8000000050,000010,000000000000001343,8.005,KG,8.005,KG,2000,0001,0001013007,000020,20251022
8000000050,000020,000000000000000700,116.086,KG,116.086,KG,1000,0001,0001009046,000030,20251022
8000000050,000030,000000000000001616,9.335,EA,9.335,EA,2000,0001,0001004763,000070,20251022
8000000050,000040,000000000000001862,59.599,L,59.599,L,2000,0001,0001009386,000020,20251022
8000000050,000050,000000000000000044,13.64,EA,13.64,EA,3000,0001,0001007478,000060,20251022
8000000051,000010,000000000000001313,11.514,EA,11.514,EA,2000,0001,0001004661,000050,20251004
8000000051,000020,000000000000001326,73.954,EA,73.954,EA,3000,0001,0001003213,000050,20251004
8000000051,000030,000000000000001237,11.942,L,11.942,L,3000,0001,0001013149,000050,20251004
8000000051,000040,000000000000001376,24.892,L,24.892,L,3000,0001,0001006922,000060,20251004
8000000051,000050,000000000000000913,2.682,EA,2.682,EA,3000,0001,0001004533,000030,20251004
8000000052,000010,000000000000001163,4.345,EA,4.345,EA,1000,0001,0001010833,000010,20251017
8000000052,000020,000000000000000853,18.025,L,18.025,L,3000,0001,0001009680,000050,20251017
8000000052,000030,000000000000001891,22.534,EA,22.534,EA,1000,0001,0001007518,000030,20251017
8000000052,000040,000000000000001138,15.642,EA,15.642,EA,2000,0001,0001010141,000070,20251017
8000000052,000050,000000000000001616,14.624,EA,14.624,EA,1000,0001,0001000603,000020,20251017
8000000053,000010,000000000000001267,4.051,KG,4.051,KG,2000,0001,0001006661,000060,20251024
8000000053,000020,000000000000000098,80.02,EA,80.02,EA,1000,0001,0001014310,000060,20251024
8000000053,000030,000000000000000098,8.303,EA,8.303,EA,2000,0001,0001008694,000030,20251024
8000000053,000040,000000000000000588,35.452,EA,35.452,EA,1000,0001,0001010734,000020,20251024
8000000053,000050,000000000000001572,164.285,L,164.285,L,3000,0001,0001005085,000050,20251024
8000000054,000010,000000000000000190,21.234,EA,21.234,EA,3000,0001,0001009218,000010,20251027
8000000054,000020,000000000000001822,11.928,EA,11.928,EA,1000,0001,0001002438,000030,20251027
8000000054,000030,000000000000000542,2.779,EA,2.779,EA,3000,0001,0001002974,000050,20251027
8000000054,000040,000000000000000455,182.263,L,182.263,L,3000,0001,0001003724,000040,20251027
8000000054,000050,000000000000001085,24.823,L,24.823,L,2000,0001,0001000613,000010,20251027
8000000055,000010,000000000000001943,6.93,EA,6.93,EA,3000,0001,0001009444,000050,20251018
8000000055,000020,000000000000000285,16.678,EA,16.678,EA,2000,0001,0001007797,000030,20251018
8000000055,000030,000000000000001993,4.203,EA,4.203,EA,2000,0001,0001011454,000030,20251018
8000000055,000040,000000000000001414,63.902,KG,63.902,KG,2000,0001,0001010006,000010,20251018
8000000055,000050,000000000000000153,8.243,KG,8.243,KG,3000,0001,0001003630,000010,20251018
8000000056,000010,000000000000000826,23.427,EA,23.427,EA,1000,0001,0001000599,000050,20251001
8000000056,000020,000000000000001814,25.701,L,25.701,L,2000,0001,0001009519,000010,20251001
8000000056,000030,000000000000000897,8.594,EA,8.594,EA,1000,0001,0001013875,000010,20251001
8000000056,000040,000000000000000472,160.461,EA,160.461,EA,1000,0001,0001007344,000010,20251001
8000000056,000050,000000000000000740,1.611,L,1.611,L,2000,0001,0001006934,000010,20251001
8000000057,000010,000000000000001954,25.356,EA,25.356,EA,2000,0001,0001005494,000070,20250927
8000000057,000020,000000000000000635,25.856,EA,25.856,EA,1000,0001,0001005457,000050,20250927
8000000057,000030,000000000000001513,8.035,EA,8.035,EA,3000,0001,0001007227,000010,20250927
8000000057,000040,000000000000001369,9.846,EA,9.846,EA,2000,0001,0001002982,000030,20250927
8000000057,000050,000000000000001651,9.199,EA,9.199,EA,2000,0001,0001001266,000050,20250927
8000000058,000010,000000000000000118,23.303,KG,23.303,KG,1000,0001,0001003971,000020,20251025
8000000058,000020,000000000000001399,6.992,EA,6.992,EA,2000,0001,0001012327,000030,20251025
8000000058,000030,000000000000000368,70.077,L,70.077,L,1000,0001,0001008460,000060,20251025
8000000058,000040,000000000000001166,2.791,EA,2.791,EA,2000,0001,0001006647,000090,20251025
8000000058,000050,000000000000000598,239.182,KG,239.182,KG,2000,0001,0001006943,000050,20251025
8000000059,000010,000000000000001205,18.107,EA,18.107,EA,2000,0001,0001005208,000040,20251019
8000000059,000020,000000000000000212,1.177,EA,1.177,EA,1000,0001,0001011395,000030,20251019
8000000059,000030,000000000000000891,10.389,KG,10.389,KG,2000,0001,0001014077,000020,20251019
8000000059,000040,000000000000000091,9.354,KG,9.354,KG,3000,0001,0001006290,000020,20251019
8000000059,000050,000000000000001121,1.956,EA,1.956,EA,3000,0001,0001008320,000050,20251019
8000000060,000010,000000000000000865,90.154,KG,90.154,KG,1000,0001,0001010659,000030,20251026
