VBELN,ERNAM,ERDAT,ERZET,WADAT_IST,WADAT,LFART,VKORG,VSTEL,KUNNR,INCO1,LIFSK,KODAT
8000000037,WHSUSER,20251021,084700,20251021,20251022,LF,2000,20001,0000102456,EXW,,20251021
8000000038,WHSUSER,20250929,134600,20250929,20250930,LF,2000,20001,0000100750,EXW,,20250929
8000000039,WHSUSER,20251019,083300,20251019,20251020,LF,1000,10001,0000101646,EXW,,20251019
8000000040,WHSUSER,20251029,082400,20251029,20251030,LF,1000,10001,0000104044,EXW,,20251029
8000000041,WHSUSER,20251020,160000,20251020,20251021,LF,1000,10001,0000100990,EXW,,20251020
8000000042,WHSUSER,20251029,094900,20251029,20251030,LF,1000,10001,0000104857,EXW,,20251029
8000000043,WHSUSER,20251022,103600,20251022,20251023,LF,1000,10001,0000100990,EXW,,20251022
8000000044,WHSUSER,20251011,152700,20251011,20251012,LF,2000,20001,0000102622,EXW,,20251011
8000000045,WHSUSER,20251017,141900,20251017,20251018,LF,2000,20001,0000102333,EXW,,20251017
8000000046,WHSUSER,20251008,172000,20251008,20251009,LF,1000,10001,0000103926,EXW,,20251008
8000000047,WHSUSER,20251013,105300,20251013,20251014,LF,1000,10001,0000100627,EXW,,20251013
8000000048,WHSUSER,20251023,174300,20251023,20251024,LF,1000,10001,0000104627,EXW,,20251023
8000000049,WHSUSER,20251018,155200,20251018,20251019,LF,1000,10001,0000103489,EXW,,20251018
8000000050,WHSUSER,20251022,142900,20251022,20251023,LF,1000,10001,0000103279,EXW,,20251022
8000000051,WHSUSER,20251004,092600,20251004,20251005,LF,1000,10001,0000104178,EXW,,20251004
8000000052,WHSUSER,20251017,143300,20251017,20251018,LF,1000,10001,0000100479,EXW,,20251017
8000000053,WHSUSER,20251024,134700,20251024,20251025,LF,1000,10001,0000103641,EXW,,20251024
8000000054,WHSUSER,20251027,142800,20251027,20251028,LF,1000,10001,0000104508,EXW,,20251027
8000000055,WHSUSER,20251018,093000,20251018,20251019,LF,2000,20001,0000103183,EXW,,20251018
8000000056,WHSUSER,20251001,121300,20251001,20251002,LF,1000,10001,0000104704,EXW,,20251001
8000000057,WHSUSER,20250927,174500,20250927,20250928,LF,1000,10001,0000100178,EXW,,20250927
8000000058,WHSUSER,20251025,083600,20251025,20251026,LF,1000,10001,0000104979,EXW,,20251025
8000000059,WHSUSER,20251019,120900,20251019,20251020,LF,1000,10001,0000102676,EXW,,20251019
8000000060,WHSUSER,20251026,081300,20251026,20251027,LF,1000,10001,0000103930,EXW,,20251026
8000000061,WHSUSER,20251009,080300,20251009,20251010,LF,1000,10001,0000104204,EXW,,20251009
8000000062,WHSUSER,20251011,103000,20251011,20251012,LF,1000,10001,0000100445,EXW,,20251011
8000000063,WHSUSER,20251004,153900,20251004,20251005,LF,3000,30001,0000101088,EXW,,20251004
8000000064,WHSUSER,20251022,113800,20251022,20251023,LF,3000,30001,0000102375,EXW,,20251022
8000000065,WHSUSER,20251017,145400,20251017,20251018,LF,1000,10001,0000102660,EXW,,20251017
8000000066,WHSUSER,20251006,112800,20251006,20251007,LF,3000,30001,0000101343,EXW,,20251006
8000000067,WHSUSER,20251021,122200,20251021,20251022,LF,1000,10001,0000101679,EXW,,20251021
8000000068,WHSUSER,20251014,135700,20251014,20251015,LF,1000,10001,0000102070,EXW,,20251014
8000000069,WHSUSER,20251007,153200,20251007,20251008,LF,1000,10001,0000103728,EXW,,20251007
8000000070,WHSUSER,20251027,083600,20251027,20251028,LF,2000,20001,0000101928,EXW,,20251027
8000000071,WHSUSER,20251004,134900,20251004,20251005,LF,1000,10001,0000100443,EXW,,20251004
8000000072,WHSUSER,20251021,171300,20251021,20251022,LF,2000,20001,0000102388,EXW,,20251021
8000000073,WHSUSER,20251003,080100,20251003,20251004,LF,1000,10001,0000101202,EXW,,20251003
8000000074,WHSUSER,20251014,153600,20251014,20251015,LF,3000,30001,0000102963,EXW,,20251014
8000000075,WHSUSER,20251016,141300,20251016,20251017,LF,3000,30001,0000103941,EXW,,20251016
8000000076,WHSUSER,20251004,083800,20251004,20251005,LF,1000,10001,0000103409,EXW,,20251004
8000000077,WHSUSER,20251001,155900,20251001,20251002,LF,1000,10001,0000101984,EXW,,20251001
8000000078,WHSUSER,20251009,084400,20251009,20251010,LF,2000,20001,0000100354,EXW,,20251009
8000000079,WHSUSER,20251010,083400,20251010,20251011,LF,3000,30001,0000102850,EXW,,20251010
8000000080,WHSUSER,20251012,161800,20251012,20251013,LF,3000,30001,0000101348,EXW,,20251012
8000000081,WHSUSER,20251027,153100,20251027,20251028,LF,1000,10001,0000103694,EXW,,20251027
8000000082,WHSUSER,20251001,114200,20251001,20251002,LF,1000,10001,0000104150,EXW,,20251001
8000000083,WHSUSER,20251013,103000,20251013,20251014,LF,2000,20001,0000100709,EXW,,20251013
8000000084,WHSUSER,20251001,105100,20251001,20251002,LF,2000,20001,0000103844,EXW,,20251001
8000000085,WHSUSER,20251020,142500,20251020,20251021,LF,2000,20001,0000102455,EXW,,20251020
8000000086,WHSUSER,20250930,085900,20250930,20251001,LF,1000,10001,0000100408,EXW,,20250930
8000000087,WHSUSER,20251020,135200,20251020,20251021,LF,1000,10001,0000104418,EXW,,20251020
8000000088,WHSUSER,20251015,110700,20251015,20251016,LF,2000,20001,0000102161,EXW,,20251015
8000000089,WHSUSER,20251006,174300,20251006,20251007,LF,2000,20001,0000100619,EXW,,20251006
8000000090,WHSUSER,20250930,144800,20250930,20251001,LF,1000,10001,0000103689,EXW,,20250930
8000000091,WHSUSER,20251010,092000,20251010,20251011,LF,1000,10001,0000103078,EXW,,20251010
8000000092,WHSUSER,20251004,080600,20251004,20251005,LF,1000,10001,0000101611,EXW,,20251004
8000000093,WHSUSER,20251006,124600,20251006,20251007,LF,1000,10001,0000101297,EXW,,20251006
8000000094,WHSUSER,20251005,150700,20251005,20251006,LF,1000,10001,0000101998,EXW,,20251005
8000000095,WHSUSER,20251008,112200,20251008,20251009,LF,1000,10001,0000102119,EXW,,20251008
8000000096,WHSUSER,20251002,080500,20251002,20251003,LF,3000,30001,0000104091,EXW,,20251002
8000000097,WHSUSER,20251015,104800,20251015,20251016,LF,1000,10001,0000101737,EXW,,20251015
8000000098,WHSUSER,20251029,083100,20251029,20251030,LF,1000,10001,0000100065,EXW,,20251029
8000000099,WHSUSER,20251018,110700,20251018,20251019,LF,1000,10001,0000103826,EXW,,20251018
8000000100,WHSUSER,20251008,160000,20251008,20251009,LF,1000,10001,0000102837,EXW,,20251008
8000000101,WHSUSER,20251011,115200,20251011,20251012,LF,3000,30001,0000100226,EXW,,20251011
8000000102,WHSUSER,20250926,160000,20250926,20250927,LF,1000,10001,0000102798,EXW,,20250926
8000000103,WHSUSER,20251007,102000,20251007,20251008,LF,2000,20001,0000104637,EXW,,20251007
8000000104,WHSUSER,20251012,131200,20251012,20251013,LF,1000,10001,0000104855,EXW,,20251012
8000000105,WHSUSER,20251016,103500,20251016,20251017,LF,1000,10001,0000103293,EXW,,20251016
8000000106,WHSUSER,20251001,174200,20251001,20251002,LF,2000,20001,0000103095,EXW,,20251001
8000000107,WHSUSER,20251003,122000,20251003,20251004,LF,1000,10001,0000101822,EXW,,20251003
8000000108,WHSUSER,20251021,150200,20251021,20251022,LF,3000,30001,0000102184,EXW,,20251021
8000000109,WHSUSER,20251027,153000,20251027,20251028,LF,2000,20001,0000101018,EXW,,20251027
8000000110,WHSUSER,20251021,175000,20251021,20251022,LF,1000,10001,0000101988,EXW,,20251021
8000000111,WHSUSER,20251009,172400,20251009,20251010,LF,3000,30001,0000101044,EXW,,20251009
8000000112,WHSUSER,20251023,161300,20251023,20251024,LF,1000,10001,0000104091,EXW,,20251023
8000000113,WHSUSER,20251021,173100,20251021,20251022,LF,1000,10001,0000100562,EXW,,20251021
8000000114,WHSUSER,20251004,111200,20251004,20251005,LF,2000,20001,0000101109,EXW,,20251004
8000000115,WHSUSER,20251024,141900,20251024,20251025,LF,1000,10001,0000102015,EXW,,20251024
8000000116,WHSUSER,20251001,091300,20251001,20251002,LF,1000,10001,0000104546,EXW,,20251001
8000000117,WHSUSER,20251005,175400,20251005,20251006,LF,1000,10001,0000100082,EXW,,20251005
8000000118,WHSUSER,20251010,120500,20251010,20251011,LF,2000,20001,0000102331,EXW,,20251010
8000000119,WHSUSER,20251005,171900,20251005,20251006,LF,2000,20001,0000103777,EXW,,20251005
8000000120,WHSUSER,20251016,141500,20251016,20251017,LF,2000,20001,0000100171,EXW,,20251016
8000000121,WHSUSER,20251019,165200,20251019,20251020,LF,1000,10001,0000102646,EXW,,20251019
8000000122,WHSUSER,20251008,150700,20251008,20251009,LF,2000,20001,0000100357,EXW,,20251008
8000000123,WHSUSER,20250928,150800,20250928,20250929,LF,1000,10001,0000100830,EXW,,20250928
8000000124,WHSUSER,20251026,152700,20251026,20251027,LF,1000,10001,0000100428,EXW,,20251026
8000000125,WHSUSER,20250927,164500,20250927,20250928,LF,1000,10001,0000103896,EXW,,20250927
8000000126,WHSUSER,20251010,111800,20251010,20251011,LF,2000,20001,0000102393,EXW,,20251010
8000000127,WHSUSER,20251022,171600,20251022,20251023,LF,1000,10001,0000102188,EXW,,20251022
8000000128,WHSUSER,20251003,174500,20251003,20251004,LF,2000,20001,0000104060,EXW,,20251003
8000000129,WHSUSER,20251010,094500,20251010,20251011,LF,2000,20001,0000101655,EXW,,20251010
8000000130,WHSUSER,20251010,145700,20251010,20251011,LF,1000,10001,0000100457,EXW,,20251010
8000000131,WHSUSER,20251015,125700,20251015,20251016,LF,1000,10001,0000101697,EXW,,20251015
8000000132,WHSUSER,20251014,165200,20251014,20251015,LF,2000,20001,0000102688,EXW,,20251014
8000000133,WHSUSER,20251021,161600,20251021,20251022,LF,1000,10001,0000103132,EXW,,20251021
8000000134,WHSUSER,20251007,143000,20251007,20251008,LF,1000,10001,0000100251,EXW,,20251007
8000000135,WHSUSER,20250929,113800,20250929,20250930,LF,2000,20001,0000101884,EXW,,20250929
8000000136,WHSUSER,20250926,085000,20250926,20250927,LF,2000,20001,0000103477,EXW,,20250926
8000000137,WHSUSER,20251005,140900,20251005,20251006,LF,1000,10001,0000103898,EXW,,20251005
8000000138,WHSUSER,20251007,111900,20251007,20251008,LF,1000,10001,0000104618,EXW,,20251007
8000000139,WHSUSER,20250929,093200,20250929,20250930,LF,2000,20001,0000103484,EXW,,20250929
8000000140,WHSUSER,20251021,125400,20251021,20251022,LF,1000,10001,0000100677,EXW,,20251021
8000000141,WHSUSER,20251025,083100,20251025,20251026,LF,1000,10001,0000103069,EXW,,20251025
8000000142,WHSUSER,20251006,114300,20251006,20251007,LF,2000,20001,0000103125,EXW,,20251006
8000000143,WHSUSER,20251007,123400,20251007,20251008,LF,2000,20001,0000104493,EXW,,20251007
8000000144,WHSUSER,20251020,173700,20251020,20251021,LF,1000,10001,0000101040,EXW,,20251020
8000000145,WHSUSER,20251016,163500,20251016,20251017,LF,1000,10001,0000103567,EXW,,20251016
8000000146,WHSUSER,20251006,133900,20251006,20251007,LF,1000,10001,0000103912,EXW,,20251006
8000000147,WHSUSER,20251001,133000,20251001,20251002,LF,1000,10001,0000104199,EXW,,20251001
8000000148,WHSUSER,20250926,080100,20250926,20250927,LF,1000,10001,0000101838,EXW,,20250926
8000000149,WHSUSER,20251001,172300,20251001,20251002,LF,2000,20001,0000102771,EXW,,20251001
8000000150,WHSUSER,20251022,172600,20251022,20251023,LF,1000,10001,0000102030,EXW,,20251022
8000000151,WHSUSER,20251025,104800,20251025,20251026,LF,3000,30001,0000103205,EXW,,20251025
8000000152,WHSUSER,20251003,153400,20251003,20251004,LF,1000,10001,0000101380,EXW,,20251003
8000000153,WHSUSER,20251024,164700,20251024,20251025,LF,1000,10001,0000100235,EXW,,20251024
8000000154,WHSUSER,20250926,085000,20250926,20250927,LF,1000,10001,0000103283,EXW,,20250926
8000000155,WHSUSER,20250928,133900,20250928,20250929,LF,1000,10001,0000104320,EXW,,20250928
8000000156,WHSUSER,20251001,170900,20251001,20251002,LF,2000,20001,0000100153,EXW,,20251001
8000000157,WHSUSER,20251018,083700,20251018,20251019,LF,1000,10001,0000100658,EXW,,20251018
8000000158,WHSUSER,20251001,140300,20251001,20251002,LF,3000,30001,0000103833,EXW,,20251001
8000000159,WHSUSER,20251024,151500,20251024,20251025,LF,1000,10001,0000102134,EXW,,20251024
8000000160,WHSUSER,20251023,141100,20251023,20251024,LF,3000,30001,0000100774,EXW,,20251023
8000000161,WHSUSER,20251017,132500,20251017,20251018,LF,1000,10001,0000102867,EXW,,20251017
8000000162,WHSUSER,20251027,103400,20251027,20251028,LF,2000,20001,0000102512,EXW,,20251027
8000000163,WHSUSER,20251005,092400,20251005,20251006,LF,2000,20001,0000100931,EXW,,20251005
8000000164,WHSUSER,20251003,163600,20251003,20251004,LF,1000,10001,0000104909,EXW,,20251003
8000000165,WHSUSER,20251005,173100,20251005,20251006,LF,2000,20001,0000103988,EXW,,20251005
8000000166,WHSUSER,20251014,151300,20251014,20251015,LF,1000,10001,0000100688,EXW,,20251014
8000000167,WHSUSER,20251012,111900,20251012,20251013,LF,2000,20001,0000104482,EXW,,20251012
8000000168,WHSUSER,20251015,103700,20251015,20251016,LF,2000,20001,0000104461,EXW,,20251015
8000000169,WHSUSER,20251008,151300,20251008,20251009,LF,3000,30001,0000104474,EXW,,20251008
8000000170,WHSUSER,20251002,124600,20251002,20251003,LF,2000,20001,0000101936,EXW,,20251002
8000000171,WHSUSER,20251014,112300,20251014,20251015,LF,1000,10001,0000102957,EXW,,20251014
8000000172,WHSUSER,20251014,093300,20251014,20251015,LF,1000,10001,0000101958,EXW,,20251014
8000000173,WHSUSER,20251002,132900,20251002,20251003,LF,1000,10001,0000104559,EXW,,20251002
8000000174,WHSUSER,20251020,124600,20251020,20251021,LF,2000,20001,0000100718,EXW,,20251020
8000000175,WHSUSER,20251016,125400,20251016,20251017,LF,1000,10001,0000104066,EXW,,20251016
8000000176,WHSUSER,20251014,100000,20251014,20251015,LF,1000,10001,0000104339,EXW,,20251014
8000000177,WHSUSER,20251006,133500,20251006,20251007,LF,1000,10001,0000103747,EXW,,20251006
8000000178,WHSUSER,20251008,083300,20251008,20251009,LF,1000,10001,0000100226,EXW,,20251008
8000000179,WHSUSER,20251011,084700,20251011,20251012,LF,1000,10001,0000102043,EXW,,20251011
8000000180,WHSUSER,20251023,123000,20251023,20251024,LF,2000,20001,0000104859,EXW,,20251023
8000000181,WHSUSER,20251026,111200,20251026,20251027,LF,2000,20001,0000103953,EXW,,20251026
8000000182,WHSUSER,20251025,145100,20251025,20251026,LF,1000,10001,0000101446,EXW,,20251025
8000000183,WHSUSER,20251021,160400,20251021,20251022,LF,1000,10001,0000104212,EXW,,20251021
8000000184,WHSUSER,20251009,131400,20251009,20251010,LF,1000,10001,0000100980,EXW,,20251009
8000000185,WHSUSER,20251016,080000,20251016,20251017,LF,1000,10001,0000100061,EXW,,20251016
8000000186,WHSUSER,20250930,174900,20250930,20251001,LF,2000,20001,0000104427,EXW,,20250930
8000000187,WHSUSER,20251009,082300,20251009,20251010,LF,1000,10001,0000103453,EXW,,20251009
8000000188,WHSUSER,20251021,165800,20251021,20251022,LF,2000,20001,0000100206,EXW,,20251021
8000000189,WHSUSER,20251002,140300,20251002,20251003,LF,1000,10001,0000102097,EXW,,20251002
8000000190,WHSUSER,20251013,130000,20251013,20251014,LF,2000,20001,0000101891,EXW,,20251013
8000000191,WHSUSER,20251009,080300,20251009,20251010,LF,2000,20001,0000103581,EXW,,20251009
8000000192,WHSUSER,20251009,134500,20251009,20251010,LF,2000,20001,0000101747,EXW,,20251009
8000000193,WHSUSER,20251020,152700,20251020,20251021,LF,1000,10001,0000103008,EXW,,20251020
8000000194,WHSUSER,20251002,103700,20251002,20251003,LF,1000,10001,0000101845,EXW,,20251002
8000000195,WHSUSER,20251026,094400,20251026,20251027,LF,1000,10001,0000100577,EXW,,20251026
8000000196,WHSUSER,20251020,131500,20251020,20251021,LF,1000,10001,0000104068,EXW,,20251020
8000000197,WHSUSER,20251013,090800,20251013,20251014,LF,2000,20001,0000101667,EXW,,20251013
8000000198,WHSUSER,20250929,101000,20250929,20250930,LF,1000,10001,0000104198,EXW,,20250929
8000000199,WHSUSER,20251009,170800,20251009,20251010,LF,2000,20001,0000104398,EXW,,20251009
8000000200,WHSUSER,20251024,133400,20251024,20251025,LF,1000,10001,0000101095,EXW,,20251024
8000000201,WHSUSER,20251022,145900,20251022,20251023,LF,1000,10001,0000104590,EXW,,20251022
8000000202,WHSUSER,20251016,100300,20251016,20251017,LF,1000,10001,0000102682,EXW,,20251016
8000000203,WHSUSER,20251019,094500,20251019,20251020,LF,1000,10001,0000101495,EXW,,20251019
8000000204,WHSUSER,20251024,101700,20251024,20251025,LF,2000,20001,0000100243,EXW,,20251024
8000000205,WHSUSER,20251031,164400,20251031,20251101,LF,2000,20001,0000101657,EXW,,20251031
8000000206,WHSUSER,20251004,160400,20251004,20251005,LF,1000,10001,0000101958,EXW,,20251004
8000000207,WHSUSER,20251001,131600,20251001,20251002,LF,1000,10001,0000102817,EXW,,20251001
8000000208,WHSUSER,20251025,174300,20251025,20251026,LF,1000,10001,0000102659,EXW,,20251025
8000000209,WHSUSER,20251006,153900,20251006,20251007,LF,1000,10001,0000104471,EXW,,20251006
8000000210,WHSUSER,20251023,093300,20251023,20251024,LF,1000,10001,0000102363,EXW,,20251023
8000000211,WHSUSER,20251016,142200,20251016,20251017,LF,2000,20001,0000101749,EXW,,20251016
8000000212,WHSUSER,20250926,130300,20250926,20250927,LF,2000,20001,0000103855,EXW,,20250926
8000000213,WHSUSER,20251009,142300,20251009,20251010,LF,1000,10001,0000103162,EXW,,20251009
8000000214,WHSUSER,20251006,133000,20251006,20251007,LF,2000,20001,0000104650,EXW,,20251006
8000000215,WHSUSER,20251011,170000,20251011,20251012,LF,1000,10001,0000100803,EXW,,20251011
8000000216,WHSUSER,20251015,141600,20251015,20251016,LF,1000,10001,0000103488,EXW,,20251015
8000000217,WHSUSER,20251009,091500,20251009,20251010,LF,2000,20001,0000103850,EXW,,20251009
8000000218,WHSUSER,20251009,164600,20251009,20251010,LF,1000,10001,0000100103,EXW,,20251009
8000000219,WHSUSER,20251021,124900,20251021,20251022,LF,1000,10001,0000100267,EXW,,20251021
8000000220,WHSUSER,20251012,143800,20251012,20251013,LF,2000,20001,0000104626,EXW,,20251012
8000000221,WHSUSER,20251018,160500,20251018,20251019,LF,1000,10001,0000102126,EXW,,20251018
8000000222,WHSUSER,20251014,131500,20251014,20251015,LF,1000,10001,0000101056,EXW,,20251014
8000000223,WHSUSER,20251024,113400,20251024,20251025,LF,1000,10001,0000104594,EXW,,20251024
8000000224,WHSUSER,20251005,171100,20251005,20251006,LF,1000,10001,0000102572,EXW,,20251005
8000000225,WHSUSER,20251020,143300,20251020,20251021,LF,3000,30001,0000104973,EXW,,20251020
8000000226,WHSUSER,20251018,143200,20251018,20251019,LF,1000,10001,0000103860,EXW,,20251018
8000000227,WHSUSER,20251012,122900,20251012,20251013,LF,1000,10001,0000104277,EXW,,20251012
8000000228,WHSUSER,20251021,103500,20251021,20251022,LF,3000,30001,0000104613,EXW,,20251021
8000000229,WHSUSER,20250928,092000,20250928,20250929,LF,1000,10001,0000102495,EXW,,20250928
8000000230,WHSUSER,20251012,171600,20251012,20251013,LF,3000,30001,0000100024,EXW,,20251012
8000000231,WHSUSER,20251016,122500,20251016,20251017,LF,1000,10001,0000100278,EXW,,20251016
8000000232,WHSUSER,20251011,165300,20251011,20251012,LF,1000,10001,0000102930,EXW,,20251011
8000000233,WHSUSER,20251016,173300,20251016,20251017,LF,2000,20001,0000102494,EXW,,20251016
8000000234,WHSUSER,20251021,151100,20251021,20251022,LF,1000,10001,0000102665,EXW,,20251021
8000000235,WHSUSER,20251026,140200,20251026,20251027,LF,1000,10001,0000101484,EXW,,20251026
8000000236,WHSUSER,20251025,145600,20251025,20251026,LF,2000,20001,0000100936,EXW,,20251025
8000000237,WHSUSER,20251003,095000,20251003,20251004,LF,1000,10001,0000104753,EXW,,20251003
8000000238,WHSUSER,20251006,164000,20251006,20251007,LF,3000,30001,0000100358,EXW,,20251006
8000000239,WHSUSER,20251028,170800,20251028,20251029,LF,1000,10001,0000100411,EXW,,20251028
8000000240,WHSUSER,20251002,170200,20251002,20251003,LF,1000,10001,0000102061,EXW,,20251002
8000000241,WHSUSER,20251010,135600,20251010,20251011,LF,1000,10001,0000103932,EXW,,20251010
8000000242,WHSUSER,20251001,105600,20251001,20251002,LF,1000,10001,0000102352,EXW,,20251001
8000000243,WHSUSER,20251016,142300,20251016,20251017,LF,2000,20001,0000104528,EXW,,20251016
8000000244,WHSUSER,20251013,095600,20251013,20251014,LF,3000,30001,0000100235,EXW,,20251013
8000000245,WHSUSER,20251008,131500,20251008,20251009,LF,1000,10001,0000102464,EXW,,20251008
8000000246,WHSUSER,20250929,172300,20250929,20250930,LF,2000,20001,0000100846,EXW,,20250929
8000000247,WHSUSER,20250927,134700,20250927,20250928,LF,1000,10001,0000101475,EXW,,20250927
8000000248,WHSUSER,20251012,094900,20251012,20251013,LF,3000,30001,0000103490,EXW,,20251012
8000000249,WHSUSER,20251011,124300,20251011,20251012,LF,1000,10001,0000104278,EXW,,20251011
8000000250,WHSUSER,20251023,174500,20251023,20251024,LF,1000,10001,0000104813,EXW,,20251023
8000000251,WHSUSER,20250930,081700,20250930,20251001,LF,1000,10001,0000104980,EXW,,20250930
8000000252,WHSUSER,20251022,093300,20251022,20251023,LF,3000,30001,0000101728,EXW,,20251022
8000000253,WHSUSER,20251023,140300,20251023,20251024,LF,2000,20001,0000100988,EXW,,20251023
8000000254,WHSUSER,20251008,115800,20251008,20251009,LF,2000,20001,0000102801,EXW,,20251008
8000000255,WHSUSER,20251027,105700,20251027,20251028,LF,1000,10001,0000100927,EXW,,20251027
8000000256,WHSUSER,20251016,083600,20251016,20251017,LF,1000,10001,0000101582,EXW,,20251016
8000000257,WHSUSER,20250930,163300,20250930,20251001,LF,1000,10001,0000103063,EXW,,20250930
8000000258,WHSUSER,20251019,140500,20251019,20251020,LF,1000,10001,0000101570,EXW,,20251019
8000000259,WHSUSER,20251017,121700,20251017,20251018,LF,1000,10001,0000102073,EXW,,20251017
8000000260,WHSUSER,20251018,160700,20251018,20251019,LF,3000,30001,0000104730,EXW,,20251018
8000000261,WHSUSER,20251019,133700,20251019,20251020,LF,2000,20001,0000102219,EXW,,20251019
8000000262,WHSUSER,20251005,092300,20251005,20251006,LF,2000,20001,0000100238,EXW,,20251005
8000000263,WHSUSER,20251016,132800,20251016,20251017,LF,1000,10001,0000104315,EXW,,20251016
8000000264,WHSUSER,20251021,104000,20251021,20251022,LF,1000,10001,0000100524,EXW,,20251021
8000000265,WHSUSER,20251021,101300,20251021,20251022,LF,1000,10001,0000100368,EXW,,20251021
8000000266,WHSUSER,20250930,103700,20250930,20251001,LF,1000,10001,0000102441,EXW,,20250930
8000000267,WHSUSER,20251005,121500,20251005,20251006,LF,2000,20001,0000101870,EXW,,20251005
8000000268,WHSUSER,20251015,163800,20251015,20251016,LF,1000,10001,0000101188,EXW,,20251015
8000000269,WHSUSER,20251030,114500,20251030,20251031,LF,1000,10001,0000102380,EXW,,20251030
8000000270,WHSUSER,20250930,082200,20250930,20251001,LF,1000,10001,0000100198,EXW,,20250930
8000000271,WHSUSER,20251004,141900,20251004,20251005,LF,2000,20001,0000100632,EXW,,20251004
8000000272,WHSUSER,20251026,165000,20251026,20251027,LF,1000,10001,0000100111,EXW,,20251026
8000000273,WHSUSER,20251006,110000,20251006,20251007,LF,1000,10001,0000104179,EXW,,20251006
8000000274,WHSUSER,20251011,103400,20251011,20251012,LF,2000,20001,0000100260,EXW,,20251011
8000000275,WHSUSER,20251016,121900,20251016,20251017,LF,1000,10001,0000101762,EXW,,20251016
8000000276,WHSUSER,20251001,112700,20251001,20251002,LF,1000,10001,0000102816,EXW,,20251001
8000000277,WHSUSER,20251020,103600,20251020,20251021,LF,1000,10001,0000101004,EXW,,20251020
