TKNUM,SHTYP,ERNAM,ERDAT,DATEN,DATBI,VSTEL,TDLNR
0700000039,ZSTD,SHIPUSER,20251013,20251013,20251015,20001,CARR1
0700000040,ZSTD,SHIPUSER,20251016,20251016,20251018,10001,CARR1
0700000041,ZSTD,SHIPUSER,20251007,20251007,20251009,30001,CARR4
0700000042,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR2
0700000043,ZSTD,SHIPUSER,20251023,20251023,20251025,20001,CARR1
0700000044,ZSTD,SHIPUSER,20251014,20251014,20251016,30001,CARR3
0700000045,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR5
0700000046,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR4
0700000047,ZSTD,SHIPUSER,20251007,20251007,20251009,20001,CARR5
0700000048,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR4
0700000049,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR1
0700000050,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR4
0700000051,ZSTD,SHIPUSER,20251005,20251005,20251007,10001,CARR5
0700000052,ZSTD,SHIPUSER,20251021,20251021,20251023,10001,CARR2
0700000053,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR4
0700000054,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR1
0700000055,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR1
0700000056,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR2
0700000057,ZSTD,SHIPUSER,20251007,20251007,20251009,20001,CARR3
0700000058,ZSTD,SHIPUSER,20251027,20251027,20251029,20001,CARR1
0700000059,ZSTD,SHIPUSER,20251017,20251017,20251019,30001,CARR5
0700000060,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR4
0700000061,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR3
0700000062,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR3
0700000063,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR3
0700000064,ZSTD,SHIPUSER,20251007,20251007,20251009,30001,CARR5
0700000065,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR4
0700000066,ZSTD,SHIPUSER,20251015,20251015,20251017,20001,CARR1
0700000067,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR5
0700000068,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR4
0700000069,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR2
0700000070,ZSTD,SHIPUSER,20251024,20251024,20251026,20001,CARR4
0700000071,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR3
0700000072,ZSTD,SHIPUSER,20250926,20250926,20250928,10001,CARR4
0700000073,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR3
0700000074,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR1
0700000075,ZSTD,SHIPUSER,20251013,20251013,20251015,30001,CARR5
0700000076,ZSTD,SHIPUSER,20251010,20251010,20251012,10001,CARR4
0700000077,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR3
0700000078,ZSTD,SHIPUSER,20251021,20251021,20251023,20001,CARR5
0700000079,ZSTD,SHIPUSER,20251003,20251003,20251005,30001,CARR5
0700000080,ZSTD,SHIPUSER,20251016,20251016,20251018,10001,CARR3
0700000081,ZSTD,SHIPUSER,20251002,20251002,20251004,10001,CARR2
0700000082,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR4
0700000083,ZSTD,SHIPUSER,20251010,20251010,20251012,20001,CARR3
0700000084,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR5
0700000085,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR5
0700000086,ZSTD,SHIPUSER,20251023,20251023,20251025,20001,CARR5
0700000087,ZSTD,SHIPUSER,20251015,20251015,20251017,20001,CARR3
0700000088,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR4
0700000089,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR5
0700000090,ZSTD,SHIPUSER,20251015,20251015,20251017,30001,CARR5
0700000091,ZSTD,SHIPUSER,20250927,20250927,20250929,20001,CARR3
0700000092,ZSTD,SHIPUSER,20251015,20251015,20251017,30001,CARR2
0700000093,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR3
0700000094,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR1
0700000095,ZSTD,SHIPUSER,20251025,20251025,20251027,20001,CARR2
0700000096,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR2
0700000097,ZSTD,SHIPUSER,20251024,20251024,20251026,20001,CARR2
0700000098,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR2
0700000099,ZSTD,SHIPUSER,20251031,20251031,20251102,20001,CARR5
0700000100,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR4
0700000101,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR3
0700000102,ZSTD,SHIPUSER,20251023,20251023,20251025,20001,CARR3
0700000103,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR5
0700000104,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR4
0700000105,ZSTD,SHIPUSER,20251024,20251024,20251026,10001,CARR2
0700000106,ZSTD,SHIPUSER,20250928,20250928,20250930,10001,CARR1
0700000107,ZSTD,SHIPUSER,20251014,20251014,20251016,20001,CARR3
0700000108,ZSTD,SHIPUSER,20250927,20250927,20250929,10001,CARR3
0700000109,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR5
0700000110,ZSTD,SHIPUSER,20251014,20251014,20251016,30001,CARR4
0700000111,ZSTD,SHIPUSER,20251004,20251004,20251006,30001,CARR4
0700000112,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR3
0700000113,ZSTD,SHIPUSER,20251004,20251004,20251006,20001,CARR5
0700000114,ZSTD,SHIPUSER,20251010,20251010,20251012,10001,CARR5
0700000115,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR1
0700000116,ZSTD,SHIPUSER,20251022,20251022,20251024,20001,CARR5
0700000117,ZSTD,SHIPUSER,20251025,20251025,20251027,20001,CARR2
0700000118,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR5
0700000119,ZSTD,SHIPUSER,20251021,20251021,20251023,10001,CARR3
0700000120,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR4
0700000121,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR3
0700000122,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR3
0700000123,ZSTD,SHIPUSER,20251005,20251005,20251007,30001,CARR4
0700000124,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR4
0700000125,ZSTD,SHIPUSER,20251031,20251031,20251102,10001,CARR1
0700000126,ZSTD,SHIPUSER,20251030,20251030,20251101,10001,CARR5
0700000127,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR1
0700000128,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR3
0700000129,ZSTD,SHIPUSER,20251014,20251014,20251016,30001,CARR4
0700000130,ZSTD,SHIPUSER,20251017,20251017,20251019,30001,CARR1
0700000131,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR4
0700000132,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR4
0700000133,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR2
0700000134,ZSTD,SHIPUSER,20251022,20251022,20251024,20001,CARR4
0700000135,ZSTD,SHIPUSER,20251007,20251007,20251009,20001,CARR5
0700000136,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR4
0700000137,ZSTD,SHIPUSER,20251001,20251001,20251003,10001,CARR1
0700000138,ZSTD,SHIPUSER,20250928,20250928,20250930,10001,CARR3
0700000139,ZSTD,SHIPUSER,20251016,20251016,20251018,20001,CARR5
0700000140,ZSTD,SHIPUSER,20250926,20250926,20250928,10001,CARR2
0700000141,ZSTD,SHIPUSER,20250929,20250929,20251001,20001,CARR2
0700000142,ZSTD,SHIPUSER,20251018,20251018,20251020,20001,CARR3
0700000143,ZSTD,SHIPUSER,20251018,20251018,20251020,30001,CARR3
0700000144,ZSTD,SHIPUSER,20251001,20251001,20251003,20001,CARR1
0700000145,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR2
0700000146,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR2
0700000147,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR3
0700000148,ZSTD,SHIPUSER,20251003,20251003,20251005,10001,CARR5
0700000149,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR2
0700000150,ZSTD,SHIPUSER,20250928,20250928,20250930,20001,CARR1
0700000151,ZSTD,SHIPUSER,20251027,20251027,20251029,10001,CARR5
0700000152,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR5
0700000153,ZSTD,SHIPUSER,20251021,20251021,20251023,20001,CARR5
0700000154,ZSTD,SHIPUSER,20250929,20250929,20251001,20001,CARR4
0700000155,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR1
0700000156,ZSTD,SHIPUSER,20250926,20250926,20250928,20001,CARR4
0700000157,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR5
0700000158,ZSTD,SHIPUSER,20251006,20251006,20251008,30001,CARR2
0700000159,ZSTD,SHIPUSER,20251021,20251021,20251023,10001,CARR1
0700000160,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR3
0700000161,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR5
0700000162,ZSTD,SHIPUSER,20251016,20251016,20251018,10001,CARR5
0700000163,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR1
0700000164,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR3
0700000165,ZSTD,SHIPUSER,20251001,20251001,20251003,10001,CARR5
0700000166,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR1
0700000167,ZSTD,SHIPUSER,20251007,20251007,20251009,20001,CARR2
0700000168,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR3
0700000169,ZSTD,SHIPUSER,20251017,20251017,20251019,20001,CARR2
0700000170,ZSTD,SHIPUSER,20251019,20251019,20251021,20001,CARR1
0700000171,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR1
0700000172,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR5
0700000173,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR3
0700000174,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR1
0700000175,ZSTD,SHIPUSER,20251001,20251001,20251003,10001,CARR3
0700000176,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR2
0700000177,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR2
0700000178,ZSTD,SHIPUSER,20251001,20251001,20251003,20001,CARR2
0700000179,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR4
0700000180,ZSTD,SHIPUSER,20251004,20251004,20251006,20001,CARR3
0700000181,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR2
0700000182,ZSTD,SHIPUSER,20251031,20251031,20251102,20001,CARR1
0700000183,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR3
0700000184,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR2
0700000185,ZSTD,SHIPUSER,20251005,20251005,20251007,30001,CARR5
0700000186,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR5
0700000187,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR3
0700000188,ZSTD,SHIPUSER,20251011,20251011,20251013,20001,CARR5
0700000189,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR3
0700000190,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR3
0700000191,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR4
0700000192,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR3
0700000193,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR2
0700000194,ZSTD,SHIPUSER,20251007,20251007,20251009,30001,CARR1
0700000195,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR3
0700000196,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR4
0700000197,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR2
0700000198,ZSTD,SHIPUSER,20251008,20251008,20251010,20001,CARR4
0700000199,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR2
0700000200,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR4
0700000201,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR4
0700000202,ZSTD,SHIPUSER,20251031,20251031,20251102,20001,CARR4
0700000203,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR3
0700000204,ZSTD,SHIPUSER,20251022,20251022,20251024,20001,CARR4
0700000205,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR3
0700000206,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR2
0700000207,ZSTD,SHIPUSER,20251008,20251008,20251010,30001,CARR3
0700000208,ZSTD,SHIPUSER,20251016,20251016,20251018,10001,CARR2
0700000209,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR3
0700000210,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR3
0700000211,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR3
0700000212,ZSTD,SHIPUSER,20251018,20251018,20251020,20001,CARR3
0700000213,ZSTD,SHIPUSER,20251002,20251002,20251004,30001,CARR4
0700000214,ZSTD,SHIPUSER,20251022,20251022,20251024,20001,CARR4
0700000215,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR4
0700000216,ZSTD,SHIPUSER,20251017,20251017,20251019,10001,CARR3
0700000217,ZSTD,SHIPUSER,20251027,20251027,20251029,20001,CARR1
0700000218,ZSTD,SHIPUSER,20251027,20251027,20251029,10001,CARR3
0700000219,ZSTD,SHIPUSER,20251030,20251030,20251101,20001,CARR5
0700000220,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR5
0700000221,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR5
0700000222,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR5
0700000223,ZSTD,SHIPUSER,20251028,20251028,20251030,20001,CARR5
0700000224,ZSTD,SHIPUSER,20251003,20251003,20251005,10001,CARR5
0700000225,ZSTD,SHIPUSER,20251001,20251001,20251003,10001,CARR3
0700000226,ZSTD,SHIPUSER,20250929,20250929,20251001,20001,CARR2
0700000227,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR3
0700000228,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR4
0700000229,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR1
0700000230,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR4
0700000231,ZSTD,SHIPUSER,20251031,20251031,20251102,20001,CARR5
0700000232,ZSTD,SHIPUSER,20251005,20251005,20251007,10001,CARR2
0700000233,ZSTD,SHIPUSER,20251029,20251029,20251031,10001,CARR2
0700000234,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR1
0700000235,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR4
0700000236,ZSTD,SHIPUSER,20251017,20251017,20251019,20001,CARR1
0700000237,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR3
0700000238,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR3
0700000239,ZSTD,SHIPUSER,20251013,20251013,20251015,20001,CARR4
0700000240,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR1
0700000241,ZSTD,SHIPUSER,20251001,20251001,20251003,20001,CARR4
0700000242,ZSTD,SHIPUSER,20251025,20251025,20251027,30001,CARR1
0700000243,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR5
0700000244,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR4
0700000245,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR1
0700000246,ZSTD,SHIPUSER,20251021,20251021,20251023,20001,CARR5
0700000247,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR1
0700000248,ZSTD,SHIPUSER,20251008,20251008,20251010,20001,CARR2
0700000249,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR1
0700000250,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR4
0700000251,ZSTD,SHIPUSER,20251002,20251002,20251004,10001,CARR2
0700000252,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR3
0700000253,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR5
0700000254,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR3
0700000255,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR4
0700000256,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR1
0700000257,ZSTD,SHIPUSER,20251011,20251011,20251013,20001,CARR2
0700000258,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR4
0700000259,ZSTD,SHIPUSER,20250927,20250927,20250929,10001,CARR4
0700000260,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR4
0700000261,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR2
0700000262,ZSTD,SHIPUSER,20251019,20251019,20251021,10001,CARR3
0700000263,ZSTD,SHIPUSER,20251008,20251008,20251010,20001,CARR3
0700000264,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR2
0700000265,ZSTD,SHIPUSER,20251031,20251031,20251102,20001,CARR3
0700000266,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR4
0700000267,ZSTD,SHIPUSER,20251012,20251012,20251014,30001,CARR1
0700000268,ZSTD,SHIPUSER,20251029,20251029,20251031,10001,CARR4
0700000269,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR5
0700000270,ZSTD,SHIPUSER,20251017,20251017,20251019,10001,CARR4
0700000271,ZSTD,SHIPUSER,20251010,20251010,20251012,10001,CARR4
0700000272,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR3
0700000273,ZSTD,SHIPUSER,20251019,20251019,20251021,30001,CARR2
0700000274,ZSTD,SHIPUSER,20251021,20251021,20251023,30001,CARR2
0700000275,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR1
0700000276,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR4
0700000277,ZSTD,SHIPUSER,20250929,20250929,20251001,20001,CARR5
0700000278,ZSTD,SHIPUSER,20251001,20251001,20251003,20001,CARR4
0700000279,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR1
0700000280,ZSTD,SHIPUSER,20251016,20251016,20251018,30001,CARR4
0700000281,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR1
0700000282,ZSTD,SHIPUSER,20251021,20251021,20251023,10001,CARR5
0700000283,ZSTD,SHIPUSER,20251008,20251008,20251010,30001,CARR3
0700000284,ZSTD,SHIPUSER,20251003,20251003,20251005,20001,CARR1
0700000285,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR5
0700000286,ZSTD,SHIPUSER,20251013,20251013,20251015,10001,CARR2
0700000287,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR4
0700000288,ZSTD,SHIPUSER,20251029,20251029,20251031,10001,CARR1
0700000289,ZSTD,SHIPUSER,20251003,20251003,20251005,10001,CARR1
0700000290,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR4
0700000291,ZSTD,SHIPUSER,20250929,20250929,20251001,10001,CARR3
0700000292,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR4
0700000293,ZSTD,SHIPUSER,20251004,20251004,20251006,30001,CARR3
0700000294,ZSTD,SHIPUSER,20251018,20251018,20251020,20001,CARR4
0700000295,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR4
0700000296,ZSTD,SHIPUSER,20251023,20251023,20251025,10001,CARR4
0700000297,ZSTD,SHIPUSER,20251005,20251005,20251007,20001,CARR4
0700000298,ZSTD,SHIPUSER,20251018,20251018,20251020,20001,CARR4
0700000299,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR5
0700000300,ZSTD,SHIPUSER,20251014,20251014,20251016,20001,CARR1
0700000301,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR2
0700000302,ZSTD,SHIPUSER,20251023,20251023,20251025,30001,CARR1
0700000303,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR2
0700000304,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR1
0700000305,ZSTD,SHIPUSER,20251010,20251010,20251012,10001,CARR1
0700000306,ZSTD,SHIPUSER,20251021,20251021,20251023,20001,CARR5
0700000307,ZSTD,SHIPUSER,20251006,20251006,20251008,10001,CARR2
0700000308,ZSTD,SHIPUSER,20251003,20251003,20251005,10001,CARR2
0700000309,ZSTD,SHIPUSER,20251030,20251030,20251101,10001,CARR3
0700000310,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR1
0700000311,ZSTD,SHIPUSER,20251009,20251009,20251011,20001,CARR5
0700000312,ZSTD,SHIPUSER,20251025,20251025,20251027,20001,CARR4
0700000313,ZSTD,SHIPUSER,20251027,20251027,20251029,10001,CARR2
0700000314,ZSTD,SHIPUSER,20251023,20251023,20251025,20001,CARR3
0700000315,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR5
0700000316,ZSTD,SHIPUSER,20251023,20251023,20251025,20001,CARR2
0700000317,ZSTD,SHIPUSER,20250927,20250927,20250929,20001,CARR3
0700000318,ZSTD,SHIPUSER,20251016,20251016,20251018,10001,CARR3
0700000319,ZSTD,SHIPUSER,20250929,20250929,20251001,30001,CARR3
0700000320,ZSTD,SHIPUSER,20251013,20251013,20251015,20001,CARR1
0700000321,ZSTD,SHIPUSER,20251015,20251015,20251017,20001,CARR4
0700000322,ZSTD,SHIPUSER,20251025,20251025,20251027,30001,CARR2
0700000323,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR2
0700000324,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR4
0700000325,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR2
0700000326,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR3
0700000327,ZSTD,SHIPUSER,20251019,20251019,20251021,20001,CARR2
0700000328,ZSTD,SHIPUSER,20251019,20251019,20251021,30001,CARR5
0700000329,ZSTD,SHIPUSER,20251020,20251020,20251022,10001,CARR2
0700000330,ZSTD,SHIPUSER,20251004,20251004,20251006,30001,CARR3
0700000331,ZSTD,SHIPUSER,20250929,20250929,20251001,10001,CARR5
0700000332,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR5
0700000333,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR5
0700000334,ZSTD,SHIPUSER,20251021,20251021,20251023,10001,CARR3
0700000335,ZSTD,SHIPUSER,20251011,20251011,20251013,10001,CARR3
0700000336,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR5
0700000337,ZSTD,SHIPUSER,20250930,20250930,20251002,20001,CARR5
0700000338,ZSTD,SHIPUSER,20251004,20251004,20251006,10001,CARR5
0700000339,ZSTD,SHIPUSER,20251027,20251027,20251029,10001,CARR4
0700000340,ZSTD,SHIPUSER,20251005,20251005,20251007,10001,CARR2
0700000341,ZSTD,SHIPUSER,20251006,20251006,20251008,20001,CARR1
0700000342,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR2
0700000343,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR3
0700000344,ZSTD,SHIPUSER,20251016,20251016,20251018,30001,CARR2
0700000345,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR2
0700000346,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR1
0700000347,ZSTD,SHIPUSER,20251018,20251018,20251020,10001,CARR1
0700000348,ZSTD,SHIPUSER,20251023,20251023,20251025,30001,CARR3
0700000349,ZSTD,SHIPUSER,20251002,20251002,20251004,10001,CARR2
0700000350,ZSTD,SHIPUSER,20251009,20251009,20251011,10001,CARR4
0700000351,ZSTD,SHIPUSER,20250930,20250930,20251002,10001,CARR3
0700000352,ZSTD,SHIPUSER,20251017,20251017,20251019,20001,CARR3
0700000353,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR3
0700000354,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR4
0700000355,ZSTD,SHIPUSER,20251028,20251028,20251030,30001,CARR4
0700000356,ZSTD,SHIPUSER,20251022,20251022,20251024,10001,CARR3
