TKNUM,TPNUM,VBELN,ERDAT
0700000048,0001,8000003050,20251012
0700000049,0001,8000004681,20251022
0700000050,0001,8000003037,20251013
0700000050,0002,8000003990,20251013
0700000051,0001,8000003983,20251005
0700000052,0001,8000000073,20251021
0700000053,0001,8000005818,20250930
0700000054,0001,8000002590,20251018
0700000055,0001,8000002066,20251019
0700000055,0002,8000000818,20251019
0700000056,0001,8000005480,20251007
0700000057,0001,8000003238,20251007
0700000058,0001,8000001385,20251027
0700000059,0001,8000007457,20251017
0700000060,0001,8000006296,20251014
0700000061,0001,8000001443,20251011
0700000062,0001,8000002435,20251006
0700000062,0002,8000005708,20251006
0700000063,0001,8000004339,20251006
0700000063,0002,8000000472,20251006
0700000063,0003,8000008513,20251006
0700000064,0001,8000000194,20251007
0700000064,0002,8000002526,20251007
0700000065,0001,8000003108,20251011
0700000065,0002,8000005145,20251011
0700000066,0001,8000003605,20251015
0700000067,0001,8000006913,20251009
0700000068,0001,8000007769,20251026
0700000069,0001,8000005635,20251004
0700000069,0002,8000002666,20251004
0700000070,0001,8000001851,20251024
0700000070,0002,8000003605,20251024
0700000071,0001,8000008411,20251020
0700000071,0002,8000007877,20251020
0700000072,0001,8000003335,20250926
0700000073,0001,8000005252,20251026
0700000074,0001,8000002529,20250930
0700000074,0002,8000007502,20250930
0700000074,0003,8000006010,20250930
0700000075,0001,8000006787,20251013
0700000076,0001,8000001190,20251010
0700000077,0001,8000002924,20251006
0700000078,0001,8000006590,20251021
0700000079,0001,8000006658,20251003
0700000080,0001,8000001425,20251016
0700000081,0001,8000006939,20251002
0700000082,0001,8000001689,20251019
0700000083,0001,8000008175,20251010
0700000084,0001,8000003722,20251013
0700000085,0001,8000001254,20251014
0700000086,0001,8000007513,20251023
0700000087,0001,8000003765,20251015
0700000088,0001,8000001955,20250930
0700000088,0002,8000007274,20250930
0700000088,0003,8000006815,20250930
0700000089,0001,8000004707,20251013
0700000090,0001,8000002761,20251015
0700000090,0002,8000008485,20251015
0700000090,0003,8000000408,20251015
0700000091,0001,8000006754,20250927
0700000092,0001,8000008161,20251015
0700000092,0002,8000004061,20251015
0700000092,0003,8000007199,20251015
0700000093,0001,8000005298,20251026
0700000094,0001,8000001559,20251018
0700000094,0002,8000005600,20251018
0700000095,0001,8000000489,20251025
0700000096,0001,8000000650,20251014
0700000097,0001,8000002008,20251024
0700000097,0002,8000007245,20251024
0700000098,0001,8000001967,20251004
0700000098,0002,8000007535,20251004
0700000099,0001,8000003199,20251031
0700000100,0001,8000003188,20251018
0700000100,0002,8000005580,20251018
0700000101,0001,8000008387,20251018
0700000101,0002,8000008147,20251018
0700000101,0003,8000006327,20251018
0700000102,0001,8000007481,20251023
0700000103,0001,8000002746,20251009
0700000103,0002,8000000620,20251009
0700000104,0001,8000000743,20251028
0700000105,0001,8000002107,20251024
0700000105,0002,8000002323,20251024
0700000105,0003,8000005709,20251024
0700000106,0001,8000007269,20250928
0700000107,0001,8000003553,20251014
0700000108,0001,8000002440,20250927
0700000109,0001,8000007508,20251023
0700000110,0001,8000002323,20251014
0700000110,0002,8000001350,20251014
0700000111,0001,8000004298,20251004
0700000112,0001,8000008197,20251006
0700000113,0001,8000008435,20251004
0700000114,0001,8000006271,20251010
0700000114,0002,8000001186,20251010
0700000115,0001,8000003346,20251025
0700000116,0001,8000007268,20251022
0700000117,0001,8000002243,20251025
0700000117,0002,8000006619,20251025
0700000118,0001,8000004855,20251004
0700000119,0001,8000000021,20251021
0700000120,0001,8000000178,20251019
0700000121,0001,8000006366,20251009
0700000122,0001,8000005027,20251020
0700000123,0001,8000000713,20251005
0700000123,0002,8000007568,20251005
0700000123,0003,8000003594,20251005
0700000124,0001,8000005051,20251026
0700000125,0001,8000007394,20251031
0700000126,0001,8000006367,20251030
0700000127,0001,8000000132,20251007
0700000127,0002,8000005808,20251007
0700000128,0001,8000002295,20251006
0700000128,0002,8000001028,20251006
0700000129,0001,8000008095,20251014
0700000130,0001,8000004811,20251017
0700000130,0002,8000007017,20251017
0700000130,0003,8000001069,20251017
0700000131,0001,8000003849,20251028
0700000132,0001,8000000994,20251011
0700000132,0002,8000000482,20251011
0700000133,0001,8000004500,20251026
0700000134,0001,8000000220,20251022
0700000135,0001,8000001985,20251007
0700000135,0002,8000003571,20251007
0700000136,0001,8000000705,20251007
0700000136,0002,8000006539,20251007
0700000137,0001,8000003901,20251001
0700000138,0001,8000005520,20250928
0700000138,0002,8000002871,20250928
0700000139,0001,8000004247,20251016
0700000140,0001,8000003683,20250926
0700000141,0001,8000005378,20250929
0700000141,0002,8000003701,20250929
0700000142,0001,8000005651,20251018
0700000142,0002,8000006761,20251018
0700000143,0001,8000003091,20251018
0700000144,0001,8000004647,20251001
0700000145,0001,8000005048,20251019
0700000146,0001,8000006290,20251019
0700000146,0002,8000007241,20251019
0700000147,0001,8000005876,20251028
0700000148,0001,8000003630,20251003
0700000149,0001,8000003485,20251004
0700000150,0001,8000005820,20250928
0700000151,0001,8000007847,20251027
0700000151,0002,8000008417,20251027
0700000152,0001,8000004093,20251007
0700000153,0001,8000003495,20251021
0700000154,0001,8000005018,20250929
0700000155,0001,8000002485,20251008
0700000156,0001,8000004895,20250926
0700000156,0002,8000003083,20250926
0700000156,0003,8000000075,20250926
0700000157,0001,8000001860,20251004
0700000158,0001,8000004384,20251006
0700000158,0002,8000002259,20251006
0700000159,0001,8000007669,20251021
0700000159,0002,8000006777,20251021
0700000160,0001,8000008182,20251023
0700000160,0002,8000001364,20251023
0700000161,0001,8000008028,20251014
0700000162,0001,8000003382,20251016
0700000163,0001,8000000721,20251026
0700000164,0001,8000005861,20251007
0700000165,0001,8000008461,20251001
0700000166,0001,8000005701,20251014
0700000167,0001,8000001484,20251007
0700000168,0001,8000001672,20251023
0700000169,0001,8000005413,20251017
0700000169,0002,8000002333,20251017
0700000170,0001,8000006298,20251019
0700000170,0002,8000008045,20251019
0700000170,0003,8000002515,20251019
0700000171,0001,8000007727,20251023
0700000171,0002,8000000356,20251023
0700000172,0001,8000000939,20251009
0700000173,0001,8000003709,20251022
0700000174,0001,8000006038,20251012
0700000174,0002,8000000619,20251012
0700000174,0003,8000005639,20251012
0700000175,0001,8000001183,20251001
0700000175,0002,8000001622,20251001
0700000176,0001,8000003121,20251020
0700000177,0001,8000002069,20251023
0700000177,0002,8000000128,20251023
0700000178,0001,8000002011,20251001
0700000178,0002,8000008228,20251001
0700000179,0001,8000002318,20251004
0700000179,0002,8000003046,20251004
0700000180,0001,8000004936,20251004
0700000181,0001,8000002643,20250930
0700000182,0001,8000001981,20251031
0700000183,0001,8000000668,20251012
0700000183,0002,8000002418,20251012
0700000184,0001,8000005063,20251007
0700000184,0002,8000000452,20251007
0700000184,0003,8000006118,20251007
0700000185,0001,8000003075,20251005
0700000185,0002,8000003152,20251005
0700000185,0003,8000000685,20251005
0700000186,0001,8000002401,20251007
0700000187,0001,8000006361,20251009
0700000187,0002,8000003369,20251009
0700000187,0003,8000004289,20251009
0700000188,0001,8000003478,20251011
0700000189,0001,8000000926,20251026
0700000189,0002,8000004952,20251026
0700000190,0001,8000005869,20251013
0700000190,0002,8000001786,20251013
0700000191,0001,8000008330,20251026
0700000191,0002,8000004630,20251026
0700000192,0001,8000004093,20251014
0700000193,0001,8000007382,20251006
0700000194,0001,8000004014,20251007
0700000195,0001,8000008005,20251020
0700000195,0002,8000006679,20251020
0700000196,0001,8000002652,20251020
0700000196,0002,8000004964,20251020
0700000197,0001,8000002402,20251011
0700000198,0001,8000000869,20251008
0700000199,0001,8000000096,20251020
0700000200,0001,8000005903,20251006
0700000201,0001,8000001496,20251007
0700000202,0001,8000001872,20251031
0700000203,0001,8000000255,20251018
0700000204,0001,8000005373,20251022
0700000205,0001,8000006166,20251025
0700000206,0001,8000003814,20251006
0700000207,0001,8000002251,20251008
0700000208,0001,8000002305,20251016
0700000208,0002,8000002455,20251016
0700000209,0001,8000002208,20251013
0700000210,0001,8000008229,20251026
0700000210,0002,8000001447,20251026
0700000211,0001,8000007823,20251012
0700000211,0002,8000005117,20251012
0700000212,0001,8000004408,20251018
0700000213,0001,8000007937,20251002
0700000213,0002,8000002961,20251002
0700000214,0001,8000000987,20251022
0700000215,0001,8000007092,20251020
0700000215,0002,8000005033,20251020
0700000216,0001,8000003925,20251017
0700000217,0001,8000001412,20251027
0700000218,0001,8000008306,20251027
0700000218,0002,8000000795,20251027
0700000219,0001,8000003775,20251030
0700000219,0002,8000000704,20251030
0700000220,0001,8000005043,20251006
0700000221,0001,8000000731,20251015
0700000222,0001,8000008517,20251006
0700000222,0002,8000003182,20251006
0700000223,0001,8000007603,20251028
0700000224,0001,8000004655,20251003
0700000225,0001,8000000954,20251001
0700000226,0001,8000001152,20250929
0700000226,0002,8000002332,20250929
0700000227,0001,8000004921,20251026
0700000228,0001,8000004552,20251008
0700000229,0001,8000001154,20251006
0700000230,0001,8000001213,20251018
0700000230,0002,8000002071,20251018
0700000231,0001,8000007609,20251031
0700000232,0001,8000001449,20251005
0700000233,0001,8000004216,20251029
0700000234,0001,8000003929,20251009
0700000234,0002,8000006190,20251009
0700000235,0001,8000000557,20251006
0700000235,0002,8000008024,20251006
0700000236,0001,8000005015,20251017
0700000237,0001,8000003806,20251013
0700000238,0001,8000007021,20251018
0700000238,0002,8000007783,20251018
0700000239,0001,8000003590,20251013
0700000239,0002,8000008243,20251013
0700000240,0001,8000006441,20251007
0700000240,0002,8000000496,20251007
0700000241,0001,8000006640,20251001
0700000242,0001,8000000789,20251025
0700000242,0002,8000002574,20251025
0700000243,0001,8000007077,20251018
0700000244,0001,8000005807,20251028
0700000244,0002,8000000185,20251028
0700000245,0001,8000005539,20251012
0700000246,0001,8000007177,20251021
0700000247,0001,8000003568,20251004
0700000248,0001,8000006464,20251008
0700000249,0001,8000005683,20251012
0700000250,0001,8000004171,20250930
0700000251,0001,8000005555,20251002
0700000252,0001,8000000782,20251025
0700000253,0001,8000000490,20251020
0700000253,0002,8000003704,20251020
0700000254,0001,8000005815,20251007
0700000254,0002,8000004735,20251007
0700000254,0003,8000008001,20251007
0700000255,0001,8000001801,20251025
0700000255,0002,8000007578,20251025
0700000255,0003,8000003882,20251025
0700000256,0001,8000002020,20251004
0700000257,0001,8000004138,20251011
0700000257,0002,8000001232,20251011
0700000258,0001,8000001419,20251015
0700000259,0001,8000002454,20250927
0700000259,0002,8000007980,20250927
0700000260,0001,8000006537,20250930
0700000261,0001,8000000150,20251012
0700000262,0001,8000008269,20251019
0700000262,0002,8000004667,20251019
0700000262,0003,8000007420,20251019
0700000263,0001,8000007442,20251008
0700000263,0002,8000001290,20251008
0700000263,0003,8000001820,20251008
0700000264,0001,8000000258,20251012
0700000265,0001,8000006458,20251031
0700000266,0001,8000004348,20251009
0700000267,0001,8000002233,20251012
0700000268,0001,8000006816,20251029
0700000268,0002,8000007009,20251029
0700000269,0001,8000008159,20251015
0700000269,0002,8000004157,20251015
0700000269,0003,8000005468,20251015
0700000270,0001,8000006567,20251017
0700000271,0001,8000007907,20251010
0700000271,0002,8000005890,20251010
0700000271,0003,8000004099,20251010
0700000272,0001,8000007410,20251013
0700000272,0002,8000005968,20251013
0700000272,0003,8000001449,20251013
0700000273,0001,8000002639,20251019
0700000274,0001,8000007937,20251021
0700000275,0001,8000002017,20251009
0700000276,0001,8000001227,20251012
0700000276,0002,8000003722,20251012
0700000277,0001,8000003589,20250929
0700000277,0002,8000007534,20250929
0700000278,0001,8000002131,20251001
0700000279,0001,8000004628,20251009
0700000280,0001,8000005050,20251016
0700000281,0001,8000004064,20251006
0700000281,0002,8000000763,20251006
0700000281,0003,8000003489,20251006
0700000282,0001,8000002033,20251021
0700000283,0001,8000005099,20251008
0700000284,0001,8000006028,20251003
0700000285,0001,8000005927,20251009
0700000286,0001,8000003778,20251013
0700000287,0001,8000007887,20251015
0700000288,0001,8000007843,20251029
0700000289,0001,8000005069,20251003
0700000290,0001,8000004356,20251012
0700000290,0002,8000007658,20251012
0700000291,0001,8000005164,20250929
0700000292,0001,8000005536,20251012
0700000292,0002,8000003652,20251012
0700000293,0001,8000004031,20251004
0700000293,0002,8000000595,20251004
0700000293,0003,8000001433,20251004
0700000294,0001,8000008374,20251018
0700000294,0002,8000001258,20251018
0700000294,0003,8000005739,20251018
0700000295,0001,8000001300,20251022
0700000296,0001,8000005784,20251023
0700000297,0001,8000006541,20251005
0700000297,0002,8000001238,20251005
0700000298,0001,8000005802,20251018
0700000299,0001,8000006002,20251009
0700000300,0001,8000008198,20251014
0700000301,0001,8000001619,20251006
0700000302,0001,8000006001,20251023
0700000303,0001,8000006790,20251008
0700000304,0001,8000002281,20251006
0700000305,0001,8000001941,20251010
0700000305,0002,8000005190,20251010
0700000305,0003,8000006474,20251010
0700000306,0001,8000007714,20251021
0700000307,0001,8000007025,20251006
0700000307,0002,8000006604,20251006
0700000308,0001,8000007532,20251003
0700000309,0001,8000003601,20251030
0700000309,0002,8000005001,20251030
0700000310,0001,8000003546,20251012
0700000310,0002,8000006785,20251012
0700000310,0003,8000001330,20251012
0700000311,0001,8000006980,20251009
0700000311,0002,8000006981,20251009
0700000312,0001,8000000856,20251025
0700000312,0002,8000008463,20251025
0700000313,0001,8000008487,20251027
0700000313,0002,8000002123,20251027
0700000313,0003,8000007088,20251027
0700000314,0001,8000002524,20251023
0700000315,0001,8000000149,20251008
0700000316,0001,8000000563,20251023
0700000317,0001,8000006118,20250927
0700000318,0001,8000003882,20251016
0700000319,0001,8000000044,20250929
0700000320,0001,8000004147,20251013
0700000320,0002,8000003585,20251013
0700000321,0001,8000003647,20251015
0700000321,0002,8000002125,20251015
0700000322,0001,8000003847,20251025
0700000322,0002,8000004231,20251025
0700000323,0001,8000000517,20251028
0700000324,0001,8000001593,20251011
0700000324,0002,8000008145,20251011
0700000324,0003,8000002935,20251011
0700000325,0001,8000005189,20251004
0700000326,0001,8000002134,20251015
0700000327,0001,8000000820,20251019
0700000328,0001,8000001337,20251019
0700000328,0002,8000004336,20251019
0700000328,0003,8000004913,20251019
0700000329,0001,8000003544,20251020
0700000330,0001,8000003609,20251004
0700000331,0001,8000006637,20250929
0700000331,0002,8000001854,20250929
0700000331,0003,8000001105,20250929
0700000332,0001,8000001887,20251015
0700000333,0001,8000001109,20250930
0700000333,0002,8000000680,20250930
0700000333,0003,8000001534,20250930
0700000334,0001,8000001865,20251021
0700000335,0001,8000004480,20251011
0700000335,0002,8000002173,20251011
0700000335,0003,8000007378,20251011
0700000336,0001,8000003999,20251020
0700000337,0001,8000000541,20250930
0700000337,0002,8000002899,20250930
0700000338,0001,8000000127,20251004
0700000339,0001,8000007510,20251027
0700000340,0001,8000008184,20251005
0700000340,0002,8000003784,20251005
0700000340,0003,8000008181,20251005
0700000341,0001,8000001809,20251006
0700000341,0002,8000007483,20251006
0700000342,0001,8000004607,20251018
0700000342,0002,8000004241,20251018
0700000343,0001,8000008572,20251028
0700000343,0002,8000003721,20251028
0700000343,0003,8000008003,20251028
0700000344,0001,8000006795,20251016
0700000345,0001,8000001948,20251009
0700000345,0002,8000000855,20251009
0700000346,0001,8000001654,20251007
0700000347,0001,8000003571,20251018
0700000348,0001,8000004770,20251023
0700000349,0001,8000001774,20251002
0700000350,0001,8000004985,20251009
0700000350,0002,8000007247,20251009
0700000350,0003,8000005882,20251009
0700000351,0001,8000003126,20250930
0700000351,0002,8000002405,20250930
0700000352,0001,8000000119,20251017
0700000353,0001,8000005393,20251022
0700000353,0002,8000003839,20251022
0700000354,0001,8000001218,20251025
0700000355,0001,8000006813,20251028
0700000355,0002,8000004409,20251028
0700000356,0001,8000002599,20251022
0700000356,0002,8000008336,20251022
0700000356,0003,8000001412,20251022
0700000357,0001,8000003675,20251009
0700000357,0002,8000004266,20251009
0700000358,0001,8000007754,20251014
0700000359,0001,8000008043,20251003
0700000360,0001,8000006046,20251025
0700000361,0001,8000008498,20251011
0700000362,0001,8000005438,20251014
0700000362,0002,8000000992,20251014
0700000363,0001,8000007728,20250928
0700000363,0002,8000005740,20250928
0700000364,0001,8000001599,20251007
0700000365,0001,8000006956,20251007
0700000365,0002,8000000358,20251007
0700000365,0003,8000003153,20251007
0700000366,0001,8000008572,20250930
0700000367,0001,8000003017,20250930
0700000368,0001,8000007660,20251008
0700000368,0002,8000004736,20251008
0700000369,0001,8000000182,20251016
0700000370,0001,8000004332,20251025
0700000370,0002,8000004571,20251025
0700000371,0001,8000002563,20251011
0700000372,0001,8000007073,20251026
0700000372,0002,8000002501,20251026
0700000373,0001,8000005336,20251017
0700000374,0001,8000001469,20251010
0700000375,0001,8000001231,20251012
0700000376,0001,8000000994,20251017
0700000377,0001,8000002406,20251014
0700000377,0002,8000006174,20251014
0700000378,0001,8000006352,20251007
0700000379,0001,8000003077,20251009
0700000380,0001,8000008555,20251007
0700000380,0002,8000003443,20251007
0700000381,0001,8000002880,20250930
0700000382,0001,8000002092,20251002
0700000383,0001,8000005488,20251024
0700000383,0002,8000002353,20251024
0700000384,0001,8000000748,20251012
0700000384,0002,8000000814,20251012
0700000385,0001,8000003457,20251029
0700000385,0002,8000004560,20251029
0700000386,0001,8000001848,20251025
0700000386,0002,8000007542,20251025
0700000387,0001,8000005215,20251016
0700000388,0001,8000007825,20251027
0700000388,0002,8000000496,20251027
0700000388,0003,8000000182,20251027
0700000389,0001,8000002992,20251006
0700000389,0002,8000008155,20251006
0700000390,0001,8000001777,20251002
0700000390,0002,8000001634,20251002
0700000391,0001,8000006819,20251012
0700000391,0002,8000003753,20251012
0700000392,0001,8000007744,20251003
0700000393,0001,8000001816,20251009
0700000394,0001,8000005897,20251029
0700000394,0002,8000007016,20251029
0700000395,0001,8000002070,20251008
0700000395,0002,8000000570,20251008
0700000396,0001,8000004351,20251025
0700000397,0001,8000002610,20251020
0700000398,0001,8000006150,20251025
0700000399,0001,8000004146,20251020
0700000400,0001,8000001026,20251017
0700000401,0001,8000001160,20250930
0700000401,0002,8000006899,20250930
0700000402,0001,8000001518,20251019
0700000402,0002,8000007698,20251019
0700000403,0001,8000002065,20251016
0700000404,0001,8000007462,20251011
0700000405,0001,8000005658,20250929
0700000406,0001,8000007359,20250930
0700000407,0001,8000004622,20251017
0700000407,0002,8000008372,20251017
0700000408,0001,8000000335,20251016
0700000408,0002,8000007346,20251016
0700000408,0003,8000006370,20251016
0700000409,0001,8000002246,20250929
0700000410,0001,8000002602,20251007
0700000411,0001,8000004571,20251031
0700000411,0002,8000002694,20251031
0700000411,0003,8000001369,20251031
0700000412,0001,8000002371,20251003
0700000412,0002,8000005588,20251003
0700000413,0001,8000001707,20251012
0700000414,0001,8000007921,20251019
0700000415,0001,8000004396,20251019
0700000415,0002,8000005669,20251019
0700000416,0001,8000005749,20251006
0700000417,0001,8000000266,20251014
0700000418,0001,8000002704,20251003
0700000419,0001,8000000011,20251006
0700000419,0002,8000004245,20251006
0700000419,0003,8000006875,20251006
0700000420,0001,8000006549,20251026
0700000421,0001,8000003850,20251004
0700000422,0001,8000003961,20251025
0700000423,0001,8000006572,20251027
0700000423,0002,8000001399,20251027
0700000424,0001,8000001423,20251002
0700000425,0001,8000005133,20251006
0700000425,0002,8000005021,20251006
0700000426,0001,8000000936,20251016
0700000426,0002,8000007342,20251016
0700000427,0001,8000008089,20250929
0700000427,0002,8000005834,20250929
0700000428,0001,8000002656,20251010
0700000429,0001,8000000516,20251013
0700000429,0002,8000004676,20251013
0700000429,0003,8000001418,20251013
0700000430,0001,8000002785,20251023
0700000431,0001,8000001036,20251006
0700000431,0002,8000002569,20251006
0700000431,0003,8000007776,20251006
0700000432,0001,8000007361,20251003
0700000433,0001,8000003045,20251021
0700000434,0001,8000005272,20251002
0700000435,0001,8000000792,20251022
0700000435,0002,8000000047,20251022
0700000436,0001,8000004162,20251006
0700000437,0001,8000006361,20251004
0700000437,0002,8000006005,20251004
0700000438,0001,8000006715,20251001
0700000439,0001,8000003990,20251013
0700000440,0001,8000006078,20251012
0700000441,0001,8000000910,20251004
0700000442,0001,8000000866,20251011
0700000443,0001,8000008091,20251019
0700000444,0001,8000006441,20251009
0700000445,0001,8000002242,20251010
0700000446,0001,8000007365,20251020
0700000446,0002,8000006348,20251020
0700000447,0001,8000004479,20251010
0700000448,0001,8000000147,20251019
0700000449,0001,8000005673,20251011
0700000450,0001,8000006077,20251026
0700000450,0002,8000000126,20251026
0700000450,0003,8000002274,20251026
0700000451,0001,8000005370,20251009
0700000451,0002,8000007092,20251009
0700000452,0001,8000003613,20251022
0700000452,0002,8000004185,20251022
0700000453,0001,8000006094,20251013
0700000454,0001,8000001138,20251006
0700000455,0001,8000005791,20251015
0700000456,0001,8000003932,20251014
0700000456,0002,8000004763,20251014
0700000457,0001,8000005913,20251020
0700000458,0001,8000001904,20251023
0700000458,0002,8000007216,20251023
0700000459,0001,8000000592,20251003
0700000460,0001,8000007563,20251012
0700000460,0002,8000005935,20251012
0700000460,0003,8000001297,20251012
0700000461,0001,8000006032,20251014
0700000462,0001,8000008550,20250928
0700000463,0001,8000008493,20251002
0700000464,0001,8000003464,20251008
0700000464,0002,8000005395,20251008
0700000465,0001,8000002641,20251025
0700000466,0001,8000006539,20251014
0700000467,0001,8000007959,20251021
0700000468,0001,8000007265,20251010
0700000468,0002,8000002845,20251010
0700000468,0003,8000001738,20251010
0700000469,0001,8000001568,20251007
0700000469,0002,8000006878,20251007
0700000470,0001,8000007907,20251017
0700000470,0002,8000003630,20251017
0700000470,0003,8000002884,20251017
0700000471,0001,8000008538,20251018
0700000472,0001,8000007404,20251007
0700000472,0002,8000003033,20251007
0700000472,0003,8000002583,20251007
0700000473,0001,8000002440,20251011
0700000473,0002,8000000348,20251011
0700000474,0001,8000006625,20251004
0700000475,0001,8000006764,20251026
0700000476,0001,8000006246,20251012
0700000476,0002,8000008529,20251012
0700000477,0001,8000005687,20251018
0700000478,0001,8000002562,20251017
0700000479,0001,8000003796,20251007
0700000479,0002,8000005555,20251007
0700000480,0001,8000004302,20251025
0700000481,0001,8000006913,20250929
0700000482,0001,8000002135,20251018
0700000482,0002,8000007840,20251018
0700000483,0001,8000005687,20251010
0700000483,0002,8000008101,20251010
0700000483,0003,8000000292,20251010
0700000484,0001,8000002202,20251014
0700000485,0001,8000007800,20251002
0700000486,0001,8000003463,20251016
0700000487,0001,8000000933,20251015
0700000488,0001,8000000210,20251019
0700000488,0002,8000007510,20251019
0700000489,0001,8000002728,20250929
0700000489,0002,8000003686,20250929
0700000490,0001,8000005262,20251015
0700000491,0001,8000002429,20251006
0700000491,0002,8000002889,20251006
0700000492,0001,8000005383,20251019
0700000492,0002,8000001363,20251019
0700000493,0001,8000006652,20251031
0700000494,0001,8000002068,20251003
0700000494,0002,8000002687,20251003
0700000495,0001,8000004912,20251014
0700000495,0002,8000006951,20251014
0700000495,0003,8000007484,20251014
0700000496,0001,8000003877,20251007
0700000497,0001,8000004442,20251025
0700000497,0002,8000001277,20251025
0700000498,0001,8000003235,20251014
0700000498,0002,8000004409,20251014
0700000498,0003,8000000147,20251014
0700000499,0001,8000002837,20251005
0700000500,0001,8000000161,20251010
0700000500,0002,8000005864,20251010
0700000501,0001,8000000548,20251028
0700000501,0002,8000003762,20251028
0700000501,0003,8000008210,20251028
0700000502,0001,8000006148,20251020
0700000502,0002,8000002900,20251020
0700000503,0001,8000007839,20251012
0700000503,0002,8000006435,20251012
0700000504,0001,8000005994,20251004
0700000504,0002,8000008051,20251004
0700000505,0001,8000001700,20251009
0700000506,0001,8000005587,20251008
0700000507,0001,8000005527,20251003
0700000508,0001,8000004470,20251001
0700000508,0002,8000001398,20251001
0700000509,0001,8000006466,20251011
0700000510,0001,8000001432,20251026
0700000510,0002,8000005730,20251026
0700000510,0003,8000006581,20251026
0700000511,0001,8000001109,20250930
0700000511,0002,8000000775,20250930
0700000512,0001,8000001959,20251023
0700000513,0001,8000007590,20251018
0700000513,0002,8000003120,20251018
0700000514,0001,8000003132,20251024
0700000515,0001,8000000029,20251013
0700000516,0001,8000004635,20251003
0700000517,0001,8000002127,20251005
0700000517,0002,8000006486,20251005
0700000518,0001,8000003842,20251028
0700000518,0002,8000005098,20251028
0700000519,0001,8000002675,20251006
0700000520,0001,8000004349,20251023
0700000520,0002,8000007699,20251023
0700000521,0001,8000001510,20251028
0700000521,0002,8000006943,20251028
0700000521,0003,8000008055,20251028
0700000522,0001,8000003020,20251013
0700000522,0002,8000006567,20251013
0700000522,0003,8000006120,20251013
0700000523,0001,8000002784,20251008
0700000524,0001,8000006467,20251013
0700000525,0001,8000005101,20251018
0700000525,0002,8000006840,20251018
0700000526,0001,8000006944,20251015
0700000527,0001,8000005039,20251019
0700000527,0002,8000008094,20251019
0700000527,0003,8000004879,20251019
0700000528,0001,8000002928,20251010
0700000529,0001,8000006174,20251027
0700000530,0001,8000005303,20251004
0700000530,0002,8000000561,20251004
0700000530,0003,8000003075,20251004
0700000531,0001,8000005185,20251019
0700000531,0002,8000008212,20251019
0700000531,0003,8000001470,20251019
0700000532,0001,8000007990,20251011
0700000533,0001,8000006389,20251014
0700000533,0002,8000004470,20251014
0700000534,0001,8000003800,20251013
0700000535,0001,8000001645,20250928
0700000535,0002,8000004873,20250928
0700000536,0001,8000002618,20250929
0700000536,0002,8000000135,20250929
0700000537,0001,8000005321,20251005
0700000538,0001,8000003077,20251005
0700000538,0002,8000000058,20251005
0700000538,0003,8000007904,20251005
0700000539,0001,8000002223,20251013
