Id,OpportunityId,Product2Id,ProductCode,Name,Quantity,ListPrice,UnitPrice,Discount,TotalPrice,Description,ServiceDate,CreatedDate,LastModifiedDate,IsDeleted
00k00010010,00600010004,P005,HW-APP-STD,Hardware Appliance - Standard,2,15000,15000.0,0.0,30000.0,Weight family decision college. Economy late director may bar store. Positive add reality modern.,2025-09-02,2025-04-17 17:21:13,2025-04-27 17:21:13,False
00k00010011,00600010005,P003,SUP-ANN-001,Annual Support & Maintenance,20,10000,8101.0,18.99,162020.0,Young effort job. Three play Mr thousand probably task word.,2026-10-04,2026-07-01 17:21:13,2026-08-04 17:21:13,False
00k00010012,00600010006,P004,TRN-PKG-010,Training Package - 10 Users,2,5000,5000.0,0.0,10000.0,Wear bad behavior rate. Back total behavior view. Feel note society share.,2026-06-16,2026-04-06 17:21:13,2026-05-28 17:21:13,False
00k00010013,00600010007,P001,SW-ENT-001,Enterprise Software License,5,50000,50000.0,0.0,250000.0,Wide drug he city. Indicate care until lead.,2025-06-13,2025-04-23 17:21:13,2025-05-26 17:21:13,False
00k00010014,00600010007,P003,SUP-ANN-001,Annual Support & Maintenance,2,10000,10000.0,0.0,20000.0,Watch key civil. When law garden. Involve against camera maintain reduce see.,2025-06-13,2025-04-23 17:21:13,2025-05-26 17:21:13,False
00k00010015,00600010007,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,2,2000,1745.6,12.72,3491.2,Unit there almost each different husband. Whatever green know perhaps list lose back total.,2025-06-13,2025-04-23 17:21:13,2025-05-26 17:21:13,False
00k00010016,00600010008,P003,SUP-ANN-001,Annual Support & Maintenance,3,10000,9407.0,5.93,28221.0,International capital happen.,2025-06-12,2025-04-07 17:21:13,2025-06-15 17:21:13,False
00k00010017,00600010008,P002,PS-IMP-001,Professional Services - Implementation,20,25000,20897.5,16.41,417950.0,Reveal continue beautiful civil Mrs seven. Measure south national fall lead contain have.,2025-06-12,2025-04-07 17:21:13,2025-06-15 17:21:13,False
00k00010018,00600010009,P003,SUP-ANN-001,Annual Support & Maintenance,50,10000,10000.0,0.0,500000.0,Color author focus can factor. These what pass economy stage plan.,2023-06-25,2023-05-08 17:21:13,2023-07-28 17:21:13,False
00k00010019,00600010010,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,9533.0,4.67,9533.0,Several surface president. Defense purpose religious. List painting radio war report.,2026-05-04,2026-02-14 17:21:13,2026-04-03 17:21:13,False
00k00010020,00600010010,P004,TRN-PKG-010,Training Package - 10 Users,100,5000,5000.0,0.0,500000.0,"More test stuff notice run. Peace strategy although pay.
Tax hear statement city less.",2026-05-04,2026-02-14 17:21:13,2026-04-03 17:21:13,False
00k00010021,00600010010,P005,HW-APP-STD,Hardware Appliance - Standard,20,15000,11962.5,20.25,239250.0,Pressure west property recognize go middle knowledge debate. Support oil student require.,2026-05-04,2026-02-14 17:21:13,2026-04-03 17:21:13,False
00k00010022,00600010011,P001,SW-ENT-001,Enterprise Software License,100,50000,50000.0,0.0,5000000.0,Some political bring before attention.,2023-03-11,2022-10-02 17:21:13,2022-12-19 17:21:13,False
00k00010023,00600010011,P002,PS-IMP-001,Professional Services - Implementation,2,25000,25000.0,0.0,50000.0,"Throughout heavy perhaps contain.
Young red green.",2023-03-11,2022-10-02 17:21:13,2022-12-19 17:21:13,False
00k00010024,00600010012,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,3,2000,1925.4,3.73,5776.2,Worry enjoy ball significant listen memory tonight audience. Note summer rich yard main body.,2022-07-26,2022-03-11 17:21:13,2022-03-31 17:21:13,False
00k00010025,00600010012,P008,PS-MIG-001,Data Migration Services,10,30000,30000.0,0.0,300000.0,Crime threat real off toward plant. Capital laugh many personal deep popular.,2022-07-26,2022-03-11 17:21:13,2022-03-31 17:21:13,False
00k00010026,00600010012,P002,PS-IMP-001,Professional Services - Implementation,2,25000,25000.0,0.0,50000.0,Behind even world various. Image answer here check minute.,2022-07-26,2022-03-11 17:21:13,2022-03-31 17:21:13,False
00k00010027,00600010013,P002,PS-IMP-001,Professional Services - Implementation,3,25000,21890.0,12.44,65670.0,Wall street form national wish less fund. Public think race.,2024-05-15,2023-12-26 17:21:13,2024-02-13 17:21:13,False
00k00010028,00600010013,P007,CON-SVC-DAY,Consulting Services - Daily Rate,3,2500,2035.75,18.57,6107.25,Choice upon upon high. Stop son include about concern why.,2024-05-15,2023-12-26 17:21:13,2024-02-13 17:21:13,False
00k00010029,00600010014,P008,PS-MIG-001,Data Migration Services,1,30000,27663.0,7.79,27663.0,Another stay of activity. Fast charge than information industry.,2023-09-02,2023-06-01 17:21:13,2023-06-11 17:21:13,False
00k00010030,00600010014,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,15000.0,0.0,15000.0,Yeah our project writer around number. Myself Democrat professor face.,2023-09-02,2023-06-01 17:21:13,2023-06-11 17:21:13,False
00k00010031,00600010014,P004,TRN-PKG-010,Training Package - 10 Users,3,5000,4742.5,5.15,14227.5,Conference century vote service parent operation suffer.,2023-09-02,2023-06-01 17:21:13,2023-06-11 17:21:13,False
00k00010032,00600010015,P001,SW-ENT-001,Enterprise Software License,3,50000,48895.0,2.21,146685.0,Foreign arm opportunity white. Writer policy say office play beat reveal. Type sort along.,2023-12-04,2023-10-04 17:21:13,2023-12-12 17:21:13,False
00k00010033,00600010015,P008,PS-MIG-001,Data Migration Services,20,30000,30000.0,0.0,600000.0,Them wall identify arm. Across lose budget. Policy guess dark consumer couple.,2023-12-04,2023-10-04 17:21:13,2023-12-12 17:21:13,False
00k00010034,00600010016,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,3,2000,1868.8,6.56,5606.4,Main right decade stuff song current. Defense nearly business buy church. Pm form best glass sure.,2024-12-15,2024-06-28 17:21:13,2024-08-20 17:21:13,False
00k00010035,00600010016,P007,CON-SVC-DAY,Consulting Services - Daily Rate,5,2500,2500.0,0.0,12500.0,Possible woman set him team because position. Form child think already fight if.,2024-12-15,2024-06-28 17:21:13,2024-08-20 17:21:13,False
00k00010036,00600010017,P008,PS-MIG-001,Data Migration Services,3,30000,30000.0,0.0,90000.0,Player system quality crime treatment. Over artist need do none part radio around.,2024-09-27,2024-06-05 17:21:13,2024-08-26 17:21:13,False
00k00010037,00600010018,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,9446.0,5.54,9446.0,Seat offer build decision. Attention when trip science never style tonight.,2022-02-05,2021-10-06 17:21:13,2021-11-18 17:21:13,False
00k00010038,00600010018,P001,SW-ENT-001,Enterprise Software License,5,50000,50000.0,0.0,250000.0,Sound dinner this answer high all over. Sound price physical tend.,2022-02-05,2021-10-06 17:21:13,2021-11-18 17:21:13,False
00k00010039,00600010018,P008,PS-MIG-001,Data Migration Services,5,30000,30000.0,0.0,150000.0,Soldier guess wish fast professor.,2022-02-05,2021-10-06 17:21:13,2021-11-18 17:21:13,False
00k00010040,00600010019,P003,SUP-ANN-001,Annual Support & Maintenance,5,10000,8959.0,10.41,44795.0,Short everything beyond need.,2022-03-16,2022-01-08 17:21:13,2022-02-06 17:21:13,False
00k00010041,00600010019,P001,SW-ENT-001,Enterprise Software License,2,50000,50000.0,0.0,100000.0,Thus easy trial note act car. Opportunity consumer protect customer represent.,2022-03-16,2022-01-08 17:21:13,2022-02-06 17:21:13,False
00k00010042,00600010019,P007,CON-SVC-DAY,Consulting Services - Daily Rate,3,2500,2500.0,0.0,7500.0,Story off push.,2022-03-16,2022-01-08 17:21:13,2022-02-06 17:21:13,False
00k00010043,00600010020,P002,PS-IMP-001,Professional Services - Implementation,2,25000,25000.0,0.0,50000.0,Low world they whom. Bank yeah page act. Dream by base wish.,2022-06-15,2022-05-14 17:21:13,2022-05-27 17:21:13,False
00k00010044,00600010021,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,12454.5,16.97,12454.5,Last various first control. Offer those significant citizen book end director.,2024-10-02,2024-07-08 17:21:13,2024-08-26 17:21:13,False
00k00010045,00600010022,P004,TRN-PKG-010,Training Package - 10 Users,100,5000,5000.0,0.0,500000.0,Others drop us lay imagine necessary. Factor detail type work nor.,2025-05-03,2025-03-03 17:21:13,2025-03-26 17:21:13,False
00k00010046,00600010022,P008,PS-MIG-001,Data Migration Services,100,30000,30000.0,0.0,3000000.0,Mother could enjoy task career ten out similar. Though goal option. Herself heart a.,2025-05-03,2025-03-03 17:21:13,2025-03-26 17:21:13,False
00k00010047,00600010023,P002,PS-IMP-001,Professional Services - Implementation,2,25000,21325.0,14.7,42650.0,Now mean beat control black fill. Finally magazine usually.,2026-01-21,2025-10-05 17:21:13,2025-12-20 17:21:13,False
00k00010048,00600010024,P007,CON-SVC-DAY,Consulting Services - Daily Rate,50,2500,2183.0,12.68,109150.0,Far during training why. Low music leader ball.,2022-06-13,2022-04-20 17:21:13,2022-06-27 17:21:13,False
00k00010049,00600010024,P004,TRN-PKG-010,Training Package - 10 Users,3,5000,4614.5,7.71,13843.5,Available politics him hour.,2022-06-13,2022-04-20 17:21:13,2022-06-27 17:21:13,False
00k00010050,00600010025,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,10000.0,0.0,10000.0,Perform in loss leg wrong house. Skill account whose building. Second thank use top music.,2022-08-02,2022-02-07 17:21:13,2022-03-16 17:21:13,False
00k00010051,00600010026,P005,HW-APP-STD,Hardware Appliance - Standard,3,15000,11889.0,20.74,35667.0,Produce available development. Quickly who camera.,2022-08-29,2022-05-22 17:21:13,2022-08-08 17:21:13,False
00k00010052,00600010027,P001,SW-ENT-001,Enterprise Software License,5,50000,38215.0,23.57,191075.0,Add hospital teach system civil. Political pay effort offer yes daughter.,2024-02-19,2024-01-08 17:21:13,2024-01-30 17:21:13,False
00k00010053,00600010028,P004,TRN-PKG-010,Training Package - 10 Users,2,5000,4073.5,18.53,8147.0,Such man suffer analysis already easy. Maintain vote after thing.,2024-09-05,2024-04-29 17:21:13,2024-05-23 17:21:13,False
00k00010054,00600010028,P007,CON-SVC-DAY,Consulting Services - Daily Rate,50,2500,2086.25,16.55,104312.5,Job enough like. Outside wonder before find our. Budget instead be series head cost standard.,2024-09-05,2024-04-29 17:21:13,2024-05-23 17:21:13,False
00k00010055,00600010028,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,10000.0,0.0,10000.0,Meeting conference mean simple cause big. Field event list save television seem.,2024-09-05,2024-04-29 17:21:13,2024-05-23 17:21:13,False
00k00010056,00600010029,P007,CON-SVC-DAY,Consulting Services - Daily Rate,3,2500,2049.75,18.01,6149.25,Daughter condition class fly.,2022-04-23,2021-11-08 17:21:13,2022-01-18 17:21:13,False
00k00010057,00600010029,P002,PS-IMP-001,Professional Services - Implementation,2,25000,19955.0,20.18,39910.0,Red movie operation think body. Kitchen could tree everything result he small.,2022-04-23,2021-11-08 17:21:13,2022-01-18 17:21:13,False
00k00010058,00600010029,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,3,2000,1561.0,21.95,4683.0,Worker science newspaper goal. Hold create go choose develop why. Others story prevent argue.,2022-04-23,2021-11-08 17:21:13,2022-01-18 17:21:13,False
00k00010059,00600010030,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,1879.2,6.04,1879.2,Analysis outside need she machine field. Century trial test manage. Present all black particularly.,2023-01-01,2022-08-21 17:21:13,2022-10-22 17:21:13,False
00k00010060,00600010030,P008,PS-MIG-001,Data Migration Services,5,30000,30000.0,0.0,150000.0,Often lot vote remain. Information garden wrong decision state risk.,2023-01-01,2022-08-21 17:21:13,2022-10-22 17:21:13,False
00k00010061,00600010031,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,15000.0,0.0,15000.0,Or local serve base break. Feeling performance herself maintain mother police assume.,2022-10-21,2022-08-20 17:21:13,2022-09-23 17:21:13,False
00k00010062,00600010031,P007,CON-SVC-DAY,Consulting Services - Daily Rate,1,2500,2500.0,0.0,2500.0,Learn structure discover cut lot. Strong cut season attention chance do.,2022-10-21,2022-08-20 17:21:13,2022-09-23 17:21:13,False
00k00010063,00600010031,P008,PS-MIG-001,Data Migration Services,10,30000,30000.0,0.0,300000.0,Future right owner know a figure. Enter process lose cell performance money. Later education ten.,2022-10-21,2022-08-20 17:21:13,2022-09-23 17:21:13,False
00k00010064,00600010031,P002,PS-IMP-001,Professional Services - Implementation,10,25000,18955.0,24.18,189550.0,Nor position close public rule where you. Describe environmental art only wife rate.,2022-10-21,2022-08-20 17:21:13,2022-09-23 17:21:13,False
00k00010065,00600010032,P005,HW-APP-STD,Hardware Appliance - Standard,50,15000,15000.0,0.0,750000.0,"Fact team yet system. History budget wear attention also doctor success outside.
Buy if image.",2022-04-04,2021-10-25 17:21:13,2021-11-14 17:21:13,False
00k00010066,00600010033,P007,CON-SVC-DAY,Consulting Services - Daily Rate,3,2500,2500.0,0.0,7500.0,However this yard by here. Even official law imagine professor capital truth. Hair from look.,2023-03-31,2023-01-24 17:21:13,2023-03-14 17:21:13,False
00k00010067,00600010033,P003,SUP-ANN-001,Annual Support & Maintenance,2,10000,10000.0,0.0,20000.0,Far nearly night newspaper find bar.,2023-03-31,2023-01-24 17:21:13,2023-03-14 17:21:13,False
00k00010068,00600010033,P004,TRN-PKG-010,Training Package - 10 Users,100,5000,4518.0,9.64,451800.0,Well too affect day. Trial TV consumer away oil. Even foreign writer enough instead medical.,2023-03-31,2023-01-24 17:21:13,2023-03-14 17:21:13,False
00k00010069,00600010034,P005,HW-APP-STD,Hardware Appliance - Standard,3,15000,13485.0,10.1,40455.0,Show win resource affect young travel. State number share visit.,2022-04-23,2022-01-15 17:21:13,2022-01-22 17:21:13,False
00k00010070,00600010034,P004,TRN-PKG-010,Training Package - 10 Users,10,5000,4816.5,3.67,48165.0,Day another employee successful head nearly eye moment. Teach probably seven office use program.,2022-04-23,2022-01-15 17:21:13,2022-01-22 17:21:13,False
00k00010071,00600010034,P008,PS-MIG-001,Data Migration Services,100,30000,30000.0,0.0,3000000.0,So bed watch magazine concern statement. Rest although look stuff.,2022-04-23,2022-01-15 17:21:13,2022-01-22 17:21:13,False
00k00010072,00600010034,P007,CON-SVC-DAY,Consulting Services - Daily Rate,2,2500,2500.0,0.0,5000.0,Write wide fire must back than total. Wish half coach past.,2022-04-23,2022-01-15 17:21:13,2022-01-22 17:21:13,False
00k00010073,00600010035,P007,CON-SVC-DAY,Consulting Services - Daily Rate,2,2500,2500.0,0.0,5000.0,Door beat suddenly local stage agent. Toward clearly smile last pay article range.,2023-08-31,2023-04-29 17:21:13,2023-05-31 17:21:13,False
00k00010074,00600010035,P001,SW-ENT-001,Enterprise Software License,5,50000,50000.0,0.0,250000.0,Town agree they question high interesting.,2023-08-31,2023-04-29 17:21:13,2023-05-31 17:21:13,False
00k00010075,00600010035,P008,PS-MIG-001,Data Migration Services,100,30000,30000.0,0.0,3000000.0,Ready cell head response. Not amount gas quite billion likely wear. Choose owner type team.,2023-08-31,2023-04-29 17:21:13,2023-05-31 17:21:13,False
00k00010076,00600010036,P002,PS-IMP-001,Professional Services - Implementation,2,25000,20377.5,18.49,40755.0,Without near clearly card. Doctor level card hundred environment.,2023-11-20,2023-07-06 17:21:13,2023-09-03 17:21:13,False
00k00010077,00600010037,P004,TRN-PKG-010,Training Package - 10 Users,3,5000,5000.0,0.0,15000.0,First similar property boy hour. Test visit personal property.,2023-04-21,2022-11-30 17:21:13,2023-01-15 17:21:13,False
00k00010078,00600010038,P005,HW-APP-STD,Hardware Appliance - Standard,3,15000,13456.5,10.29,40369.5,Piece return senior box instead. Hear figure possible catch growth.,2023-01-13,2022-08-08 17:21:13,2022-09-14 17:21:13,False
00k00010079,00600010038,P007,CON-SVC-DAY,Consulting Services - Daily Rate,2,2500,1891.5,24.34,3783.0,Culture answer theory base.,2023-01-13,2022-08-08 17:21:13,2022-09-14 17:21:13,False
00k00010080,00600010038,P008,PS-MIG-001,Data Migration Services,1,30000,30000.0,0.0,30000.0,Church artist figure. Health factor financial space attack live.,2023-01-13,2022-08-08 17:21:13,2022-09-14 17:21:13,False
00k00010081,00600010038,P003,SUP-ANN-001,Annual Support & Maintenance,100,10000,9369.0,6.31,936900.0,Building station need trial growth. On event but blue.,2023-01-13,2022-08-08 17:21:13,2022-09-14 17:21:13,False
00k00010082,00600010039,P007,CON-SVC-DAY,Consulting Services - Daily Rate,3,2500,2500.0,0.0,7500.0,Republican oil difference it particular. Best time hit. Bring dark staff project kid bank.,2026-05-29,2026-01-10 17:21:13,2026-03-18 17:21:13,False
00k00010083,00600010039,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,1842.4,7.88,1842.4,May dinner morning test. Provide in drop.,2026-05-29,2026-01-10 17:21:13,2026-03-18 17:21:13,False
00k00010084,00600010039,P001,SW-ENT-001,Enterprise Software License,2,50000,50000.0,0.0,100000.0,Risk above each science lead. Case manage daughter write anyone speech.,2026-05-29,2026-01-10 17:21:13,2026-03-18 17:21:13,False
00k00010085,00600010039,P003,SUP-ANN-001,Annual Support & Maintenance,5,10000,7977.0,20.23,39885.0,"Policy because including cover past wear story black.
Huge owner design ground.",2026-05-29,2026-01-10 17:21:13,2026-03-18 17:21:13,False
00k00010086,00600010039,P002,PS-IMP-001,Professional Services - Implementation,2,25000,25000.0,0.0,50000.0,Treatment green sit free. Exactly easy trial oil join tell travel blood.,2026-05-29,2026-01-10 17:21:13,2026-03-18 17:21:13,False
00k00010087,00600010040,P003,SUP-ANN-001,Annual Support & Maintenance,20,10000,8040.0,19.6,160800.0,Office mouth respond condition bill.,2025-03-27,2024-12-09 17:21:13,2025-03-01 17:21:13,False
00k00010088,00600010040,P004,TRN-PKG-010,Training Package - 10 Users,2,5000,4441.5,11.17,8883.0,Only daughter history religious go recognize something move. Total wrong unit entire type big.,2025-03-27,2024-12-09 17:21:13,2025-03-01 17:21:13,False
00k00010089,00600010040,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,2,2000,2000.0,0.0,4000.0,Stay year teach improve catch line cost. Sing ten arm official west my.,2025-03-27,2024-12-09 17:21:13,2025-03-01 17:21:13,False
00k00010090,00600010041,P008,PS-MIG-001,Data Migration Services,10,30000,30000.0,0.0,300000.0,Kid case approach term area manager form. Education alone themselves accept place hear.,2025-01-13,2024-09-27 17:21:13,2024-11-19 17:21:13,False
00k00010091,00600010041,P001,SW-ENT-001,Enterprise Software License,2,50000,41395.0,17.21,82790.0,"Stuff left always explain measure.
Movie require great. Herself election building show suffer.",2025-01-13,2024-09-27 17:21:13,2024-11-19 17:21:13,False
00k00010092,00600010041,P005,HW-APP-STD,Hardware Appliance - Standard,10,15000,15000.0,0.0,150000.0,Among piece impact few give ground one. Two money picture area knowledge home claim.,2025-01-13,2024-09-27 17:21:13,2024-11-19 17:21:13,False
00k00010093,00600010041,P002,PS-IMP-001,Professional Services - Implementation,3,25000,25000.0,0.0,75000.0,Into after site energy plant. Rather performance different executive main piece.,2025-01-13,2024-09-27 17:21:13,2024-11-19 17:21:13,False
00k00010094,00600010042,P008,PS-MIG-001,Data Migration Services,1,30000,27996.0,6.68,27996.0,Care give boy recognize able they. Surface trade social issue worry quality want.,2026-01-12,2025-11-20 17:21:13,2026-02-10 17:21:13,False
00k00010095,00600010042,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,2000.0,0.0,2000.0,Finally could population deal. From part in marriage black.,2026-01-12,2025-11-20 17:21:13,2026-02-10 17:21:13,False
00k00010096,00600010043,P004,TRN-PKG-010,Training Package - 10 Users,3,5000,5000.0,0.0,15000.0,Drop position benefit also. Decide particularly day bill. Approach wide receive citizen.,2021-04-13,2021-02-23 17:21:13,2021-03-26 17:21:13,False
00k00010097,00600010043,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,1876.8,6.16,1876.8,Television fire black sea. Society scientist idea century figure. Star field hour interview return.,2021-04-13,2021-02-23 17:21:13,2021-03-26 17:21:13,False
00k00010098,00600010044,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,15000.0,0.0,15000.0,Pick though candidate new. Most strong wind security adult.,2024-02-03,2023-11-23 17:21:13,2024-02-05 17:21:13,False
00k00010099,00600010044,P001,SW-ENT-001,Enterprise Software License,1,50000,50000.0,0.0,50000.0,Impact read member training. Relate century fly TV husband threat experience.,2024-02-03,2023-11-23 17:21:13,2024-02-05 17:21:13,False
00k00010100,00600010044,P004,TRN-PKG-010,Training Package - 10 Users,50,5000,3802.0,23.96,190100.0,Watch management career relate question less. Toward rich record article.,2024-02-03,2023-11-23 17:21:13,2024-02-05 17:21:13,False
00k00010101,00600010045,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,2,2000,1702.0,14.9,3404.0,Return certain really tax southern field his father. Line rather our across religious rock run.,2023-12-26,2023-11-05 17:21:13,2023-12-12 17:21:13,False
00k00010102,00600010046,P001,SW-ENT-001,Enterprise Software License,50,50000,44785.0,10.43,2239250.0,Marriage off effect throw.,2024-07-22,2024-02-17 17:21:13,2024-02-19 17:21:13,False
00k00010103,00600010047,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,10,2000,2000.0,0.0,20000.0,Media too job. Have popular quality article up everybody key.,2024-05-21,2023-12-13 17:21:13,2023-12-31 17:21:13,False
00k00010104,00600010047,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,8569.0,14.31,8569.0,Window bit woman important stuff north reality.,2024-05-21,2023-12-13 17:21:13,2023-12-31 17:21:13,False
00k00010105,00600010048,P001,SW-ENT-001,Enterprise Software License,1,50000,44880.0,10.24,44880.0,Region worry with study. Lot should health world against PM.,2022-04-27,2021-11-21 17:21:13,2022-01-26 17:21:13,False
00k00010106,00600010048,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,3,2000,1788.2,10.59,5364.6,Check clear yeah end around usually chance. Manage sense move eat her citizen ever matter.,2022-04-27,2021-11-21 17:21:13,2022-01-26 17:21:13,False
00k00010107,00600010049,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,15000.0,0.0,15000.0,World where candidate buy possible wonder. Visit factor common. Require loss energy above hair us.,2022-02-17,2021-12-18 17:21:13,2022-02-08 17:21:13,False
00k00010108,00600010049,P007,CON-SVC-DAY,Consulting Services - Daily Rate,2,2500,2492.0,0.32,4984.0,"Art our local year inside.
Or in myself traditional. Wide model occur language only rather later.",2022-02-17,2021-12-18 17:21:13,2022-02-08 17:21:13,False
00k00010109,00600010049,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,1784.2,10.79,1784.2,Hope high network even able sister. Believe vote challenge interesting.,2022-02-17,2021-12-18 17:21:13,2022-02-08 17:21:13,False
00k00010110,00600010050,P004,TRN-PKG-010,Training Package - 10 Users,1,5000,4733.5,5.33,4733.5,One mouth accept try. Arrive service record run phone ahead.,2025-03-20,2025-01-01 17:21:13,2025-01-02 17:21:13,False
00k00010111,00600010051,P002,PS-IMP-001,Professional Services - Implementation,50,25000,19042.5,23.83,952125.0,Find somebody later local tough. Such left election town. Seat third measure number wait.,2024-12-14,2024-07-01 17:21:13,2024-08-15 17:21:13,False
00k00010112,00600010051,P004,TRN-PKG-010,Training Package - 10 Users,1,5000,5000.0,0.0,5000.0,Behavior new well usually least world.,2024-12-14,2024-07-01 17:21:13,2024-08-15 17:21:13,False
00k00010113,00600010052,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,15000.0,0.0,15000.0,Threat win no if give say. Or even some lay him these happy significant.,2022-12-07,2022-06-25 17:21:13,2022-09-21 17:21:13,False
00k00010114,00600010053,P008,PS-MIG-001,Data Migration Services,100,30000,30000.0,0.0,3000000.0,Laugh work born then oil window character. Good stay message majority.,2023-03-23,2023-02-11 17:21:13,2023-04-30 17:21:13,False
00k00010115,00600010054,P001,SW-ENT-001,Enterprise Software License,2,50000,50000.0,0.0,100000.0,Large event worry such add. Professor movement itself wife point one involve.,2023-02-02,2022-11-21 17:21:13,2023-02-16 17:21:13,False
00k00010116,00600010054,P003,SUP-ANN-001,Annual Support & Maintenance,1,10000,10000.0,0.0,10000.0,Structure water tell drive better goal method. Seem those political story.,2023-02-02,2022-11-21 17:21:13,2023-02-16 17:21:13,False
00k00010117,00600010055,P005,HW-APP-STD,Hardware Appliance - Standard,1,15000,11566.5,22.89,11566.5,Sister media subject. Maybe approach walk letter probably full.,2023-06-15,2023-03-20 17:21:13,2023-04-12 17:21:13,False
00k00010118,00600010055,P008,PS-MIG-001,Data Migration Services,2,30000,30000.0,0.0,60000.0,Case goal improve something authority. Process friend seven second ask.,2023-06-15,2023-03-20 17:21:13,2023-04-12 17:21:13,False
00k00010119,00600010055,P001,SW-ENT-001,Enterprise Software License,1,50000,50000.0,0.0,50000.0,Hair study trip despite animal Mrs grow to. Mrs also key.,2023-06-15,2023-03-20 17:21:13,2023-04-12 17:21:13,False
00k00010120,00600010056,P004,TRN-PKG-010,Training Package - 10 Users,50,5000,5000.0,0.0,250000.0,Six leave manage themselves performance sell. Save by surface cover change. Might level job guy.,2022-12-03,2022-08-02 17:21:13,2022-08-20 17:21:13,False
00k00010121,00600010056,P008,PS-MIG-001,Data Migration Services,10,30000,29349.0,2.17,293490.0,Line Congress and phone born individual. Strategy beyond size staff never note.,2022-12-03,2022-08-02 17:21:13,2022-08-20 17:21:13,False
00k00010122,00600010057,P004,TRN-PKG-010,Training Package - 10 Users,1,5000,5000.0,0.0,5000.0,About street address itself. Leader read deal. Executive ball focus buy assume live.,2025-12-26,2025-08-28 17:21:13,2025-09-04 17:21:13,False
