Id,Name,AccountNumber,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00100010016,Vargas-Alvarado,ACC-010016,Customer - Direct,Financial Services,8911887.9,1504,627 Brent Light,Jasonmouth,MA,50193,USA,264-517-0805x310,www.combs.com,Cold,0050012,2021-07-23 17:21:13,2021-10-13 17:21:13,False
00100010017,Martinez Ltd,ACC-010017,Customer - Direct,Telecommunications,1761053.75,570,374 Jackson Rest,Port Loriport,CT,76350,USA,3496663193,www.burke.com,Hot,0050013,2021-11-25 17:21:13,2022-06-30 17:21:13,False
00100010018,Patel-Stanley,ACC-010018,Partner,Telecommunications,4214428.19,12,506 Garcia Lake,Zimmermanchester,HI,96681,USA,549.987.7694x53147,www.bishop.com,Warm,0050001,2023-11-28 17:21:13,2024-04-19 17:21:13,False
00100010019,Freeman LLC,ACC-010019,Customer - Direct,Media,2367697.63,332,4948 Zachary Field Apt. 367,Lake Thomas,VT,64833,USA,701.843.6349x578,www.pierce.com,Warm,0050009,2024-12-10 17:21:13,2025-03-31 17:21:13,False
00100010020,Hall-Griffith,ACC-010020,Customer - Channel,Technology,601971.85,28,82337 Hardy Trace Suite 134,West Harry,AL,93302,USA,+1-324-200-8427,www.mitchell.com,Warm,0050003,2021-07-14 17:21:13,2022-01-03 17:21:13,False
00100010021,Everett-Woods,ACC-010021,Customer - Direct,Technology,2874082.06,295,7190 Edward Port,Christopherbury,DE,73648,USA,001-269-399-3867x74964,www.garrett.com,Hot,0050001,2025-03-29 17:21:13,2025-05-16 17:21:13,False
00100010022,Allen PLC,ACC-010022,Prospect,Manufacturing,22081.2,2865,06797 Johnson Heights,Jacquelinemouth,CA,90597,USA,649.436.1832,www.brown.org,Warm,0050004,2023-09-07 17:21:13,2023-10-27 17:21:13,False
00100010023,"Holloway, Morse and Gonzales",ACC-010023,Customer - Direct,Media,15903724.64,24,464 Kim Rapid Apt. 659,Anthonybury,TX,75893,USA,001-604-490-2787,www.graham.info,Warm,0050002,2023-10-20 17:21:13,2024-04-14 17:21:13,False
00100010024,Ortiz-Morris,ACC-010024,Prospect,Technology,3457993.02,13,56746 Shawn Island,Marcusfurt,VI,67950,USA,9879603859,www.harris.com,Warm,0050003,2022-06-06 17:21:13,2022-10-20 17:21:13,False
00100010025,Kim-Wolfe,ACC-010025,Prospect,Healthcare,3329353.48,71,93248 Andrea Course,Port Robin,NH,15897,USA,+1-827-548-4677x3782,www.romero.com,Warm,0050007,2021-04-16 17:21:13,2021-05-09 17:21:13,False
00100010026,Morgan-French,ACC-010026,Customer - Direct,Technology,7694571.84,1,44997 Sean Orchard Suite 588,Gibsonmouth,VI,25228,USA,001-939-263-6057x662,www.shaw.com,Cold,0050011,2021-09-21 17:21:13,2022-05-15 17:21:13,False
00100010027,Sawyer Group,ACC-010027,Customer - Direct,Transportation,4932222.56,8,702 Pitts Drives,South Kimberlyview,MA,82192,USA,001-561-658-6578x091,www.francis.com,Warm,0050007,2022-10-22 17:21:13,2022-12-25 17:21:13,False
00100010028,"Padilla, Garcia and Jackson",ACC-010028,Prospect,Transportation,106824.31,188,05045 Jordan Gardens Suite 922,North Chelsea,MS,81727,USA,+1-437-392-3747x40748,www.landry-huerta.com,Cold,0050012,2023-09-10 17:21:13,2023-10-21 17:21:13,False
00100010029,"Hayden, Vaughn and Bryant",ACC-010029,Prospect,Telecommunications,275432.7,10,67136 Andrews Squares Suite 064,New Michelleton,PW,79983,USA,001-674-939-5339x4210,www.riley.com,Cold,0050003,2022-09-20 17:21:13,2023-02-18 17:21:13,False
00100010030,Browning LLC,ACC-010030,Partner,Energy,11243285.8,1692,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,+1-868-751-6048x17549,www.leonard.com,Hot,0050008,2021-03-01 17:21:13,2022-01-17 17:21:13,False
00100010031,"Henson, Hoffman and Herman",ACC-010031,Partner,Media,5874578.95,35,174 Wilson Cape,West Wendyville,CT,31276,USA,+1-826-375-8692,www.gilbert-crosby.com,Hot,0050014,2022-05-07 17:21:13,2022-11-09 17:21:13,False
00100010032,Vaughn and Sons,ACC-010032,Customer - Channel,Energy,4418532.07,143,3515 Brown Harbor Apt. 171,Lake Danielle,AK,07130,USA,232-693-1839x33529,www.huerta.com,Hot,0050004,2022-07-30 17:21:13,2022-11-06 17:21:13,False
00100010033,Rodriguez Inc,ACC-010033,Customer - Direct,Retail,1296198.46,16,53950 Joseph Crossroad,Foxland,NJ,59257,USA,001-258-991-7839x08470,www.simmons-rodriguez.info,Cold,0050003,2021-11-12 17:21:13,2021-12-18 17:21:13,False
00100010034,Lam LLC,ACC-010034,Prospect,Technology,11622815.67,67655,24998 James Ranch,Shawnchester,CT,92484,USA,883-867-3657,www.davis.com,Warm,0050014,2025-07-23 17:21:13,2026-06-27 17:21:13,False
00100010035,Mcdaniel Group,ACC-010035,Prospect,Energy,18950617.91,91,11615 Angela Radial,Elizabethchester,MI,87708,USA,001-360-749-4519x83273,www.richardson.biz,Warm,0050002,2024-07-15 17:21:13,2024-12-11 17:21:13,False
00100010036,"Villegas, Cardenas and Austin",ACC-010036,Customer - Direct,Technology,1925480.94,34212,402 Park Inlet,Michaelburgh,VI,19277,USA,001-861-920-1836,www.moore-collins.com,Hot,0050016,2025-05-14 17:21:13,2025-09-11 17:21:13,False
00100010037,"Carlson, Ware and Moore",ACC-010037,Customer - Direct,Financial Services,3194155.72,217,147 Tucker Mills,Nelsonhaven,DE,45743,USA,(614)597-8403x69003,www.duran.com,Warm,0050006,2020-12-15 17:21:13,2021-02-05 17:21:13,False
00100010038,Smith Ltd,ACC-010038,Customer - Direct,Transportation,2532684.62,293,26838 Jones Wall Apt. 607,Port Lawrencechester,OK,53509,USA,001-864-316-0529x751,www.graham.net,Warm,0050003,2023-09-07 17:21:13,2024-01-28 17:21:13,False
00100010039,Foster LLC,ACC-010039,Competitor,Healthcare,601037.47,7,52181 Rebecca Keys Suite 231,West James,PA,20537,USA,001-312-977-9979x95527,www.welch-hogan.org,Cold,0050003,2023-04-10 17:21:13,2024-03-01 17:21:13,False
00100010040,Bell Inc,ACC-010040,Customer - Direct,Transportation,29287154.92,75,7005 Jones Way Apt. 998,Fordside,WY,97352,USA,2799359782,www.shepherd.com,Cold,0050014,2021-02-19 17:21:13,2021-08-25 17:21:13,False
00100010041,"Lucas, Williams and Zimmerman",ACC-010041,Customer - Direct,Energy,240050.57,33,892 Watson Haven Suite 659,Port Crystalmouth,CA,43714,USA,486-744-9251,www.ponce-hale.biz,Warm,0050017,2024-11-25 17:21:13,2025-06-03 17:21:13,False
00100010042,Larson Inc,ACC-010042,Partner,Transportation,480212.41,2354,652 Debbie Manors Suite 054,East Matthew,WI,64237,USA,232.721.4188,www.anderson.org,Warm,0050003,2023-10-28 17:21:13,2024-02-13 17:21:13,False
00100010043,Griffith Inc,ACC-010043,Customer - Direct,Media,3429289.41,848,3794 Young Garden Suite 735,Murrayport,WI,50553,USA,386.623.9240x75818,www.hines.info,Warm,0050013,2022-01-21 17:21:13,2022-06-07 17:21:13,False
00100010044,"Hernandez, Kim and Potts",ACC-010044,Customer - Direct,Media,22031934.5,546,5060 Shaw Freeway,Vangstad,IN,04195,USA,215-622-0472x77901,www.conley.org,Cold,0050015,2021-11-17 17:21:13,2022-11-02 17:21:13,False
00100010045,"Henderson, Parsons and Young",ACC-010045,Customer - Direct,Manufacturing,143105876.91,38,36971 Mary Parks,Lake Zacharybury,VT,19319,USA,260-895-3962x1851,www.williams-hughes.com,Warm,0050017,2022-03-07 17:21:13,2022-04-13 17:21:13,False
00100010046,Burgess-Kelly,ACC-010046,Customer - Direct,Energy,6641438.7,3,3195 Bradley Plains,Lisaburgh,MP,90243,USA,772.621.7043x030,www.sanders.com,Warm,0050008,2022-05-26 17:21:13,2023-04-17 17:21:13,False
00100010047,"Lee, Kelly and Norman",ACC-010047,Partner,Retail,36792230.98,109,1566 Kline Lights Suite 277,Sandrahaven,KY,11329,USA,001-661-969-2845x1154,www.robbins.info,Hot,0050015,2024-11-08 17:21:13,2025-08-09 17:21:13,False
00100010048,Acosta LLC,ACC-010048,Prospect,Media,56937.81,215,0165 Stephanie Divide Suite 021,Port Deanna,MN,50682,USA,001-409-727-5571,www.edwards-ramirez.com,Cold,0050019,2021-09-22 17:21:13,2022-01-26 17:21:13,False
00100010049,Fitzgerald Group,ACC-010049,Customer - Channel,Telecommunications,755107.65,46,144 Lewis Ridge Suite 731,Port Charles,HI,94003,USA,515.351.8844x225,www.conner.info,Hot,0050009,2024-11-24 17:21:13,2025-07-19 17:21:13,False
00100010050,Ward PLC,ACC-010050,Prospect,Technology,1675305.04,78,8291 Kyle Stravenue Suite 866,East Teresaland,NV,61558,USA,+1-685-428-9226x80182,www.morris.com,Warm,0050016,2023-09-08 17:21:13,2024-01-25 17:21:13,False
00100010051,Meza-Stone,ACC-010051,Customer - Direct,Retail,5621580.99,13221,43842 Mendez Course Apt. 992,Lake Claudia,MH,79817,USA,690-601-0943x96907,www.sanchez-aguirre.biz,Warm,0050005,2022-03-24 17:21:13,2023-03-12 17:21:13,False
00100010052,Chavez-Barker,ACC-010052,Prospect,Telecommunications,3886935.55,45,6773 Lawson Island,Jessicastad,MO,17640,USA,001-258-681-5371x47321,www.lin-barnes.com,Hot,0050014,2022-09-10 17:21:13,2023-01-01 17:21:13,False
00100010053,Peck-Griffith,ACC-010053,Customer - Direct,Technology,13232477.25,492,78774 Johnson Lock,Levyborough,OR,46755,USA,3048797480,www.khan.com,Warm,0050005,2021-12-22 17:21:13,2022-06-07 17:21:13,False
00100010054,Diaz-Morales,ACC-010054,Customer - Direct,Energy,1355811.91,192,8416 Duran Harbors,East Theresafurt,MN,44945,USA,+1-252-239-8680,www.reeves.net,Warm,0050019,2021-02-01 17:21:13,2021-03-02 17:21:13,False
00100010055,Hernandez-Barry,ACC-010055,Customer - Channel,Technology,156268346.75,339,9526 Wheeler Parkways,Ericksonport,NJ,02681,USA,(551)269-4097x499,www.castillo.biz,Warm,0050016,2024-07-12 17:21:13,2024-07-29 17:21:13,False
00100010056,Underwood and Sons,ACC-010056,Prospect,Technology,6505355.14,946,130 Edwards Drive,Vaughnchester,NY,80648,USA,702.783.8578x6527,www.ingram.com,Cold,0050012,2021-04-20 17:21:13,2021-09-29 17:21:13,False
00100010057,"Washington, Bernard and Ramirez",ACC-010057,Customer - Direct,Technology,232887659.99,2,44375 Bailey Underpass Suite 419,Huangfurt,GU,45738,USA,001-624-404-1574x73384,www.gilbert.com,Cold,0050003,2023-07-26 17:21:13,2023-12-11 17:21:13,False
00100010058,Williams PLC,ACC-010058,Partner,Media,1235683.07,224,301 Rivera Mountains,Lake Kellitown,OH,21202,USA,(877)434-5401x93802,www.osborn.info,Warm,0050010,2025-06-11 17:21:13,2025-09-28 17:21:13,False
00100010059,Zuniga LLC,ACC-010059,Customer - Direct,Manufacturing,3088379.52,4,49915 Gibson Row,Smallberg,PR,66589,USA,543.415.2742x054,www.chase.net,Warm,0050018,2022-08-20 17:21:13,2023-01-29 17:21:13,False
00100010060,Miller-Caldwell,ACC-010060,Prospect,Media,16613467.8,522,75304 Young Terrace,Stephanieport,OR,95250,USA,001-404-853-0174,www.shaw.com,Warm,0050010,2024-08-15 17:21:13,2025-07-17 17:21:13,False
00100010061,"Wilson, Hendricks and Phillips",ACC-010061,Customer - Channel,Media,91551.49,12,27279 Perry Plaza,Toddborough,WV,32936,USA,+1-491-487-8519x10883,www.bond-ramos.com,Cold,0050005,2023-01-06 17:21:13,2023-07-28 17:21:13,False
00100010062,"Aguilar, Davis and Dixon",ACC-010062,Customer - Direct,Telecommunications,17035887.36,755,2867 Angelica Spring,Jenniferfurt,KS,00896,USA,001-639-810-6518x0170,www.mack.biz,Hot,0050017,2020-11-08 17:21:13,2021-10-04 17:21:13,False
00100010063,Haney-Reyes,ACC-010063,Customer - Channel,Healthcare,1148105.57,990,1825 Gregory Plain Suite 823,Port Andrewport,NH,88777,USA,001-286-886-3375x2431,www.miranda.com,Cold,0050017,2023-03-30 17:21:13,2023-06-12 17:21:13,False
00100010064,Garcia Inc,ACC-010064,Customer - Direct,Transportation,1436067.19,1062,030 Gonzales Plains Apt. 028,Jimshire,MD,76191,USA,+1-453-842-8364x408,www.simpson.biz,Cold,0050019,2024-04-30 17:21:13,2024-07-11 17:21:13,False
00100010065,"Flores, Butler and Hernandez",ACC-010065,Customer - Channel,Retail,4895440.81,29,87334 Linda Centers Suite 688,South John,IL,43789,USA,+1-317-551-8304x6990,www.ramsey.com,Warm,0050004,2024-06-06 17:21:13,2025-03-21 17:21:13,False
00100010066,Krueger-Smith,ACC-010066,Competitor,Transportation,122955511.37,333,173 Randy Garden,Kimberlyfurt,NH,70447,USA,+1-754-845-8771x7535,www.hart.com,Cold,0050009,2022-10-17 17:21:13,2023-03-01 17:21:13,False
00100010067,Green PLC,ACC-010067,Partner,Technology,1374214.96,223,2353 Hudson Gardens Suite 854,Levyfort,NH,22551,USA,001-252-828-7280x8010,www.kirby.com,Cold,0050002,2021-08-17 17:21:13,2022-06-13 17:21:13,False
00100010068,"Hernandez, Robinson and Bryant",ACC-010068,Customer - Direct,Retail,7968555.58,7,977 Adam Plaza,Smithhaven,VA,36511,USA,+1-440-586-2118,www.harvey.com,Cold,0050017,2023-05-31 17:21:13,2024-03-25 17:21:13,False
00100010069,Norton-Miller,ACC-010069,Competitor,Transportation,100050.42,1260,9334 Desiree Walks Apt. 166,Tranton,SC,01739,USA,001-921-676-5918x033,www.glass.com,Cold,0050019,2023-07-30 17:21:13,2024-02-01 17:21:13,False
00100010070,"Elliott, Johnson and Mcfarland",ACC-010070,Partner,Energy,425626.32,783,39261 Martin Garden Suite 856,Port Vanessa,VA,10780,USA,650.916.3159x99650,www.perez-tran.biz,Warm,0050003,2024-08-01 17:21:13,2024-10-11 17:21:13,False
00100010071,Lopez-Willis,ACC-010071,Customer - Direct,Manufacturing,835106.71,134,94311 Moore Station Apt. 655,North Adamport,NV,47676,USA,001-341-721-2678x88610,www.davis.biz,Hot,0050009,2022-12-16 17:21:13,2023-08-26 17:21:13,False
00100010072,Carter Group,ACC-010072,Prospect,Financial Services,8757079.07,177,839 Gina Extension,West Kevin,NM,19628,USA,626-546-4715,www.weber.com,Warm,0050017,2025-04-21 17:21:13,2025-05-16 17:21:13,False
00100010073,Torres Group,ACC-010073,Customer - Direct,Technology,5117542.82,152,657 Jordan View Apt. 459,South Leon,MO,42331,USA,479-235-6465x1939,www.murray.com,Hot,0050003,2020-12-26 17:21:13,2021-02-21 17:21:13,False
00100010074,"Jones, Abbott and Pope",ACC-010074,Prospect,Transportation,309826367.95,334,43426 Jones Rapid Suite 968,Stephensstad,UT,70874,USA,+1-311-235-2909x656,www.green.net,Warm,0050001,2024-12-15 17:21:13,2025-11-02 17:21:13,False
00100010075,"Carpenter, Johnston and Griffin",ACC-010075,Prospect,Energy,57858408.15,36,9825 Timothy Hill Suite 112,Larrymouth,WY,27615,USA,375.471.7751x40105,www.sanchez.net,Cold,0050010,2024-12-01 17:21:13,2025-11-15 17:21:13,False
00100010076,Mullen-Hall,ACC-010076,Competitor,Media,567432.13,92,226 Johnson Ridges Apt. 796,Smithborough,IL,36984,USA,001-719-818-2553x71478,www.long.info,Warm,0050004,2023-06-13 17:21:13,2024-04-14 17:21:13,False
00100010077,"Thompson, Nunez and Mcbride",ACC-010077,Customer - Channel,Manufacturing,662336.86,10,251 Kevin Falls,Heatherhaven,MS,55320,USA,+1-629-466-2782x827,www.edwards.org,Warm,0050017,2025-06-16 17:21:13,2025-12-31 17:21:13,False
00100010078,Glenn Inc,ACC-010078,Customer - Direct,Retail,10249044.3,1033,36887 Cohen Mall Suite 721,Port Kathleenport,AZ,36526,USA,384.327.9788,www.hampton-morrow.com,Hot,0050014,2023-09-04 17:21:13,2024-07-06 17:21:13,False
00100010079,"Carson, Williams and Ball",ACC-010079,Customer - Direct,Energy,233172.45,5784,1340 Baker Wall,South Michelleville,WI,31557,USA,595.296.2923,www.bell.com,Cold,0050018,2023-03-11 17:21:13,2023-12-07 17:21:13,False
00100010080,"Carter, Armstrong and Farley",ACC-010080,Prospect,Retail,2821495.91,84,60422 Dustin Islands,Port Megan,MO,64655,USA,(694)766-7116,www.clements-murphy.com,Cold,0050015,2024-05-28 17:21:13,2025-03-08 17:21:13,False
00100010081,"Davis, Stanton and Reid",ACC-010081,Customer - Direct,Retail,954008.93,2623,86363 Adams Village Suite 589,New Melissa,WY,45555,USA,+1-600-417-0127x70632,www.davis-ward.com,Cold,0050017,2020-12-27 17:21:13,2021-01-02 17:21:13,False
00100010082,Beck-Banks,ACC-010082,Partner,Manufacturing,6484425.85,6789,4361 Aaron Neck,East Brittneyhaven,TX,58836,USA,8053162713,www.shaffer.com,Cold,0050003,2021-12-31 17:21:13,2022-02-28 17:21:13,False
00100010083,Reyes and Sons,ACC-010083,Prospect,Retail,20755145.84,754,89092 Bell Forest,South Christina,NV,28975,USA,412-519-6565,www.newman-wright.org,Warm,0050014,2021-12-28 17:21:13,2022-09-29 17:21:13,False
00100010084,"Griffith, Mitchell and Pugh",ACC-010084,Customer - Direct,Technology,4158193.42,415,438 Julie Hill,Port Rachaelbury,NM,51079,USA,437-891-8055,www.fisher.info,Warm,0050017,2021-08-09 17:21:13,2021-12-24 17:21:13,False
00100010085,Smith Inc,ACC-010085,Partner,Manufacturing,624192.34,80,3006 Fuller Parkway,Hendersonfurt,CO,84457,USA,+1-589-424-1418,www.murphy.com,Warm,0050002,2021-07-03 17:21:13,2022-05-28 17:21:13,False
00100010086,Hale-Blair,ACC-010086,Customer - Channel,Financial Services,34573372.68,169,31617 Kyle Streets,North Alexander,DC,92447,USA,4276588425,www.tanner.biz,Warm,0050005,2023-11-28 17:21:13,2024-01-25 17:21:13,False
00100010087,Warren-Baker,ACC-010087,Customer - Direct,Transportation,1059685.56,23825,7850 Villarreal Expressway,Ericville,MH,75724,USA,+1-213-880-0030x75622,www.morris.com,Warm,0050005,2024-03-02 17:21:13,2024-10-11 17:21:13,False
00100010088,Mckenzie-Duncan,ACC-010088,Prospect,Manufacturing,4907263.91,163,023 Stephanie Cliff,Clineport,MD,11823,USA,+1-570-953-4949,www.vargas-snyder.com,Warm,0050018,2024-12-05 17:21:13,2025-07-26 17:21:13,False
00100010089,"Mccullough, Hodges and Sanchez",ACC-010089,Customer - Direct,Financial Services,1907275.48,623,0385 Stephanie Alley,Sweeneyport,CT,27396,USA,336.370.2410x38657,www.anderson.org,Warm,0050015,2025-10-18 17:21:13,2026-03-02 17:21:13,False
00100010090,Graham and Sons,ACC-010090,Customer - Direct,Telecommunications,147865624.07,233,4565 Chavez Fort,East Derekshire,CT,20870,USA,527-975-6185,www.ford-phelps.com,Cold,0050010,2023-01-03 17:21:13,2023-04-05 17:21:13,False
00100010091,Aguirre LLC,ACC-010091,Competitor,Technology,1862126.71,5,52135 Palmer Springs,Jorgeburgh,AK,53505,USA,488.531.7121x003,www.watson-mccoy.com,Cold,0050002,2022-12-20 17:21:13,2023-02-13 17:21:13,False
00100010092,"Willis, Lowery and Jones",ACC-010092,Customer - Direct,Financial Services,42202.51,8641,72151 Sheri Causeway,New Ryan,VA,52274,USA,506.662.5324x4720,www.jenkins-pierce.com,Warm,0050011,2020-12-07 17:21:13,2021-10-24 17:21:13,False
00100010093,Ramirez and Sons,ACC-010093,Customer - Direct,Media,10023585.48,23,83806 Castillo Tunnel Suite 598,Paulburgh,AK,42296,USA,+1-530-540-7859x321,www.ferguson-moody.com,Warm,0050003,2024-02-21 17:21:13,2025-01-14 17:21:13,False
00100010094,Johnston Group,ACC-010094,Customer - Channel,Manufacturing,212919.71,406,23955 Jade Knoll Apt. 937,Gregoryton,CO,07863,USA,593.408.7059,www.love-sellers.com,Cold,0050018,2022-12-20 17:21:13,2023-10-28 17:21:13,False
00100010095,Johnson PLC,ACC-010095,Customer - Direct,Energy,185687.84,101,85156 Matthew Islands,East Jessica,NE,84290,USA,452.289.5392x6442,www.fry.org,Warm,0050014,2024-09-12 17:21:13,2024-11-30 17:21:13,False
00100010096,White LLC,ACC-010096,Customer - Direct,Transportation,3007885.6,24,917 Mark Club,West Toni,GA,83887,USA,657-304-3315,www.smith.com,Warm,0050011,2023-09-20 17:21:13,2023-12-12 17:21:13,False
00100010097,Snyder-Gray,ACC-010097,Competitor,Technology,17942962.4,42,79327 Lauren Bypass Suite 054,North Matthewfurt,GA,96443,USA,481-859-9706,www.brown.com,Cold,0050015,2022-10-16 17:21:13,2023-07-15 17:21:13,False
00100010098,Ortiz PLC,ACC-010098,Customer - Channel,Media,377199011.01,79,443 Brandon Ports Suite 205,South Christopherfort,ID,13213,USA,9329417146,www.baker.com,Warm,0050002,2025-10-23 17:21:13,2026-08-26 17:21:13,False
00100010099,Wood-Griffin,ACC-010099,Prospect,Media,7278518.82,30,7434 Edward Square Apt. 158,Arellanoshire,IN,73062,USA,6683687937,www.orr-klein.net,Cold,0050011,2023-12-31 17:21:13,2024-09-07 17:21:13,False
00100010100,"Lester, Mcbride and Byrd",ACC-010100,Customer - Channel,Manufacturing,68859229.08,1,72233 Brad Common,Harrisberg,MP,78495,USA,251-816-8685x487,www.perry.org,Warm,0050005,2025-09-15 17:21:13,2025-11-12 17:21:13,False
00100010101,"Aguilar, Hanna and Garcia",ACC-010101,Customer - Direct,Telecommunications,391395.85,40,148 Humphrey Greens,Penashire,PA,62504,USA,8247629960,www.young.com,Warm,0050012,2023-10-12 17:21:13,2024-03-18 17:21:13,False
00100010102,Morgan LLC,ACC-010102,Customer - Direct,Healthcare,42050.95,67,7132 Mccann Mills Suite 469,East Scottchester,WA,64000,USA,001-485-508-2148x62890,www.hood.com,Warm,0050018,2024-06-21 17:21:13,2024-07-21 17:21:13,False
00100010103,Williams-Ward,ACC-010103,Customer - Direct,Energy,68767936.47,436,5786 Erin Garden,Tracymouth,HI,62705,USA,001-885-252-4140,www.nash.com,Warm,0050019,2024-06-18 17:21:13,2025-04-05 17:21:13,False
00100010104,"Perez, Clark and Pearson",ACC-010104,Customer - Direct,Retail,53300905.19,10,072 Carolyn Branch,West Charlene,ME,93921,USA,001-846-365-7437x489,www.hunt.com,Warm,0050013,2025-05-16 17:21:13,2025-06-29 17:21:13,False
00100010105,"Holland, Lynch and Evans",ACC-010105,Customer - Direct,Transportation,1586679.97,92,1545 Green Station,Jacobhaven,WV,31997,USA,8968520744,www.doyle-aguilar.org,Hot,0050016,2021-09-17 17:21:13,2022-05-24 17:21:13,False
00100010106,Cooper Ltd,ACC-010106,Customer - Direct,Media,21905.24,583,875 Bruce Ville,West Connor,DC,97614,USA,682-651-3534x655,www.york-ruiz.org,Cold,0050006,2021-03-28 17:21:13,2021-05-03 17:21:13,False
00100010107,"Blackburn, Jones and Preston",ACC-010107,Customer - Direct,Healthcare,118488813.5,127,684 Brown Walk,East Victoria,MA,54134,USA,001-772-252-1752,www.hayes.com,Cold,0050002,2021-07-20 17:21:13,2022-04-19 17:21:13,False
00100010108,"Duran, Burns and Gallagher",ACC-010108,Prospect,Media,39190353.72,125,96666 Reyes Camp,Lake Nathan,AL,42734,USA,001-683-400-3354x21689,www.colon.com,Warm,0050004,2021-07-09 17:21:13,2021-09-12 17:21:13,False
