VBELN,ERDAT,ERZET,ERNAM,AEDAT,AUDAT,VBTYP,AUART,VKORG,VTWEG,SPART,KUNNR,VKBUR,VKGRP,NETWR,WAERK,GBSTK,ABSTK,LIFSK,FAKSK
0001000091,20250925,101420,SALESUSER,,20250925,C,OR,2000,30,01,0000100481,20001,001,0,EUR,B,,,
0001000092,20250925,103019,SALESUSER,,20250925,C,ZOR,2000,10,01,0000103405,20001,001,0,EUR,B,,,
0001000093,20250925,102311,SALESUSER,,20250925,C,ZOR,1000,10,00,0000102545,10001,001,0,USD,B,,,
0001000094,20250925,100432,SALESUSER,,20250925,C,ZOR,2000,30,01,0000103943,20001,001,0,EUR,A,,,
0001000095,20250925,103459,SALESUSER,,20250925,C,OR,2000,10,00,0000102283,20001,001,0,EUR,A,,,
0001000096,20250925,104215,SALESUSER,20250925,20250925,C,OR,2000,10,02,0000100983,20001,001,0,EUR,A,,,
0001000097,20250925,102603,SALESUSER,,20250925,C,OR,1000,20,01,0000100053,10001,001,0,USD,B,,,
0001000098,20250925,100201,SALESUSER,,20250925,C,OR,1000,20,01,0000102754,10001,001,0,USD,A,,01,
0001000099,20250925,102611,SALESUSER,,20250925,C,OR,1000,10,02,0000100464,10001,001,0,USD,C,,,
0001000100,20250925,104200,SALESUSER,20250925,20250925,C,OR,2000,30,00,0000103727,20001,001,0,EUR,B,,,
0001000101,20250925,102653,SALESUSER,20250925,20250925,C,OR,2000,30,02,0000103826,20001,001,0,EUR,A,,,
0001000102,20250925,104338,SALESUSER,,20250925,C,OR,1000,10,00,0000100509,10001,001,0,USD,A,,,
0001000103,20250925,104255,SALESUSER,,20250925,C,OR,1000,30,00,0000103853,10001,001,0,USD,B,,,
0001000104,20250925,104536,SALESUSER,,20250925,C,OR,1000,10,02,0000104102,10001,001,0,USD,A,,,
0001000105,20250925,105340,SALESUSER,,20250925,C,OR,1000,30,00,0000102656,10001,001,0,USD,A,,01,
0001000106,20250925,103059,SALESUSER,20250925,20250925,C,OR,1000,10,00,0000101531,10001,001,0,USD,C,,,
0001000107,20250925,103105,SALESUSER,,20250925,C,ZOR,1000,30,01,0000101671,10001,001,0,USD,A,,,
0001000108,20250925,105430,SALESUSER,,20250925,C,OR,2000,30,01,0000104470,20001,001,0,EUR,B,,01,
0001000109,20250925,102222,SALESUSER,,20250925,C,OR,2000,20,01,0000103170,20001,001,0,EUR,C,,,
0001000110,20250925,102012,SALESUSER,,20250925,C,OR,1000,20,00,0000100003,10001,001,0,USD,C,,,
0001000111,20250925,104519,SALESUSER,,20250925,C,QT,2000,30,02,0000104360,20001,001,0,EUR,C,,,
0001000112,20250925,104635,SALESUSER,,20250925,C,OR,1000,20,00,0000104252,10001,001,0,USD,A,,,
0001000113,20250925,104318,SALESUSER,,20250925,C,OR,1000,10,00,0000101582,10001,001,0,USD,C,,,
0001000114,20250925,105746,SALESUSER,,20250925,C,OR,1000,30,01,0000103361,10001,001,0,USD,A,,,
0001000115,20250925,105301,SALESUSER,,20250925,C,ZOR,2000,10,01,0000100953,20001,001,0,EUR,A,,,
0001000116,20250925,102456,SALESUSER,,20250925,C,OR,2000,30,00,0000103037,20001,001,0,EUR,A,,,
0001000117,20250925,101933,SALESUSER,,20250925,C,ZOR,2000,10,00,0000100838,20001,001,0,EUR,A,,,
0001000118,20250925,101123,SALESUSER,20250925,20250925,C,OR,3000,20,00,0000104564,30001,001,0,EUR,A,,,
0001000119,20250925,103209,SALESUSER,20250925,20250925,C,ZOR,3000,20,00,0000102044,30001,001,0,EUR,C,,,
0001000120,20250925,100642,SALESUSER,,20250925,C,OR,2000,20,01,0000102159,20001,001,0,EUR,C,,,
0001000121,20250925,113330,SALESUSER,20250925,20250925,C,OR,2000,20,01,0000100443,20001,001,0,EUR,C,,,
0001000122,20250925,114450,SALESUSER,,20250925,C,ZOR,2000,30,02,0000104711,20001,001,0,EUR,A,,,
0001000123,20250925,112205,SALESUSER,20250925,20250925,C,OR,1000,20,00,0000104366,10001,001,0,USD,A,,,
0001000124,20250925,111523,SALESUSER,,20250925,C,OR,1000,10,00,0000101085,10001,001,0,USD,A,,,
0001000125,20250925,115621,SALESUSER,20250925,20250925,C,OR,2000,10,01,0000104467,20001,001,0,EUR,A,,,
0001000126,20250925,113048,SALESUSER,,20250925,C,ZOR,2000,20,01,0000101468,20001,001,0,EUR,A,,,
0001000127,20250925,112136,SALESUSER,20250925,20250925,C,OR,1000,20,01,0000102734,10001,001,0,USD,A,,,
0001000128,20250925,111922,SALESUSER,20250925,20250925,C,ZOR,1000,10,02,0000104182,10001,001,0,USD,C,,,
0001000129,20250925,112609,SALESUSER,,20250925,C,OR,2000,10,01,0000100817,20001,001,0,EUR,B,,01,
0001000130,20250925,113124,SALESUSER,,20250925,C,OR,1000,10,01,0000102792,10001,001,0,USD,C,,,
0001000131,20250925,111127,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000104165,10001,001,0,USD,C,,,
0001000132,20250925,111649,SALESUSER,,20250925,C,OR,1000,20,00,0000103451,10001,001,0,USD,A,,,
0001000133,20250925,111910,SALESUSER,,20250925,C,OR,2000,20,02,0000102501,20001,001,0,EUR,B,,,
0001000134,20250925,112327,SALESUSER,20250925,20250925,C,OR,1000,20,00,0000101957,10001,001,0,USD,B,,,
0001000135,20250925,113454,SALESUSER,,20250925,C,OR,2000,10,00,0000100360,20001,001,0,EUR,A,,,
0001000136,20250925,111300,SALESUSER,20250925,20250925,C,OR,1000,10,00,0000100146,10001,001,0,USD,A,,,
0001000137,20250925,114109,SALESUSER,20250925,20250925,C,OR,1000,30,00,0000104102,10001,001,0,USD,C,,,
0001000138,20250925,112746,SALESUSER,20250925,20250925,C,OR,1000,30,00,0000104897,10001,001,0,USD,A,,,
0001000139,20250925,115937,SALESUSER,,20250925,C,OR,1000,10,00,0000101454,10001,001,0,USD,B,,,
0001000140,20250925,110429,SALESUSER,,20250925,C,OR,1000,10,00,0000101899,10001,001,0,USD,A,,,
0001000141,20250925,114010,SALESUSER,,20250925,C,OR,1000,30,00,0000104759,10001,001,0,USD,B,,,
0001000142,20250925,113607,SALESUSER,20250925,20250925,C,OR,1000,20,02,0000100642,10001,001,0,USD,B,,,
0001000143,20250925,110605,SALESUSER,,20250925,C,OR,1000,20,01,0000101590,10001,001,0,USD,B,,,01
0001000144,20250925,111836,SALESUSER,,20250925,C,OR,2000,20,01,0000100511,20001,001,0,EUR,B,,,
0001000145,20250925,112957,SALESUSER,20250925,20250925,C,ZOR,1000,10,02,0000103840,10001,001,0,USD,C,,,
0001000146,20250925,115908,SALESUSER,20250925,20250925,C,OR,2000,20,00,0000100721,20001,001,0,EUR,C,,01,
0001000147,20250925,114623,SALESUSER,,20250925,C,ZOR,1000,30,00,0000104885,10001,001,0,USD,A,,,
0001000148,20250925,113101,SALESUSER,,20250925,C,OR,1000,10,00,0000103481,10001,001,0,USD,B,,,
0001000149,20250925,113236,SALESUSER,,20250925,C,OR,1000,10,00,0000103917,10001,001,0,USD,B,,,
0001000150,20250925,113304,SALESUSER,,20250925,C,QT,1000,20,00,0000101065,10001,001,0,USD,C,,,
0001000151,20250925,114309,SALESUSER,20250925,20250925,C,ZOR,2000,10,02,0000102176,20001,001,0,EUR,A,,,
0001000152,20250925,111753,SALESUSER,,20250925,C,QT,2000,20,00,0000104090,20001,001,0,EUR,A,,,
0001000153,20250925,113320,SALESUSER,,20250925,C,OR,2000,10,00,0000103925,20001,001,0,EUR,A,,,
0001000154,20250925,115952,SALESUSER,20250925,20250925,C,ZOR,1000,20,02,0000104430,10001,001,0,USD,C,,,
0001000155,20250925,110752,SALESUSER,,20250925,C,ZOR,3000,20,01,0000104097,30001,001,0,EUR,B,,,
0001000156,20250925,111241,SALESUSER,20250925,20250925,C,ZOR,1000,20,00,0000100465,10001,001,0,USD,A,,,
0001000157,20250925,114058,SALESUSER,20250925,20250925,C,OR,2000,10,00,0000101050,20001,001,0,EUR,C,,,
0001000158,20250925,110504,SALESUSER,20250925,20250925,C,QT,1000,10,00,0000104994,10001,001,0,USD,C,,,
0001000159,20250925,122048,SALESUSER,,20250925,C,OR,3000,30,00,0000104608,30001,001,0,EUR,B,,,
0001000160,20250925,125749,SALESUSER,,20250925,C,OR,1000,10,00,0000102074,10001,001,0,USD,C,,,
0001000161,20250925,121902,SALESUSER,,20250925,C,OR,3000,10,00,0000104819,30001,001,0,EUR,B,,,
0001000162,20250925,123344,SALESUSER,,20250925,C,OR,2000,10,02,0000100353,20001,001,0,EUR,A,,,
0001000163,20250925,121133,SALESUSER,,20250925,C,QT,2000,30,00,0000100973,20001,001,0,EUR,B,,,
0001000164,20250925,120544,SALESUSER,20250925,20250925,C,OR,1000,30,00,0000103907,10001,001,0,USD,B,,,
0001000165,20250925,121642,SALESUSER,20250925,20250925,C,OR,2000,20,01,0000100582,20001,001,0,EUR,B,,,
0001000166,20250925,125425,SALESUSER,20250925,20250925,C,OR,3000,10,00,0000104308,30001,001,0,EUR,B,,,
0001000167,20250925,125315,SALESUSER,,20250925,C,ZOR,1000,10,00,0000104457,10001,001,0,USD,C,,01,
0001000168,20250925,123609,SALESUSER,,20250925,C,OR,2000,10,00,0000104658,20001,001,0,EUR,B,,,
0001000169,20250925,120706,SALESUSER,20250925,20250925,C,OR,2000,30,01,0000100965,20001,001,0,EUR,B,,,
0001000170,20250925,122850,SALESUSER,20250925,20250925,C,OR,1000,30,00,0000104211,10001,001,0,USD,B,,,
0001000171,20250925,123242,SALESUSER,,20250925,C,OR,1000,30,00,0000102499,10001,001,0,USD,A,,,01
0001000172,20250925,123145,SALESUSER,,20250925,C,OR,1000,20,01,0000100652,10001,001,0,USD,B,,,
0001000173,20250925,123904,SALESUSER,,20250925,C,OR,2000,20,02,0000104478,20001,001,0,EUR,A,,,
0001000174,20250925,125356,SALESUSER,,20250925,C,QT,3000,20,01,0000101605,30001,001,0,EUR,B,,,
0001000175,20250925,121953,SALESUSER,,20250925,C,OR,2000,10,00,0000100727,20001,001,0,EUR,A,,,01
0001000176,20250925,123255,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000102678,10001,001,0,USD,B,,,
0001000177,20250925,121544,SALESUSER,,20250925,C,ZOR,1000,10,02,0000101284,10001,001,0,USD,B,,,
0001000178,20250925,120202,SALESUSER,,20250925,C,ZOR,3000,10,01,0000102760,30001,001,0,EUR,A,,,
0001000179,20250925,124643,SALESUSER,20250925,20250925,C,OR,2000,30,02,0000101664,20001,001,0,EUR,A,,,
0001000180,20250925,125005,SALESUSER,20250925,20250925,C,OR,2000,30,00,0000102421,20001,001,0,EUR,C,,,
0001000181,20250925,122423,SALESUSER,,20250925,C,ZOR,2000,10,02,0000101554,20001,001,0,EUR,B,,,01
0001000182,20250925,122232,SALESUSER,,20250925,C,OR,1000,20,01,0000104812,10001,001,0,USD,A,,,
0001000183,20250925,122815,SALESUSER,20250925,20250925,C,QT,1000,30,01,0000100953,10001,001,0,USD,A,,,
0001000184,20250925,123905,SALESUSER,,20250925,C,OR,1000,20,00,0000104627,10001,001,0,USD,B,,,
0001000185,20250925,122307,SALESUSER,20250925,20250925,C,ZOR,1000,10,02,0000104183,10001,001,0,USD,A,,,
0001000186,20250925,121259,SALESUSER,20250925,20250925,C,OR,2000,30,00,0000103370,20001,001,0,EUR,B,,,
0001000187,20250925,120441,SALESUSER,20250925,20250925,C,OR,1000,10,00,0000104595,10001,001,0,USD,A,,,
0001000188,20250925,125754,SALESUSER,,20250925,C,ZOR,1000,10,00,0000100403,10001,001,0,USD,A,,,
0001000189,20250925,123959,SALESUSER,20250925,20250925,C,OR,2000,20,02,0000104070,20001,001,0,EUR,A,,01,
0001000190,20250925,121343,SALESUSER,,20250925,C,OR,1000,20,00,0000100094,10001,001,0,USD,A,,01,
0001000191,20250925,120751,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000100191,10001,001,0,USD,A,,,
0001000192,20250925,122956,SALESUSER,,20250925,C,ZOR,2000,10,00,0000101156,20001,001,0,EUR,A,,,
0001000193,20250925,123841,SALESUSER,,20250925,C,ZOR,2000,20,01,0000104865,20001,001,0,EUR,C,,,
0001000194,20250925,124454,SALESUSER,,20250925,C,OR,2000,10,00,0000103866,20001,001,0,EUR,C,,,
0001000195,20250925,122457,SALESUSER,20250925,20250925,C,OR,1000,30,02,0000103408,10001,001,0,USD,A,,,
0001000196,20250925,125628,SALESUSER,,20250925,C,QT,1000,20,02,0000102818,10001,001,0,USD,C,,,
0001000197,20250925,125231,SALESUSER,,20250925,C,OR,2000,30,00,0000101720,20001,001,0,EUR,B,,,
0001000198,20250925,125524,SALESUSER,,20250925,C,ZOR,1000,10,02,0000103165,10001,001,0,USD,B,,,
0001000199,20250925,135251,SALESUSER,,20250925,C,ZOR,2000,20,00,0000102987,20001,001,0,EUR,C,,,
0001000200,20250925,132135,SALESUSER,,20250925,C,OR,1000,30,00,0000102612,10001,001,0,USD,B,,,
0001000201,20250925,130544,SALESUSER,,20250925,C,ZOR,1000,20,00,0000104625,10001,001,0,USD,A,,,
0001000202,20250925,134849,SALESUSER,20250925,20250925,C,OR,2000,10,02,0000103611,20001,001,0,EUR,B,,,
0001000203,20250925,133631,SALESUSER,20250925,20250925,C,OR,2000,10,01,0000104359,20001,001,0,EUR,B,,,
0001000204,20250925,131410,SALESUSER,20250925,20250925,C,QT,2000,20,00,0000100747,20001,001,0,EUR,A,,,
0001000205,20250925,130508,SALESUSER,20250925,20250925,C,OR,1000,10,00,0000103410,10001,001,0,USD,C,,,
0001000206,20250925,134020,SALESUSER,,20250925,C,OR,1000,20,00,0000104137,10001,001,0,USD,A,,,
0001000207,20250925,131936,SALESUSER,,20250925,C,OR,1000,20,00,0000104326,10001,001,0,USD,B,,,
0001000208,20250925,130028,SALESUSER,20250925,20250925,C,OR,1000,20,00,0000101856,10001,001,0,USD,A,,,
0001000209,20250925,133312,SALESUSER,,20250925,C,OR,2000,30,01,0000104719,20001,001,0,EUR,A,,,
0001000210,20250925,131224,SALESUSER,,20250925,C,OR,1000,10,00,0000102090,10001,001,0,USD,B,,01,
0001000211,20250925,133440,SALESUSER,20250925,20250925,C,OR,2000,10,02,0000100916,20001,001,0,EUR,B,,,
0001000212,20250925,130431,SALESUSER,,20250925,C,OR,3000,10,02,0000101571,30001,001,0,EUR,C,,,
0001000213,20250925,130724,SALESUSER,,20250925,C,OR,1000,30,02,0000104291,10001,001,0,USD,B,,,
0001000214,20250925,131627,SALESUSER,,20250925,C,OR,2000,10,02,0000100094,20001,001,0,EUR,C,,,
0001000215,20250925,134418,SALESUSER,,20250925,C,OR,1000,20,00,0000100211,10001,001,0,USD,A,,,
0001000216,20250925,131240,SALESUSER,,20250925,C,OR,2000,10,01,0000102266,20001,001,0,EUR,B,,,
0001000217,20250925,132428,SALESUSER,,20250925,C,QT,2000,30,01,0000104481,20001,001,0,EUR,B,,,
0001000218,20250925,130727,SALESUSER,20250925,20250925,C,ZOR,1000,20,00,0000103904,10001,001,0,USD,B,,,
0001000219,20250925,131654,SALESUSER,,20250925,C,OR,1000,10,00,0000104731,10001,001,0,USD,C,,,
0001000220,20250925,135821,SALESUSER,,20250925,C,QT,1000,20,00,0000101237,10001,001,0,USD,A,,,
0001000221,20250925,133543,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000100178,10001,001,0,USD,A,,,
0001000222,20250925,134019,SALESUSER,,20250925,C,OR,2000,20,00,0000102793,20001,001,0,EUR,A,,,
0001000223,20250925,131300,SALESUSER,,20250925,C,OR,2000,30,01,0000103689,20001,001,0,EUR,C,,,
0001000224,20250925,132613,SALESUSER,,20250925,C,ZOR,1000,20,00,0000101382,10001,001,0,USD,B,,01,
0001000225,20250925,130904,SALESUSER,20250925,20250925,C,QT,2000,20,00,0000104390,20001,001,0,EUR,A,,,
0001000226,20250925,132420,SALESUSER,,20250925,C,OR,2000,10,00,0000104334,20001,001,0,EUR,C,,01,
0001000227,20250925,130538,SALESUSER,,20250925,C,OR,1000,10,00,0000104390,10001,001,0,USD,A,,01,
0001000228,20250925,131405,SALESUSER,20250925,20250925,C,OR,1000,10,01,0000102090,10001,001,0,USD,A,,,
0001000229,20250925,135142,SALESUSER,,20250925,C,OR,1000,10,00,0000101418,10001,001,0,USD,A,,,
0001000230,20250925,133408,SALESUSER,,20250925,C,ZOR,1000,10,00,0000100995,10001,001,0,USD,C,,,
0001000231,20250925,133638,SALESUSER,,20250925,C,OR,2000,30,00,0000104403,20001,001,0,EUR,A,,,
0001000232,20250925,132922,SALESUSER,,20250925,C,OR,1000,20,00,0000101030,10001,001,0,USD,A,,01,
0001000233,20250925,135526,SALESUSER,,20250925,C,OR,1000,10,00,0000100019,10001,001,0,USD,B,,,01
0001000234,20250925,130536,SALESUSER,,20250925,C,QT,2000,10,02,0000101171,20001,001,0,EUR,B,,01,
0001000235,20250925,135505,SALESUSER,20250925,20250925,C,OR,2000,20,02,0000101641,20001,001,0,EUR,B,,,
0001000236,20250925,130011,SALESUSER,,20250925,C,OR,3000,10,00,0000104510,30001,001,0,EUR,A,,,
0001000237,20250925,134128,SALESUSER,,20250925,C,OR,2000,10,00,0000103872,20001,001,0,EUR,C,,,
