VBELN,POSNR,ETENR,EDATU,BMENG,VRKME,ERDAT
0001000023,000050,0001,20250926,7.096,EA,20250925
0001000023,000060,0001,20250926,4.916,EA,20250925
0001000024,000010,0001,20251009,11.462,EA,20250925
0001000024,000020,0001,20251007,33.469,EA,20250925
0001000024,000030,0001,20250928,7.083,EA,20250925
0001000025,000010,0001,20250929,3.443,EA,20250925
0001000025,000010,0002,20250927,3.443,EA,20250925
0001000026,000010,0001,20251006,58.921,EA,20250925
0001000026,000020,0001,20250927,168.705,EA,20250925
0001000026,000030,0001,20251003,15.447,EA,20250925
0001000026,000040,0001,20251006,6.729,EA,20250925
0001000026,000050,0001,20251003,796.537,EA,20250925
0001000027,000010,0001,20251001,10.485,KG,20250925
0001000027,000020,0001,20251008,8.803,EA,20250925
0001000027,000030,0001,20250929,10.193,EA,20250925
0001000027,000040,0001,20251008,80.692,L,20250925
0001000027,000050,0001,20251008,9.891,EA,20250925
0001000027,000060,0001,20251007,239.146,L,20250925
0001000027,000070,0001,20251008,12.693,EA,20250925
0001000027,000080,0001,20250929,31.003,KG,20250925
0001000028,000010,0001,20250927,4.367,EA,20250925
0001000028,000020,0001,20250928,3.875,EA,20250925
0001000028,000030,0001,20251007,1.123,EA,20250925
0001000028,000040,0001,20251002,8.19,EA,20250925
0001000028,000050,0001,20251008,10.467,KG,20250925
0001000029,000010,0001,20251002,31.783,EA,20250925
0001000029,000020,0001,20250927,25.601,L,20250925
0001000029,000030,0001,20250926,30.205,EA,20250925
0001000029,000040,0001,20251005,31.461,EA,20250925
0001000029,000050,0001,20250930,144.811,EA,20250925
0001000029,000060,0001,20250927,46.909,EA,20250925
0001000029,000070,0001,20250926,55.451,EA,20250925
0001000029,000080,0001,20251009,7.581,EA,20250925
0001000030,000010,0001,20251007,10.574,EA,20250925
0001000030,000020,0001,20250927,76.343,EA,20250925
0001000030,000030,0001,20251003,7.445,EA,20250925
0001000030,000040,0001,20251008,26.114,KG,20250925
0001000030,000050,0001,20251001,6.82,EA,20250925
0001000031,000010,0001,20251005,1.982,EA,20250925
0001000031,000010,0002,20251006,1.982,EA,20250925
0001000031,000020,0001,20251009,109.062,EA,20250925
0001000031,000030,0001,20250926,7.537,L,20250925
0001000032,000010,0001,20250928,113.865,EA,20250925
0001000032,000020,0001,20251001,9.4365,EA,20250925
0001000032,000020,0002,20250927,9.4365,EA,20250925
0001000032,000030,0001,20251007,6.009,EA,20250925
0001000032,000040,0001,20251003,5.531,EA,20250925
0001000032,000050,0001,20251002,72.252,EA,20250925
0001000033,000010,0001,20250928,22.566,KG,20250925
0001000033,000020,0001,20251006,4.122,EA,20250925
0001000033,000020,0002,20251005,4.122,EA,20250925
0001000033,000030,0001,20251004,4.121,L,20250925
0001000033,000040,0001,20250929,31.609,EA,20250925
0001000033,000040,0002,20250929,31.609,EA,20250925
0001000034,000010,0001,20250930,75.165,EA,20250925
0001000034,000020,0001,20251003,3.067,EA,20250925
0001000034,000030,0001,20251003,5.846,EA,20250925
0001000034,000040,0001,20251006,5.132,EA,20250925
0001000034,000050,0001,20250930,3.332,EA,20250925
0001000035,000010,0001,20250929,5.634,EA,20250925
0001000035,000020,0001,20250929,20.678,EA,20250925
0001000036,000010,0001,20251007,32.814,L,20250925
0001000036,000020,0001,20250928,125.25,EA,20250925
0001000036,000030,0001,20251002,50.487,L,20250925
0001000036,000040,0001,20251009,11.692,L,20250925
0001000036,000050,0001,20251004,47.821,KG,20250925
0001000037,000010,0001,20251008,60.351,EA,20250925
0001000037,000020,0001,20251008,7.542,EA,20250925
0001000037,000030,0001,20250929,36.501,EA,20250925
0001000037,000040,0001,20250927,61.617,EA,20250925
0001000037,000050,0001,20251005,1.159,KG,20250925
0001000037,000050,0002,20250926,1.159,KG,20250925
0001000037,000060,0001,20251006,30.004,EA,20250925
0001000037,000070,0001,20251006,13.3155,EA,20250925
0001000037,000070,0002,20250927,13.3155,EA,20250925
0001000037,000080,0001,20250929,95.267,KG,20250925
0001000038,000010,0001,20250926,15.025,KG,20250925
0001000038,000020,0001,20251008,59.193,EA,20250925
0001000038,000030,0001,20250928,45.848,EA,20250925
0001000038,000040,0001,20250926,49.261,L,20250925
0001000038,000050,0001,20251001,36.5925,EA,20250925
0001000038,000050,0002,20251008,36.5925,EA,20250925
0001000038,000060,0001,20251002,3.755,EA,20250925
0001000038,000060,0002,20251005,3.755,EA,20250925
0001000038,000070,0001,20251004,44.13,EA,20250925
0001000039,000010,0001,20251009,44.299,KG,20250925
0001000039,000020,0001,20250927,4.404,EA,20250925
0001000039,000030,0001,20251001,14.3445,EA,20250925
0001000039,000030,0002,20250928,14.3445,EA,20250925
0001000039,000040,0001,20251006,28.3465,L,20250925
0001000039,000040,0002,20251007,28.3465,L,20250925
0001000039,000050,0001,20251007,237.764,L,20250925
0001000039,000060,0001,20251006,20.528,EA,20250925
0001000039,000070,0001,20251004,6.592,KG,20250925
0001000039,000070,0002,20251003,6.592,KG,20250925
0001000039,000080,0001,20250929,1.553,EA,20250925
0001000039,000090,0001,20251009,4.026,EA,20250925
0001000039,000100,0001,20250929,6.79,EA,20250925
0001000040,000010,0001,20251005,6.411,KG,20250925
0001000040,000020,0001,20251009,5.674,L,20250925
0001000040,000030,0001,20251003,11.4715,KG,20250925
0001000040,000030,0002,20251004,11.4715,KG,20250925
0001000040,000040,0001,20251001,25.898,EA,20250925
0001000040,000050,0001,20251001,42.757,L,20250925
0001000041,000010,0001,20251005,164.823,EA,20250925
0001000041,000020,0001,20251004,20.21,L,20250925
0001000041,000030,0001,20251009,8.0115,KG,20250925
0001000041,000030,0002,20250928,8.0115,KG,20250925
0001000041,000040,0001,20251008,114.315,EA,20250925
0001000041,000050,0001,20250927,7.287,L,20250925
0001000041,000060,0001,20251003,12.6865,EA,20250925
0001000041,000060,0002,20251002,12.6865,EA,20250925
0001000041,000070,0001,20251006,19.63,EA,20250925
0001000042,000010,0001,20251002,5.207,EA,20250925
0001000042,000020,0001,20251009,4.544,EA,20250925
0001000042,000020,0002,20250927,4.544,EA,20250925
0001000042,000030,0001,20251005,47.032,KG,20250925
0001000042,000040,0001,20250927,123.441,EA,20250925
0001000042,000050,0001,20250928,8.838,KG,20250925
0001000042,000060,0001,20251008,12.0535,EA,20250925
0001000042,000060,0002,20251004,12.0535,EA,20250925
0001000043,000010,0001,20250930,20.354,EA,20250925
0001000043,000020,0001,20250927,184.451,EA,20250925
0001000043,000030,0001,20250927,11.214,EA,20250925
0001000043,000040,0001,20251003,3.966,EA,20250925
0001000044,000010,0001,20250929,214.446,EA,20250925
0001000044,000020,0001,20250926,1.51,EA,20250925
0001000044,000030,0001,20251005,11.139,KG,20250925
0001000045,000010,0001,20251004,32.733,EA,20250925
0001000045,000020,0001,20251001,2.9175,EA,20250925
0001000045,000020,0002,20250926,2.9175,EA,20250925
0001000046,000010,0001,20250929,4.21,KG,20250925
0001000046,000020,0001,20251009,16.376,EA,20250925
0001000046,000030,0001,20250930,16.348,EA,20250925
0001000047,000010,0001,20251009,14.058,L,20250925
0001000047,000020,0001,20250930,16.3915,EA,20250925
0001000047,000020,0002,20251002,16.3915,EA,20250925
0001000047,000030,0001,20251007,6.1575,EA,20250925
0001000047,000030,0002,20251001,6.1575,EA,20250925
0001000047,000040,0001,20250927,2.926,L,20250925
0001000048,000010,0001,20251009,4.941,EA,20250925
0001000048,000020,0001,20251009,9.1155,KG,20250925
0001000048,000020,0002,20250928,9.1155,KG,20250925
0001000048,000030,0001,20250930,8.834,EA,20250925
0001000048,000040,0001,20250927,20.9345,KG,20250925
0001000048,000040,0002,20251004,20.9345,KG,20250925
0001000048,000050,0001,20251005,10.634,EA,20250925
0001000049,000010,0001,20250929,9.786,KG,20250925
0001000049,000020,0001,20251009,14.564,L,20250925
0001000049,000030,0001,20251004,2.006,EA,20250925
0001000049,000040,0001,20251005,82.833,EA,20250925
0001000049,000050,0001,20251004,6.961,EA,20250925
0001000049,000060,0001,20250930,28.086,KG,20250925
0001000049,000070,0001,20251002,39.719,EA,20250925
0001000049,000080,0001,20251005,6.792,KG,20250925
0001000050,000010,0001,20250926,28.503,KG,20250925
0001000050,000020,0001,20251004,4.1115,EA,20250925
0001000050,000020,0002,20251007,4.1115,EA,20250925
0001000050,000030,0001,20250927,13.382,EA,20250925
0001000050,000040,0001,20251005,32.463,KG,20250925
0001000051,000010,0001,20251003,61.958,EA,20250925
0001000051,000020,0001,20250930,38.784,EA,20250925
0001000051,000030,0001,20251006,14.707,EA,20250925
0001000051,000040,0001,20250926,83.882,EA,20250925
0001000051,000050,0001,20250926,2.488,L,20250925
0001000051,000060,0001,20251001,18.232,EA,20250925
0001000051,000070,0001,20251002,29.53,KG,20250925
0001000052,000010,0001,20250930,6.848,KG,20250925
0001000052,000020,0001,20250929,84.239,EA,20250925
0001000052,000030,0001,20251001,43.83,EA,20250925
0001000052,000030,0002,20251008,43.83,EA,20250925
0001000052,000040,0001,20250926,3.976,EA,20250925
0001000052,000050,0001,20250928,64.664,EA,20250925
0001000052,000060,0001,20250929,82.146,EA,20250925
0001000052,000070,0001,20251004,3.577,L,20250925
0001000052,000080,0001,20251009,34.934,EA,20250925
0001000053,000010,0001,20251007,66.683,EA,20250925
0001000054,000010,0001,20251001,26.3,EA,20250925
0001000054,000020,0001,20251008,33.739,EA,20250925
0001000054,000030,0001,20251006,3.262,KG,20250925
0001000054,000040,0001,20250926,64.417,EA,20250925
0001000055,000010,0001,20250929,7.125,EA,20250925
0001000055,000020,0001,20251003,3.055,KG,20250925
0001000055,000030,0001,20250927,66.949,EA,20250925
0001000055,000040,0001,20251008,229.066,EA,20250925
0001000056,000010,0001,20251005,15.944,EA,20250925
0001000056,000020,0001,20251005,1.441,EA,20250925
0001000056,000030,0001,20251007,27.76,EA,20250925
0001000056,000040,0001,20251009,39.3905,EA,20250925
0001000056,000040,0002,20251008,39.3905,EA,20250925
0001000056,000050,0001,20251008,54.681,EA,20250925
0001000056,000060,0001,20250926,8.983,EA,20250925
0001000056,000070,0001,20251001,2.984,EA,20250925
0001000057,000010,0001,20250927,77.32,KG,20250925
0001000057,000020,0001,20251002,10.995,EA,20250925
0001000057,000030,0001,20251005,52.136,EA,20250925
0001000057,000040,0001,20251007,1.136,EA,20250925
0001000057,000050,0001,20251005,14.002,KG,20250925
0001000057,000060,0001,20250927,12.474,EA,20250925
0001000057,000070,0001,20251004,6.9315,EA,20250925
0001000057,000070,0002,20251003,6.9315,EA,20250925
0001000058,000010,0001,20250928,23.742,EA,20250925
0001000058,000010,0002,20250930,23.742,EA,20250925
0001000058,000020,0001,20251007,20.924,EA,20250925
0001000058,000030,0001,20250926,27.629,EA,20250925
0001000058,000040,0001,20250927,1.5235,EA,20250925
0001000058,000040,0002,20250926,1.5235,EA,20250925
0001000059,000010,0001,20251003,2.2775,KG,20250925
0001000059,000010,0002,20251004,2.2775,KG,20250925
0001000059,000020,0001,20250929,23.102,EA,20250925
0001000060,000010,0001,20251006,4.016,L,20250925
0001000060,000020,0001,20251001,2.3515,EA,20250925
0001000060,000020,0002,20251002,2.3515,EA,20250925
0001000060,000030,0001,20251003,7.843,EA,20250925
0001000060,000040,0001,20250930,1.669,EA,20250925
0001000060,000050,0001,20251008,39.16,L,20250925
0001000060,000060,0001,20251009,19.261,EA,20250925
0001000060,000060,0002,20250929,19.261,EA,20250925
0001000060,000070,0001,20250926,14.914,KG,20250925
0001000061,000010,0001,20250926,17.126,KG,20250925
0001000061,000020,0001,20250926,0.482,L,20250925
0001000061,000020,0002,20251008,0.482,L,20250925
0001000062,000010,0001,20251008,42.281,EA,20250925
0001000062,000020,0001,20251008,4.751,EA,20250925
0001000062,000030,0001,20250929,12.421,EA,20250925
0001000062,000030,0002,20251004,12.421,EA,20250925
0001000062,000040,0001,20251005,36.668,EA,20250925
0001000062,000050,0001,20251009,5.389,EA,20250925
0001000062,000050,0002,20251002,5.389,EA,20250925
0001000062,000060,0001,20251006,7.596,KG,20250925
0001000062,000070,0001,20251006,6.861,EA,20250925
0001000062,000080,0001,20251007,3.926,EA,20250925
0001000062,000090,0001,20250926,17.115,L,20250925
0001000062,000090,0002,20251004,17.115,L,20250925
0001000062,000100,0001,20251003,15.678,EA,20250925
0001000063,000010,0001,20250926,152.78,EA,20250925
0001000063,000020,0001,20251002,1118.652,L,20250925
0001000063,000030,0001,20251008,31.733,EA,20250925
0001000063,000040,0001,20251002,151.727,EA,20250925
0001000063,000050,0001,20251007,14.878,EA,20250925
0001000064,000010,0001,20250928,1.4,EA,20250925
0001000064,000020,0001,20251002,2.136,EA,20250925
0001000064,000030,0001,20251007,79.745,EA,20250925
0001000065,000010,0001,20251002,16.632,EA,20250925
0001000065,000010,0002,20251004,16.632,EA,20250925
0001000065,000020,0001,20250928,7.337,EA,20250925
0001000065,000030,0001,20250927,25.039,EA,20250925
0001000065,000040,0001,20251003,166.81,EA,20250925
0001000066,000010,0001,20250927,30.322,L,20250925
0001000066,000020,0001,20251005,36.233,EA,20250925
0001000067,000010,0001,20251001,11.438,EA,20250925
0001000067,000020,0001,20251001,7.824,KG,20250925
0001000067,000030,0001,20250929,12.744,EA,20250925
0001000067,000040,0001,20251001,0.6175,EA,20250925
0001000067,000040,0002,20251002,0.6175,EA,20250925
0001000067,000050,0001,20250926,4.545,EA,20250925
0001000067,000060,0001,20250929,57.198,KG,20250925
0001000068,000010,0001,20250929,10.33,EA,20250925
0001000068,000010,0002,20250927,10.33,EA,20250925
0001000068,000020,0001,20251005,41.964,KG,20250925
0001000068,000030,0001,20250926,6.652,L,20250925
0001000069,000010,0001,20250929,6.171,EA,20250925
0001000069,000020,0001,20251002,11.961,EA,20250925
0001000069,000030,0001,20251007,28.659,EA,20250925
0001000069,000040,0001,20251008,15.3115,KG,20250925
0001000069,000040,0002,20251008,15.3115,KG,20250925
0001000069,000050,0001,20251008,9.393,EA,20250925
0001000069,000050,0002,20251004,9.393,EA,20250925
0001000069,000060,0001,20251005,10.393,EA,20250925
0001000070,000010,0001,20250926,35.197,EA,20250925
0001000070,000020,0001,20251008,11.55,EA,20250925
0001000070,000030,0001,20250926,14.863,EA,20250925
0001000070,000040,0001,20251009,1.298,EA,20250925
0001000070,000040,0002,20251007,1.298,EA,20250925
0001000070,000050,0001,20250929,25.292,EA,20250925
0001000070,000060,0001,20251009,8.708,EA,20250925
0001000071,000010,0001,20250926,55.1175,EA,20250925
0001000071,000010,0002,20250927,55.1175,EA,20250925
0001000071,000020,0001,20250926,31.722,EA,20250925
0001000071,000030,0001,20250928,69.922,KG,20250925
0001000071,000040,0001,20251003,22.187,EA,20250925
0001000071,000050,0001,20250928,5.239,KG,20250925
0001000071,000060,0001,20250930,49.191,KG,20250925
0001000071,000070,0001,20250926,2.94,EA,20250925
0001000072,000010,0001,20251001,80.207,KG,20250925
0001000072,000020,0001,20251001,19.791,KG,20250925
0001000072,000030,0001,20251005,43.365,EA,20250925
0001000072,000040,0001,20251006,5.4245,KG,20250925
0001000072,000040,0002,20250929,5.4245,KG,20250925
0001000072,000050,0001,20250930,87.227,KG,20250925
0001000073,000010,0001,20250928,24.912,EA,20250925
0001000073,000020,0001,20251005,16.063,EA,20250925
0001000073,000030,0001,20251002,169.176,KG,20250925
0001000074,000010,0001,20251003,10.412,EA,20250925
0001000074,000010,0002,20251006,10.412,EA,20250925
0001000074,000020,0001,20250927,1.248,EA,20250925
0001000074,000030,0001,20251006,335.496,EA,20250925
0001000075,000010,0001,20250927,79.3175,KG,20250925
0001000075,000010,0002,20250927,79.3175,KG,20250925
0001000075,000020,0001,20250930,2.9615,KG,20250925
0001000075,000020,0002,20251004,2.9615,KG,20250925
0001000075,000030,0001,20250929,5.91,EA,20250925
0001000075,000040,0001,20251003,23.214,KG,20250925
0001000075,000050,0001,20251007,89.801,EA,20250925
0001000075,000050,0002,20251007,89.801,EA,20250925
0001000076,000010,0001,20251009,23.216,EA,20250925
0001000076,000020,0001,20251001,1.149,KG,20250925
0001000076,000030,0001,20251009,384.871,KG,20250925
0001000076,000040,0001,20250929,8.0915,KG,20250925
0001000076,000040,0002,20251003,8.0915,KG,20250925
0001000076,000050,0001,20251007,14.174,KG,20250925
0001000076,000060,0001,20250930,3.05,EA,20250925
0001000076,000060,0002,20251001,3.05,EA,20250925
0001000076,000070,0001,20251008,7.294,KG,20250925
0001000077,000010,0001,20251004,104.671,EA,20250925
0001000077,000020,0001,20250930,20.541,L,20250925
0001000077,000030,0001,20251009,15.16,KG,20250925
0001000077,000040,0001,20251006,17.696,KG,20250925
0001000077,000040,0002,20250929,17.696,KG,20250925
0001000077,000050,0001,20251004,38.889,EA,20250925
0001000077,000050,0002,20250930,38.889,EA,20250925
0001000078,000010,0001,20251001,5.7075,EA,20250925
0001000078,000010,0002,20251007,5.7075,EA,20250925
0001000078,000020,0001,20251004,9.359,EA,20250925
0001000078,000030,0001,20251004,121.415,L,20250925
0001000078,000040,0001,20250927,243.491,EA,20250925
0001000078,000050,0001,20250926,9.069,EA,20250925
0001000078,000060,0001,20251001,18.827,EA,20250925
0001000078,000070,0001,20251002,25.964,EA,20250925
0001000079,000010,0001,20251007,15.825,EA,20250925
0001000079,000020,0001,20251005,161.226,KG,20250925
0001000080,000010,0001,20251003,4.357,EA,20250925
0001000080,000020,0001,20250930,31.532,EA,20250925
0001000080,000030,0001,20250927,19.388,KG,20250925
0001000080,000040,0001,20250929,5.412,EA,20250925
0001000080,000040,0002,20250928,5.412,EA,20250925
0001000080,000050,0001,20251009,130.829,EA,20250925
0001000081,000010,0001,20251004,38.574,L,20250925
0001000081,000020,0001,20250929,44.232,EA,20250925
0001000081,000030,0001,20250930,9.698,EA,20250925
0001000081,000040,0001,20251007,8.132,L,20250925
0001000081,000050,0001,20251004,298.137,KG,20250925
0001000081,000060,0001,20250929,8.5505,EA,20250925
0001000081,000060,0002,20250927,8.5505,EA,20250925
0001000081,000070,0001,20251001,26.393,KG,20250925
0001000081,000080,0001,20251007,46.061,EA,20250925
0001000081,000090,0001,20251009,9.378,EA,20250925
0001000081,000100,0001,20251008,9.227,EA,20250925
0001000082,000010,0001,20250928,9.1,KG,20250925
0001000083,000010,0001,20250926,54.324,EA,20250925
0001000083,000020,0001,20250929,8.803,EA,20250925
0001000083,000020,0002,20251007,8.803,EA,20250925
0001000083,000030,0001,20251003,440.702,EA,20250925
0001000083,000040,0001,20251006,27.425,KG,20250925
0001000083,000050,0001,20251008,5.558,EA,20250925
0001000083,000060,0001,20251003,38.362,KG,20250925
0001000083,000060,0002,20250927,38.362,KG,20250925
0001000084,000010,0001,20250926,93.206,EA,20250925
0001000084,000020,0001,20251003,59.698,KG,20250925
0001000084,000030,0001,20251009,1.668,EA,20250925
0001000084,000030,0002,20250926,1.668,EA,20250925
0001000084,000040,0001,20250930,10.114,KG,20250925
0001000085,000010,0001,20250930,28.875,EA,20250925
0001000085,000020,0001,20251005,16.727,EA,20250925
0001000085,000020,0002,20251002,16.727,EA,20250925
0001000085,000030,0001,20250930,106.743,EA,20250925
0001000085,000040,0001,20251009,9.521,EA,20250925
0001000085,000050,0001,20250927,7.1025,EA,20250925
0001000085,000050,0002,20250926,7.1025,EA,20250925
0001000086,000010,0001,20250930,25.473,EA,20250925
0001000086,000020,0001,20251009,44.527,KG,20250925
0001000086,000030,0001,20251005,23.91,KG,20250925
0001000086,000040,0001,20251002,16.565,EA,20250925
0001000086,000050,0001,20251003,2.7275,KG,20250925
0001000086,000050,0002,20250926,2.7275,KG,20250925
0001000087,000010,0001,20251009,162.872,EA,20250925
0001000087,000020,0001,20251002,66.327,EA,20250925
0001000087,000030,0001,20251002,13.457,EA,20250925
0001000088,000010,0001,20251003,33.795,L,20250925
0001000088,000020,0001,20250926,7.186,EA,20250925
0001000088,000030,0001,20250929,96.293,EA,20250925
0001000088,000040,0001,20250929,57.307,EA,20250925
0001000088,000050,0001,20251002,66.566,EA,20250925
0001000089,000010,0001,20250928,4.159,EA,20250925
0001000089,000020,0001,20251006,1.8745,EA,20250925
0001000089,000020,0002,20251002,1.8745,EA,20250925
0001000089,000030,0001,20251004,12.462,EA,20250925
0001000090,000010,0001,20250926,16.858,KG,20250925
