KUNNR,BUKRS,AKONT,ZTERM,FDGRV
0000100127,1000,140000,Z030,
0000100128,2000,140000,Z030,
0000100129,1000,140000,Z030,
0000100130,1000,140000,Z030,
0000100131,1000,140000,Z030,
0000100132,1000,140000,Z030,
0000100133,3000,140000,Z030,
0000100134,1000,140000,Z030,
0000100135,3000,140000,Z030,
0000100136,2000,140000,Z030,
0000100137,3000,140000,Z030,
0000100138,2000,140000,Z030,
0000100139,2000,140000,Z030,
0000100140,1000,140000,Z030,
0000100141,2000,140000,Z030,
0000100142,1000,140000,Z030,
0000100143,1000,140000,Z030,
0000100144,2000,140000,Z030,
0000100145,2000,140000,Z030,
0000100146,1000,140000,Z030,
0000100147,2000,140000,Z030,
0000100148,1000,140000,Z030,
0000100149,1000,140000,Z030,
0000100150,1000,140000,Z030,
0000100151,1000,140000,Z030,
0000100152,1000,140000,Z030,
0000100153,1000,140000,Z030,
0000100154,1000,140000,Z030,
0000100155,2000,140000,Z030,
0000100156,1000,140000,Z030,
0000100157,1000,140000,Z030,
0000100158,1000,140000,Z030,
0000100159,2000,140000,Z030,
0000100160,3000,140000,Z030,
0000100161,2000,140000,Z030,
0000100162,1000,140000,Z030,
0000100163,1000,140000,Z030,
0000100164,1000,140000,Z030,
0000100165,1000,140000,Z030,
0000100166,1000,140000,Z030,
0000100167,1000,140000,Z030,
0000100168,1000,140000,Z030,
0000100169,3000,140000,Z030,
0000100170,3000,140000,Z030,
0000100171,1000,140000,Z030,
0000100172,1000,140000,Z030,
0000100173,3000,140000,Z030,
0000100174,1000,140000,Z030,
0000100175,3000,140000,Z030,
0000100176,1000,140000,Z030,
0000100177,1000,140000,Z030,
0000100178,1000,140000,Z030,
0000100179,2000,140000,Z030,
0000100180,2000,140000,Z030,
0000100181,1000,140000,Z030,
0000100182,2000,140000,Z030,
0000100183,1000,140000,Z030,
0000100184,1000,140000,Z030,
0000100185,2000,140000,Z030,
0000100186,1000,140000,Z030,
0000100187,2000,140000,Z030,
0000100188,3000,140000,Z030,
0000100189,1000,140000,Z030,
0000100190,2000,140000,Z030,
0000100191,1000,140000,Z030,
0000100192,1000,140000,Z030,
0000100193,1000,140000,Z030,
0000100194,2000,140000,Z030,
0000100195,1000,140000,Z030,
0000100196,3000,140000,Z030,
0000100197,2000,140000,Z030,
0000100198,1000,140000,Z030,
0000100199,1000,140000,Z030,
0000100200,2000,140000,Z030,
0000100201,2000,140000,Z030,
0000100202,1000,140000,Z030,
0000100203,1000,140000,Z030,
0000100204,3000,140000,Z030,
0000100205,1000,140000,Z030,
0000100206,1000,140000,Z030,
0000100207,2000,140000,Z030,
0000100208,2000,140000,Z030,
0000100209,1000,140000,Z030,
0000100210,2000,140000,Z030,
0000100211,1000,140000,Z030,
0000100212,2000,140000,Z030,
0000100213,1000,140000,Z030,
0000100214,2000,140000,Z030,
0000100215,1000,140000,Z030,
0000100216,2000,140000,Z030,
0000100217,2000,140000,Z030,
0000100218,3000,140000,Z030,
0000100219,1000,140000,Z030,
0000100220,2000,140000,Z030,
0000100221,1000,140000,Z030,
0000100222,1000,140000,Z030,
0000100223,1000,140000,Z030,
0000100224,1000,140000,Z030,
0000100225,1000,140000,Z030,
0000100226,2000,140000,Z030,
0000100227,2000,140000,Z030,
0000100228,1000,140000,Z030,
0000100229,1000,140000,Z030,
0000100230,1000,140000,Z030,
0000100231,3000,140000,Z030,
0000100232,1000,140000,Z030,
0000100233,1000,140000,Z030,
0000100234,1000,140000,Z030,
0000100235,1000,140000,Z030,
0000100236,1000,140000,Z030,
0000100237,1000,140000,Z030,
0000100238,3000,140000,Z030,
0000100239,2000,140000,Z030,
0000100240,2000,140000,Z030,
0000100241,1000,140000,Z030,
0000100242,1000,140000,Z030,
0000100243,1000,140000,Z030,
0000100244,1000,140000,Z030,
0000100245,1000,140000,Z030,
0000100246,1000,140000,Z030,
0000100247,2000,140000,Z030,
0000100248,1000,140000,Z030,
0000100249,1000,140000,Z030,
0000100250,1000,140000,Z030,
0000100251,1000,140000,Z030,
0000100252,2000,140000,Z030,
0000100253,1000,140000,Z030,
0000100254,2000,140000,Z030,
0000100255,1000,140000,Z030,
0000100256,1000,140000,Z030,
0000100257,1000,140000,Z030,
0000100258,1000,140000,Z030,
0000100259,2000,140000,Z030,
0000100260,3000,140000,Z030,
0000100261,1000,140000,Z030,
0000100262,2000,140000,Z030,
0000100263,1000,140000,Z030,
0000100264,3000,140000,Z030,
0000100265,3000,140000,Z030,
0000100266,1000,140000,Z030,
0000100267,3000,140000,Z030,
0000100268,2000,140000,Z030,
0000100269,3000,140000,Z030,
0000100270,2000,140000,Z030,
0000100271,1000,140000,Z030,
0000100272,2000,140000,Z030,
0000100273,2000,140000,Z030,
0000100274,1000,140000,Z030,
0000100275,2000,140000,Z030,
0000100276,2000,140000,Z030,
0000100277,3000,140000,Z030,
0000100278,2000,140000,Z030,
0000100279,1000,140000,Z030,
0000100280,3000,140000,Z030,
0000100281,2000,140000,Z030,
0000100282,1000,140000,Z030,
0000100283,1000,140000,Z030,
0000100284,2000,140000,Z030,
0000100285,1000,140000,Z030,
0000100286,3000,140000,Z030,
0000100287,3000,140000,Z030,
0000100288,1000,140000,Z030,
0000100289,1000,140000,Z030,
0000100290,1000,140000,Z030,
0000100291,1000,140000,Z030,
0000100292,1000,140000,Z030,
0000100293,1000,140000,Z030,
0000100294,2000,140000,Z030,
0000100295,3000,140000,Z030,
0000100296,1000,140000,Z030,
0000100297,2000,140000,Z030,
0000100298,1000,140000,Z030,
0000100299,2000,140000,Z030,
0000100300,1000,140000,Z030,
0000100301,1000,140000,Z030,
0000100302,1000,140000,Z030,
0000100303,1000,140000,Z030,
0000100304,1000,140000,Z030,
0000100305,1000,140000,Z030,
0000100306,1000,140000,Z030,
0000100307,1000,140000,Z030,
0000100308,1000,140000,Z030,
0000100309,1000,140000,Z030,
0000100310,2000,140000,Z030,
0000100311,1000,140000,Z030,
0000100312,1000,140000,Z030,
0000100313,1000,140000,Z030,
0000100314,1000,140000,Z030,
0000100315,1000,140000,Z030,
0000100316,1000,140000,Z030,
0000100317,1000,140000,Z030,
0000100318,2000,140000,Z030,
0000100319,2000,140000,Z030,
0000100320,1000,140000,Z030,
0000100321,1000,140000,Z030,
0000100322,1000,140000,Z030,
0000100323,1000,140000,Z030,
0000100324,1000,140000,Z030,
0000100325,2000,140000,Z030,
0000100326,1000,140000,Z030,
0000100327,1000,140000,Z030,
0000100328,2000,140000,Z030,
0000100329,3000,140000,Z030,
0000100330,1000,140000,Z030,
0000100331,1000,140000,Z030,
0000100332,2000,140000,Z030,
0000100333,2000,140000,Z030,
0000100334,1000,140000,Z030,
0000100335,2000,140000,Z030,
0000100336,3000,140000,Z030,
0000100337,2000,140000,Z030,
0000100338,1000,140000,Z030,
0000100339,1000,140000,Z030,
0000100340,1000,140000,Z030,
0000100341,1000,140000,Z030,
0000100342,2000,140000,Z030,
0000100343,3000,140000,Z030,
0000100344,1000,140000,Z030,
0000100345,1000,140000,Z030,
0000100346,1000,140000,Z030,
0000100347,2000,140000,Z030,
0000100348,2000,140000,Z030,
0000100349,1000,140000,Z030,
0000100350,2000,140000,Z030,
0000100351,2000,140000,Z030,
0000100352,2000,140000,Z030,
0000100353,1000,140000,Z030,
0000100354,2000,140000,Z030,
0000100355,2000,140000,Z030,
0000100356,1000,140000,Z030,
0000100357,1000,140000,Z030,
0000100358,2000,140000,Z030,
0000100359,1000,140000,Z030,
0000100360,1000,140000,Z030,
0000100361,1000,140000,Z030,
0000100362,1000,140000,Z030,
0000100363,1000,140000,Z030,
0000100364,1000,140000,Z030,
0000100365,2000,140000,Z030,
0000100366,3000,140000,Z030,
0000100367,1000,140000,Z030,
0000100368,2000,140000,Z030,
0000100369,2000,140000,Z030,
0000100370,2000,140000,Z030,
0000100371,2000,140000,Z030,
0000100372,2000,140000,Z030,
0000100373,2000,140000,Z030,
0000100374,1000,140000,Z030,
0000100375,1000,140000,Z030,
0000100376,1000,140000,Z030,
0000100377,1000,140000,Z030,
0000100378,1000,140000,Z030,
0000100379,2000,140000,Z030,
0000100380,3000,140000,Z030,
0000100381,1000,140000,Z030,
0000100382,1000,140000,Z030,
0000100383,1000,140000,Z030,
0000100384,2000,140000,Z030,
0000100385,2000,140000,Z030,
0000100386,1000,140000,Z030,
0000100387,1000,140000,Z030,
0000100388,2000,140000,Z030,
0000100389,1000,140000,Z030,
0000100390,1000,140000,Z030,
0000100391,1000,140000,Z030,
0000100392,1000,140000,Z030,
0000100393,2000,140000,Z030,
0000100394,1000,140000,Z030,
0000100395,2000,140000,Z030,
0000100396,1000,140000,Z030,
0000100397,1000,140000,Z030,
0000100398,1000,140000,Z030,
0000100399,2000,140000,Z030,
0000100400,2000,140000,Z030,
0000100401,3000,140000,Z030,
0000100402,1000,140000,Z030,
0000100403,2000,140000,Z030,
0000100404,1000,140000,Z030,
0000100405,1000,140000,Z030,
0000100406,1000,140000,Z030,
0000100407,1000,140000,Z030,
0000100408,1000,140000,Z030,
0000100409,1000,140000,Z030,
0000100410,1000,140000,Z030,
0000100411,3000,140000,Z030,
0000100412,2000,140000,Z030,
0000100413,1000,140000,Z030,
0000100414,2000,140000,Z030,
0000100415,1000,140000,Z030,
0000100416,1000,140000,Z030,
0000100417,1000,140000,Z030,
0000100418,1000,140000,Z030,
0000100419,1000,140000,Z030,
0000100420,2000,140000,Z030,
0000100421,1000,140000,Z030,
0000100422,3000,140000,Z030,
0000100423,1000,140000,Z030,
0000100424,2000,140000,Z030,
0000100425,1000,140000,Z030,
0000100426,1000,140000,Z030,
0000100427,1000,140000,Z030,
0000100428,1000,140000,Z030,
0000100429,1000,140000,Z030,
0000100430,1000,140000,Z030,
0000100431,1000,140000,Z030,
0000100432,1000,140000,Z030,
0000100433,1000,140000,Z030,
0000100434,2000,140000,Z030,
0000100435,2000,140000,Z030,
0000100436,1000,140000,Z030,
0000100437,2000,140000,Z030,
0000100438,1000,140000,Z030,
0000100439,2000,140000,Z030,
0000100440,1000,140000,Z030,
0000100441,1000,140000,Z030,
0000100442,2000,140000,Z030,
0000100443,2000,140000,Z030,
0000100444,2000,140000,Z030,
0000100445,1000,140000,Z030,
0000100446,1000,140000,Z030,
0000100447,1000,140000,Z030,
0000100448,3000,140000,Z030,
0000100449,1000,140000,Z030,
0000100450,2000,140000,Z030,
0000100451,3000,140000,Z030,
0000100452,1000,140000,Z030,
0000100453,2000,140000,Z030,
0000100454,1000,140000,Z030,
0000100455,1000,140000,Z030,
0000100456,2000,140000,Z030,
0000100457,1000,140000,Z030,
0000100458,1000,140000,Z030,
0000100459,1000,140000,Z030,
0000100460,2000,140000,Z030,
0000100461,1000,140000,Z030,
0000100462,1000,140000,Z030,
0000100463,1000,140000,Z030,
0000100464,3000,140000,Z030,
0000100465,2000,140000,Z030,
0000100466,1000,140000,Z030,
0000100467,1000,140000,Z030,
0000100468,1000,140000,Z030,
0000100469,1000,140000,Z030,
0000100470,1000,140000,Z030,
0000100471,1000,140000,Z030,
0000100472,1000,140000,Z030,
0000100473,2000,140000,Z030,
0000100474,3000,140000,Z030,
0000100475,1000,140000,Z030,
0000100476,1000,140000,Z030,
0000100477,2000,140000,Z030,
0000100478,3000,140000,Z030,
0000100479,1000,140000,Z030,
0000100480,3000,140000,Z030,
0000100481,2000,140000,Z030,
0000100482,1000,140000,Z030,
0000100483,1000,140000,Z030,
0000100484,2000,140000,Z030,
0000100485,1000,140000,Z030,
0000100486,1000,140000,Z030,
0000100487,1000,140000,Z030,
0000100488,1000,140000,Z030,
0000100489,1000,140000,Z030,
0000100490,2000,140000,Z030,
0000100491,3000,140000,Z030,
0000100492,1000,140000,Z030,
0000100493,1000,140000,Z030,
0000100494,1000,140000,Z030,
0000100495,1000,140000,Z030,
0000100496,1000,140000,Z030,
0000100497,2000,140000,Z030,
0000100498,1000,140000,Z030,
0000100499,1000,140000,Z030,
0000100500,1000,140000,Z030,
0000100501,1000,140000,Z030,
0000100502,1000,140000,Z030,
0000100503,1000,140000,Z030,
0000100504,1000,140000,Z030,
0000100505,2000,140000,Z030,
0000100506,1000,140000,Z030,
0000100507,2000,140000,Z030,
0000100508,2000,140000,Z030,
0000100509,1000,140000,Z030,
0000100510,2000,140000,Z030,
0000100511,2000,140000,Z030,
0000100512,1000,140000,Z030,
0000100513,3000,140000,Z030,
0000100514,2000,140000,Z030,
0000100515,1000,140000,Z030,
0000100516,2000,140000,Z030,
0000100517,1000,140000,Z030,
0000100518,2000,140000,Z030,
0000100519,1000,140000,Z030,
0000100520,1000,140000,Z030,
0000100521,1000,140000,Z030,
0000100522,2000,140000,Z030,
0000100523,1000,140000,Z030,
0000100524,1000,140000,Z030,
0000100525,1000,140000,Z030,
0000100526,2000,140000,Z030,
0000100527,1000,140000,Z030,
0000100528,2000,140000,Z030,
0000100529,1000,140000,Z030,
0000100530,1000,140000,Z030,
0000100531,2000,140000,Z030,
0000100532,2000,140000,Z030,
0000100533,3000,140000,Z030,
0000100534,2000,140000,Z030,
0000100535,1000,140000,Z030,
0000100536,1000,140000,Z030,
0000100537,1000,140000,Z030,
0000100538,3000,140000,Z030,
0000100539,1000,140000,Z030,
0000100540,1000,140000,Z030,
0000100541,1000,140000,Z030,
0000100542,2000,140000,Z030,
0000100543,1000,140000,Z030,
0000100544,1000,140000,Z030,
0000100545,1000,140000,Z030,
0000100546,3000,140000,Z030,
0000100547,1000,140000,Z030,
0000100548,2000,140000,Z030,
0000100549,3000,140000,Z030,
0000100550,2000,140000,Z030,
0000100551,1000,140000,Z030,
0000100552,1000,140000,Z030,
0000100553,2000,140000,Z030,
0000100554,1000,140000,Z030,
0000100555,2000,140000,Z030,
0000100556,2000,140000,Z030,
0000100557,2000,140000,Z030,
0000100558,1000,140000,Z030,
0000100559,1000,140000,Z030,
0000100560,1000,140000,Z030,
0000100561,3000,140000,Z030,
0000100562,1000,140000,Z030,
0000100563,1000,140000,Z030,
0000100564,1000,140000,Z030,
0000100565,2000,140000,Z030,
0000100566,1000,140000,Z030,
0000100567,2000,140000,Z030,
0000100568,2000,140000,Z030,
0000100569,1000,140000,Z030,
0000100570,1000,140000,Z030,
0000100571,1000,140000,Z030,
0000100572,1000,140000,Z030,
0000100573,1000,140000,Z030,
0000100574,1000,140000,Z030,
0000100575,1000,140000,Z030,
0000100576,2000,140000,Z030,
0000100577,1000,140000,Z030,
0000100578,1000,140000,Z030,
0000100579,1000,140000,Z030,
0000100580,2000,140000,Z030,
0000100581,2000,140000,Z030,
0000100582,1000,140000,Z030,
0000100583,3000,140000,Z030,
0000100584,1000,140000,Z030,
0000100585,3000,140000,Z030,
0000100586,3000,140000,Z030,
0000100587,1000,140000,Z030,
0000100588,1000,140000,Z030,
0000100589,1000,140000,Z030,
0000100590,3000,140000,Z030,
0000100591,2000,140000,Z030,
0000100592,1000,140000,Z030,
0000100593,1000,140000,Z030,
0000100594,2000,140000,Z030,
0000100595,1000,140000,Z030,
0000100596,1000,140000,Z030,
0000100597,1000,140000,Z030,
0000100598,2000,140000,Z030,
0000100599,2000,140000,Z030,
0000100600,1000,140000,Z030,
0000100601,1000,140000,Z030,
0000100602,1000,140000,Z030,
0000100603,2000,140000,Z030,
0000100604,1000,140000,Z030,
0000100605,1000,140000,Z030,
0000100606,2000,140000,Z030,
0000100607,1000,140000,Z030,
0000100608,1000,140000,Z030,
0000100609,1000,140000,Z030,
0000100610,1000,140000,Z030,
0000100611,1000,140000,Z030,
0000100612,1000,140000,Z030,
0000100613,1000,140000,Z030,
0000100614,1000,140000,Z030,
0000100615,1000,140000,Z030,
0000100616,1000,140000,Z030,
0000100617,1000,140000,Z030,
0000100618,1000,140000,Z030,
0000100619,1000,140000,Z030,
0000100620,1000,140000,Z030,
0000100621,2000,140000,Z030,
0000100622,1000,140000,Z030,
0000100623,1000,140000,Z030,
0000100624,2000,140000,Z030,
0000100625,1000,140000,Z030,
0000100626,1000,140000,Z030,
0000100627,1000,140000,Z030,
0000100628,2000,140000,Z030,
0000100629,2000,140000,Z030,
0000100630,2000,140000,Z030,
0000100631,2000,140000,Z030,
0000100632,2000,140000,Z030,
0000100633,1000,140000,Z030,
0000100634,1000,140000,Z030,
0000100635,1000,140000,Z030,
0000100636,1000,140000,Z030,
0000100637,1000,140000,Z030,
0000100638,2000,140000,Z030,
0000100639,2000,140000,Z030,
0000100640,2000,140000,Z030,
0000100641,1000,140000,Z030,
0000100642,1000,140000,Z030,
0000100643,1000,140000,Z030,
0000100644,2000,140000,Z030,
0000100645,1000,140000,Z030,
0000100646,1000,140000,Z030,
0000100647,1000,140000,Z030,
0000100648,3000,140000,Z030,
0000100649,2000,140000,Z030,
0000100650,2000,140000,Z030,
0000100651,3000,140000,Z030,
0000100652,2000,140000,Z030,
0000100653,2000,140000,Z030,
0000100654,1000,140000,Z030,
0000100655,1000,140000,Z030,
0000100656,1000,140000,Z030,
0000100657,1000,140000,Z030,
0000100658,2000,140000,Z030,
0000100659,1000,140000,Z030,
0000100660,2000,140000,Z030,
0000100661,3000,140000,Z030,
0000100662,1000,140000,Z030,
0000100663,1000,140000,Z030,
0000100664,1000,140000,Z030,
0000100665,1000,140000,Z030,
0000100666,1000,140000,Z030,
0000100667,2000,140000,Z030,
0000100668,1000,140000,Z030,
0000100669,1000,140000,Z030,
0000100670,1000,140000,Z030,
0000100671,2000,140000,Z030,
0000100672,2000,140000,Z030,
0000100673,2000,140000,Z030,
0000100674,1000,140000,Z030,
0000100675,1000,140000,Z030,
0000100676,2000,140000,Z030,
0000100677,2000,140000,Z030,
0000100678,1000,140000,Z030,
0000100679,3000,140000,Z030,
0000100680,2000,140000,Z030,
0000100681,1000,140000,Z030,
0000100682,1000,140000,Z030,
0000100683,2000,140000,Z030,
0000100684,3000,140000,Z030,
0000100685,1000,140000,Z030,
0000100686,1000,140000,Z030,
0000100687,1000,140000,Z030,
0000100688,2000,140000,Z030,
0000100689,2000,140000,Z030,
0000100690,2000,140000,Z030,
0000100691,1000,140000,Z030,
0000100692,1000,140000,Z030,
0000100693,1000,140000,Z030,
0000100694,3000,140000,Z030,
0000100695,3000,140000,Z030,
0000100696,2000,140000,Z030,
0000100697,2000,140000,Z030,
0000100698,2000,140000,Z030,
0000100699,2000,140000,Z030,
0000100700,1000,140000,Z030,
0000100701,2000,140000,Z030,
0000100702,3000,140000,Z030,
0000100703,2000,140000,Z030,
0000100704,2000,140000,Z030,
0000100705,1000,140000,Z030,
0000100706,2000,140000,Z030,
0000100707,1000,140000,Z030,
0000100708,1000,140000,Z030,
0000100709,1000,140000,Z030,
0000100710,1000,140000,Z030,
0000100711,3000,140000,Z030,
0000100712,2000,140000,Z030,
0000100713,1000,140000,Z030,
0000100714,2000,140000,Z030,
0000100715,1000,140000,Z030,
0000100716,2000,140000,Z030,
0000100717,2000,140000,Z030,
0000100718,2000,140000,Z030,
0000100719,1000,140000,Z030,
0000100720,2000,140000,Z030,
0000100721,3000,140000,Z030,
0000100722,1000,140000,Z030,
0000100723,1000,140000,Z030,
0000100724,3000,140000,Z030,
0000100725,3000,140000,Z030,
0000100726,1000,140000,Z030,
0000100727,1000,140000,Z030,
0000100728,3000,140000,Z030,
0000100729,1000,140000,Z030,
0000100730,1000,140000,Z030,
0000100731,1000,140000,Z030,
0000100732,1000,140000,Z030,
0000100733,1000,140000,Z030,
0000100734,1000,140000,Z030,
0000100735,1000,140000,Z030,
0000100736,1000,140000,Z030,
0000100737,1000,140000,Z030,
0000100738,1000,140000,Z030,
0000100739,1000,140000,Z030,
0000100740,3000,140000,Z030,
0000100741,2000,140000,Z030,
0000100742,3000,140000,Z030,
0000100743,1000,140000,Z030,
0000100744,3000,140000,Z030,
0000100745,2000,140000,Z030,
0000100746,3000,140000,Z030,
0000100747,1000,140000,Z030,
0000100748,2000,140000,Z030,
0000100749,1000,140000,Z030,
0000100750,3000,140000,Z030,
0000100751,1000,140000,Z030,
0000100752,3000,140000,Z030,
0000100753,1000,140000,Z030,
0000100754,1000,140000,Z030,
0000100755,1000,140000,Z030,
0000100756,1000,140000,Z030,
0000100757,1000,140000,Z030,
0000100758,1000,140000,Z030,
0000100759,1000,140000,Z030,
0000100760,2000,140000,Z030,
0000100761,1000,140000,Z030,
0000100762,1000,140000,Z030,
0000100763,1000,140000,Z030,
0000100764,3000,140000,Z030,
0000100765,1000,140000,Z030,
0000100766,1000,140000,Z030,
0000100767,1000,140000,Z030,
0000100768,1000,140000,Z030,
0000100769,2000,140000,Z030,
0000100770,3000,140000,Z030,
0000100771,1000,140000,Z030,
0000100772,1000,140000,Z030,
0000100773,2000,140000,Z030,
0000100774,2000,140000,Z030,
0000100775,1000,140000,Z030,
0000100776,1000,140000,Z030,
0000100777,1000,140000,Z030,
0000100778,2000,140000,Z030,
0000100779,1000,140000,Z030,
0000100780,2000,140000,Z030,
0000100781,1000,140000,Z030,
0000100782,1000,140000,Z030,
0000100783,3000,140000,Z030,
0000100784,1000,140000,Z030,
0000100785,1000,140000,Z030,
0000100786,1000,140000,Z030,
0000100787,2000,140000,Z030,
0000100788,1000,140000,Z030,
0000100789,3000,140000,Z030,
0000100790,2000,140000,Z030,
0000100791,1000,140000,Z030,
0000100792,2000,140000,Z030,
0000100793,2000,140000,Z030,
0000100794,1000,140000,Z030,
0000100795,1000,140000,Z030,
0000100796,1000,140000,Z030,
0000100797,1000,140000,Z030,
0000100798,1000,140000,Z030,
0000100799,1000,140000,Z030,
0000100800,1000,140000,Z030,
0000100801,1000,140000,Z030,
0000100802,2000,140000,Z030,
0000100803,3000,140000,Z030,
0000100804,2000,140000,Z030,
0000100805,1000,140000,Z030,
0000100806,1000,140000,Z030,
0000100807,1000,140000,Z030,
0000100808,1000,140000,Z030,
0000100809,2000,140000,Z030,
0000100810,3000,140000,Z030,
0000100811,2000,140000,Z030,
0000100812,3000,140000,Z030,
0000100813,1000,140000,Z030,
0000100814,2000,140000,Z030,
0000100815,3000,140000,Z030,
0000100816,1000,140000,Z030,
0000100817,3000,140000,Z030,
0000100818,1000,140000,Z030,
0000100819,3000,140000,Z030,
0000100820,2000,140000,Z030,
0000100821,1000,140000,Z030,
0000100822,1000,140000,Z030,
0000100823,2000,140000,Z030,
0000100824,1000,140000,Z030,
0000100825,1000,140000,Z030,
0000100826,1000,140000,Z030,
0000100827,1000,140000,Z030,
0000100828,1000,140000,Z030,
0000100829,3000,140000,Z030,
0000100830,2000,140000,Z030,
0000100831,1000,140000,Z030,
0000100832,1000,140000,Z030,
0000100833,2000,140000,Z030,
0000100834,1000,140000,Z030,
0000100835,1000,140000,Z030,
0000100836,1000,140000,Z030,
0000100837,1000,140000,Z030,
0000100838,1000,140000,Z030,
0000100839,1000,140000,Z030,
0000100840,3000,140000,Z030,
0000100841,1000,140000,Z030,
0000100842,1000,140000,Z030,
0000100843,1000,140000,Z030,
0000100844,1000,140000,Z030,
0000100845,2000,140000,Z030,
0000100846,1000,140000,Z030,
0000100847,2000,140000,Z030,
0000100848,3000,140000,Z030,
0000100849,2000,140000,Z030,
0000100850,1000,140000,Z030,
0000100851,1000,140000,Z030,
0000100852,2000,140000,Z030,
0000100853,2000,140000,Z030,
0000100854,1000,140000,Z030,
0000100855,2000,140000,Z030,
0000100856,1000,140000,Z030,
0000100857,3000,140000,Z030,
0000100858,3000,140000,Z030,
0000100859,2000,140000,Z030,
0000100860,1000,140000,Z030,
0000100861,1000,140000,Z030,
0000100862,1000,140000,Z030,
0000100863,1000,140000,Z030,
0000100864,2000,140000,Z030,
0000100865,3000,140000,Z030,
0000100866,2000,140000,Z030,
0000100867,1000,140000,Z030,
0000100868,1000,140000,Z030,
0000100869,1000,140000,Z030,
0000100870,2000,140000,Z030,
