KUNNR,VKORG,VTWEG,SPART,KDGRP,WAERS,KALKS,VSBED,LPRIO
0000100146,1000,10,02,01,USD,1,01,02
0000100147,2000,10,02,03,USD,1,02,01
0000100148,3000,10,01,01,USD,1,01,01
0000100149,1000,30,00,04,USD,1,02,02
0000100150,2000,20,01,02,USD,1,01,01
0000100151,1000,30,00,04,USD,1,02,02
0000100152,1000,10,02,02,USD,1,02,02
0000100152,1000,10,01,04,USD,1,02,01
0000100153,2000,30,00,04,USD,1,01,02
0000100154,2000,10,02,04,USD,1,01,01
0000100154,2000,10,02,02,USD,1,02,02
0000100154,2000,10,02,02,USD,1,02,02
0000100155,2000,10,00,03,USD,1,02,02
0000100156,1000,10,01,03,USD,1,02,01
0000100157,1000,10,01,02,USD,1,02,01
0000100158,1000,30,02,03,USD,1,01,01
0000100159,2000,20,02,02,USD,1,01,01
0000100160,1000,10,01,01,USD,1,01,01
0000100160,1000,10,02,04,USD,1,01,01
0000100161,1000,10,01,02,USD,1,02,02
0000100162,1000,10,00,03,USD,1,01,02
0000100162,2000,10,00,02,USD,1,02,01
0000100163,1000,10,02,01,USD,1,01,02
0000100164,1000,20,01,01,USD,1,02,01
0000100164,3000,10,01,03,USD,1,01,02
0000100164,3000,10,00,03,USD,1,02,01
0000100165,3000,10,00,01,USD,1,01,02
0000100166,1000,10,02,02,USD,1,01,01
0000100167,2000,30,01,02,USD,1,01,02
0000100168,1000,10,00,01,USD,1,01,02
0000100168,1000,20,01,04,USD,1,02,01
0000100169,2000,20,00,02,USD,1,02,02
0000100170,1000,20,02,02,USD,1,01,01
0000100171,2000,30,02,01,USD,1,01,02
0000100172,3000,10,00,01,USD,1,02,01
0000100172,1000,10,00,01,USD,1,02,02
0000100173,1000,30,01,04,USD,1,02,01
0000100174,1000,10,00,03,USD,1,01,02
0000100174,2000,10,02,01,USD,1,01,02
0000100175,1000,10,00,01,USD,1,01,02
0000100176,1000,10,00,03,USD,1,01,02
0000100177,1000,30,01,04,USD,1,02,01
0000100178,1000,10,02,02,USD,1,02,01
0000100179,3000,20,02,04,USD,1,01,02
0000100180,2000,20,00,02,USD,1,02,02
0000100181,3000,30,00,01,USD,1,01,01
0000100181,1000,10,00,01,USD,1,01,01
0000100182,1000,10,00,01,USD,1,01,02
0000100183,3000,20,00,03,USD,1,01,01
0000100184,2000,20,01,04,USD,1,01,02
0000100185,3000,20,01,02,USD,1,02,02
0000100185,1000,20,02,03,USD,1,02,02
0000100186,1000,20,00,01,USD,1,02,02
0000100187,2000,20,01,04,USD,1,01,02
0000100187,3000,20,00,01,USD,1,02,02
0000100187,2000,20,01,04,USD,1,01,02
0000100188,1000,30,01,02,USD,1,01,01
0000100189,1000,10,00,01,USD,1,01,01
0000100189,1000,10,00,01,USD,1,01,01
0000100190,2000,10,01,02,USD,1,01,02
0000100190,1000,20,00,03,USD,1,02,02
0000100191,1000,10,02,01,USD,1,01,02
0000100191,1000,10,01,02,USD,1,01,02
0000100192,1000,30,00,03,USD,1,02,02
0000100193,1000,20,00,02,USD,1,01,01
0000100194,1000,10,02,03,USD,1,02,01
0000100195,1000,10,00,02,USD,1,02,01
0000100196,1000,10,02,02,USD,1,01,02
0000100196,1000,30,00,01,USD,1,02,02
0000100197,2000,30,00,03,USD,1,02,02
0000100198,1000,20,01,02,USD,1,01,02
0000100199,1000,10,01,01,USD,1,01,02
0000100200,1000,20,01,03,USD,1,02,02
0000100200,2000,20,00,03,USD,1,01,02
0000100200,1000,10,00,01,USD,1,02,01
0000100201,1000,30,00,04,USD,1,02,01
0000100202,1000,20,00,04,USD,1,02,01
0000100202,2000,20,00,02,USD,1,02,01
0000100202,3000,10,01,02,USD,1,02,01
0000100203,1000,20,02,04,USD,1,02,02
0000100204,2000,10,00,02,USD,1,02,01
0000100205,1000,10,01,01,USD,1,02,01
0000100205,1000,20,02,04,USD,1,01,02
0000100206,3000,20,02,03,USD,1,01,01
0000100207,1000,10,01,04,USD,1,02,01
0000100208,1000,10,00,03,USD,1,02,01
0000100209,1000,20,00,02,USD,1,01,02
0000100210,1000,10,00,01,USD,1,01,02
0000100211,2000,10,00,01,USD,1,02,02
0000100212,2000,20,00,03,USD,1,02,02
0000100213,2000,10,00,02,USD,1,01,01
0000100214,3000,10,01,04,USD,1,01,02
0000100215,2000,30,01,04,USD,1,02,01
0000100216,2000,30,00,01,USD,1,01,02
0000100217,1000,10,00,03,USD,1,02,02
0000100218,2000,10,00,04,USD,1,02,01
0000100219,1000,10,00,01,USD,1,02,02
0000100220,1000,10,01,03,USD,1,01,02
0000100221,2000,10,00,01,USD,1,01,01
0000100221,1000,10,02,02,USD,1,02,02
0000100221,2000,10,02,03,USD,1,02,01
0000100222,2000,30,01,02,USD,1,02,01
0000100223,2000,30,00,03,USD,1,02,01
0000100224,3000,10,01,02,USD,1,01,01
0000100225,1000,10,00,01,USD,1,02,01
0000100226,2000,10,00,03,USD,1,02,02
0000100226,2000,10,01,04,USD,1,02,01
0000100226,1000,10,01,03,USD,1,02,02
0000100227,1000,10,00,02,USD,1,02,02
0000100227,1000,10,00,01,USD,1,01,01
0000100227,1000,20,01,03,USD,1,01,02
0000100228,2000,10,00,03,USD,1,01,01
0000100229,1000,10,02,01,USD,1,01,01
0000100230,2000,10,02,01,USD,1,01,01
0000100231,1000,20,01,03,USD,1,01,02
0000100231,1000,20,00,04,USD,1,01,02
0000100232,1000,20,00,04,USD,1,01,02
0000100233,1000,20,01,03,USD,1,02,01
0000100234,2000,10,02,04,USD,1,02,02
0000100235,2000,30,00,04,USD,1,01,02
0000100236,1000,10,00,04,USD,1,02,01
0000100237,2000,30,01,04,USD,1,01,02
0000100238,1000,10,02,04,USD,1,02,02
0000100238,1000,10,02,01,USD,1,01,01
0000100239,3000,30,01,02,USD,1,01,02
0000100240,1000,10,01,02,USD,1,02,01
0000100241,1000,10,01,02,USD,1,02,01
0000100242,2000,20,01,01,USD,1,01,02
0000100243,1000,20,00,02,USD,1,02,02
0000100244,1000,30,01,04,USD,1,01,01
0000100244,1000,10,01,03,USD,1,02,02
0000100245,1000,10,00,03,USD,1,02,01
0000100246,2000,10,01,01,USD,1,01,02
0000100247,1000,20,00,03,USD,1,01,02
0000100248,3000,20,00,01,USD,1,01,02
0000100248,2000,20,00,01,USD,1,02,01
0000100248,1000,10,00,04,USD,1,01,02
0000100249,1000,20,02,01,USD,1,01,02
0000100250,1000,20,01,04,USD,1,02,01
0000100251,1000,10,00,04,USD,1,01,01
0000100251,1000,30,01,02,USD,1,01,01
0000100251,1000,10,00,01,USD,1,01,02
0000100252,1000,20,00,02,USD,1,02,01
0000100252,1000,20,00,01,USD,1,01,02
0000100253,2000,20,01,04,USD,1,02,02
0000100254,1000,10,01,02,USD,1,02,01
0000100255,2000,20,02,04,USD,1,01,01
0000100256,3000,30,00,03,USD,1,02,02
0000100257,1000,10,00,03,USD,1,02,01
0000100258,1000,20,00,02,USD,1,01,01
0000100259,1000,10,02,02,USD,1,02,02
0000100259,1000,10,00,03,USD,1,02,02
0000100259,3000,20,01,01,USD,1,02,02
0000100260,1000,30,00,03,USD,1,01,02
0000100261,2000,20,02,01,USD,1,02,01
0000100262,1000,20,01,03,USD,1,02,01
0000100263,1000,10,00,04,USD,1,02,01
0000100264,1000,20,00,02,USD,1,01,01
0000100265,1000,30,01,01,USD,1,01,01
0000100266,1000,10,01,01,USD,1,02,02
0000100267,2000,20,01,04,USD,1,02,02
0000100267,2000,20,02,01,USD,1,01,02
0000100268,3000,20,02,01,USD,1,01,01
0000100269,1000,10,00,01,USD,1,02,02
0000100269,1000,10,01,03,USD,1,02,01
0000100270,1000,10,00,04,USD,1,01,01
0000100271,1000,20,00,02,USD,1,01,02
0000100271,2000,30,02,03,USD,1,02,01
0000100272,1000,10,02,02,USD,1,02,02
0000100273,1000,20,02,03,USD,1,02,01
0000100273,2000,20,00,01,USD,1,01,02
0000100273,2000,10,00,03,USD,1,01,01
0000100274,2000,30,00,03,USD,1,01,01
0000100275,1000,10,02,04,USD,1,01,02
0000100275,1000,10,00,03,USD,1,01,02
0000100276,2000,20,02,02,USD,1,02,01
0000100277,3000,10,00,04,USD,1,02,01
0000100278,1000,10,01,03,USD,1,02,02
0000100279,1000,10,02,03,USD,1,01,01
0000100280,1000,30,00,01,USD,1,01,01
0000100280,2000,30,00,01,USD,1,01,01
0000100280,2000,30,01,04,USD,1,01,01
0000100281,1000,10,02,03,USD,1,01,02
0000100282,1000,10,00,02,USD,1,02,02
0000100283,1000,20,00,01,USD,1,01,02
0000100284,1000,20,00,01,USD,1,01,01
0000100285,1000,20,01,04,USD,1,02,02
0000100285,1000,20,02,02,USD,1,02,02
0000100285,1000,30,02,03,USD,1,01,01
0000100286,1000,10,02,04,USD,1,02,02
0000100287,2000,10,02,02,USD,1,02,02
0000100288,1000,10,01,02,USD,1,01,02
0000100289,2000,30,01,01,USD,1,01,02
0000100289,1000,20,01,02,USD,1,02,02
0000100289,2000,20,00,01,USD,1,01,02
0000100290,1000,10,01,01,USD,1,02,01
0000100291,1000,20,00,01,USD,1,02,01
0000100292,1000,10,01,02,USD,1,01,01
0000100292,1000,20,01,03,USD,1,01,01
0000100293,2000,10,00,02,USD,1,01,02
0000100294,1000,10,00,01,USD,1,02,02
0000100295,1000,10,02,03,USD,1,02,01
0000100296,2000,30,00,03,USD,1,01,01
0000100297,3000,10,00,01,USD,1,02,01
0000100298,2000,10,01,04,USD,1,02,01
0000100299,1000,10,00,02,USD,1,01,02
0000100299,1000,30,01,01,USD,1,02,01
0000100300,1000,30,00,01,USD,1,02,01
0000100301,1000,30,02,02,USD,1,01,01
0000100301,1000,20,00,01,USD,1,02,01
0000100301,2000,10,00,04,USD,1,02,01
0000100302,1000,10,00,02,USD,1,01,02
0000100303,3000,20,00,02,USD,1,02,01
0000100304,1000,10,01,01,USD,1,02,02
0000100305,1000,20,00,03,USD,1,01,02
0000100305,1000,30,00,02,USD,1,02,01
0000100306,3000,30,01,01,USD,1,02,01
0000100307,2000,30,00,04,USD,1,02,02
0000100308,2000,20,00,02,USD,1,02,02
0000100308,3000,20,00,03,USD,1,02,02
0000100309,1000,30,01,03,USD,1,02,01
0000100309,1000,10,00,02,USD,1,02,02
0000100310,3000,20,02,03,USD,1,01,01
0000100310,1000,10,02,03,USD,1,02,02
0000100311,2000,10,00,02,USD,1,01,02
0000100312,1000,20,00,03,USD,1,02,02
0000100313,1000,30,00,03,USD,1,02,02
0000100314,1000,10,00,03,USD,1,01,02
0000100315,1000,10,01,02,USD,1,01,02
0000100316,1000,20,02,01,USD,1,02,01
0000100317,2000,30,01,03,USD,1,01,02
0000100318,2000,10,00,03,USD,1,02,02
0000100319,1000,10,01,03,USD,1,02,02
0000100320,1000,10,02,03,USD,1,01,02
0000100321,1000,20,01,03,USD,1,01,01
0000100322,1000,10,01,02,USD,1,02,02
0000100323,1000,10,00,02,USD,1,01,02
0000100324,2000,10,02,03,USD,1,01,02
0000100325,1000,10,01,03,USD,1,01,01
0000100326,2000,10,00,03,USD,1,02,02
0000100327,1000,30,00,03,USD,1,01,01
0000100327,1000,30,00,04,USD,1,01,02
0000100328,1000,10,00,03,USD,1,02,01
0000100329,2000,20,00,01,USD,1,02,02
0000100329,2000,10,01,03,USD,1,02,01
0000100329,1000,30,00,02,USD,1,02,02
0000100330,2000,20,01,04,USD,1,01,02
0000100331,1000,10,00,04,USD,1,01,02
0000100331,1000,30,00,03,USD,1,02,02
0000100332,2000,10,01,02,USD,1,02,02
0000100333,1000,20,00,04,USD,1,01,01
0000100334,1000,10,01,01,USD,1,01,02
0000100335,2000,20,00,04,USD,1,01,02
0000100336,1000,10,01,04,USD,1,02,01
0000100337,1000,10,00,03,USD,1,02,01
0000100337,2000,20,00,02,USD,1,02,01
0000100337,2000,10,01,01,USD,1,02,01
0000100338,1000,20,00,03,USD,1,01,01
0000100339,1000,10,02,01,USD,1,01,02
0000100340,1000,10,00,03,USD,1,02,01
0000100340,2000,30,01,02,USD,1,01,02
0000100341,2000,10,02,02,USD,1,02,01
0000100342,1000,30,00,04,USD,1,01,02
0000100343,1000,10,01,03,USD,1,02,02
0000100344,2000,10,01,02,USD,1,02,01
0000100345,1000,10,00,01,USD,1,01,02
0000100346,3000,20,01,03,USD,1,02,02
0000100347,1000,10,00,01,USD,1,02,02
0000100348,1000,10,00,03,USD,1,01,01
0000100349,1000,10,02,04,USD,1,02,02
0000100350,1000,10,02,01,USD,1,02,01
0000100350,1000,10,01,01,USD,1,02,01
0000100350,3000,30,01,02,USD,1,01,01
0000100351,2000,20,01,03,USD,1,02,02
0000100352,2000,30,00,04,USD,1,02,02
0000100353,2000,10,00,04,USD,1,01,01
0000100353,1000,20,00,03,USD,1,02,02
0000100354,1000,30,00,02,USD,1,02,01
0000100354,1000,20,00,04,USD,1,01,02
0000100354,1000,30,00,02,USD,1,01,02
0000100355,1000,10,00,01,USD,1,01,02
0000100355,1000,10,01,01,USD,1,01,02
0000100356,2000,20,00,01,USD,1,01,01
0000100357,1000,30,00,02,USD,1,02,02
0000100358,3000,10,00,02,USD,1,01,01
0000100359,2000,20,02,01,USD,1,02,02
0000100360,1000,20,01,04,USD,1,01,02
0000100360,1000,10,00,04,USD,1,02,01
0000100360,1000,20,01,02,USD,1,02,01
0000100361,1000,10,00,02,USD,1,02,02
0000100362,2000,10,01,01,USD,1,01,02
0000100363,3000,20,01,04,USD,1,01,01
0000100363,3000,30,02,03,USD,1,01,01
0000100363,3000,10,00,04,USD,1,01,02
0000100364,3000,10,01,01,USD,1,01,01
0000100365,1000,10,01,03,USD,1,02,02
0000100366,3000,10,00,02,USD,1,02,02
0000100366,1000,20,01,02,USD,1,01,02
0000100367,2000,20,01,01,USD,1,01,01
0000100368,3000,30,00,01,USD,1,02,01
0000100369,2000,10,00,04,USD,1,01,02
0000100370,1000,30,02,03,USD,1,02,01
0000100371,2000,20,00,02,USD,1,02,01
0000100372,2000,10,01,01,USD,1,02,02
0000100373,1000,30,01,03,USD,1,01,01
0000100374,1000,20,00,01,USD,1,01,01
0000100374,1000,10,00,03,USD,1,01,02
0000100375,1000,10,01,01,USD,1,02,02
0000100375,1000,30,00,04,USD,1,01,02
0000100376,3000,10,00,01,USD,1,02,02
0000100376,1000,20,02,03,USD,1,01,02
0000100376,2000,10,01,04,USD,1,02,01
0000100377,1000,10,02,02,USD,1,01,01
0000100378,1000,10,00,01,USD,1,01,02
0000100379,1000,30,00,04,USD,1,01,02
0000100379,1000,10,01,01,USD,1,02,02
0000100380,1000,30,00,04,USD,1,02,01
0000100380,2000,10,02,01,USD,1,02,01
0000100380,1000,20,01,01,USD,1,02,01
0000100381,2000,30,00,01,USD,1,02,01
0000100381,1000,20,00,02,USD,1,01,01
0000100382,1000,30,02,04,USD,1,02,02
0000100383,2000,20,00,01,USD,1,02,01
0000100383,2000,30,01,04,USD,1,01,02
0000100384,2000,30,01,01,USD,1,02,02
0000100384,1000,30,00,03,USD,1,02,01
0000100385,2000,10,00,03,USD,1,01,01
0000100386,1000,10,00,01,USD,1,01,01
0000100386,1000,20,02,01,USD,1,02,02
0000100387,1000,10,01,02,USD,1,02,01
0000100388,2000,10,01,03,USD,1,02,01
0000100389,1000,20,01,02,USD,1,02,02
0000100390,1000,10,01,02,USD,1,01,01
0000100391,3000,20,01,04,USD,1,02,02
0000100391,2000,10,01,02,USD,1,01,01
0000100391,1000,10,00,01,USD,1,01,01
0000100392,2000,30,00,02,USD,1,02,02
0000100393,1000,30,00,02,USD,1,01,01
0000100393,2000,30,00,03,USD,1,02,01
0000100394,2000,10,01,01,USD,1,01,01
0000100395,1000,10,00,01,USD,1,02,02
0000100396,2000,10,00,04,USD,1,02,02
0000100396,1000,10,01,02,USD,1,01,01
0000100397,1000,30,00,02,USD,1,01,01
0000100398,1000,10,02,04,USD,1,02,02
0000100398,1000,10,01,02,USD,1,02,02
0000100398,1000,10,00,01,USD,1,01,02
0000100399,1000,20,02,01,USD,1,01,01
0000100400,2000,10,00,01,USD,1,01,02
0000100401,3000,10,00,03,USD,1,01,02
0000100401,1000,10,00,02,USD,1,02,01
0000100401,1000,10,00,04,USD,1,02,01
0000100402,3000,10,02,04,USD,1,01,02
0000100403,2000,30,01,03,USD,1,02,02
0000100404,1000,10,02,02,USD,1,02,02
0000100405,1000,30,01,02,USD,1,01,01
0000100406,2000,10,00,01,USD,1,01,01
0000100407,2000,10,00,02,USD,1,02,02
0000100408,1000,10,00,01,USD,1,01,01
0000100408,2000,20,01,03,USD,1,01,02
0000100409,1000,10,01,02,USD,1,01,02
0000100410,2000,10,01,02,USD,1,01,01
0000100411,1000,30,01,02,USD,1,01,02
0000100412,2000,30,00,01,USD,1,01,01
0000100413,1000,20,00,01,USD,1,02,01
0000100414,1000,10,00,04,USD,1,01,02
0000100415,1000,30,00,01,USD,1,01,01
0000100415,2000,10,00,01,USD,1,01,02
0000100416,1000,30,01,02,USD,1,01,02
0000100417,1000,10,01,04,USD,1,01,02
0000100418,2000,20,00,01,USD,1,01,02
0000100418,2000,30,01,03,USD,1,01,01
0000100418,1000,10,01,01,USD,1,02,02
0000100419,1000,20,00,04,USD,1,02,01
0000100420,3000,10,00,04,USD,1,01,01
0000100421,1000,10,00,04,USD,1,01,02
0000100422,1000,20,00,03,USD,1,01,01
0000100423,1000,20,01,04,USD,1,02,02
0000100424,1000,20,00,03,USD,1,01,02
0000100425,1000,10,00,03,USD,1,01,01
0000100426,1000,20,01,03,USD,1,01,01
0000100426,1000,10,01,04,USD,1,02,02
0000100427,1000,20,02,04,USD,1,02,01
0000100428,1000,10,00,03,USD,1,02,02
0000100429,2000,10,02,02,USD,1,01,01
0000100429,1000,30,00,04,USD,1,02,01
0000100430,3000,20,02,03,USD,1,01,02
0000100430,1000,20,01,04,USD,1,02,02
0000100431,1000,30,02,02,USD,1,01,02
0000100431,1000,20,00,04,USD,1,02,02
0000100432,1000,30,01,02,USD,1,02,01
0000100433,2000,30,01,02,USD,1,02,02
0000100433,2000,10,01,02,USD,1,01,01
0000100433,1000,20,00,04,USD,1,01,02
0000100434,3000,20,01,02,USD,1,01,02
0000100434,1000,20,02,02,USD,1,01,02
0000100435,2000,10,02,01,USD,1,01,01
0000100435,3000,10,00,01,USD,1,02,01
0000100436,3000,30,00,03,USD,1,01,02
0000100437,1000,30,02,04,USD,1,02,02
0000100437,1000,20,01,01,USD,1,01,01
0000100438,1000,10,00,02,USD,1,01,02
0000100439,1000,20,00,04,USD,1,01,01
0000100440,1000,30,00,02,USD,1,02,02
0000100441,1000,10,02,02,USD,1,01,01
0000100442,1000,20,00,03,USD,1,02,01
0000100443,2000,30,00,02,USD,1,02,02
0000100444,2000,10,00,04,USD,1,01,01
0000100444,2000,30,00,02,USD,1,01,02
0000100445,1000,30,00,01,USD,1,01,01
0000100446,1000,20,01,04,USD,1,02,01
0000100446,3000,10,00,01,USD,1,02,01
0000100447,1000,10,01,02,USD,1,01,01
0000100447,2000,10,01,04,USD,1,01,01
