MATNR,MTART,MATKL,MEINS,MTPOS_MARA,PRDHA,ERNAM,ERSDA,LAEDA
000000000000000027,ROH,MACH,EA,NORM,000000000000000019,SYSUSER,20250212,20250902
000000000000000028,HAWA,MACH,EA,NORM,000000000000000009,SYSUSER,20231026,20250729
000000000000000029,FERT,TOOL,KG,NORM,000000000000000012,SYSUSER,20240420,20250927
000000000000000030,FERT,TOOL,L,NORM,000000000000000014,SYSUSER,20250420,20251012
000000000000000031,HAWA,PART,EA,NORM,000000000000000002,SYSUSER,20250224,20250720
000000000000000032,FERT,MACH,EA,NORM,000000000000000004,SYSUSER,20250313,20250810
000000000000000033,FERT,ELEC,KG,NORM,000000000000000010,SYSUSER,20230701,20250905
000000000000000034,FERT,TOOL,KG,NORM,000000000000000014,SYSUSER,20240723,20250831
000000000000000035,HAWA,TOOL,EA,NORM,000000000000000011,SYSUSER,20240829,20251007
000000000000000036,ROH,MACH,EA,NORM,000000000000000013,SYSUSER,20241106,20250919
000000000000000037,HAWA,CONS,EA,NORM,000000000000000005,SYSUSER,20230926,20251014
000000000000000038,FERT,TOOL,EA,NORM,000000000000000019,SYSUSER,20241105,20250815
000000000000000039,FERT,TOOL,EA,NORM,000000000000000017,SYSUSER,20231110,20250809
000000000000000040,HAWA,MACH,KG,NORM,000000000000000008,SYSUSER,20230710,20250808
000000000000000041,FERT,ELEC,L,NORM,000000000000000013,SYSUSER,20240929,20250717
000000000000000042,FERT,PART,EA,NORM,000000000000000011,SYSUSER,20230810,20251021
000000000000000043,FERT,PART,EA,NORM,000000000000000011,SYSUSER,20230302,20250801
000000000000000044,ROH,CONS,EA,NORM,000000000000000010,SYSUSER,20230202,20250916
000000000000000045,FERT,MACH,KG,NORM,000000000000000008,SYSUSER,20241219,20250819
000000000000000046,FERT,ELEC,KG,NORM,000000000000000016,SYSUSER,20231104,20250820
000000000000000047,ROH,TOOL,EA,NORM,000000000000000008,SYSUSER,20250105,20250721
000000000000000048,FERT,ELEC,EA,NORM,000000000000000004,SYSUSER,20240611,20250917
000000000000000049,FERT,MACH,EA,NORM,000000000000000009,SYSUSER,20230925,20251018
000000000000000050,FERT,PART,KG,NORM,000000000000000002,SYSUSER,20230507,20250924
000000000000000051,FERT,MACH,EA,NORM,000000000000000014,SYSUSER,20240227,20250905
000000000000000052,FERT,ELEC,EA,NORM,000000000000000011,SYSUSER,20250324,20250924
000000000000000053,FERT,CONS,EA,NORM,000000000000000007,SYSUSER,20240222,20250804
000000000000000054,FERT,TOOL,EA,NORM,000000000000000014,SYSUSER,20231117,20251015
000000000000000055,FERT,ELEC,EA,NORM,000000000000000012,SYSUSER,20240124,20251023
000000000000000056,FERT,CONS,EA,NORM,000000000000000020,SYSUSER,20240713,20250914
000000000000000057,FERT,CONS,KG,NORM,000000000000000008,SYSUSER,20250304,20250905
000000000000000058,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20230217,20250813
000000000000000059,HAWA,PART,L,NORM,000000000000000013,SYSUSER,20240513,20250908
000000000000000060,ROH,TOOL,EA,NORM,000000000000000010,SYSUSER,20240105,20250729
000000000000000061,FERT,CONS,KG,NORM,000000000000000016,SYSUSER,20250122,20250719
000000000000000062,HAWA,PART,EA,NORM,000000000000000011,SYSUSER,20240322,20250718
000000000000000063,FERT,TOOL,EA,NORM,000000000000000007,SYSUSER,20250504,20251022
000000000000000064,FERT,ELEC,EA,NORM,000000000000000005,SYSUSER,20231124,20251016
000000000000000065,FERT,MACH,EA,NORM,000000000000000004,SYSUSER,20250703,20250921
000000000000000066,FERT,TOOL,EA,NORM,000000000000000016,SYSUSER,20241209,20251019
000000000000000067,FERT,TOOL,KG,NORM,000000000000000013,SYSUSER,20250517,20250904
000000000000000068,HAWA,TOOL,KG,NORM,000000000000000013,SYSUSER,20240215,20250918
000000000000000069,FERT,CONS,EA,NORM,000000000000000001,SYSUSER,20231013,20250725
000000000000000070,FERT,PART,EA,NORM,000000000000000016,SYSUSER,20240220,20250718
000000000000000071,FERT,ELEC,EA,NORM,000000000000000018,SYSUSER,20240518,20250831
000000000000000072,FERT,ELEC,EA,NORM,000000000000000008,SYSUSER,20230730,20250903
000000000000000073,FERT,CONS,EA,NORM,000000000000000015,SYSUSER,20250424,20250804
000000000000000074,FERT,TOOL,KG,NORM,000000000000000017,SYSUSER,20240115,20250817
000000000000000075,FERT,CONS,EA,NORM,000000000000000020,SYSUSER,20231026,20251005
000000000000000076,FERT,TOOL,KG,NORM,000000000000000006,SYSUSER,20241006,20251014
000000000000000077,FERT,MACH,EA,NORM,000000000000000009,SYSUSER,20240903,20251014
000000000000000078,FERT,ELEC,EA,NORM,000000000000000004,SYSUSER,20240210,20250928
000000000000000079,FERT,TOOL,EA,NORM,000000000000000015,SYSUSER,20230412,20251005
000000000000000080,ROH,PART,EA,NORM,000000000000000010,SYSUSER,20240115,20250913
000000000000000081,HAWA,MACH,EA,NORM,000000000000000005,SYSUSER,20240612,20250810
000000000000000082,HAWA,ELEC,EA,NORM,000000000000000002,SYSUSER,20231007,20250719
000000000000000083,HAWA,CONS,KG,NORM,000000000000000015,SYSUSER,20230316,20250802
000000000000000084,FERT,PART,EA,NORM,000000000000000020,SYSUSER,20230820,20250803
000000000000000085,FERT,TOOL,EA,NORM,000000000000000005,SYSUSER,20250511,20250915
000000000000000086,FERT,ELEC,KG,NORM,000000000000000015,SYSUSER,20230802,20250830
000000000000000087,FERT,ELEC,EA,NORM,000000000000000008,SYSUSER,20230701,20250924
000000000000000088,FERT,PART,L,NORM,000000000000000010,SYSUSER,20250519,20250923
000000000000000089,FERT,CONS,EA,NORM,000000000000000001,SYSUSER,20250420,20250830
000000000000000090,FERT,PART,EA,NORM,000000000000000015,SYSUSER,20250321,20250827
000000000000000091,FERT,CONS,KG,NORM,000000000000000004,SYSUSER,20231030,20250808
000000000000000092,ROH,TOOL,EA,NORM,000000000000000004,SYSUSER,20250522,20250915
000000000000000093,ROH,MACH,L,NORM,000000000000000013,SYSUSER,20230904,20250722
000000000000000094,FERT,MACH,L,NORM,000000000000000012,SYSUSER,20230913,20250722
000000000000000095,FERT,CONS,KG,NORM,000000000000000007,SYSUSER,20250119,20251009
000000000000000096,FERT,PART,EA,NORM,000000000000000006,SYSUSER,20250705,20250726
000000000000000097,FERT,ELEC,EA,NORM,000000000000000003,SYSUSER,20250227,20250727
000000000000000098,ROH,CONS,EA,NORM,000000000000000006,SYSUSER,20250706,20251004
000000000000000099,HAWA,MACH,EA,NORM,000000000000000013,SYSUSER,20240225,20250910
000000000000000100,FERT,ELEC,EA,NORM,000000000000000014,SYSUSER,20240129,20250819
000000000000000101,FERT,ELEC,L,NORM,000000000000000001,SYSUSER,20230508,20250724
000000000000000102,ROH,ELEC,L,NORM,000000000000000010,SYSUSER,20241025,20251003
000000000000000103,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20240702,20251008
000000000000000104,FERT,MACH,EA,NORM,000000000000000014,SYSUSER,20230611,20250717
000000000000000105,ROH,ELEC,EA,NORM,000000000000000002,SYSUSER,20230204,20250920
000000000000000106,ROH,MACH,EA,NORM,000000000000000011,SYSUSER,20230628,20251009
000000000000000107,FERT,ELEC,EA,NORM,000000000000000005,SYSUSER,20230520,20251021
000000000000000108,FERT,TOOL,KG,NORM,000000000000000011,SYSUSER,20240808,20250831
000000000000000109,HAWA,PART,EA,NORM,000000000000000012,SYSUSER,20241012,20250818
000000000000000110,FERT,PART,KG,NORM,000000000000000007,SYSUSER,20250513,20250921
000000000000000111,FERT,TOOL,EA,NORM,000000000000000008,SYSUSER,20230719,20250812
000000000000000112,HAWA,CONS,EA,NORM,000000000000000013,SYSUSER,20231014,20251015
000000000000000113,FERT,MACH,KG,NORM,000000000000000015,SYSUSER,20240225,20250827
000000000000000114,HAWA,CONS,EA,NORM,000000000000000009,SYSUSER,20240210,20250908
000000000000000115,HAWA,ELEC,KG,NORM,000000000000000004,SYSUSER,20250522,20250822
000000000000000116,ROH,MACH,EA,NORM,000000000000000013,SYSUSER,20230219,20250813
000000000000000117,FERT,PART,KG,NORM,000000000000000005,SYSUSER,20250128,20250907
000000000000000118,FERT,ELEC,KG,NORM,000000000000000016,SYSUSER,20250206,20250922
000000000000000119,FERT,ELEC,EA,NORM,000000000000000012,SYSUSER,20230518,20251011
000000000000000120,FERT,MACH,L,NORM,000000000000000020,SYSUSER,20231208,20250730
000000000000000121,HAWA,ELEC,EA,NORM,000000000000000003,SYSUSER,20230708,20251010
000000000000000122,HAWA,TOOL,KG,NORM,000000000000000005,SYSUSER,20241126,20250722
000000000000000123,HAWA,PART,EA,NORM,000000000000000011,SYSUSER,20240212,20251024
000000000000000124,FERT,TOOL,EA,NORM,000000000000000016,SYSUSER,20250602,20251023
000000000000000125,HAWA,MACH,EA,NORM,000000000000000019,SYSUSER,20241109,20251019
000000000000000126,ROH,PART,EA,NORM,000000000000000012,SYSUSER,20240321,20250908
000000000000000127,FERT,TOOL,L,NORM,000000000000000006,SYSUSER,20240620,20251005
000000000000000128,HAWA,ELEC,KG,NORM,000000000000000015,SYSUSER,20250115,20251020
000000000000000129,FERT,TOOL,L,NORM,000000000000000020,SYSUSER,20231229,20250725
000000000000000130,HAWA,ELEC,EA,NORM,000000000000000019,SYSUSER,20230620,20250802
000000000000000131,FERT,MACH,KG,NORM,000000000000000020,SYSUSER,20240514,20250926
000000000000000132,FERT,PART,KG,NORM,000000000000000009,SYSUSER,20240822,20250923
000000000000000133,HAWA,CONS,EA,NORM,000000000000000014,SYSUSER,20240517,20250724
000000000000000134,HAWA,ELEC,L,NORM,000000000000000007,SYSUSER,20240824,20250920
000000000000000135,FERT,MACH,EA,NORM,000000000000000009,SYSUSER,20230325,20251015
000000000000000136,FERT,TOOL,EA,NORM,000000000000000017,SYSUSER,20231210,20250907
000000000000000137,FERT,CONS,EA,NORM,000000000000000002,SYSUSER,20250317,20250821
000000000000000138,HAWA,PART,KG,NORM,000000000000000015,SYSUSER,20230828,20251018
000000000000000139,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20250115,20250926
000000000000000140,FERT,CONS,L,NORM,000000000000000016,SYSUSER,20230416,20250819
000000000000000141,FERT,ELEC,EA,NORM,000000000000000012,SYSUSER,20250531,20250903
000000000000000142,FERT,PART,EA,NORM,000000000000000001,SYSUSER,20250508,20250826
000000000000000143,FERT,CONS,EA,NORM,000000000000000001,SYSUSER,20230212,20250918
000000000000000144,FERT,TOOL,EA,NORM,000000000000000016,SYSUSER,20230517,20250915
000000000000000145,FERT,CONS,EA,NORM,000000000000000014,SYSUSER,20240816,20251013
000000000000000146,FERT,TOOL,EA,NORM,000000000000000011,SYSUSER,20231229,20250827
000000000000000147,FERT,MACH,KG,NORM,000000000000000016,SYSUSER,20250709,20250907
000000000000000148,FERT,PART,KG,NORM,000000000000000011,SYSUSER,20241224,20250917
000000000000000149,FERT,CONS,EA,NORM,000000000000000019,SYSUSER,20231218,20250916
000000000000000150,HAWA,PART,EA,NORM,000000000000000001,SYSUSER,20230621,20250806
000000000000000151,FERT,MACH,KG,NORM,000000000000000006,SYSUSER,20241111,20250826
000000000000000152,FERT,PART,EA,NORM,000000000000000004,SYSUSER,20240705,20250810
000000000000000153,FERT,ELEC,KG,NORM,000000000000000009,SYSUSER,20240228,20250718
000000000000000154,HAWA,CONS,L,NORM,000000000000000017,SYSUSER,20230515,20250929
000000000000000155,HAWA,TOOL,EA,NORM,000000000000000006,SYSUSER,20230628,20250816
000000000000000156,HAWA,PART,EA,NORM,000000000000000019,SYSUSER,20230531,20250923
000000000000000157,FERT,CONS,EA,NORM,000000000000000015,SYSUSER,20250213,20251024
000000000000000158,ROH,MACH,EA,NORM,000000000000000015,SYSUSER,20240524,20251021
000000000000000159,FERT,CONS,EA,NORM,000000000000000020,SYSUSER,20241121,20250816
000000000000000160,FERT,PART,L,NORM,000000000000000017,SYSUSER,20240728,20250804
000000000000000161,FERT,ELEC,EA,NORM,000000000000000018,SYSUSER,20230311,20250728
000000000000000162,ROH,MACH,EA,NORM,000000000000000020,SYSUSER,20230131,20251023
000000000000000163,FERT,PART,L,NORM,000000000000000004,SYSUSER,20240808,20251024
000000000000000164,ROH,CONS,EA,NORM,000000000000000012,SYSUSER,20230601,20250801
000000000000000165,HAWA,PART,EA,NORM,000000000000000014,SYSUSER,20240627,20250722
000000000000000166,FERT,TOOL,L,NORM,000000000000000007,SYSUSER,20230704,20250915
000000000000000167,FERT,ELEC,EA,NORM,000000000000000006,SYSUSER,20250402,20250928
000000000000000168,HAWA,MACH,L,NORM,000000000000000004,SYSUSER,20240122,20250924
000000000000000169,ROH,TOOL,EA,NORM,000000000000000010,SYSUSER,20240514,20250823
000000000000000170,FERT,MACH,EA,NORM,000000000000000001,SYSUSER,20250517,20251006
000000000000000171,FERT,MACH,KG,NORM,000000000000000003,SYSUSER,20230720,20250919
000000000000000172,FERT,CONS,L,NORM,000000000000000016,SYSUSER,20250413,20251019
000000000000000173,FERT,ELEC,EA,NORM,000000000000000007,SYSUSER,20241122,20250819
000000000000000174,FERT,ELEC,EA,NORM,000000000000000019,SYSUSER,20240521,20250727
000000000000000175,FERT,CONS,EA,NORM,000000000000000015,SYSUSER,20240701,20250827
000000000000000176,FERT,TOOL,KG,NORM,000000000000000016,SYSUSER,20230613,20251014
000000000000000177,FERT,PART,EA,NORM,000000000000000001,SYSUSER,20231201,20251012
000000000000000178,FERT,MACH,EA,NORM,000000000000000010,SYSUSER,20240216,20251007
000000000000000179,FERT,MACH,EA,NORM,000000000000000004,SYSUSER,20231004,20250904
000000000000000180,FERT,PART,EA,NORM,000000000000000011,SYSUSER,20250502,20250810
000000000000000181,FERT,MACH,EA,NORM,000000000000000020,SYSUSER,20231214,20251017
000000000000000182,FERT,CONS,EA,NORM,000000000000000015,SYSUSER,20240428,20250801
000000000000000183,FERT,ELEC,KG,NORM,000000000000000015,SYSUSER,20250306,20250924
000000000000000184,FERT,TOOL,EA,NORM,000000000000000015,SYSUSER,20240922,20250921
000000000000000185,HAWA,TOOL,KG,NORM,000000000000000012,SYSUSER,20230227,20250914
000000000000000186,FERT,ELEC,KG,NORM,000000000000000012,SYSUSER,20230419,20250904
000000000000000187,FERT,TOOL,EA,NORM,000000000000000010,SYSUSER,20230731,20250722
000000000000000188,ROH,ELEC,EA,NORM,000000000000000001,SYSUSER,20240817,20250914
000000000000000189,FERT,CONS,EA,NORM,000000000000000013,SYSUSER,20240410,20250920
000000000000000190,HAWA,TOOL,EA,NORM,000000000000000010,SYSUSER,20241120,20251015
000000000000000191,FERT,CONS,L,NORM,000000000000000011,SYSUSER,20241222,20251007
000000000000000192,HAWA,CONS,EA,NORM,000000000000000016,SYSUSER,20230511,20250718
000000000000000193,FERT,PART,EA,NORM,000000000000000012,SYSUSER,20231127,20251011
000000000000000194,ROH,PART,KG,NORM,000000000000000016,SYSUSER,20250208,20251011
000000000000000195,FERT,MACH,L,NORM,000000000000000020,SYSUSER,20250130,20250828
000000000000000196,FERT,MACH,EA,NORM,000000000000000003,SYSUSER,20240327,20250914
000000000000000197,FERT,MACH,L,NORM,000000000000000008,SYSUSER,20240527,20251009
000000000000000198,ROH,MACH,KG,NORM,000000000000000006,SYSUSER,20240116,20250909
000000000000000199,FERT,ELEC,EA,NORM,000000000000000016,SYSUSER,20230521,20250928
000000000000000200,ROH,PART,EA,NORM,000000000000000008,SYSUSER,20240411,20250915
000000000000000201,HAWA,TOOL,L,NORM,000000000000000012,SYSUSER,20240330,20250921
000000000000000202,FERT,PART,EA,NORM,000000000000000015,SYSUSER,20230226,20251009
000000000000000203,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20250416,20251004
000000000000000204,FERT,CONS,EA,NORM,000000000000000002,SYSUSER,20230413,20250729
000000000000000205,HAWA,PART,EA,NORM,000000000000000006,SYSUSER,20240909,20250726
000000000000000206,HAWA,TOOL,EA,NORM,000000000000000001,SYSUSER,20230804,20250808
000000000000000207,FERT,CONS,EA,NORM,000000000000000016,SYSUSER,20250606,20250927
000000000000000208,FERT,ELEC,EA,NORM,000000000000000012,SYSUSER,20230315,20250913
000000000000000209,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20250216,20251013
000000000000000210,FERT,CONS,L,NORM,000000000000000018,SYSUSER,20230720,20250923
000000000000000211,FERT,ELEC,EA,NORM,000000000000000014,SYSUSER,20240718,20250904
000000000000000212,FERT,PART,EA,NORM,000000000000000014,SYSUSER,20240208,20251018
000000000000000213,FERT,TOOL,KG,NORM,000000000000000003,SYSUSER,20230824,20250916
000000000000000214,FERT,CONS,KG,NORM,000000000000000008,SYSUSER,20241024,20251002
000000000000000215,FERT,ELEC,EA,NORM,000000000000000008,SYSUSER,20250616,20250903
000000000000000216,FERT,TOOL,EA,NORM,000000000000000011,SYSUSER,20230223,20250828
000000000000000217,HAWA,MACH,KG,NORM,000000000000000012,SYSUSER,20231226,20250721
000000000000000218,FERT,ELEC,EA,NORM,000000000000000001,SYSUSER,20240101,20250923
000000000000000219,FERT,PART,EA,NORM,000000000000000008,SYSUSER,20250412,20250826
000000000000000220,HAWA,ELEC,KG,NORM,000000000000000019,SYSUSER,20250404,20251007
000000000000000221,FERT,PART,EA,NORM,000000000000000018,SYSUSER,20250315,20251023
000000000000000222,FERT,MACH,EA,NORM,000000000000000013,SYSUSER,20250515,20250717
000000000000000223,FERT,ELEC,KG,NORM,000000000000000018,SYSUSER,20241202,20251008
000000000000000224,FERT,PART,EA,NORM,000000000000000008,SYSUSER,20241227,20250903
000000000000000225,FERT,TOOL,KG,NORM,000000000000000008,SYSUSER,20240701,20250729
000000000000000226,HAWA,CONS,EA,NORM,000000000000000010,SYSUSER,20231011,20250803
000000000000000227,FERT,ELEC,EA,NORM,000000000000000001,SYSUSER,20250422,20250811
000000000000000228,HAWA,MACH,EA,NORM,000000000000000017,SYSUSER,20231125,20250921
000000000000000229,ROH,CONS,KG,NORM,000000000000000016,SYSUSER,20230407,20251015
000000000000000230,FERT,MACH,KG,NORM,000000000000000010,SYSUSER,20250625,20251016
000000000000000231,HAWA,MACH,EA,NORM,000000000000000010,SYSUSER,20241227,20250803
000000000000000232,FERT,MACH,KG,NORM,000000000000000002,SYSUSER,20240419,20251008
000000000000000233,FERT,CONS,EA,NORM,000000000000000016,SYSUSER,20250414,20250912
000000000000000234,FERT,CONS,EA,NORM,000000000000000018,SYSUSER,20250314,20251019
000000000000000235,FERT,PART,EA,NORM,000000000000000010,SYSUSER,20240401,20251018
000000000000000236,FERT,CONS,KG,NORM,000000000000000012,SYSUSER,20250126,20250812
000000000000000237,FERT,TOOL,EA,NORM,000000000000000004,SYSUSER,20240430,20250724
000000000000000238,FERT,CONS,EA,NORM,000000000000000017,SYSUSER,20240608,20250822
000000000000000239,FERT,MACH,KG,NORM,000000000000000015,SYSUSER,20250617,20250906
000000000000000240,FERT,CONS,KG,NORM,000000000000000004,SYSUSER,20230818,20250831
000000000000000241,FERT,PART,KG,NORM,000000000000000017,SYSUSER,20250122,20250909
000000000000000242,HAWA,PART,KG,NORM,000000000000000013,SYSUSER,20241210,20251001
000000000000000243,ROH,PART,EA,NORM,000000000000000015,SYSUSER,20241009,20250919
000000000000000244,FERT,ELEC,L,NORM,000000000000000014,SYSUSER,20240417,20251005
000000000000000245,HAWA,ELEC,EA,NORM,000000000000000011,SYSUSER,20250612,20250807
000000000000000246,FERT,ELEC,KG,NORM,000000000000000006,SYSUSER,20231022,20250807
000000000000000247,FERT,MACH,EA,NORM,000000000000000007,SYSUSER,20241108,20250803
000000000000000248,FERT,CONS,EA,NORM,000000000000000002,SYSUSER,20240918,20250822
000000000000000249,FERT,PART,EA,NORM,000000000000000001,SYSUSER,20240522,20250815
000000000000000250,FERT,PART,L,NORM,000000000000000019,SYSUSER,20240314,20251017
000000000000000251,ROH,TOOL,EA,NORM,000000000000000012,SYSUSER,20250419,20250919
000000000000000252,FERT,CONS,EA,NORM,000000000000000017,SYSUSER,20240620,20251007
000000000000000253,FERT,ELEC,EA,NORM,000000000000000011,SYSUSER,20240514,20250929
000000000000000254,HAWA,TOOL,KG,NORM,000000000000000006,SYSUSER,20230928,20250818
000000000000000255,FERT,TOOL,KG,NORM,000000000000000014,SYSUSER,20241104,20250805
000000000000000256,HAWA,MACH,EA,NORM,000000000000000007,SYSUSER,20230418,20250816
000000000000000257,HAWA,MACH,EA,NORM,000000000000000001,SYSUSER,20230426,20251022
000000000000000258,FERT,ELEC,EA,NORM,000000000000000010,SYSUSER,20240621,20250725
000000000000000259,FERT,ELEC,EA,NORM,000000000000000010,SYSUSER,20240715,20250824
000000000000000260,FERT,PART,EA,NORM,000000000000000009,SYSUSER,20240107,20250823
000000000000000261,ROH,TOOL,EA,NORM,000000000000000011,SYSUSER,20240730,20250813
000000000000000262,HAWA,ELEC,L,NORM,000000000000000005,SYSUSER,20240219,20250913
000000000000000263,ROH,CONS,KG,NORM,000000000000000011,SYSUSER,20240615,20250920
000000000000000264,FERT,PART,EA,NORM,000000000000000010,SYSUSER,20250114,20251021
000000000000000265,HAWA,TOOL,L,NORM,000000000000000016,SYSUSER,20240825,20250809
000000000000000266,HAWA,PART,EA,NORM,000000000000000001,SYSUSER,20241205,20251021
000000000000000267,HAWA,CONS,KG,NORM,000000000000000018,SYSUSER,20230409,20250717
000000000000000268,FERT,CONS,EA,NORM,000000000000000003,SYSUSER,20241003,20251017
000000000000000269,HAWA,CONS,EA,NORM,000000000000000002,SYSUSER,20230411,20250825
000000000000000270,FERT,ELEC,KG,NORM,000000000000000016,SYSUSER,20240122,20250909
000000000000000271,HAWA,MACH,L,NORM,000000000000000016,SYSUSER,20230524,20250811
000000000000000272,FERT,TOOL,EA,NORM,000000000000000006,SYSUSER,20241121,20251004
000000000000000273,FERT,PART,L,NORM,000000000000000004,SYSUSER,20250406,20250923
000000000000000274,FERT,TOOL,KG,NORM,000000000000000002,SYSUSER,20230914,20250924
000000000000000275,FERT,CONS,EA,NORM,000000000000000014,SYSUSER,20241018,20250817
000000000000000276,ROH,PART,EA,NORM,000000000000000011,SYSUSER,20230404,20250722
000000000000000277,HAWA,TOOL,KG,NORM,000000000000000012,SYSUSER,20250521,20250719
000000000000000278,FERT,CONS,KG,NORM,000000000000000011,SYSUSER,20241205,20250812
000000000000000279,FERT,PART,KG,NORM,000000000000000012,SYSUSER,20230304,20250905
000000000000000280,FERT,MACH,EA,NORM,000000000000000002,SYSUSER,20240719,20251002
000000000000000281,ROH,CONS,EA,NORM,000000000000000015,SYSUSER,20250118,20250924
000000000000000282,FERT,MACH,KG,NORM,000000000000000018,SYSUSER,20231119,20250914
000000000000000283,FERT,MACH,EA,NORM,000000000000000001,SYSUSER,20230414,20250722
000000000000000284,FERT,CONS,EA,NORM,000000000000000020,SYSUSER,20230803,20250909
000000000000000285,ROH,PART,EA,NORM,000000000000000003,SYSUSER,20231120,20251021
000000000000000286,FERT,ELEC,EA,NORM,000000000000000002,SYSUSER,20230728,20250727
000000000000000287,HAWA,CONS,EA,NORM,000000000000000013,SYSUSER,20240722,20250813
000000000000000288,FERT,CONS,EA,NORM,000000000000000003,SYSUSER,20231218,20251006
000000000000000289,FERT,CONS,EA,NORM,000000000000000010,SYSUSER,20231219,20250930
000000000000000290,FERT,ELEC,EA,NORM,000000000000000019,SYSUSER,20230314,20250822
000000000000000291,FERT,CONS,EA,NORM,000000000000000005,SYSUSER,20240109,20250915
000000000000000292,ROH,PART,EA,NORM,000000000000000009,SYSUSER,20250119,20250823
000000000000000293,HAWA,CONS,L,NORM,000000000000000007,SYSUSER,20250609,20251013
000000000000000294,FERT,MACH,EA,NORM,000000000000000019,SYSUSER,20250521,20250925
000000000000000295,FERT,MACH,KG,NORM,000000000000000017,SYSUSER,20231109,20250926
000000000000000296,FERT,TOOL,EA,NORM,000000000000000010,SYSUSER,20250627,20250818
000000000000000297,FERT,TOOL,KG,NORM,000000000000000018,SYSUSER,20240315,20251024
000000000000000298,FERT,CONS,L,NORM,000000000000000004,SYSUSER,20240812,20250807
000000000000000299,FERT,TOOL,KG,NORM,000000000000000014,SYSUSER,20241223,20251008
000000000000000300,ROH,MACH,EA,NORM,000000000000000012,SYSUSER,20240803,20250725
000000000000000301,FERT,TOOL,EA,NORM,000000000000000001,SYSUSER,20250117,20250913
000000000000000302,FERT,ELEC,EA,NORM,000000000000000018,SYSUSER,20250518,20251022
000000000000000303,ROH,MACH,L,NORM,000000000000000019,SYSUSER,20250216,20250810
000000000000000304,FERT,PART,EA,NORM,000000000000000006,SYSUSER,20230727,20251006
000000000000000305,FERT,CONS,L,NORM,000000000000000005,SYSUSER,20230517,20251010
000000000000000306,FERT,CONS,KG,NORM,000000000000000001,SYSUSER,20230304,20250818
000000000000000307,FERT,ELEC,KG,NORM,000000000000000015,SYSUSER,20230217,20250908
000000000000000308,FERT,TOOL,KG,NORM,000000000000000005,SYSUSER,20250504,20250907
000000000000000309,FERT,PART,EA,NORM,000000000000000001,SYSUSER,20230727,20250801
000000000000000310,FERT,CONS,EA,NORM,000000000000000019,SYSUSER,20240607,20250810
000000000000000311,HAWA,CONS,EA,NORM,000000000000000006,SYSUSER,20250405,20250911
000000000000000312,FERT,TOOL,KG,NORM,000000000000000018,SYSUSER,20240911,20250913
000000000000000313,FERT,CONS,EA,NORM,000000000000000002,SYSUSER,20250228,20251004
