VBELN,FKART,FKDAT,ERDAT,ERZET,ERNAM,KUNAG,KUNRG,VKORG,NETWR,WAERK,FKSTO,VBUND,RFBSK
9000000024,F2,20251019,20251019,100500,BILLUSER,0000103639,0000103639,2000,0,EUR,,,A
9000000025,F2,20251002,20251002,174300,BILLUSER,0000101091,0000101091,2000,0,EUR,,,A
9000000026,F2,20251016,20251016,140900,BILLUSER,0000103009,0000103009,3000,0,EUR,,,A
9000000027,F2,20251015,20251015,092900,BILLUSER,0000104300,0000104300,1000,0,USD,,,A
9000000028,F2,20251009,20251009,142800,BILLUSER,0000102557,0000102557,1000,0,USD,,,C
9000000029,F2,20251012,20251012,081100,BILLUSER,0000103521,0000103521,2000,0,EUR,,,B
9000000030,F2,20251028,20251028,154400,BILLUSER,0000100253,0000100253,1000,0,USD,,,A
9000000031,F2,20251002,20251002,140200,BILLUSER,0000103276,0000103276,1000,0,USD,,,B
9000000032,F2,20251018,20251018,105600,BILLUSER,0000102721,0000102721,2000,0,EUR,,,A
9000000033,F2,20251031,20251031,114800,BILLUSER,0000101385,0000101385,2000,0,EUR,,,A
9000000034,F2,20251026,20251026,085600,BILLUSER,0000104373,0000104373,1000,0,USD,,,B
9000000035,F8,20251015,20251015,120100,BILLUSER,0000103213,0000103213,1000,0,USD,,,A
9000000036,F2,20251023,20251023,104300,BILLUSER,0000101667,0000101667,1000,0,USD,,,C
9000000037,F2,20251027,20251027,175700,BILLUSER,0000101811,0000101811,3000,0,EUR,,,A
9000000038,F8,20251009,20251009,132300,BILLUSER,0000103891,0000103891,1000,0,USD,,,A
9000000039,F2,20251011,20251011,104500,BILLUSER,0000102203,0000102203,1000,0,USD,,,A
9000000040,F2,20251011,20251011,170700,BILLUSER,0000101108,0000101108,2000,0,EUR,,,A
9000000041,F2,20251002,20251002,174300,BILLUSER,0000104772,0000104772,1000,0,USD,,,A
9000000042,F2,20251007,20251007,113200,BILLUSER,0000103720,0000103720,1000,0,USD,,,A
9000000043,F2,20251005,20251005,163200,BILLUSER,0000104994,0000104994,2000,0,EUR,,,A
9000000044,F2,20251002,20251002,130500,BILLUSER,0000100465,0000100465,1000,0,USD,,,A
9000000045,F8,20251017,20251017,111400,BILLUSER,0000102782,0000102782,1000,0,USD,,,A
9000000046,F2,20251009,20251009,103800,BILLUSER,0000101957,0000101957,1000,0,USD,,,A
9000000047,F2,20251018,20251018,091700,BILLUSER,0000102025,0000102025,1000,0,USD,,,A
9000000048,F2,20251001,20251001,080800,BILLUSER,0000103165,0000103165,3000,0,EUR,,,A
9000000049,F8,20251031,20251031,134900,BILLUSER,0000100265,0000100265,1000,0,USD,,,A
9000000050,F2,20251009,20251009,125500,BILLUSER,0000102500,0000102500,1000,0,USD,,,A
9000000051,F2,20251025,20251025,084200,BILLUSER,0000101446,0000101446,1000,0,USD,,,A
9000000052,F2,20251020,20251020,150900,BILLUSER,0000102391,0000102391,3000,0,EUR,,,A
9000000053,F2,20251005,20251005,081300,BILLUSER,0000103366,0000103366,2000,0,EUR,,,B
9000000054,F2,20251013,20251013,082500,BILLUSER,0000100648,0000100648,1000,0,USD,,,A
9000000055,F2,20250930,20250930,115700,BILLUSER,0000102154,0000102154,1000,0,USD,,,C
9000000056,F2,20251006,20251006,154400,BILLUSER,0000102467,0000102467,1000,0,USD,,,A
9000000057,F2,20251030,20251030,170700,BILLUSER,0000101321,0000101321,1000,0,USD,,,B
9000000058,F2,20251023,20251023,173000,BILLUSER,0000101552,0000101552,1000,0,USD,,,A
9000000059,F8,20251021,20251021,082500,BILLUSER,0000103723,0000103723,1000,0,USD,,,A
9000000060,F2,20251018,20251018,093900,BILLUSER,0000101292,0000101292,2000,0,EUR,,,A
9000000061,F2,20251014,20251014,122500,BILLUSER,0000103706,0000103706,1000,0,USD,,,C
9000000062,F2,20251020,20251020,123900,BILLUSER,0000101948,0000101948,2000,0,EUR,,,A
9000000063,F2,20251025,20251025,125300,BILLUSER,0000101155,0000101155,1000,0,USD,,,C
9000000064,F2,20250929,20250929,103100,BILLUSER,0000102090,0000102090,1000,0,USD,,,A
9000000065,F2,20251013,20251013,104100,BILLUSER,0000103930,0000103930,1000,0,USD,,,A
9000000066,F2,20251031,20251031,145200,BILLUSER,0000101417,0000101417,1000,0,USD,,,B
9000000067,F2,20251028,20251028,175800,BILLUSER,0000101732,0000101732,1000,0,USD,,,C
9000000068,F2,20251018,20251018,155800,BILLUSER,0000102928,0000102928,1000,0,USD,,,A
9000000069,F2,20251029,20251029,170100,BILLUSER,0000102415,0000102415,2000,0,EUR,,,A
9000000070,F2,20251003,20251003,151900,BILLUSER,0000100108,0000100108,1000,0,USD,,,C
9000000071,F2,20251013,20251013,100000,BILLUSER,0000103795,0000103795,1000,0,USD,,,B
9000000072,F2,20251021,20251021,104300,BILLUSER,0000100251,0000100251,2000,0,EUR,,,A
9000000073,F2,20251019,20251019,092600,BILLUSER,0000102534,0000102534,3000,0,EUR,,,B
9000000074,F2,20251011,20251011,134200,BILLUSER,0000100708,0000100708,2000,0,EUR,,,A
9000000075,F2,20251002,20251002,172600,BILLUSER,0000101355,0000101355,1000,0,USD,,,C
9000000076,F2,20251022,20251022,162300,BILLUSER,0000102259,0000102259,2000,0,EUR,,,A
9000000077,F2,20251101,20251101,151700,BILLUSER,0000103133,0000103133,1000,0,USD,,,C
9000000078,F2,20251001,20251001,142700,BILLUSER,0000102334,0000102334,1000,0,USD,,,B
9000000079,F2,20251014,20251014,142000,BILLUSER,0000102257,0000102257,2000,0,EUR,,,A
9000000080,F2,20251023,20251023,103900,BILLUSER,0000100089,0000100089,1000,0,USD,,,C
9000000081,F2,20251015,20251015,114300,BILLUSER,0000102536,0000102536,2000,0,EUR,,,A
9000000082,F2,20251003,20251003,101200,BILLUSER,0000101482,0000101482,1000,0,USD,,,A
9000000083,F2,20251026,20251026,093900,BILLUSER,0000104565,0000104565,2000,0,EUR,,,A
9000000084,F2,20251030,20251030,172500,BILLUSER,0000104559,0000104559,1000,0,USD,,,B
9000000085,F2,20251019,20251019,154400,BILLUSER,0000100394,0000100394,1000,0,USD,,,A
9000000086,F2,20251020,20251020,161300,BILLUSER,0000104370,0000104370,1000,0,USD,,,A
9000000087,F2,20251016,20251016,105800,BILLUSER,0000102336,0000102336,2000,0,EUR,,,A
9000000088,F2,20251017,20251017,082300,BILLUSER,0000102937,0000102937,1000,0,USD,,,A
9000000089,F8,20251007,20251007,130900,BILLUSER,0000104258,0000104258,1000,0,USD,,,C
9000000090,F2,20250930,20250930,134000,BILLUSER,0000100330,0000100330,2000,0,EUR,,,A
9000000091,F2,20251023,20251023,094300,BILLUSER,0000101272,0000101272,2000,0,EUR,,,A
9000000092,F2,20251023,20251023,103200,BILLUSER,0000100254,0000100254,1000,0,USD,,,A
9000000093,F2,20251006,20251006,084300,BILLUSER,0000101894,0000101894,1000,0,USD,,,A
9000000094,F2,20251006,20251006,142800,BILLUSER,0000103162,0000103162,1000,0,USD,,,A
9000000095,F2,20251002,20251002,142000,BILLUSER,0000100376,0000100376,1000,0,USD,,,B
9000000096,F2,20251010,20251010,082500,BILLUSER,0000102699,0000102699,1000,0,USD,,,A
9000000097,F2,20251028,20251028,090900,BILLUSER,0000103428,0000103428,3000,0,EUR,,,A
9000000098,F2,20251006,20251006,083200,BILLUSER,0000100632,0000100632,1000,0,USD,,,A
9000000099,F2,20251016,20251016,105900,BILLUSER,0000103567,0000103567,1000,0,USD,,,A
9000000100,F2,20251015,20251015,160500,BILLUSER,0000104874,0000104874,2000,0,EUR,,,A
9000000101,F2,20251009,20251009,105200,BILLUSER,0000102168,0000102168,1000,0,USD,,,A
9000000102,F8,20251025,20251025,153300,BILLUSER,0000100444,0000100444,1000,0,USD,,,C
9000000103,F2,20251030,20251030,131000,BILLUSER,0000103641,0000103641,2000,0,EUR,,,A
9000000104,F2,20251018,20251018,171200,BILLUSER,0000103489,0000103489,2000,0,EUR,,,A
9000000105,F2,20251026,20251026,162200,BILLUSER,0000101500,0000101500,1000,0,USD,,,B
9000000106,F2,20251005,20251005,152000,BILLUSER,0000102845,0000102845,1000,0,USD,,,A
9000000107,F2,20251017,20251017,175000,BILLUSER,0000102630,0000102630,1000,0,USD,,,A
9000000108,F2,20251022,20251022,134100,BILLUSER,0000103987,0000103987,1000,0,USD,,,B
9000000109,F2,20250930,20250930,113000,BILLUSER,0000101966,0000101966,1000,0,USD,,,B
9000000110,F2,20251020,20251020,111200,BILLUSER,0000100737,0000100737,2000,0,EUR,,,A
9000000111,F8,20251029,20251029,122300,BILLUSER,0000101889,0000101889,1000,0,USD,,,C
9000000112,F2,20251002,20251002,125700,BILLUSER,0000102149,0000102149,2000,0,EUR,,,A
9000000113,F2,20251001,20251001,083400,BILLUSER,0000104479,0000104479,2000,0,EUR,,,A
9000000114,F2,20251031,20251031,113300,BILLUSER,0000101079,0000101079,1000,0,USD,,,A
9000000115,F2,20251008,20251008,154400,BILLUSER,0000102312,0000102312,3000,0,EUR,,,A
9000000116,F2,20251011,20251011,152700,BILLUSER,0000101563,0000101563,2000,0,EUR,,,B
9000000117,F2,20251026,20251026,160000,BILLUSER,0000104268,0000104268,1000,0,USD,,,A
9000000118,F2,20251016,20251016,105600,BILLUSER,0000103063,0000103063,1000,0,USD,,,A
9000000119,F2,20250930,20250930,115200,BILLUSER,0000103270,0000103270,1000,0,USD,,,C
9000000120,F2,20251019,20251019,081700,BILLUSER,0000104373,0000104373,1000,0,USD,,,A
9000000121,F2,20251013,20251013,105500,BILLUSER,0000102341,0000102341,1000,0,USD,,,A
9000000122,F2,20251021,20251021,152200,BILLUSER,0000102697,0000102697,1000,0,USD,,,B
9000000123,F2,20251027,20251027,115900,BILLUSER,0000101345,0000101345,1000,0,USD,,,A
9000000124,F2,20251020,20251020,154700,BILLUSER,0000100274,0000100274,1000,0,USD,,,B
9000000125,F2,20251007,20251007,095200,BILLUSER,0000101890,0000101890,1000,0,USD,,,A
9000000126,F2,20251005,20251005,150700,BILLUSER,0000100182,0000100182,1000,0,USD,,,B
9000000127,F2,20250929,20250929,121200,BILLUSER,0000100292,0000100292,2000,0,EUR,,,B
9000000128,F2,20251010,20251010,132700,BILLUSER,0000100572,0000100572,3000,0,EUR,,,A
9000000129,F2,20251013,20251013,155200,BILLUSER,0000103631,0000103631,1000,0,USD,,,A
9000000130,F2,20251029,20251029,101400,BILLUSER,0000103785,0000103785,3000,0,EUR,,,B
9000000131,F2,20251016,20251016,124000,BILLUSER,0000104075,0000104075,3000,0,EUR,,,A
9000000132,F2,20251012,20251012,120100,BILLUSER,0000101980,0000101980,2000,0,EUR,,,B
9000000133,F2,20251003,20251003,134100,BILLUSER,0000100348,0000100348,1000,0,USD,,,A
9000000134,F2,20251021,20251021,140700,BILLUSER,0000104429,0000104429,2000,0,EUR,,,A
9000000135,F2,20251024,20251024,111900,BILLUSER,0000104218,0000104218,2000,0,EUR,,,B
9000000136,F2,20251027,20251027,125100,BILLUSER,0000101671,0000101671,1000,0,USD,,,A
9000000137,F2,20251025,20251025,104700,BILLUSER,0000102433,0000102433,1000,0,USD,,,B
9000000138,F2,20251028,20251028,142700,BILLUSER,0000102051,0000102051,3000,0,EUR,,,A
9000000139,F2,20251015,20251015,113100,BILLUSER,0000101578,0000101578,1000,0,USD,,,A
9000000140,F2,20251006,20251006,124900,BILLUSER,0000104586,0000104586,1000,0,USD,,,A
9000000141,F2,20250930,20250930,123700,BILLUSER,0000103844,0000103844,1000,0,USD,,,A
9000000142,F2,20251012,20251012,100000,BILLUSER,0000100488,0000100488,1000,0,USD,,,A
9000000143,F2,20251015,20251015,082200,BILLUSER,0000102726,0000102726,2000,0,EUR,,,C
9000000144,F2,20250930,20250930,120300,BILLUSER,0000101961,0000101961,1000,0,USD,,,B
9000000145,F2,20251016,20251016,150800,BILLUSER,0000103269,0000103269,1000,0,USD,,,A
9000000146,F2,20251010,20251010,155800,BILLUSER,0000103870,0000103870,1000,0,USD,,,A
9000000147,F8,20251003,20251003,162200,BILLUSER,0000100198,0000100198,1000,0,USD,,,A
9000000148,F2,20251023,20251023,085600,BILLUSER,0000104682,0000104682,2000,0,EUR,,,A
9000000149,F2,20251024,20251024,125800,BILLUSER,0000100752,0000100752,1000,0,USD,,,A
9000000150,F2,20251023,20251023,094100,BILLUSER,0000104278,0000104278,2000,0,EUR,,,A
9000000151,F2,20251024,20251024,144200,BILLUSER,0000101154,0000101154,1000,0,USD,,,A
9000000152,F2,20251027,20251027,100800,BILLUSER,0000104657,0000104657,2000,0,EUR,,,A
9000000153,F2,20251013,20251013,175600,BILLUSER,0000100885,0000100885,1000,0,USD,,,A
9000000154,F2,20251023,20251023,122400,BILLUSER,0000101630,0000101630,1000,0,USD,,,A
9000000155,F2,20251026,20251026,171400,BILLUSER,0000101341,0000101341,1000,0,USD,,,A
9000000156,F2,20251004,20251004,164000,BILLUSER,0000101757,0000101757,1000,0,USD,,,A
9000000157,F2,20251008,20251008,100900,BILLUSER,0000104020,0000104020,1000,0,USD,,,A
9000000158,F2,20251009,20251009,152900,BILLUSER,0000104639,0000104639,2000,0,EUR,,,A
9000000159,F2,20251024,20251024,113500,BILLUSER,0000100266,0000100266,1000,0,USD,,,A
9000000160,F2,20251023,20251023,133500,BILLUSER,0000103487,0000103487,1000,0,USD,,,B
9000000161,F8,20251031,20251031,141300,BILLUSER,0000101593,0000101593,2000,0,EUR,,,A
9000000162,F2,20251015,20251015,135500,BILLUSER,0000102189,0000102189,2000,0,EUR,,,A
9000000163,F2,20251025,20251025,174200,BILLUSER,0000100841,0000100841,1000,0,USD,,,A
9000000164,F2,20250930,20250930,083300,BILLUSER,0000101359,0000101359,1000,0,USD,,,A
9000000165,F2,20251024,20251024,130900,BILLUSER,0000100271,0000100271,1000,0,USD,,,A
9000000166,F2,20251012,20251012,141700,BILLUSER,0000102523,0000102523,1000,0,USD,,,A
9000000167,F2,20251009,20251009,141600,BILLUSER,0000102369,0000102369,1000,0,USD,,,A
9000000168,F2,20251017,20251017,161700,BILLUSER,0000101061,0000101061,1000,0,USD,,,A
9000000169,F2,20251020,20251020,124300,BILLUSER,0000100191,0000100191,1000,0,USD,,,B
9000000170,F2,20251015,20251015,172000,BILLUSER,0000102754,0000102754,2000,0,EUR,,,A
9000000171,F2,20251011,20251011,133600,BILLUSER,0000103578,0000103578,1000,0,USD,,,A
9000000172,F2,20251025,20251025,093900,BILLUSER,0000101479,0000101479,3000,0,EUR,,,A
9000000173,F2,20251016,20251016,134800,BILLUSER,0000102573,0000102573,1000,0,USD,,,A
9000000174,F2,20251013,20251013,172400,BILLUSER,0000104533,0000104533,1000,0,USD,,,A
9000000175,F2,20251023,20251023,164900,BILLUSER,0000101838,0000101838,2000,0,EUR,,,A
9000000176,F2,20251029,20251029,135600,BILLUSER,0000103351,0000103351,1000,0,USD,,,A
9000000177,F2,20250930,20250930,163700,BILLUSER,0000102152,0000102152,1000,0,USD,,,B
9000000178,F2,20251019,20251019,094600,BILLUSER,0000101434,0000101434,2000,0,EUR,,,C
9000000179,F2,20251009,20251009,172900,BILLUSER,0000102925,0000102925,1000,0,USD,,,A
9000000180,F2,20251019,20251019,125500,BILLUSER,0000100294,0000100294,1000,0,USD,,,A
9000000181,F2,20251019,20251019,155300,BILLUSER,0000100576,0000100576,1000,0,USD,,,A
9000000182,F2,20251020,20251020,170600,BILLUSER,0000100844,0000100844,1000,0,USD,,,A
9000000183,F2,20251023,20251023,145400,BILLUSER,0000103363,0000103363,1000,0,USD,,,A
9000000184,F2,20251008,20251008,151100,BILLUSER,0000100087,0000100087,3000,0,EUR,,,A
9000000185,F2,20251011,20251011,101800,BILLUSER,0000101220,0000101220,1000,0,USD,,,A
9000000186,F2,20251013,20251013,171700,BILLUSER,0000103708,0000103708,2000,0,EUR,,,B
9000000187,F2,20251028,20251028,164900,BILLUSER,0000104458,0000104458,1000,0,USD,,,B
9000000188,F2,20251022,20251022,084400,BILLUSER,0000101370,0000101370,3000,0,EUR,,,A
9000000189,F2,20251016,20251016,095000,BILLUSER,0000103501,0000103501,2000,0,EUR,,,C
9000000190,F2,20251004,20251004,134400,BILLUSER,0000101756,0000101756,2000,0,EUR,,,A
9000000191,F2,20251017,20251017,150200,BILLUSER,0000103927,0000103927,2000,0,EUR,,,B
9000000192,F2,20251011,20251011,131300,BILLUSER,0000104700,0000104700,2000,0,EUR,,,A
9000000193,F2,20251023,20251023,085100,BILLUSER,0000101836,0000101836,1000,0,USD,,,A
9000000194,F2,20251023,20251023,141000,BILLUSER,0000103523,0000103523,2000,0,EUR,,,A
9000000195,F2,20251009,20251009,123800,BILLUSER,0000101386,0000101386,1000,0,USD,,,A
9000000196,F8,20251006,20251006,164100,BILLUSER,0000100120,0000100120,1000,0,USD,,,B
9000000197,F2,20250927,20250927,134400,BILLUSER,0000100178,0000100178,1000,0,USD,,,A
9000000198,F2,20251012,20251012,092000,BILLUSER,0000101740,0000101740,1000,0,USD,,,C
9000000199,F2,20251007,20251007,114300,BILLUSER,0000101165,0000101165,1000,0,USD,,,A
9000000200,F2,20251008,20251008,173400,BILLUSER,0000102320,0000102320,1000,0,USD,,,A
9000000201,F2,20251005,20251005,151100,BILLUSER,0000101849,0000101849,1000,0,USD,,,C
9000000202,F2,20251102,20251102,161900,BILLUSER,0000101590,0000101590,1000,0,USD,,,A
9000000203,F2,20251014,20251014,134300,BILLUSER,0000104046,0000104046,2000,0,EUR,,,B
9000000204,F2,20251009,20251009,082800,BILLUSER,0000103874,0000103874,1000,0,USD,,,C
9000000205,F2,20251012,20251012,125300,BILLUSER,0000100144,0000100144,1000,0,USD,,,A
9000000206,F2,20251029,20251029,085700,BILLUSER,0000103259,0000103259,2000,0,EUR,,,A
9000000207,F2,20251007,20251007,123600,BILLUSER,0000102191,0000102191,2000,0,EUR,,,B
9000000208,F2,20251013,20251013,140200,BILLUSER,0000102832,0000102832,2000,0,EUR,,,B
9000000209,F2,20251016,20251016,163300,BILLUSER,0000102330,0000102330,2000,0,EUR,,,A
9000000210,F2,20251011,20251011,081900,BILLUSER,0000104981,0000104981,1000,0,USD,,,C
9000000211,F2,20251019,20251019,174300,BILLUSER,0000100977,0000100977,1000,0,USD,,,A
9000000212,F2,20251006,20251006,092100,BILLUSER,0000101091,0000101091,1000,0,USD,,,A
9000000213,F2,20251018,20251018,115400,BILLUSER,0000100600,0000100600,1000,0,USD,,,A
9000000214,F2,20251010,20251010,084400,BILLUSER,0000102460,0000102460,2000,0,EUR,,,A
9000000215,F2,20251022,20251022,103300,BILLUSER,0000104142,0000104142,1000,0,USD,,,A
9000000216,F2,20251015,20251015,151000,BILLUSER,0000103829,0000103829,1000,0,USD,,,A
9000000217,F2,20251014,20251014,155700,BILLUSER,0000102381,0000102381,2000,0,EUR,,,A
9000000218,F8,20251016,20251016,133800,BILLUSER,0000102292,0000102292,3000,0,EUR,,,A
9000000219,F2,20251016,20251016,131600,BILLUSER,0000104385,0000104385,1000,0,USD,,,A
9000000220,F2,20251020,20251020,085900,BILLUSER,0000101423,0000101423,2000,0,EUR,,,A
9000000221,F2,20251025,20251025,171800,BILLUSER,0000103617,0000103617,1000,0,USD,,,A
9000000222,F2,20251103,20251103,164800,BILLUSER,0000101055,0000101055,1000,0,USD,,,A
9000000223,F2,20251015,20251015,152200,BILLUSER,0000101160,0000101160,1000,0,USD,,,A
9000000224,F2,20251027,20251027,132100,BILLUSER,0000101123,0000101123,1000,0,USD,,,A
9000000225,F2,20251019,20251019,085300,BILLUSER,0000103874,0000103874,1000,0,USD,,,C
9000000226,F2,20251027,20251027,130600,BILLUSER,0000100083,0000100083,1000,0,USD,,,B
9000000227,F2,20251024,20251024,170400,BILLUSER,0000102576,0000102576,1000,0,USD,,,A
9000000228,F8,20251023,20251023,155900,BILLUSER,0000104110,0000104110,1000,0,USD,,,B
9000000229,F2,20251008,20251008,101400,BILLUSER,0000103627,0000103627,2000,0,EUR,,,B
9000000230,F2,20251015,20251015,121000,BILLUSER,0000101304,0000101304,2000,0,EUR,,,A
9000000231,F2,20250930,20250930,094200,BILLUSER,0000102088,0000102088,1000,0,USD,,,A
9000000232,F2,20251010,20251010,151100,BILLUSER,0000104769,0000104769,2000,0,EUR,,,A
9000000233,F2,20250930,20250930,165100,BILLUSER,0000100403,0000100403,1000,0,USD,,,A
9000000234,F2,20251019,20251019,100500,BILLUSER,0000103360,0000103360,1000,0,USD,,,A
9000000235,F2,20251005,20251005,124300,BILLUSER,0000100889,0000100889,1000,0,USD,,,A
9000000236,F2,20251022,20251022,123300,BILLUSER,0000103450,0000103450,1000,0,USD,,,A
9000000237,F2,20251017,20251017,090100,BILLUSER,0000104177,0000104177,1000,0,USD,,,A
9000000238,F2,20251018,20251018,161400,BILLUSER,0000102127,0000102127,1000,0,USD,,,A
9000000239,F2,20251004,20251004,102700,BILLUSER,0000103586,0000103586,1000,0,USD,,,B
9000000240,F2,20251006,20251006,152300,BILLUSER,0000104940,0000104940,2000,0,EUR,,,A
9000000241,F2,20251014,20251014,141500,BILLUSER,0000102219,0000102219,1000,0,USD,,,A
9000000242,F2,20251026,20251026,095000,BILLUSER,0000102108,0000102108,2000,0,EUR,,,A
9000000243,F2,20251006,20251006,151100,BILLUSER,0000103849,0000103849,1000,0,USD,,,A
9000000244,F2,20251101,20251101,101900,BILLUSER,0000101288,0000101288,3000,0,EUR,,,B
9000000245,F2,20251023,20251023,122000,BILLUSER,0000104195,0000104195,1000,0,USD,,,A
9000000246,F2,20251005,20251005,115300,BILLUSER,0000104091,0000104091,2000,0,EUR,,,A
9000000247,F2,20251025,20251025,083700,BILLUSER,0000102961,0000102961,1000,0,USD,,,B
9000000248,F2,20251005,20251005,082000,BILLUSER,0000104698,0000104698,1000,0,USD,,,A
9000000249,F2,20251018,20251018,115100,BILLUSER,0000101728,0000101728,1000,0,USD,,,B
9000000250,F2,20251028,20251028,084100,BILLUSER,0000100972,0000100972,2000,0,EUR,,,A
9000000251,F2,20251026,20251026,132500,BILLUSER,0000101988,0000101988,1000,0,USD,,,A
9000000252,F8,20251007,20251007,161400,BILLUSER,0000100630,0000100630,3000,0,EUR,,,A
9000000253,F2,20251014,20251014,101400,BILLUSER,0000100234,0000100234,1000,0,USD,,,A
9000000254,F2,20251007,20251007,095400,BILLUSER,0000104179,0000104179,1000,0,USD,,,A
9000000255,F2,20251028,20251028,110000,BILLUSER,0000101735,0000101735,1000,0,USD,,,B
9000000256,F2,20251019,20251019,085400,BILLUSER,0000101065,0000101065,1000,0,USD,,,A
9000000257,F2,20251007,20251007,164000,BILLUSER,0000101845,0000101845,3000,0,EUR,,,A
9000000258,F2,20251011,20251011,121000,BILLUSER,0000100381,0000100381,3000,0,EUR,,,B
9000000259,F2,20251016,20251016,132000,BILLUSER,0000101286,0000101286,2000,0,EUR,,,C
9000000260,F2,20250928,20250928,105300,BILLUSER,0000102990,0000102990,1000,0,USD,,,B
9000000261,F2,20251021,20251021,133300,BILLUSER,0000102796,0000102796,2000,0,EUR,,,A
9000000262,F2,20251023,20251023,115600,BILLUSER,0000100443,0000100443,2000,0,EUR,,,A
9000000263,F2,20251015,20251015,152300,BILLUSER,0000102019,0000102019,1000,0,USD,,,B
9000000264,F2,20251005,20251005,093500,BILLUSER,0000100561,0000100561,1000,0,USD,,,A
9000000265,F2,20251010,20251010,080600,BILLUSER,0000102729,0000102729,1000,0,USD,,,A
9000000266,F2,20250929,20250929,153400,BILLUSER,0000100264,0000100264,1000,0,USD,,,A
9000000267,F2,20251019,20251019,134800,BILLUSER,0000104499,0000104499,2000,0,EUR,,,A
9000000268,F2,20251021,20251021,103700,BILLUSER,0000103593,0000103593,2000,0,EUR,,,A
9000000269,F8,20251013,20251013,101500,BILLUSER,0000100126,0000100126,1000,0,USD,,,A
9000000270,F2,20251001,20251001,140700,BILLUSER,0000103324,0000103324,1000,0,USD,,,B
9000000271,F2,20251015,20251015,154800,BILLUSER,0000103956,0000103956,1000,0,USD,,,A
9000000272,F2,20251016,20251016,092700,BILLUSER,0000102951,0000102951,1000,0,USD,,,A
9000000273,F2,20251028,20251028,092900,BILLUSER,0000103914,0000103914,1000,0,USD,,,A
9000000274,F2,20250930,20250930,122800,BILLUSER,0000103049,0000103049,3000,0,EUR,,,A
9000000275,F2,20251010,20251010,121500,BILLUSER,0000100044,0000100044,1000,0,USD,,,A
9000000276,F2,20251017,20251017,092500,BILLUSER,0000101115,0000101115,2000,0,EUR,,,A
9000000277,F2,20251019,20251019,141100,BILLUSER,0000100903,0000100903,1000,0,USD,,,C
9000000278,F2,20250929,20250929,110800,BILLUSER,0000103666,0000103666,3000,0,EUR,,,A
9000000279,F2,20251014,20251014,143500,BILLUSER,0000100394,0000100394,2000,0,EUR,,,A
9000000280,F2,20251006,20251006,110700,BILLUSER,0000101568,0000101568,1000,0,USD,,,A
9000000281,F2,20251102,20251102,123800,BILLUSER,0000104675,0000104675,2000,0,EUR,,,A
9000000282,F2,20250930,20250930,092400,BILLUSER,0000100458,0000100458,2000,0,EUR,,,A
9000000283,F2,20251023,20251023,131400,BILLUSER,0000101549,0000101549,1000,0,USD,,,A
9000000284,F2,20251016,20251016,123200,BILLUSER,0000103056,0000103056,2000,0,EUR,,,A
9000000285,F2,20251015,20251015,141000,BILLUSER,0000104232,0000104232,1000,0,USD,,,A
9000000286,F2,20251029,20251029,155800,BILLUSER,0000102564,0000102564,3000,0,EUR,,,A
