VBELN,POSNR,PARVW,KUNNR,ADRNR,PERNR
0001000018,000000,RE,0000102849,,
0001000018,000000,RG,0000102849,,
0001000018,000000,SP,0000102849,,10000
0001000019,000000,AG,0000104880,,
0001000019,000000,WE,0000104880,,
0001000019,000000,RE,0000104880,,
0001000019,000000,RG,0000104880,,
0001000019,000000,SP,0000104880,,10000
0001000020,000000,AG,0000103573,,
0001000020,000000,WE,0000103573,,
0001000020,000000,RE,0000103573,,
0001000020,000000,RG,0000103573,,
0001000020,000000,SP,0000103573,,10000
0001000021,000000,AG,0000101115,,
0001000021,000000,WE,0000101115,,
0001000021,000000,RE,0000101115,,
0001000021,000000,RG,0000101115,,
0001000021,000000,SP,0000101115,,10000
0001000022,000000,AG,0000103885,,
0001000022,000000,WE,0000103885,,
0001000022,000000,RE,0000103885,,
0001000022,000000,RG,0000103885,,
0001000022,000000,SP,0000103885,,10000
0001000023,000000,AG,0000101886,,
0001000023,000000,WE,0000101886,,
0001000023,000000,RE,0000101886,,
0001000023,000000,RG,0000101886,,
0001000023,000000,SP,0000101886,,10000
0001000024,000000,AG,0000101564,,
0001000024,000000,WE,0000101564,,
0001000024,000000,RE,0000101564,,
0001000024,000000,RG,0000101564,,
0001000024,000000,SP,0000101564,,10000
0001000025,000000,AG,0000104014,,
0001000025,000000,WE,0000104014,,
0001000025,000000,RE,0000104014,,
0001000025,000000,RG,0000104014,,
0001000025,000000,SP,0000104014,,10000
0001000026,000000,AG,0000102533,,
0001000026,000000,WE,0000102533,,
0001000026,000000,RE,0000102533,,
0001000026,000000,RG,0000102533,,
0001000026,000000,SP,0000102533,,10000
0001000027,000000,AG,0000101842,,
0001000027,000000,WE,0000101842,,
0001000027,000000,RE,0000101842,,
0001000027,000000,RG,0000101842,,
0001000027,000000,SP,0000101842,,10000
0001000028,000000,AG,0000100283,,
0001000028,000000,WE,0000100283,,
0001000028,000000,RE,0000100283,,
0001000028,000000,RG,0000100283,,
0001000028,000000,SP,0000100283,,10000
0001000029,000000,AG,0000101965,,
0001000029,000000,WE,0000101965,,
0001000029,000000,RE,0000101965,,
0001000029,000000,RG,0000101965,,
0001000029,000000,SP,0000101965,,10000
0001000030,000000,AG,0000100193,,
0001000030,000000,WE,0000100193,,
0001000030,000000,RE,0000100193,,
0001000030,000000,RG,0000100193,,
0001000030,000000,SP,0000100193,,10000
0001000031,000000,AG,0000102505,,
0001000031,000000,WE,0000102505,,
0001000031,000000,RE,0000102505,,
0001000031,000000,RG,0000102505,,
0001000031,000000,SP,0000102505,,10000
0001000032,000000,AG,0000103491,,
0001000032,000000,WE,0000103491,,
0001000032,000000,RE,0000103491,,
0001000032,000000,RG,0000103491,,
0001000032,000000,SP,0000103491,,10000
0001000033,000000,AG,0000103148,,
0001000033,000000,WE,0000103148,,
0001000033,000000,RE,0000103148,,
0001000033,000000,RG,0000103148,,
0001000033,000000,SP,0000103148,,10000
0001000034,000000,AG,0000100493,,
0001000034,000000,WE,0000100493,,
0001000034,000000,RE,0000100493,,
0001000034,000000,RG,0000100493,,
0001000034,000000,SP,0000100493,,10000
0001000035,000000,AG,0000100403,,
0001000035,000000,WE,0000100403,,
0001000035,000000,RE,0000100403,,
0001000035,000000,RG,0000100403,,
0001000035,000000,SP,0000100403,,10000
0001000036,000000,AG,0000102843,,
0001000036,000000,WE,0000102843,,
0001000036,000000,RE,0000102843,,
0001000036,000000,RG,0000102843,,
0001000036,000000,SP,0000102843,,10000
0001000037,000000,AG,0000102825,,
0001000037,000000,WE,0000102825,,
0001000037,000000,RE,0000102825,,
0001000037,000000,RG,0000102825,,
0001000037,000000,SP,0000102825,,10000
0001000038,000000,AG,0000101943,,
0001000038,000000,WE,0000101943,,
0001000038,000000,RE,0000101943,,
0001000038,000000,RG,0000101943,,
0001000038,000000,SP,0000101943,,10000
0001000039,000000,AG,0000104598,,
0001000039,000000,WE,0000104598,,
0001000039,000000,RE,0000104598,,
0001000039,000000,RG,0000104598,,
0001000039,000000,SP,0000104598,,10000
0001000040,000000,AG,0000101418,,
0001000040,000000,WE,0000101418,,
0001000040,000000,RE,0000101418,,
0001000040,000000,RG,0000101418,,
0001000040,000000,SP,0000101418,,10000
0001000041,000000,AG,0000104051,,
0001000041,000000,WE,0000104051,,
0001000041,000000,RE,0000104051,,
0001000041,000000,RG,0000104051,,
0001000041,000000,SP,0000104051,,10000
0001000042,000000,AG,0000101296,,
0001000042,000000,WE,0000101296,,
0001000042,000000,RE,0000101296,,
0001000042,000000,RG,0000101296,,
0001000042,000000,SP,0000101296,,10000
0001000043,000000,AG,0000101956,,
0001000043,000000,WE,0000101956,,
0001000043,000000,RE,0000101956,,
0001000043,000000,RG,0000101956,,
0001000043,000000,SP,0000101956,,10000
0001000044,000000,AG,0000102968,,
0001000044,000000,WE,0000102968,,
0001000044,000000,RE,0000102968,,
0001000044,000000,RG,0000102968,,
0001000044,000000,SP,0000102968,,10000
0001000045,000000,AG,0000103200,,
0001000045,000000,WE,0000103200,,
0001000045,000000,RE,0000103200,,
0001000045,000000,RG,0000103200,,
0001000045,000000,SP,0000103200,,10000
0001000046,000000,AG,0000101797,,
0001000046,000000,WE,0000101797,,
0001000046,000000,RE,0000101797,,
0001000046,000000,RG,0000101797,,
0001000046,000000,SP,0000101797,,10000
0001000047,000000,AG,0000104596,,
0001000047,000000,WE,0000104596,,
0001000047,000000,RE,0000104596,,
0001000047,000000,RG,0000104596,,
0001000047,000000,SP,0000104596,,10000
0001000048,000000,AG,0000100644,,
0001000048,000000,WE,0000100644,,
0001000048,000000,RE,0000100644,,
0001000048,000000,RG,0000100644,,
0001000048,000000,SP,0000100644,,10000
0001000049,000000,AG,0000103767,,
0001000049,000000,WE,0000103767,,
0001000049,000000,RE,0000103767,,
0001000049,000000,RG,0000103767,,
0001000049,000000,SP,0000103767,,10000
0001000050,000000,AG,0000100877,,
0001000050,000000,WE,0000100877,,
0001000050,000000,RE,0000100877,,
0001000050,000000,RG,0000100877,,
0001000050,000000,SP,0000100877,,10000
0001000051,000000,AG,0000102841,,
0001000051,000000,WE,0000102841,,
0001000051,000000,RE,0000102841,,
0001000051,000000,RG,0000102841,,
0001000051,000000,SP,0000102841,,10000
0001000052,000000,AG,0000102518,,
0001000052,000000,WE,0000102518,,
0001000052,000000,RE,0000102518,,
0001000052,000000,RG,0000102518,,
0001000052,000000,SP,0000102518,,10000
0001000053,000000,AG,0000102696,,
0001000053,000000,WE,0000102696,,
0001000053,000000,RE,0000102696,,
0001000053,000000,RG,0000102696,,
0001000053,000000,SP,0000102696,,10000
0001000054,000000,AG,0000100737,,
0001000054,000000,WE,0000100737,,
0001000054,000000,RE,0000100737,,
0001000054,000000,RG,0000100737,,
0001000054,000000,SP,0000100737,,10000
0001000055,000000,AG,0000101018,,
0001000055,000000,WE,0000101018,,
0001000055,000000,RE,0000101018,,
0001000055,000000,RG,0000101018,,
0001000055,000000,SP,0000101018,,10000
0001000056,000000,AG,0000103681,,
0001000056,000000,WE,0000103681,,
0001000056,000000,RE,0000103681,,
0001000056,000000,RG,0000103681,,
0001000056,000000,SP,0000103681,,10000
0001000057,000000,AG,0000103707,,
0001000057,000000,WE,0000103707,,
0001000057,000000,RE,0000103707,,
0001000057,000000,RG,0000103707,,
0001000057,000000,SP,0000103707,,10000
0001000058,000000,AG,0000102620,,
0001000058,000000,WE,0000102620,,
0001000058,000000,RE,0000102620,,
0001000058,000000,RG,0000102620,,
0001000058,000000,SP,0000102620,,10000
0001000059,000000,AG,0000104287,,
0001000059,000000,WE,0000104287,,
0001000059,000000,RE,0000104287,,
0001000059,000000,RG,0000104287,,
0001000059,000000,SP,0000104287,,10000
0001000060,000000,AG,0000102904,,
0001000060,000000,WE,0000102904,,
0001000060,000000,RE,0000102904,,
0001000060,000000,RG,0000102904,,
0001000060,000000,SP,0000102904,,10000
0001000061,000000,AG,0000104001,,
0001000061,000000,WE,0000104001,,
0001000061,000000,RE,0000104001,,
0001000061,000000,RG,0000104001,,
0001000061,000000,SP,0000104001,,10000
0001000062,000000,AG,0000102626,,
0001000062,000000,WE,0000102626,,
0001000062,000000,RE,0000102626,,
0001000062,000000,RG,0000102626,,
0001000062,000000,SP,0000102626,,10000
0001000063,000000,AG,0000101184,,
0001000063,000000,WE,0000101184,,
0001000063,000000,RE,0000101184,,
0001000063,000000,RG,0000101184,,
0001000063,000000,SP,0000101184,,10000
0001000064,000000,AG,0000102904,,
0001000064,000000,WE,0000102904,,
0001000064,000000,RE,0000102904,,
0001000064,000000,RG,0000102904,,
0001000064,000000,SP,0000102904,,10000
0001000065,000000,AG,0000101553,,
0001000065,000000,WE,0000101553,,
0001000065,000000,RE,0000101553,,
0001000065,000000,RG,0000101553,,
0001000065,000000,SP,0000101553,,10000
0001000066,000000,AG,0000103567,,
0001000066,000000,WE,0000103567,,
0001000066,000000,RE,0000103567,,
0001000066,000000,RG,0000103567,,
0001000066,000000,SP,0000103567,,10000
0001000067,000000,AG,0000103199,,
0001000067,000000,WE,0000103199,,
0001000067,000000,RE,0000103199,,
0001000067,000000,RG,0000103199,,
0001000067,000000,SP,0000103199,,10000
0001000068,000000,AG,0000102193,,
0001000068,000000,WE,0000102193,,
0001000068,000000,RE,0000102193,,
0001000068,000000,RG,0000102193,,
0001000068,000000,SP,0000102193,,10000
0001000069,000000,AG,0000103050,,
0001000069,000000,WE,0000103050,,
0001000069,000000,RE,0000103050,,
0001000069,000000,RG,0000103050,,
0001000069,000000,SP,0000103050,,10000
0001000070,000000,AG,0000100591,,
0001000070,000000,WE,0000100591,,
0001000070,000000,RE,0000100591,,
0001000070,000000,RG,0000100591,,
0001000070,000000,SP,0000100591,,10000
0001000071,000000,AG,0000101855,,
0001000071,000000,WE,0000101855,,
0001000071,000000,RE,0000101855,,
0001000071,000000,RG,0000101855,,
0001000071,000000,SP,0000101855,,10000
0001000072,000000,AG,0000102326,,
0001000072,000000,WE,0000102326,,
0001000072,000000,RE,0000102326,,
0001000072,000000,RG,0000102326,,
0001000072,000000,SP,0000102326,,10000
0001000073,000000,AG,0000102133,,
0001000073,000000,WE,0000102133,,
0001000073,000000,RE,0000102133,,
0001000073,000000,RG,0000102133,,
0001000073,000000,SP,0000102133,,10000
0001000074,000000,AG,0000101631,,
0001000074,000000,WE,0000101631,,
0001000074,000000,RE,0000101631,,
0001000074,000000,RG,0000101631,,
0001000074,000000,SP,0000101631,,10000
0001000075,000000,AG,0000100053,,
0001000075,000000,WE,0000100053,,
0001000075,000000,RE,0000100053,,
0001000075,000000,RG,0000100053,,
0001000075,000000,SP,0000100053,,10000
0001000076,000000,AG,0000103233,,
0001000076,000000,WE,0000103233,,
0001000076,000000,RE,0000103233,,
0001000076,000000,RG,0000103233,,
0001000076,000000,SP,0000103233,,10000
0001000077,000000,AG,0000104810,,
0001000077,000000,WE,0000104810,,
0001000077,000000,RE,0000104810,,
0001000077,000000,RG,0000104810,,
0001000077,000000,SP,0000104810,,10000
0001000078,000000,AG,0000102052,,
0001000078,000000,WE,0000102052,,
0001000078,000000,RE,0000102052,,
0001000078,000000,RG,0000102052,,
0001000078,000000,SP,0000102052,,10000
0001000079,000000,AG,0000100101,,
0001000079,000000,WE,0000100101,,
0001000079,000000,RE,0000100101,,
0001000079,000000,RG,0000100101,,
0001000079,000000,SP,0000100101,,10000
0001000080,000000,AG,0000104357,,
0001000080,000000,WE,0000104357,,
0001000080,000000,RE,0000104357,,
0001000080,000000,RG,0000104357,,
0001000080,000000,SP,0000104357,,10000
0001000081,000000,AG,0000102154,,
0001000081,000000,WE,0000102154,,
0001000081,000000,RE,0000102154,,
0001000081,000000,RG,0000102154,,
0001000081,000000,SP,0000102154,,10000
0001000082,000000,AG,0000103029,,
0001000082,000000,WE,0000103029,,
0001000082,000000,RE,0000103029,,
0001000082,000000,RG,0000103029,,
0001000082,000000,SP,0000103029,,10000
0001000083,000000,AG,0000104134,,
0001000083,000000,WE,0000104134,,
0001000083,000000,RE,0000104134,,
0001000083,000000,RG,0000104134,,
0001000083,000000,SP,0000104134,,10000
0001000084,000000,AG,0000104945,,
0001000084,000000,WE,0000104945,,
0001000084,000000,RE,0000104945,,
0001000084,000000,RG,0000104945,,
0001000084,000000,SP,0000104945,,10000
0001000085,000000,AG,0000101048,,
0001000085,000000,WE,0000101048,,
0001000085,000000,RE,0000101048,,
0001000085,000000,RG,0000101048,,
0001000085,000000,SP,0000101048,,10000
0001000086,000000,AG,0000101490,,
0001000086,000000,WE,0000101490,,
0001000086,000000,RE,0000101490,,
0001000086,000000,RG,0000101490,,
0001000086,000000,SP,0000101490,,10000
0001000087,000000,AG,0000102034,,
0001000087,000000,WE,0000102034,,
0001000087,000000,RE,0000102034,,
0001000087,000000,RG,0000102034,,
0001000087,000000,SP,0000102034,,10000
0001000088,000000,AG,0000101291,,
0001000088,000000,WE,0000101291,,
0001000088,000000,RE,0000101291,,
0001000088,000000,RG,0000101291,,
0001000088,000000,SP,0000101291,,10000
0001000089,000000,AG,0000102515,,
0001000089,000000,WE,0000102515,,
0001000089,000000,RE,0000102515,,
0001000089,000000,RG,0000102515,,
0001000089,000000,SP,0000102515,,10000
0001000090,000000,AG,0000102845,,
0001000090,000000,WE,0000102845,,
0001000090,000000,RE,0000102845,,
0001000090,000000,RG,0000102845,,
0001000090,000000,SP,0000102845,,10000
0001000091,000000,AG,0000100481,,
0001000091,000000,WE,0000100481,,
0001000091,000000,RE,0000100481,,
0001000091,000000,RG,0000100481,,
0001000091,000000,SP,0000100481,,10000
0001000092,000000,AG,0000103405,,
0001000092,000000,WE,0000103405,,
0001000092,000000,RE,0000103405,,
0001000092,000000,RG,0000103405,,
0001000092,000000,SP,0000103405,,10000
0001000093,000000,AG,0000102545,,
0001000093,000000,WE,0000102545,,
0001000093,000000,RE,0000102545,,
0001000093,000000,RG,0000102545,,
0001000093,000000,SP,0000102545,,10000
0001000094,000000,AG,0000103943,,
0001000094,000000,WE,0000103943,,
0001000094,000000,RE,0000103943,,
0001000094,000000,RG,0000103943,,
0001000094,000000,SP,0000103943,,10000
0001000095,000000,AG,0000102283,,
0001000095,000000,WE,0000102283,,
0001000095,000000,RE,0000102283,,
0001000095,000000,RG,0000102283,,
0001000095,000000,SP,0000102283,,10000
0001000096,000000,AG,0000100983,,
0001000096,000000,WE,0000100983,,
0001000096,000000,RE,0000100983,,
0001000096,000000,RG,0000100983,,
0001000096,000000,SP,0000100983,,10000
0001000097,000000,AG,0000100053,,
0001000097,000000,WE,0000100053,,
0001000097,000000,RE,0000100053,,
0001000097,000000,RG,0000100053,,
0001000097,000000,SP,0000100053,,10000
0001000098,000000,AG,0000102754,,
0001000098,000000,WE,0000102754,,
0001000098,000000,RE,0000102754,,
0001000098,000000,RG,0000102754,,
0001000098,000000,SP,0000102754,,10000
0001000099,000000,AG,0000100464,,
0001000099,000000,WE,0000100464,,
0001000099,000000,RE,0000100464,,
0001000099,000000,RG,0000100464,,
0001000099,000000,SP,0000100464,,10000
0001000100,000000,AG,0000103727,,
0001000100,000000,WE,0000103727,,
0001000100,000000,RE,0000103727,,
0001000100,000000,RG,0000103727,,
0001000100,000000,SP,0000103727,,10000
0001000101,000000,AG,0000103826,,
0001000101,000000,WE,0000103826,,
0001000101,000000,RE,0000103826,,
0001000101,000000,RG,0000103826,,
0001000101,000000,SP,0000103826,,10000
0001000102,000000,AG,0000100509,,
0001000102,000000,WE,0000100509,,
0001000102,000000,RE,0000100509,,
0001000102,000000,RG,0000100509,,
0001000102,000000,SP,0000100509,,10000
0001000103,000000,AG,0000103853,,
0001000103,000000,WE,0000103853,,
0001000103,000000,RE,0000103853,,
0001000103,000000,RG,0000103853,,
0001000103,000000,SP,0000103853,,10000
0001000104,000000,AG,0000104102,,
0001000104,000000,WE,0000104102,,
0001000104,000000,RE,0000104102,,
0001000104,000000,RG,0000104102,,
0001000104,000000,SP,0000104102,,10000
0001000105,000000,AG,0000102656,,
0001000105,000000,WE,0000102656,,
0001000105,000000,RE,0000102656,,
0001000105,000000,RG,0000102656,,
0001000105,000000,SP,0000102656,,10000
0001000106,000000,AG,0000101531,,
0001000106,000000,WE,0000101531,,
0001000106,000000,RE,0000101531,,
0001000106,000000,RG,0000101531,,
0001000106,000000,SP,0000101531,,10000
0001000107,000000,AG,0000101671,,
0001000107,000000,WE,0000101671,,
0001000107,000000,RE,0000101671,,
0001000107,000000,RG,0000101671,,
0001000107,000000,SP,0000101671,,10000
0001000108,000000,AG,0000104470,,
0001000108,000000,WE,0000104470,,
0001000108,000000,RE,0000104470,,
0001000108,000000,RG,0000104470,,
0001000108,000000,SP,0000104470,,10000
0001000109,000000,AG,0000103170,,
0001000109,000000,WE,0000103170,,
0001000109,000000,RE,0000103170,,
0001000109,000000,RG,0000103170,,
0001000109,000000,SP,0000103170,,10000
0001000110,000000,AG,0000100003,,
0001000110,000000,WE,0000100003,,
0001000110,000000,RE,0000100003,,
0001000110,000000,RG,0000100003,,
0001000110,000000,SP,0000100003,,10000
0001000111,000000,AG,0000104360,,
0001000111,000000,WE,0000104360,,
0001000111,000000,RE,0000104360,,
0001000111,000000,RG,0000104360,,
0001000111,000000,SP,0000104360,,10000
0001000112,000000,AG,0000104252,,
0001000112,000000,WE,0000104252,,
0001000112,000000,RE,0000104252,,
0001000112,000000,RG,0000104252,,
0001000112,000000,SP,0000104252,,10000
0001000113,000000,AG,0000101582,,
0001000113,000000,WE,0000101582,,
0001000113,000000,RE,0000101582,,
0001000113,000000,RG,0000101582,,
0001000113,000000,SP,0000101582,,10000
0001000114,000000,AG,0000103361,,
0001000114,000000,WE,0000103361,,
0001000114,000000,RE,0000103361,,
0001000114,000000,RG,0000103361,,
0001000114,000000,SP,0000103361,,10000
0001000115,000000,AG,0000100953,,
0001000115,000000,WE,0000100953,,
0001000115,000000,RE,0000100953,,
0001000115,000000,RG,0000100953,,
0001000115,000000,SP,0000100953,,10000
0001000116,000000,AG,0000103037,,
0001000116,000000,WE,0000103037,,
0001000116,000000,RE,0000103037,,
0001000116,000000,RG,0000103037,,
0001000116,000000,SP,0000103037,,10000
0001000117,000000,AG,0000100838,,
0001000117,000000,WE,0000100838,,
0001000117,000000,RE,0000100838,,
0001000117,000000,RG,0000100838,,
0001000117,000000,SP,0000100838,,10000
0001000118,000000,AG,0000104564,,
0001000118,000000,WE,0000104564,,
0001000118,000000,RE,0000104564,,
0001000118,000000,RG,0000104564,,
0001000118,000000,SP,0000104564,,10000
0001000119,000000,AG,0000102044,,
0001000119,000000,WE,0000102044,,
0001000119,000000,RE,0000102044,,
0001000119,000000,RG,0000102044,,
0001000119,000000,SP,0000102044,,10000
0001000120,000000,AG,0000102159,,
0001000120,000000,WE,0000102159,,
0001000120,000000,RE,0000102159,,
0001000120,000000,RG,0000102159,,
0001000120,000000,SP,0000102159,,10000
0001000121,000000,AG,0000100443,,
0001000121,000000,WE,0000100443,,
0001000121,000000,RE,0000100443,,
0001000121,000000,RG,0000100443,,
0001000121,000000,SP,0000100443,,10000
0001000122,000000,AG,0000104711,,
0001000122,000000,WE,0000104711,,
0001000122,000000,RE,0000104711,,
0001000122,000000,RG,0000104711,,
0001000122,000000,SP,0000104711,,10000
0001000123,000000,AG,0000104366,,
0001000123,000000,WE,0000104366,,
0001000123,000000,RE,0000104366,,
0001000123,000000,RG,0000104366,,
0001000123,000000,SP,0000104366,,10000
0001000124,000000,AG,0000101085,,
0001000124,000000,WE,0000101085,,
0001000124,000000,RE,0000101085,,
0001000124,000000,RG,0000101085,,
0001000124,000000,SP,0000101085,,10000
0001000125,000000,AG,0000104467,,
0001000125,000000,WE,0000104467,,
0001000125,000000,RE,0000104467,,
0001000125,000000,RG,0000104467,,
0001000125,000000,SP,0000104467,,10000
0001000126,000000,AG,0000101468,,
0001000126,000000,WE,0000101468,,
0001000126,000000,RE,0000101468,,
0001000126,000000,RG,0000101468,,
0001000126,000000,SP,0000101468,,10000
0001000127,000000,AG,0000102734,,
0001000127,000000,WE,0000102734,,
0001000127,000000,RE,0000102734,,
0001000127,000000,RG,0000102734,,
0001000127,000000,SP,0000102734,,10000
0001000128,000000,AG,0000104182,,
0001000128,000000,WE,0000104182,,
0001000128,000000,RE,0000104182,,
0001000128,000000,RG,0000104182,,
0001000128,000000,SP,0000104182,,10000
0001000129,000000,AG,0000100817,,
0001000129,000000,WE,0000100817,,
0001000129,000000,RE,0000100817,,
0001000129,000000,RG,0000100817,,
0001000129,000000,SP,0000100817,,10000
0001000130,000000,AG,0000102792,,
0001000130,000000,WE,0000102792,,
0001000130,000000,RE,0000102792,,
0001000130,000000,RG,0000102792,,
0001000130,000000,SP,0000102792,,10000
0001000131,000000,AG,0000104165,,
0001000131,000000,WE,0000104165,,
0001000131,000000,RE,0000104165,,
0001000131,000000,RG,0000104165,,
0001000131,000000,SP,0000104165,,10000
0001000132,000000,AG,0000103451,,
0001000132,000000,WE,0000103451,,
0001000132,000000,RE,0000103451,,
0001000132,000000,RG,0000103451,,
0001000132,000000,SP,0000103451,,10000
0001000133,000000,AG,0000102501,,
0001000133,000000,WE,0000102501,,
0001000133,000000,RE,0000102501,,
0001000133,000000,RG,0000102501,,
0001000133,000000,SP,0000102501,,10000
0001000134,000000,AG,0000101957,,
0001000134,000000,WE,0000101957,,
0001000134,000000,RE,0000101957,,
0001000134,000000,RG,0000101957,,
0001000134,000000,SP,0000101957,,10000
0001000135,000000,AG,0000100360,,
0001000135,000000,WE,0000100360,,
0001000135,000000,RE,0000100360,,
0001000135,000000,RG,0000100360,,
0001000135,000000,SP,0000100360,,10000
0001000136,000000,AG,0000100146,,
0001000136,000000,WE,0000100146,,
0001000136,000000,RE,0000100146,,
0001000136,000000,RG,0000100146,,
0001000136,000000,SP,0000100146,,10000
0001000137,000000,AG,0000104102,,
0001000137,000000,WE,0000104102,,
0001000137,000000,RE,0000104102,,
0001000137,000000,RG,0000104102,,
0001000137,000000,SP,0000104102,,10000
0001000138,000000,AG,0000104897,,
0001000138,000000,WE,0000104897,,
0001000138,000000,RE,0000104897,,
0001000138,000000,RG,0000104897,,
0001000138,000000,SP,0000104897,,10000
0001000139,000000,AG,0000101454,,
0001000139,000000,WE,0000101454,,
0001000139,000000,RE,0000101454,,
0001000139,000000,RG,0000101454,,
0001000139,000000,SP,0000101454,,10000
0001000140,000000,AG,0000101899,,
0001000140,000000,WE,0000101899,,
0001000140,000000,RE,0000101899,,
0001000140,000000,RG,0000101899,,
0001000140,000000,SP,0000101899,,10000
0001000141,000000,AG,0000104759,,
0001000141,000000,WE,0000104759,,
0001000141,000000,RE,0000104759,,
0001000141,000000,RG,0000104759,,
0001000141,000000,SP,0000104759,,10000
0001000142,000000,AG,0000100642,,
0001000142,000000,WE,0000100642,,
0001000142,000000,RE,0000100642,,
0001000142,000000,RG,0000100642,,
0001000142,000000,SP,0000100642,,10000
0001000143,000000,AG,0000101590,,
0001000143,000000,WE,0000101590,,
0001000143,000000,RE,0000101590,,
0001000143,000000,RG,0000101590,,
0001000143,000000,SP,0000101590,,10000
0001000144,000000,AG,0000100511,,
0001000144,000000,WE,0000100511,,
0001000144,000000,RE,0000100511,,
0001000144,000000,RG,0000100511,,
0001000144,000000,SP,0000100511,,10000
0001000145,000000,AG,0000103840,,
0001000145,000000,WE,0000103840,,
0001000145,000000,RE,0000103840,,
0001000145,000000,RG,0000103840,,
0001000145,000000,SP,0000103840,,10000
0001000146,000000,AG,0000100721,,
0001000146,000000,WE,0000100721,,
0001000146,000000,RE,0000100721,,
0001000146,000000,RG,0000100721,,
0001000146,000000,SP,0000100721,,10000
0001000147,000000,AG,0000104885,,
0001000147,000000,WE,0000104885,,
0001000147,000000,RE,0000104885,,
0001000147,000000,RG,0000104885,,
0001000147,000000,SP,0000104885,,10000
0001000148,000000,AG,0000103481,,
0001000148,000000,WE,0000103481,,
0001000148,000000,RE,0000103481,,
0001000148,000000,RG,0000103481,,
0001000148,000000,SP,0000103481,,10000
0001000149,000000,AG,0000103917,,
0001000149,000000,WE,0000103917,,
0001000149,000000,RE,0000103917,,
0001000149,000000,RG,0000103917,,
0001000149,000000,SP,0000103917,,10000
0001000150,000000,AG,0000101065,,
0001000150,000000,WE,0000101065,,
0001000150,000000,RE,0000101065,,
0001000150,000000,RG,0000101065,,
0001000150,000000,SP,0000101065,,10000
0001000151,000000,AG,0000102176,,
0001000151,000000,WE,0000102176,,
0001000151,000000,RE,0000102176,,
0001000151,000000,RG,0000102176,,
0001000151,000000,SP,0000102176,,10000
0001000152,000000,AG,0000104090,,
0001000152,000000,WE,0000104090,,
